[0.00s -> 2.00s]  Три, четыре!
[1563.08s -> 1565.08s]  Никита.
[1565.08s -> 1567.08s]  Теплый.
[1567.08s -> 1569.08s]  Он побеждает. И он, короче,
[1569.08s -> 1571.08s]  забирает 3000 рублей,
[1571.08s -> 1573.08s]  потому что мы, кажется, косарев скинули.
[1573.08s -> 1575.08s]  Двуху в плюсе.
[1575.08s -> 1577.08s]  Ну, и я хочу пожелать
[1577.08s -> 1579.08s]  Никите еще от себя лично, чтобы
[1579.08s -> 1581.08s]  на соревнованиях он тоже так же
[1581.08s -> 1583.08s]  упорно ловил, а не две рыбы,
[1583.08s -> 1585.08s]  *****, стуры приносил.
[1585.08s -> 1587.08s]  Хорошо не ноль после
[1587.08s -> 1589.08s]  норвышки. Ну, что у нас получается?
[1589.08s -> 1591.08s]  Сегодня мы купили... Вчера купили резины
[1591.08s -> 1593.08s]  хорошие, грузики,
[1593.08s -> 1595.08s]  все красиво. Просто сегодня
[1595.08s -> 1597.08s]  искупали их в холодной воде,
[1597.08s -> 1599.08s]  и гуляй, Вася.
[1599.08s -> 1601.08s]  Так, ну что?
[1601.08s -> 1603.08s]  Закончили мы сегодня
[1603.08s -> 1605.08s]  нашу рыбалку. Даже немного подустал,
[1605.08s -> 1607.08s]  если честно. Погреблись сегодня,
[1607.08s -> 1609.08s]  половили. Не удалось нам
[1609.08s -> 1611.08s]  на джиг поймать, и не ищу крючудака.
[1611.08s -> 1613.08s]  Не знаю, как. Вадим говорит,
[1613.08s -> 1615.08s]  он ловил, он ловит, и я не знаю.
[1615.08s -> 1617.08s]  У меня никогда в жизни это не получалось,
[1617.08s -> 1619.08s]  не получается, и, наверное, надо
[1619.08s -> 1621.08s]  заканчивать
[1621.08s -> 1623.08s]  с этим видом ловли и переходить
[1623.08s -> 1625.08s]  на мои любимые веблераны, которые
[1625.08s -> 1627.08s]  у меня хотя бы клюет.
[1629.08s -> 1631.08s]  Устроили небольшое соревнование в конце
[1631.08s -> 1633.08s]  по микро-джигу.
[1633.08s -> 1635.08s]  Я в начале оборвал, у меня особо не было флюрокарбона.
[1635.08s -> 1637.08s]  И все без поводка,
[1637.08s -> 1639.08s]  поклевки просто прекратились.
[1639.08s -> 1641.08s]  И я проиграл,
[1641.08s -> 1643.08s]  просто вот, пацаны.
[1643.08s -> 1645.08s]  Я даже проиграл.
[1645.08s -> 1647.08s]  Ну что, ехали
[1647.08s -> 1649.08s]  за крупной рыбой,
[1649.08s -> 1651.08s]  а спас нашу рыбалку
[1651.08s -> 1653.08s]  сегодня окунь. Опять-таки.
[1654.08s -> 1656.08s]  Но, блин,
[1656.08s -> 1658.08s]  короче, соревнования по микро-джигу нам
[1658.08s -> 1660.08s]  немного так нас подзаразили.
[1660.08s -> 1662.08s]  Микро-джиг нас подзаразил.
[1662.08s -> 1664.08s]  Охота на него ловить.
[1664.08s -> 1666.08s]  Не перестанем мы это делать.
[1666.08s -> 1668.08s]  Будем выбираться еще.
[1668.08s -> 1670.08s]  Так, ну что, братва,
[1670.08s -> 1672.08s]  пишите свои комментарии,
[1672.08s -> 1674.08s]  ставьте свои лайки.
[1674.08s -> 1676.08s]  Обязательно подписывайтесь на наш канал.
[1678.08s -> 1680.08s]  Все, пока-пока, мы собирать вещи.
[1680.08s -> 1682.08s]  Вы
[1682.08s -> 1684.08s]  не захотите отдыхать дальше.
[1684.08s -> 1686.08s]  Смотрите нас с удовольствием.
[1686.08s -> 1688.08s]  Если нажмешь вот сюда вот,
[1688.08s -> 1690.08s]  то подпишешься на наш канал.
[1690.08s -> 1692.08s]  Если нажмешь вот сюда вот...
[1692.08s -> 1694.08s]  Мы это, кстати,
[1694.08s -> 1696.08s]  люди, у которых клюет.
[1696.08s -> 1698.08s]  Мы сейчас в баню, кстати, погнали.
[1698.08s -> 1702.35s]  Ставь лайк за баню.
[1702.35s -> 1704.35s]  Кто в баню после рыбалки любит ходить,
[1704.35s -> 1706.35s]  ставьте лайк.
