[4.08s -> 6.08s]  Чего желаете, братан?
[2025.41s -> 2026.41s]  И вдруг понимаем?
[2026.41s -> 2027.41s]  Невероятный день.
[2027.41s -> 2028.41s]  Что-то слева происходит такое.
[2028.41s -> 2029.41s]  Во время дубля.
[2029.41s -> 2030.41s]  Поворачиваемся.
[2030.41s -> 2032.41s]  А в это время бабка подлетает к нашему Лене
[2032.41s -> 2033.41s]  и клюкой прям его бьет.
[2033.41s -> 2034.41s]  Бьет прям его.
[2034.41s -> 2035.41s]  По бас-гитаре.
[2035.41s -> 2036.41s]  По голове.
[2036.41s -> 2037.41s]  Это просто дубль.
[2037.41s -> 2038.41s]  Надо было сохранить его.
[2038.41s -> 2041.41s]  Что ж ты, ирод, на кладбище-то?
[2041.41s -> 2042.41s]  Песня была.
[2042.41s -> 2043.41s]  Какой кладбище?
[2043.41s -> 2044.41s]  Мы в парке.
[2044.41s -> 2046.41s]  А, кажется, парк на месте кладбища был...
[2046.41s -> 2047.41s]  Мы даже не знали.
[2047.41s -> 2048.41s]  Честно, никогда бы не рискнули.
[2048.41s -> 2050.41s]  Просто понятия не имели.
[2050.41s -> 2051.41s]  Это городской парк.
[2051.41s -> 2052.41s]  То есть как бы люди...
[2052.41s -> 2053.41s]  Ну, может...
[2053.41s -> 2055.41s]  Либо она, может быть, просто что-то попутала.
[2055.41s -> 2057.41s]  Ну, в общем, это все попало в кадр.
[2057.41s -> 2059.41s]  Конечно, все это пришлось вырезать.
[2059.41s -> 2060.41s]  Дубль переписывали.
[2060.41s -> 2061.41s]  Так что было и такое.
[2061.41s -> 2063.41s]  И еще один классный случай.
[2063.41s -> 2064.41s]  Ты потом вырежешь, что не надо.
[2064.41s -> 2065.41s]  Не расскажи.
[2065.41s -> 2066.41s]  Это шикарно просто.
[2066.41s -> 2067.41s]  Это вообще...
[2067.41s -> 2070.41s]  Ой, это город Ростов-Великий.
[2070.41s -> 2072.41s]  Значит, ребята начали...
[2072.41s -> 2075.41s]  Ну, вы знаете, как сегодня я пришла, вы еще пока подключались.
[2075.41s -> 2076.41s]  Как бы мне делать нефиг, да?
[2076.41s -> 2079.41s]  А там идет ярмарка невероятная просто.
[2079.41s -> 2080.41s]  И я говорю, пожалуйста.
[2080.41s -> 2082.41s]  Я так хочу посмотреть просто.
[2082.41s -> 2083.41s]  Там все своими руками сделано.
[2083.41s -> 2084.41s]  Так красиво все.
[2084.41s -> 2086.41s]  Мне говорят, ну, мы тебя отпустим с двумя охранниками.
[2086.41s -> 2089.41s]  Я говорю, ну, пусть только идут очень далеко.
[2089.41s -> 2091.41s]  Чтобы люди от меня не шарахались.
[2091.41s -> 2092.41s]  Меня никто не...
[2092.41s -> 2093.41s]  Я в курточке там что-то, в кофточке.
[2093.41s -> 2097.41s]  И я подхожу и вижу прямо по аллее и ведут пони.
[2097.41s -> 2100.41s]  И уже девочка какая-то маленькая там на ней сидит.
[2100.41s -> 2103.41s]  А пони, чтобы вы понимали, жарища.
[2103.41s -> 2105.41s]  На ней какая-то шапочка.
[2105.41s -> 2106.41s]  Какие-то перышки.
[2106.41s -> 2108.41s]  Вот здесь крылья огромные.
[2108.41s -> 2110.41s]  Причем на металлическом каркасе.
[2110.41s -> 2111.41s]  Какое-то пончо.
[2111.41s -> 2113.41s]  Вот здесь все замотано.
[2113.41s -> 2114.41s]  Что-то там на хвосте.
[2114.41s -> 2115.41s]  Хвост запретен.
[2115.41s -> 2116.41s]  Куча ленточек.
[2116.41s -> 2117.41s]  И я такая стою, говорю.
[2117.41s -> 2119.41s]  Господи, так жарко.
[2119.41s -> 2121.41s]  Бедная пони.
[2121.41s -> 2122.41s]  И голос такой сбоку мне.
[2122.41s -> 2124.41s]  Это о пони, если что.
[2124.41s -> 2126.41s]  Живет лучше, чем ты.
[2127.41s -> 2128.41s]  И я такая, опс.
[2128.41s -> 2130.41s]  Я, значит, запоминаю, естественно.
[2130.41s -> 2132.41s]  Когда концерт, я уже провел валь.
[2132.41s -> 2133.41s]  А это уже вечер.
[2133.41s -> 2135.41s]  Я уже в костюме там со всеми делами.
[2135.41s -> 2137.41s]  И вот я вечером выхожу, говорю.
[2137.41s -> 2140.41s]  Вы знаете, я, во-первых, так, говорю, мне понравился ваш город.
[2140.41s -> 2141.41s]  Я говорю, поверьте.
[2141.41s -> 2144.41s]  Я говорю, только тогда, когда действительно испытываю восторг.
[2144.41s -> 2147.41s]  А еще, говорю, знаете, вот мне сегодня сказали.
[2147.41s -> 2148.41s]  Рассказывают от слушающих.
[2148.41s -> 2151.41s]  Так вот, если у вас пони живут лучше, чем я.
[2151.41s -> 2153.41s]  Я говорю, ребята, вы вообще все в шоколаде просто.
[2153.41s -> 2154.41s]  Вот.
[2154.41s -> 2155.41s]  Так что вот такой даже был случай.
[2155.41s -> 2157.41s]  Аплодисменты, пожалуйста.
[2157.41s -> 2161.98s]  Я перед тем, как мы споем песню, короткая история.
[2161.98s -> 2162.98s]  Ты говоришь про рынок.
[2162.98s -> 2163.98s]  Я про Астану расскажу.
[2163.98s -> 2165.98s]  Тоже гастроли в Астане и какой-то рынок.
[2165.98s -> 2167.98s]  Пока там ребята чайкаются.
[2167.98s -> 2168.98s]  Я иду просто спокойно.
[2168.98s -> 2169.98s]  Бисболочка, очки.
[2169.98s -> 2172.98s]  И подходит такой вот прям казах.
[2172.98s -> 2173.98s]  Такой конкретный телефон.
[2173.98s -> 2174.98s]  Круче ты, говорит.
[2174.98s -> 2177.98s]  Если не сфоткаешься, то я скажу всем, что ты тут.
[2180.98s -> 2181.98s]  По рынку.
[2181.98s -> 2184.98s]  То есть он мне угрожал, что типа тогда Хана тебе зафоткает.
[2184.98s -> 2186.98s]  Ты просто спокойно не походишь.
[2186.98s -> 2187.98s]  А еще самое, знаешь, как прикольно.
[2187.98s -> 2189.98s]  А в Киргизии так говорят.
[2189.98s -> 2191.98s]  Но это не связано уже с тем, что узнают, не узнают.
[2191.98s -> 2193.98s]  И подходишь там что-нибудь.
[2193.98s -> 2194.98s]  Купители приобрести.
[2194.98s -> 2195.98s]  Он так наклоняется.
[2195.98s -> 2196.98s]  Такой говорит.
[2196.98s -> 2198.98s]  Чего желаете, братан?
[2198.98s -> 2199.98s]  Причем неважно.
[2199.98s -> 2200.98s]  Девушка, ты парень.
[2200.98s -> 2201.98s]  Короче.
[2201.98s -> 2202.98s]  Чего желаете, братан?
[2202.98s -> 2205.98s]  Егора 312 в гостях шоу Музлот концерт.
[2205.98s -> 2206.98s]  Мы продолжаем.
[2207.98s -> 2211.98s]  Давайте поговорим о том, как у вас с годами менялся
[2211.98s -> 2213.98s]  стиль или звучание.
[2213.98s -> 2214.98s]  Было такое?
[2214.98s -> 2215.98s]  Да.
[2215.98s -> 2216.98s]  Кстати, смотрите.
[2216.98s -> 2219.98s]  Когда мы приехали в Москву в 2001, мы были чуток префанкованные.
[2219.98s -> 2220.98s]  Так вот.
[2220.98s -> 2223.98s]  Потихонечку за пару лет весь фанк из нас как-то немножко
[2223.98s -> 2224.98s]  так это да.
[2224.98s -> 2225.98s]  И выдавился.
[2225.98s -> 2226.98s]  Да.
[2226.98s -> 2227.98s]  Потому что все были.
[2227.98s -> 2228.98s]  Тычки.
[2228.98s -> 2229.98s]  Песня.
[2229.98s -> 2230.98s]  Да.
[2230.98s -> 2231.98s]  Синкопы и все.
[2231.98s -> 2232.98s]  Я не знаю.
[2232.98s -> 2233.98s]  Мы не конъектурили.
[2233.98s -> 2236.98s]  Мы просто как-то ощутили совсем другую реальность
[2236.98s -> 2237.98s]  здесь почему-то.
[2237.98s -> 2239.98s]  Мы совсем по-другому стали жить.
[2239.98s -> 2241.98s]  Другие тексты, другие песни.
[2241.98s -> 2242.98s]  Все по-другому.
[2242.98s -> 2243.98s]  Но песни все равно появлялись.
[2243.98s -> 2244.98s]  И фанки в том числе.
[2244.98s -> 2247.98s]  Но лирики больше стало у вас все равно.
[2247.98s -> 2248.98s]  Лирики?
[2248.98s -> 2249.98s]  Да.
[2249.98s -> 2250.98s]  Нет.
[2250.98s -> 2251.98s]  Просто ты знаешь лирику больше.
[2251.98s -> 2253.98s]  Потому что ее больше берут на радио и на телевидении.
[2253.98s -> 2255.98s]  А песня «Белая ворона»?
[2255.98s -> 2256.98s]  Она новая.
[2256.98s -> 2258.98s]  Мы только сейчас начинаем эти песни петь.
[2258.98s -> 2259.98s]  Вот.
[2259.98s -> 2260.98s]  У меня поэтому и вопрос.
[2260.98s -> 2261.98s]  Но как-то знаешь.
[2261.98s -> 2264.98s]  Как-то совсем другой стиль я услышал абсолютно.
[2264.98s -> 2265.98s]  Да ладно.
[2265.98s -> 2266.98s]  Это я тебе скажу.
[2266.98s -> 2269.98s]  Эта песня вот для меня лично она наоборот очень напоминает
[2269.98s -> 2272.98s]  нас с первого альбома.
[2272.98s -> 2274.98s]  Типа там пружины, весны.
[2274.98s -> 2275.98s]  Вот такие песни.
[2275.98s -> 2276.98s]  Они мои известные.
[2276.98s -> 2277.98s]  Они такие.
[2277.98s -> 2279.98s]  Просто они тоже были менее известные.
[2279.98s -> 2280.98s]  Это все мы.
[2280.98s -> 2283.98s]  Мы стараемся не то чтобы там мы искусственно себя
[2283.98s -> 2284.98s]  вообще не меняем.
[2284.98s -> 2285.98s]  Мы себя не трогаем.
[2285.98s -> 2287.98s]  Вот что рождается, то рождается.
[2287.98s -> 2289.98s]  Давайте «Белую ворону».
[2289.98s -> 2290.98s]  Она классная.
[2290.98s -> 2294.98s]  Она, когда писалась, мы думали, что это как раз о нас,
[2294.98s -> 2297.98s]  чьи песни в свое время не брали на радио и говорили,
[2297.98s -> 2299.98s]  что мы как «Белые вороны» и так далее.
[2299.98s -> 2303.98s]  А сейчас просто посмотрите, какую наполненность она
[2303.98s -> 2304.98s]  приобрела.
[2304.98s -> 2305.98s]  Совершенно другую.
[2305.98s -> 2306.98s]  Но это тоже мы.
[2306.98s -> 2307.98s]  Поехали.
[2307.98s -> 2308.98s]  «Белая ворона».
[2308.98s -> 2309.98s]  Новый альбом.
[2309.98s -> 2322.93s]  «Борься до нас».
[2322.93s -> 2326.93s]  У нее своя реальность и в таких, как ты, увы, не понять.
[2328.93s -> 2331.93s]  Как свои взгляды сметь не все, к чему ты-то привык,
[2331.93s -> 2333.93s]  несомненно.
[2335.93s -> 2338.93s]  Как в пыльном сериале все вокруг безумней, день
[2338.93s -> 2340.93s]  от дня.
[2341.93s -> 2344.93s]  От мира ждет он, ведь не замечая ни преград
[2344.93s -> 2346.93s]  и ни стены.
[2346.93s -> 2349.93s]  И пусть кричат тебе «Белая ворона!»
[2349.93s -> 2352.93s]  Не напрягайся и держи оборону.
[2353.93s -> 2355.93s]  Пока ты сильный, тебя точно не тронут,
[2355.93s -> 2357.93s]  но береги свои патроны.
[2361.93s -> 2362.93s]  Белая ворона.
[2362.93s -> 2365.93s]  Не напрягайся и держи оборону.
[2365.93s -> 2368.93s]  Пока ты сильный, тебя точно не тронут,
[2368.93s -> 2370.93s]  но береги свои патроны.
[2371.93s -> 2373.93s]  Береги свои патроны.
[2373.93s -> 2390.77s]  А они в плену иллюзии, Им так важно изменить твою суть.
[2390.77s -> 2397.77s]  Ночные почтальоны, носы в суках Анонимные письма.
[2397.77s -> 2403.77s]  Пока здесь тёлок глюзит, Получать терпеть и не отнесут.
[2404.77s -> 2410.77s]  Нужна определенная сила, Триняя несет тебя вниз.
[2410.77s -> 2416.77s]  И пусть кричат тебе «Белая Барона», Не напрягайся и держи оборону.
[2416.77s -> 2422.77s]  Пока ты сильный, тебя точно не тронут, Но береги свои патроны.
[2422.77s -> 2433.15s]  Сгаси и держи оборону, Пока ты сильный, тебя точно не тронут,
[2433.15s -> 2438.15s]  Но береги свои патроны.
[2462.23s -> 2468.23s]  Пусть кричат тебе «Белая Барона», Не напрягайся и держи оборону.
[2469.23s -> 2473.23s]  Пока ты сильный, тебя точно не тронут, Но береги свои патроны.
[2475.23s -> 2484.57s]  Сгаси и держи оборону, Пока ты сильный, тебя точно не тронут,
[2484.57s -> 2488.57s]  Но береги свои патроны.
[2502.67s -> 2515.26s]  Класс!
[2515.26s -> 2517.26s]  Бахия!
[2517.26s -> 2520.26s]  А давай теперь парируй!
[2520.26s -> 2522.26s]  Опаньки! А вот и всё!
[2522.26s -> 2524.26s]  Нет, Стаса может круче!
[2524.26s -> 2526.26s]  Нет, конечно я же...
[2534.26s -> 2536.26s]  Я Стас не знаю!
[2536.26s -> 2538.26s]  Я белая ворона одна
[2538.26s -> 2541.26s]  Я белая ворона одна
[2541.26s -> 2544.26s]  Я белая ворона одно
[2545.26s -> 2551.26s]  Чophoutyt Jetzt спи в Jenkins
[2551.26s -> 2557.26s]  Онаcard!
[2557.26s -> 2560.26s]  Я белая ворона одна
[2562.26s -> 2566.26s]  Я белая ворона одна
[2566.26s -> 2571.05s]  Жängа, Жен, Л daring
[2571.05s -> 2572.05s]  Не кричи на меня!
[2572.05s -> 2573.05s]  Не кричи на меня!
[2573.05s -> 2574.05s]  Ааа!
[2574.05s -> 2580.60s]  Димочка, мой дорогой чёрт, ты что присаживаешься?
[2580.60s -> 2582.60s]  Девчонки, я вот здесь постою, пока...
[2582.60s -> 2584.60s]  Да, вы с рукой серёжи вот этой тональности подберите
[2584.60s -> 2585.60s]  свои.
[2585.60s -> 2588.60s]  Чё вот ты, вот бывает такое, что ты приходишь домой
[2588.60s -> 2592.60s]  и что-нибудь играешь лирическое, не из своего.
[2592.60s -> 2597.60s]  А, допустим, заходишь ты в комнату, зажигаешь свечи.
[2597.60s -> 2600.60s]  Димочка, давай блатняк уже.
[2600.60s -> 2601.60s]  Какую-нибудь...
[2601.60s -> 2602.60s]  Зажигаешь свечи.
[2602.60s -> 2605.60s]  Наливаешь себе стаканчик воды.
[2605.60s -> 2607.60s]  Играешь в какую-нибудь композицию, которая тебе
[2607.60s -> 2609.60s]  интересна спеть.
[2609.60s -> 2610.60s]  Ну это, кстати, не блатняк.
[2610.60s -> 2611.60s]  Спасибо огромное.
[2611.60s -> 2612.60s]  Вообще не блатняк.
[2612.60s -> 2613.60s]  Спасибо огромное.
[2613.60s -> 2614.60s]  Надо вспомнить.
[2614.60s -> 2616.60s]  Но она поётся тем же, да, вот этим...
[2616.60s -> 2617.60s]  Да?
[2619.60s -> 2620.60s]  Не, не.
[2620.60s -> 2621.60s]  Не, не поёт уже.
[2621.60s -> 2622.60s]  Всё.
[2622.60s -> 2623.60s]  А я помню, что мы...
[2623.60s -> 2625.60s]  Есть такая песня, которую мы не можем допеть никогда
[2625.60s -> 2626.60s]  с Саей вдвоём.
[2626.60s -> 2627.60s]  Да, есть такая песня.
[2627.60s -> 2628.60s]  А ты её прямо сейчас играешь?
[2628.60s -> 2629.60s]  Ну попробуй, Олега Митяева.
[2629.60s -> 2630.60s]  Помнишь там?
[2630.60s -> 2631.60s]  О, давай.
[2631.60s -> 2632.60s]  «Лето маленькая жизнь».
[2632.60s -> 2633.60s]  Мы плачем и всё.
[2633.60s -> 2634.60s]  Не можем это петь.
[2634.60s -> 2635.60s]  Давай крушь петь, я буду плакать.
[2635.60s -> 2636.60s]  Давай, давай, давай.
[2636.60s -> 2637.60s]  Анатолий, давай.
[2637.60s -> 2638.60s]  Как там...
[2638.60s -> 2639.60s]  Лёня, какая?
[2639.60s -> 2643.60s]  Посмотри в каком красивом доме ты живёшь.
[2643.60s -> 2648.60s]  Я вчера пошёл за пивом, прямо обомлел.
[2648.60s -> 2652.60s]  Целовал его слепой, сплакавшись всё дождь.
[2652.60s -> 2657.60s]  Извиняюсь, что всю зиму гриппом провалел.
[2657.60s -> 2662.60s]  Я стоял и любовался до скончания дня.
[2662.60s -> 2667.60s]  Вместе с нашим участковым молча под гриппом.
[2667.60s -> 2671.60s]  Но в пакетике прозрачном дырка у меня.
[2671.60s -> 2676.60s]  И всё время вытекает пиво из него.
[2676.60s -> 2681.60s]  Я пришёл в апреле, я нашёл повод.
[2681.60s -> 2686.60s]  Я замёрз, закутываясь в твой холод.
[2686.60s -> 2690.60s]  Вышёл я на улицу, смотрю, лето.
[2690.60s -> 2695.60s]  А лето – это маленькая жизнь.
[2695.60s -> 2699.60s]  Лето – это маленькая жизнь.
[2699.60s -> 2704.60s]  Порознь тихо подрастает на щеках.
[2704.60s -> 2710.60s]  Порозль дом плывёт по небу, а меня нету.
[2710.60s -> 2715.60s]  Лето – это маленькая жизнь.
[2715.60s -> 2720.60s]  Мы всё время жили в городе одном.
[2720.60s -> 2725.60s]  Я всё там живу, в доме, на последнем этаже.
[2725.60s -> 2730.60s]  А ты в различных точках, именующихся дном.
[2730.60s -> 2735.60s]  Впрочем, если пить, то нет разницы уже.
[2735.60s -> 2740.60s]  Я не заметил, что конец мая.
[2740.60s -> 2745.60s]  Что давно повесилась метель злая.
[2745.60s -> 2749.60s]  Вышел участковый встречать лето.
[2749.60s -> 2754.60s]  А лето – это маленькая жизнь.
[2754.60s -> 2758.60s]  Лето – это маленькая жизнь.
[2758.60s -> 2763.60s]  Порознь тихо подрастает на щеках.
[2763.60s -> 2769.60s]  Порозль дом плывёт по небу, а меня нету.
[2769.60s -> 2774.60s]  Лето – это маленькая жизнь.
[2774.60s -> 2793.60s]  Лето – это маленькая жизнь.
[2793.60s -> 2798.60s]  Чистые пруды, Застенчивые мы,
[2798.60s -> 2803.60s]  Как девчонки, Смокленные воды.
[2803.60s -> 2808.60s]  Чистые пруды, Веков зеленый зон,
[2808.60s -> 2811.60s]  Лето это маленькая жизнь.
[2811.60s -> 2817.60s]  А белый лепест на пруду
[2817.60s -> 2821.60s]  Качает павшую звезду.
[2821.60s -> 2831.60s]  На том пруду, куда тебя я приведу.
[2831.60s -> 2843.60s]  На том пруду, куда тебя я приведу.
[2859.60s -> 2864.60s]  Да, я дядя Олег Митяев, у меня папа с ним жил в одном доме, он же из Челябинска.
[2864.60s -> 2868.60s]  И он все время дверь папа, говорит, открывал.
[2868.60s -> 2873.60s]  Там жизнь, которая Лето.
[2873.60s -> 2875.60s]  А пользуясь случаем, давайте ему передать небольшой привет.
[2875.60s -> 2880.60s]  Тем более, что Олег, вы говорили, что мы кое-что с вами совместно сделаем интересное.
[2880.60s -> 2884.60s]  Помните, вы говорили? Пожалуйста, вы, наверное, забыли.
[2884.60s -> 2885.60s]  А я все помню.
[2885.60s -> 2888.60s]  А ты думаешь, мы сейчас типа в прямом эфире, что ли?
[2888.60s -> 2890.60s]  Нет, это же покажут потом.
[2890.60s -> 2893.60s]  Чего ты, блин, я же знаю, что как это все работает.
[2893.60s -> 2895.60s]  Это же покажут потом.
[2895.60s -> 2900.60s]  Слушай, а давай, я знаю, что ты очень любишь песни Успенской, вот.
[2900.60s -> 2901.60s]  А, да.
[2901.60s -> 2903.60s]  Я принимала участие в трех аккордах.
[2903.60s -> 2904.60s]  Ну.
[2904.60s -> 2910.60s]  И там прям, я прям так шансончиком прожила почти больше полугода.
[2910.60s -> 2916.60s]  Выбирала, прям кавриала, смотрела, потом что-то предлагали мне такое, что я вообще никогда не слышала.
[2916.60s -> 2920.60s]  Но я вам скажу, что вообще стиль музыки, он не важен на самом деле.
[2920.60s -> 2924.60s]  Важна, какая песня. Хорошая или плохая.
[2924.60s -> 2925.60s]  И все.
[2925.60s -> 2929.60s]  Вы можете любить шансон, вы можете любить ска какой-нибудь.
[2929.60s -> 2933.60s]  Вы можете, в конце концов, вырасти, например, на секторе газы.
[2933.60s -> 2938.60s]  Поверьте, я знаю, что у сектора газа тоже есть очень много вполне классных песен.
[2938.60s -> 2940.60s]  Ну давай, если...
[2940.60s -> 2941.60s]  Все достойно жизни.
[2941.60s -> 2943.60s]  Поэтому сейчас давай что-нибудь тогда споем.
[2943.60s -> 2944.60s]  Ну давай, если можешь...
[2944.60s -> 2946.60s]  Тем более, что я уже типа заикалась на эту тему.
[2946.60s -> 2952.60s]  Евгений, если, может, перескочили с тобой на различные музыкальные форматы, как раз про шоу три аккорда, мы ей поговорим.
[2952.60s -> 2955.60s]  Давай что-нибудь оттуда, как раз, что ты пела.
[2955.60s -> 2956.60s]  Именно Успенской.
[2956.60s -> 2957.60s]  Да, можно.
[2957.60s -> 2959.60s]  Ну давай, ну можно не Успенскую.
[2959.60s -> 2961.60s]  А мы уже устроились.
[2978.98s -> 2987.98s]  Только дни за днями катятся порочь.
[2987.98s -> 2992.98s]  Ты ушел дорогой млечною,
[2992.98s -> 2997.98s]  На разлуку бесконечную,
[2997.98s -> 3003.98s]  Или клана сердце вечная,
[3004.98s -> 3009.98s]  Нужно было сразу петь это и припев.
[3009.98s -> 3016.98s]  Небо знает и не знает,
[3016.98s -> 3021.98s]  Где тебя искать, где тебя искать,
[3021.98s -> 3024.98s]  В дымке неземной.
[3024.98s -> 3034.14s]  Птицы улетают,
[3034.14s -> 3038.14s]  Следом за тобой, следом за тобой,
[3038.14s -> 3040.14s]  Следом за тобой.
[3040.14s -> 3042.14s]  Давайте модуляцию сделаем.
[3044.14s -> 3048.14s]  Юга у порога мечется,
[3048.14s -> 3052.14s]  И окно все так же светится,
[3052.14s -> 3058.14s]  Только нам уже не встретиться там.
[3060.14s -> 3064.14s]  От себя бегу бесцельная,
[3064.14s -> 3068.14s]  И тоска моя смертельная,
[3068.14s -> 3072.14s]  Словно песня колыбельная.
[3072.14s -> 3082.60s]  Небо знает и не знает,
[3082.60s -> 3087.60s]  Где тебя искать, где тебя искать,
[3087.60s -> 3090.60s]  В дымке неземной.
[3091.60s -> 3098.87s]  Птицы улетают,
[3098.87s -> 3103.87s]  Следом за тобой, следом за тобой,
[3103.87s -> 3105.87s]  Следом за тобой.
[3105.87s -> 3108.87s]  Можно сделать соло, на модуляции еще тоже.
[3123.95s -> 3132.21s]  Птицы улетают,
[3132.21s -> 3136.21s]  Следом за тобой, следом за тобой,
[3136.21s -> 3139.21s]  Следом за тобой.
[3172.19s -> 3175.19s]  Попал на день рождения Ларисы Александровны Долиной.
[3175.19s -> 3179.19s]  Лариса Александровна просто через раз пела, и она кайфует от этого.
[3179.19s -> 3181.19s]  Я думаю, ничего себе, вот это так.
[3181.19s -> 3183.19s]  Ты вроде от музыки устаешь,
[3183.19s -> 3185.19s]  А в караоке ты все равно отдыхаешь и поешь.
[3185.19s -> 3189.19s]  Я такое, как модное слово, Сергей, прости, лайфхак могу сказать.
[3189.19s -> 3191.19s]  Вот когда плохое настроение,
[3191.19s -> 3193.19s]  Я обязательно должен спеть три песни.
[3193.19s -> 3195.19s]  Поорать должен, вот чтобы было...
[3195.19s -> 3197.19s]  И потом тебя отпускают.
[3197.19s -> 3200.19s]  Мы недавно совершенно эту тему спорили с друзьями.
[3200.19s -> 3202.19s]  Мои друзья любят караоке.
[3202.19s -> 3203.19s]  Очень сильно.
[3203.19s -> 3205.19s]  Когда я прихожу, они караоке не поют,
[3205.19s -> 3207.19s]  Либо поют, когда я уже ухожу.
[3209.19s -> 3211.19s]  Как они говорят, мы стесняемся при тебе петь,
[3211.19s -> 3213.19s]  А у меня, говорят, другое.
[3213.19s -> 3216.19s]  Вот для меня, я не знаю, может быть у кого-то не так,
[3216.19s -> 3220.19s]  Но для меня гораздо важнее было, когда мы все сидели за столом.
[3220.19s -> 3222.19s]  Плевать пусть будет это караоке.
[3222.19s -> 3224.19s]  Допустим, за столом все сидим,
[3224.19s -> 3226.19s]  Включаем и поем вместе.
[3226.19s -> 3228.19s]  Ни один показывает, как он может,
[3228.19s -> 3230.19s]  Или как он хорошо поет,
[3230.19s -> 3232.19s]  Или как он плохо поет,
[3232.19s -> 3234.19s]  Или как он ни хрена не поет,
[3234.19s -> 3236.19s]  И все сидят и слушают, как он ни хрена не поет.
[3236.19s -> 3238.19s]  Но когда ты вместе, как у нас родители собирались,
[3238.19s -> 3240.19s]  Пели песни,
[3240.19s -> 3242.19s]  Ты понимаешь, что настолько плевать,
[3242.19s -> 3244.19s]  Есть слух у кого-то или нет,
[3244.19s -> 3246.19s]  Вот это одним потоком идет туда, в небо.
[3246.19s -> 3248.19s]  Любая песня, народная, ненародная,
[3248.19s -> 3250.19s]  С телевизора, только вчера звучала.
[3250.19s -> 3252.19s]  Вот этого сейчас нет.
[3252.19s -> 3254.19s]  Когда мы все вместе поем одно и то же.
[3254.19s -> 3256.19s]  Вот для меня вот это важно.
[3256.19s -> 3258.19s]  А караоке?
[3258.19s -> 3260.19s]  Удивил? Павлеина, говоришь?
[3260.19s -> 3262.19s]  Нет.
[3262.19s -> 3264.19s]  А ты не знаешь случайную песню?
[3264.19s -> 3266.19s]  Пел ее Паскаль когда-то.
[3266.19s -> 3268.19s]  Боже, как долго думала ты, не помнишь?
[3268.19s -> 3270.19s]  Месяц назад
[3270.19s -> 3272.19s]  Любовался тобой,
[3272.19s -> 3274.19s]  Словно я сам тебя...
[3274.19s -> 3276.19s]  Ты знаешь, мой хороший.
[3276.19s -> 3278.19s]  Месяц назад,
[3278.19s -> 3280.19s]  Как русалку из волн,
[3280.19s -> 3282.19s]  Ласково, ласково звал.
[3282.19s -> 3284.19s]  Я разбудил
[3284.19s -> 3286.19s]  Проливные дожди,
[3286.19s -> 3288.19s]  Плакал в расторганный воздух,
[3288.19s -> 3290.19s]  Но ничего
[3290.19s -> 3292.19s]  Я не мог изменить
[3292.19s -> 3294.19s]  В этих наивных глазах.
[3294.19s -> 3296.19s]  Боже, как долго,
[3296.19s -> 3298.19s]  Долго,
[3298.19s -> 3300.19s]  Как долго думала ты,
[3300.19s -> 3302.19s]  Боже, как долго,
[3302.19s -> 3304.19s]  Долго,
[3304.19s -> 3306.19s]  Как долго думала ты,
[3306.19s -> 3308.19s]  Боже, как долго,
[3308.19s -> 3310.19s]  Долго,
[3310.19s -> 3312.19s]  Как долго
[3312.19s -> 3314.19s]  Долго думала ты,
[3314.19s -> 3316.19s]  Светы
[3316.19s -> 3318.19s]  Все увяли,
[3318.19s -> 3320.19s]  В моем сердце
[3320.19s -> 3322.19s]  Просто увяли.
[3324.19s -> 3326.19s]  Кажется я
[3326.19s -> 3328.19s]  В твоих детских руках
[3328.19s -> 3330.19s]  Сложная слишком
[3330.19s -> 3332.19s]  Игрушка,
[3332.19s -> 3334.19s]  Но души ее
[3334.19s -> 3336.19s]  И не можешь понять,
[3336.19s -> 3338.19s]  Что же мне делать
[3338.19s -> 3340.19s]  Теперь.
[3340.19s -> 3342.19s]  Я же просил
[3342.19s -> 3344.19s]  Просто реши,
[3344.19s -> 3346.19s]  Нужен я или не нужен.
[3348.19s -> 3350.19s]  Этот вопрос
[3350.19s -> 3352.19s]  Удивительно прост,
[3352.19s -> 3354.19s]  Но не по силам тебе.
[3354.19s -> 3356.19s]  Боже, как долго,
[3356.19s -> 3360.02s]  Долго,
[3360.02s -> 3362.02s]  Как долго думала ты,
[3362.02s -> 3385.74s]  Боже,
[3385.74s -> 3387.74s]  Светы
[3387.74s -> 3389.74s]  Боже,
[3389.74s -> 3403.49s]  Долго…
[3434.21s -> 3442.21s]  и говорит «пой чё-нибудь», и я там «я люблю тебя до слез».
[3442.21s -> 3449.21s]  Я пел «Ало, это море, ало, это море, ты видишь там черное море, меня в таковку я взял»
[3449.21s -> 3455.21s]  А, подожди, а сколько тебе лет? 41, я не стесняюсь своего возраста.
[3455.21s -> 3461.21s]  И очень волнуюсь на берег храня. У тебя есть свои песни, которые вот, Димка, спой чё-нибудь?
[3461.21s -> 3467.21s]  Ну, спой сам. Спой что-нибудь, дай чё, попросим авторской, знаете, потому что это клёво.
[3467.21s -> 3471.21s]  А чё авторской? Он всё придумывает, он гениальный, я его давно знаю. Я могу этого.
[3471.21s -> 3477.21s]  Я всегда говорил, партии в 213 до рок, я там обожаю, где он делает какие-то формы красивые,
[3477.21s -> 3481.21s]  играет на клавишах, талантливый, замечательный, искренний, настоящий.
