[0.00s -> 1.00s]  Пещеры раскроют.
[1061.74s -> 1063.74s]  я не посадила вас за компы.
[1063.74s -> 1065.74s]  Я решила сделать вам игру подвижную, классную,
[1065.74s -> 1067.74s]  всратую.
[1067.74s -> 1069.74s]  Эта игра называется One to Switch.
[1069.74s -> 1071.74s]  У вас в руках джойконы.
[1071.74s -> 1073.74s]  Всё, что вы будете делать, ваши джойконы будут
[1073.74s -> 1075.74s]  чувствовать и фиксировать.
[1075.74s -> 1077.74s]  Механики будут очень простые. Там просто есть миниигры.
[1077.74s -> 1079.74s]  В эти миниигры надо играть.
[1079.74s -> 1081.74s]  И желательно набирать лучший результат.
[1081.74s -> 1083.74s]  Что, поехали, получается?
[1083.74s -> 1085.74s]  Погнали.
[1090.59s -> 1092.59s]  Так, ну что, девочки, приготовьтесь.
[1092.59s -> 1094.59s]  Даить.
[1094.59s -> 1096.59s]  Для этого слова даить корову вы будете.
[1098.59s -> 1100.59s]  Ну что, девки, погнали.
[1100.59s -> 1102.59s]  Удой.
[1102.59s -> 1107.18s]  Вот Вика
[1107.18s -> 1109.18s]  прямо в правильной позе всё делает.
[1109.18s -> 1111.18s]  А я в победной.
[1111.18s -> 1113.18s]  Я прямо представила тебя,
[1113.18s -> 1115.18s]  как ты реально к корове подойдёшь и вот так будешь делать.
[1117.18s -> 1119.18s]  Почему у тебя более
[1119.18s -> 1121.18s]  толстая струя? У меня
[1121.18s -> 1123.18s]  корова лучшая. Вот именно,
[1123.18s -> 1125.18s]  подсужена.
[1125.18s -> 1127.18s]  У меня победительница.
[1127.18s -> 1129.18s]  Первое место на коровьем фестивале
[1129.18s -> 1131.18s]  заняла.
[1131.18s -> 1133.18s]  Нет!
[1133.18s -> 1135.18s]  На два стакана больше надоела.
[1135.18s -> 1137.18s]  Получается, в доении
[1137.18s -> 1139.18s]  молока Ксюха побеждает.
[1139.18s -> 1141.18s]  Получается,
[1141.18s -> 1143.18s]  не ты больше специалист по излечению
[1143.18s -> 1145.18s]  биожидкости. Вика, я просто старшая.
[1145.18s -> 1147.18s]  У меня опыта больше.
[1147.18s -> 1149.18s]  Я тебе ссылку на футболку скину.
[1149.18s -> 1151.18s]  Так, девочки, а теперь добро
[1151.18s -> 1153.18s]  пожаловать в Хогвартс. Ну вы же Гарри Поттера любите?
[1153.18s -> 1155.18s]  А, вот.
[1155.18s -> 1157.18s]  Ну что, девочки,
[1157.18s -> 1159.18s]  а вы такие добры?
[1163.18s -> 1165.18s]  Или мне заедете по роже.
[1167.18s -> 1169.18s]  Так!
[1173.18s -> 1175.18s]  Сейчас я тебе наколдую Аллахомору!
[1175.18s -> 1177.18s]  Поняла!
[1177.18s -> 1179.18s]  Мой замочек для тебя
[1179.18s -> 1181.18s]  уже открыт! Зачем тебе Аллахомора?
[1181.18s -> 1183.18s]  На всякий случай!
[1187.18s -> 1190.69s]  Ксюха, давай!
[1192.69s -> 1194.69s]  Слушай, всю битву-то прям...
[1194.69s -> 1196.69s]  Но только друг друга не бейся.
[1198.69s -> 1200.69s]  Я устала!
[1200.69s -> 1202.69s]  Я не для этого видеоигры
[1202.69s -> 1204.69s]  играю!
[1206.69s -> 1208.69s]  Форт это жизнь!
[1212.69s -> 1214.69s]  Давай, Ксюха!
[1214.69s -> 1216.69s]  Аллахомора!
[1218.69s -> 1220.69s]  Я боялась, что у тебя
[1220.69s -> 1222.69s]  Джейкон сейчас от лет летит
[1222.69s -> 1224.69s]  и просто в лицо Ксюхи выйдет.
[1224.69s -> 1226.69s]  Давайте я просто призову ее победу.
[1226.69s -> 1228.69s]  Девчонки, настольный теннис.
[1228.69s -> 1230.69s]  Два раунда ведет Ксения.
[1230.69s -> 1232.69s]  35 тысяч на кону. Продолжаем.
[1232.69s -> 1234.69s]  Вы готовы? Л, П, Лупа и Пупа.
[1234.69s -> 1236.69s]  Реально!
[1236.69s -> 1238.69s]  Погнали!
[1238.69s -> 1240.69s]  Пупа всегда получает за Лупу.
[1240.69s -> 1242.69s]  Так.
[1242.69s -> 1246.90s]  Подавай!
[1246.90s -> 1248.90s]  Что?
[1248.90s -> 1250.90s]  Я как собака буду сидеть и смотреть.
[1250.90s -> 1252.90s]  А ничего не надо?
[1254.90s -> 1256.90s]  По звукам надо, насколько я понимаю.
[1256.90s -> 1258.90s]  А где?
[1258.90s -> 1262.59s]  Сетка.
[1262.59s -> 1267.57s]  Не понял. Сложно.
[1267.57s -> 1269.57s]  А где мяч?
[1269.57s -> 1271.57s]  Ну вот так вот.
[1271.57s -> 1273.57s]  Может еще глаза надо закрыть?
[1273.57s -> 1275.57s]  И ты мне поддаешься.
[1275.57s -> 1277.57s]  Я не занимаюсь.
[1283.57s -> 1285.57s]  Ну вот с тобой смотри на тоненького.
[1295.09s -> 1297.09s]  Вау!
[1297.09s -> 1299.09s]  Ну на рекорд Девка 16.
[1299.09s -> 1301.09s]  А я поняла, я поняла как, но не скажу тебе.
[1301.09s -> 1303.09s]  Я играю в невидимый мяч.
[1313.18s -> 1315.18s]  Она даже не старалась, мне кажется.
[1315.18s -> 1317.18s]  Я сосредоточена максимально.
[1317.18s -> 1319.18s]  Игла не пролезет просто.
[1319.18s -> 1321.18s]  Да!
[1321.18s -> 1323.18s]  Сосать!
[1323.18s -> 1325.18s]  Так.
[1325.18s -> 1329.20s]  Самая быстрая рука на диком твиче.
[1329.20s -> 1331.20s]  Да.
[1331.20s -> 1333.20s]  Приготовились.
[1333.20s -> 1335.20s]  Внимание!
[1335.20s -> 1337.20s]  Огонь!
[1337.20s -> 1339.20s]  Вот, ранили тебя.
[1339.20s -> 1341.20s]  Ты что подкрутила-то там?
[1341.20s -> 1343.20s]  Самая быстрая рука на диком твиче.
[1345.20s -> 1347.20s]  Девочки, у нас какая ситуация?
[1347.20s -> 1349.20s]  Девочки, у нас какая ситуация
[1349.20s -> 1351.20s]  происходит, пока вы репетируете?
[1351.20s -> 1353.20s]  Значит, Ксюха ведет 4-0.
[1353.20s -> 1355.20s]  Как будто бы это уже полная,
[1355.20s -> 1357.20s]  тотальная сася у Вика.
[1357.20s -> 1359.20s]  Но для баланса и гармонии...
[1359.20s -> 1361.20s]  Как говорил великий классик Моргенштерн,
[1361.20s -> 1363.20s]  это тоже талант.
[1363.20s -> 1365.20s]  Короче, предлагаю вам все-таки для ровного счета
[1365.20s -> 1367.20s]  сыграть все 5 раундов, мы все-таки готовили.
[1367.20s -> 1369.20s]  Поэтому давайте.
[1369.20s -> 1371.20s]  О, Господи!
[1371.20s -> 1373.20s]  Я слежу за вашими ногами.
[1373.20s -> 1375.20s]  Вика, на носочки давай.
[1375.20s -> 1377.20s]  Стоим, стоим.
[1379.20s -> 1381.20s]  Нет!
[1381.20s -> 1383.20s]  Так и похудеть, кстати, можно.
[1383.20s -> 1385.20s]  Ну, а сколько это будет продолжаться?
[1389.20s -> 1391.20s]  Вика!
[1391.20s -> 1393.20s]  В игре, в которой ничего не надо было делать!
[1393.20s -> 1395.20s]  Ты смогла победить!
[1395.20s -> 1402.03s]  Ну ладно, поздравляю!
[1402.03s -> 1404.03s]  И победителем
[1404.03s -> 1406.03s]  в этой неравной битве
[1406.03s -> 1408.03s]  практически чистым результатом
[1408.03s -> 1410.03s]  становится Ксения Зануда.
[1410.03s -> 1412.03s]  Ура!
[1412.03s -> 1414.03s]  Поздравляю, конечно, но не от всего сердца.
[1414.03s -> 1416.03s]  Это тебе.
[1416.03s -> 1418.03s]  Читай это все. Ты.
[1418.03s -> 1420.03s]  Pay to the order of Zanuda
[1420.03s -> 1424.03s]  November date 35 000 000 000 000 рублей.
[1424.03s -> 1426.03s]  Не надо, не надо.
[1426.03s -> 1428.03s]  Абсолют чемпион
[1428.03s -> 1430.03s]  PvP Ultimate, Professional, Ultra,
[1430.03s -> 1432.03s]  eSports, Gaming, Tournament.
[1432.03s -> 1434.03s]  Это каждый раз так больно, когда деньги
[1434.03s -> 1436.03s]  мимо меня идут.
[1436.03s -> 1438.03s]  Значит, я, как пострадавшая сторона,
[1438.03s -> 1440.03s]  считаю, что теперь все в мире
[1440.03s -> 1442.03s]  должны донатить мне. Приходите.
[1442.03s -> 1444.03s]  Приходите донатить.
[1444.03s -> 1446.03s]  Нет, не донайте ей, потому что
[1446.03s -> 1448.03s]  я хотела сказать, что раз уж мы с тобой, Вика,
[1448.03s -> 1450.03s]  команда
[1450.03s -> 1452.03s]  по-братски мы разделим
[1452.03s -> 1454.03s]  эти 35 000 000 000.
[1454.03s -> 1456.03s]  Она пополам не делится!
[1456.03s -> 1458.03s]  Попилите.
[1458.03s -> 1460.03s]  Пишите, пожалуйста,
[1460.03s -> 1462.03s]  комментарии,
[1462.03s -> 1464.03s]  ну, обязательно, развернутые
[1464.03s -> 1466.03s]  и состоящие более чем из трех слов.
[1466.03s -> 1468.03s]  Все получится, да?
[1468.03s -> 1470.03s]  Мы будем вас целовать во все мы-ты места.
