[0.00s -> 4.28s]  ГОВОРЯТ НА ИНОСТРАННОМ ЯЗЫКЕ
[1188.34s -> 1189.34s]  Ну, или так.
[1189.34s -> 1190.34s]  Или так.
[1192.34s -> 1195.34s]  Слышу, слышу, скрипетель.
[1195.34s -> 1197.34s]  В сундуке моем метель.
[1197.34s -> 1200.34s]  Ухвачу за хвост бунтарку.
[1200.34s -> 1202.34s]  Превращу ее...
[1202.34s -> 1203.34s]  В татарку.
[1203.34s -> 1204.34s]  В подарки.
[1205.34s -> 1207.34s]  Это реальные подарки.
[1207.34s -> 1208.34s]  Да?
[1208.34s -> 1209.34s]  Они самые.
[1209.34s -> 1210.34s]  Ура!
[1211.34s -> 1213.66s]  Как круто!
[1213.66s -> 1215.66s]  Теперь можно и дедушку обнять.
[1215.66s -> 1216.66s]  Да, конечно!
[1216.66s -> 1219.66s]  Друзья, мы все вместе поздравляем вас
[1219.66s -> 1220.66s]  с Новым годом!
[1220.66s -> 1223.66s]  Желаем вам счастья, успехов.
[1223.66s -> 1224.66s]  Здоровья.
[1224.66s -> 1225.66s]  Ведите себя хорошо.
[1225.66s -> 1227.66s]  И обязательно, как можно чаще,
[1227.66s -> 1229.66s]  смотрите наше шоу.
[1229.66s -> 1231.66s]  И совсем скоро мы с вами увидимся.
[1231.66s -> 1235.66s]  А сейчас с Новым годом!
[1235.66s -> 1237.66s]  Ура!
[1237.66s -> 1239.66s]  Круто! Настоящие подарки.
[1239.66s -> 1240.66s]  Мне кажется, что моя красивее.
[1240.66s -> 1241.66s]  Нет.
[1241.66s -> 1242.66s]  Ну, давай.
[1242.66s -> 1243.66s]  Нет!
[1243.66s -> 1244.66s]  Шень, ну, пожалуйста.
[1244.66s -> 1245.66s]  Да, Господи, опять напила!
[1245.66s -> 1246.66s]  Да, ну, хватит!
[1247.66s -> 1250.66s]  Друзья, с вами была я, Женя Искандар.
[1250.66s -> 1253.66s]  Увидимся совсем скоро!
[1253.66s -> 1255.66s]  Я вообще все заберу!
[1256.66s -> 1277.03s]  СПОКОЙНАЯ МУЗЫКА
[1277.03s -> 1279.03s]  Команда шоу Почетный гражданин
[1279.03s -> 1281.03s]  поздравляет наших любимых зрителей
[1281.03s -> 1283.03s]  с Новым годом и Рождеством!
[1283.03s -> 1285.03s]  Желаем вам в Новом году
[1286.03s -> 1288.03s]  больше путешествовать!
[1288.03s -> 1290.03s]  С наступающим!
