[0.00s -> 4.04s]  Я хочу стать музыкантом.
[1170.05s -> 1173.29s]  При всем, как бы, я абсолютно не уменьшаю его заслуг
[1173.29s -> 1174.85s]  Потому что он дохрена что сделал
[1174.85s -> 1175.49s]  Он хитмейтит
[1175.49s -> 1179.61s]  Стилдре, я не знаю, Let's Ride, дофига, что он сделал
[1179.61s -> 1182.41s]  Я не знаю, большинство песен хитов Бьонса сделал, GZ
[1182.41s -> 1187.65s]  Но вот этой фишки, которую Тимба пронес сквозь десятилетие у Сторча
[1187.65s -> 1193.29s]  Самое было забавное, что они пропали практически в одно время
[1193.29s -> 1195.49s]  Ты не задавался вопрос, куда они исчезали?
[1195.49s -> 1197.81s]  Я бы не сказал, что Тимба прям пропал
[1197.89s -> 1200.61s]  У него в свое время было, знаешь, так, наездами
[1200.61s -> 1203.89s]  Он появлялся, зажигал Звезду, типа Мессия Лед
[1203.89s -> 1206.37s]  Потом Алайю пропадал
[1206.37s -> 1209.25s]  Потом возвращался с Мессия Лед, пропадал, возвращался с кем-то другим
[1209.25s -> 1214.65s]  А потом, да, была довольно продолжительная пауза у него
[1214.65s -> 1219.05s]  Но, возможно, это было связано с переменой трендов
[1219.05s -> 1222.13s]  Скотт Сторч, даже, в принципе, так понятно
[1222.13s -> 1223.65s]  Можно было книгу не описать
[1224.29s -> 1229.09s]  Что у тебя, где твои три раритетных спортивных машины?
[1229.09s -> 1231.45s]  Куда ты их делал? Где твой небоскреб?
[1231.45s -> 1232.93s]  Да, который он себе купил
[1232.93s -> 1235.73s]  Да, как бы, он был самым богатым человеком на тот момент
[1235.73s -> 1238.77s]  Мне кажется, даже он был богаче тех людей, которым он треки делал
[1238.77s -> 1240.37s]  Богаче GZ и Бьонса
[1240.37s -> 1241.49s]  Я уверен в этом даже
[1241.49s -> 1242.69s]  И вопрос...
[1242.69s -> 1244.69s]  Извини, я никогда не забуду
[1244.69s -> 1246.69s]  Его первые приезды в Россию
[1246.69s -> 1250.13s]  Никогда, вот в 15-16 году он приезжал
[1250.13s -> 1252.13s]  Мне даже довелось с ним пообщаться тогда
[1252.89s -> 1257.69s]  А когда это был еще БикЛаб, по-моему
[1257.69s -> 1260.69s]  Я могу немножко сейчас в годах попутать это
[1260.69s -> 1263.57s]  В то время, когда Тимати только-только вот начинал залетать
[1263.57s -> 1265.29s]  Он привез сюда Феджо
[1265.29s -> 1267.73s]  Начал делать первые совместки с ним
[1267.73s -> 1270.37s]  И так далее, у него было три бита от Скотта Сторча
[1270.37s -> 1272.77s]  И появилась Юлия Аханькова
[1272.77s -> 1274.05s]  И там был трек
[1274.05s -> 1276.45s]  Бип-бип-бип, мой сигналит джип
[1276.45s -> 1278.13s]  Прот бай Скотт Сторч
[1278.13s -> 1280.53s]  Господи, это же вообще просто
[1281.25s -> 1282.53s]  Говоря сегодняшним языком
[1282.53s -> 1283.57s]  Такой лютый кринж
[1283.57s -> 1284.61s]  Как мы тут писались?
[1284.61s -> 1286.61s]  Я не знаю, на самом деле
[1287.41s -> 1289.97s]  На самом деле это просто стечение обстоятельств
[1289.97s -> 1292.53s]  Но я вот на самом деле смеялся
[1292.53s -> 1296.77s]  То есть в последний раз, когда я видел видео Скотт Сторч в России
[1296.77s -> 1298.77s]  И там он в каком-то клубе
[1298.77s -> 1299.73s]  И там все такие
[1299.73s -> 1303.25s]  Сделайте шуму для Скотта Сторча
[1305.31s -> 1307.79s]  И там даже было тише, чем здесь
[1307.79s -> 1309.31s]  Потому что здесь что-то жарится
[1309.31s -> 1311.71s]  А мне кажется, я могу переборщить с грибами уже
[1311.71s -> 1313.71s]  Потому что они такие, видишь?
[1313.71s -> 1315.23s]  Я отставлю
[1315.23s -> 1317.47s]  Если, например, представить, что вот
[1317.47s -> 1319.47s]  Я абсолютно не знаком с твоими творчеством
[1319.47s -> 1321.47s]  С чего мне лучше начать, чтобы
[1321.47s -> 1323.47s]  Послушать одну-две песни
[1323.47s -> 1326.59s]  И понять, какой ты, в принципе, есть
[1326.59s -> 1329.31s]  Какой человек в реальной жизни?
[1329.31s -> 1331.31s]  В принципе все
[1331.31s -> 1334.99s]  Но на самом деле, чтобы вот прям реально
[1334.99s -> 1336.99s]  Понять, что у меня внутри
[1336.99s -> 1338.99s]  Блин, я даже не знаю
[1338.99s -> 1340.51s]  Я вообще грустный человек
[1340.59s -> 1342.59s]  У меня все песни, ну, большинство песен грустные
[1342.59s -> 1344.59s]  Мне тяжело писать что-то мажорное
[1344.59s -> 1346.59s]  Последние полтора лет, я не знаю
[1346.59s -> 1348.59s]  Трек «Частица» мне очень нравится
[1348.59s -> 1350.59s]  Красивый очень
[1350.59s -> 1354.19s]  Причем я послушал и студийную версию
[1354.19s -> 1356.19s]  И посмотрел твоё выступление на Урганте
[1356.19s -> 1358.19s]  И вот лайф мне понравился даже больше
[1358.19s -> 1360.19s]  Он сильнее цепляет
[1360.19s -> 1362.19s]  Ну, это, наверное, потому что там энергетика такая была
[1362.19s -> 1364.19s]  Мы...
[1364.19s -> 1366.19s]  Расскажи, кстати, да, расскажи, как вы сходили
[1366.19s -> 1368.19s]  У нас было четверо суток
[1368.19s -> 1370.19s]  Чтобы подготовиться, да
[1370.19s -> 1372.19s]  Я был очень волнительный, я переживал жутко
[1372.19s -> 1374.19s]  Но я знал, что у меня
[1374.19s -> 1376.19s]  Самая лучшая команда музыкантов
[1376.19s -> 1378.19s]  Салют вообще всем моим чувакам
[1380.19s -> 1382.19s]  Салют всем моим чувакам, которые принимают
[1382.19s -> 1384.19s]  Секунду, у нас ******, кроссовки
[1386.19s -> 1388.19s]  Всё, вот теперь
[1388.19s -> 1390.19s]  Салют моим чувакам
[1392.19s -> 1394.19s]  Но я знал, что у меня есть потрясающая
[1394.19s -> 1396.19s]  Команда моих музыкантов
[1396.19s -> 1398.19s]  Которые мне помогут
[1398.19s -> 1400.19s]  Ты с ними работаешь какое-то время
[1400.19s -> 1402.19s]  Я с ними альбом писал, да, вот этот Sirius
[1402.19s -> 1404.19s]  Если честно, я бы один этот альбом писал
[1404.19s -> 1406.19s]  Ну, года три, наверное, четыре
[1406.19s -> 1408.19s]  Я бы его писал один
[1408.19s -> 1410.19s]  И понял, что не могу
[1410.19s -> 1412.19s]  Но так получилось, что я ещё познакомился с пацанами
[1412.19s -> 1414.19s]  Очень талантливые парни
[1414.19s -> 1416.19s]  Я даже вот
[1416.19s -> 1418.19s]  Когда вспоминаю этот момент
[1418.19s -> 1420.19s]  Мне становится очень страшно
[1422.19s -> 1424.19s]  Я очень-очень-очень-очень люто стрессовал
[1424.19s -> 1426.19s]  Но у нас всё получилось
[1426.19s -> 1428.19s]  Первый дубль, к сожалению, был очень эмоциональным
[1428.19s -> 1430.19s]  Нам всего там дали
[1430.19s -> 1432.19s]  Вообще-то тебе говорят, что у тебя есть один дубль
[1432.19s -> 1434.19s]  И ты такой, ну окей
[1434.19s -> 1436.19s]  Типа, если ты там что-то не так сделаешь
[1436.19s -> 1438.19s]  Можешь пойти домой
[1438.19s -> 1440.19s]  Понятно
[1440.19s -> 1442.19s]  Придёшь через полгода, год, когда там надо
[1442.19s -> 1444.19s]  Когда у тебя появится ещё один настройник
[1444.19s -> 1446.19s]  Если появится
[1446.19s -> 1448.19s]  В нашей стране
[1448.19s -> 1450.19s]  И я очень сильно
[1450.19s -> 1452.19s]  Распереживался, ещё как бы трек про бабушку
[1452.19s -> 1454.19s]  И она ушла там не так давно
[1454.19s -> 1456.19s]  То есть трек частицы ты посвязил бабушке?
[1456.19s -> 1458.19s]  Угу
[1458.19s -> 1460.19s]  У меня там слеза наворачивалась
[1460.19s -> 1462.19s]  И что-то у меня не получалось
[1462.19s -> 1464.19s]  И комб в горле стоял, я петь не могу
[1464.19s -> 1466.19s]  Я понимаю, что я запорол дубль первый
[1466.19s -> 1468.19s]  И ко мне сразу подходят
[1468.19s -> 1470.19s]  И говорят, давай второй последний
[1470.19s -> 1472.19s]  И вот второй дубль как-то получился
[1472.19s -> 1474.19s]  Сам по себе
[1474.19s -> 1476.19s]  Это твой первый раз в Урденте?
[1476.19s -> 1478.19s]  Ну и поделись, пожалуйста, эмоции
[1478.19s -> 1480.19s]  Что чувствует артист, когда приходит
[1480.19s -> 1482.19s]  Наверное, самое интересное и важное
[1482.19s -> 1484.19s]  Шоу на Федерале
[1484.19s -> 1486.19s]  Я до сих пор, наверное, не понимаю ещё
[1486.19s -> 1488.19s]  Что я туда сходил
[1488.19s -> 1490.19s]  Я старался не думать, не переживать
[1490.19s -> 1492.19s]  Было, конечно, уже очень тяжело
[1492.19s -> 1494.19s]  Но хорошо, что были люди
[1494.19s -> 1496.19s]  Мои близкие, которые поддержали меня
[1496.19s -> 1498.19s]  И всё получилось так
[1498.19s -> 1500.19s]  Мы можем, наверное, лапшу...
[1500.19s -> 1502.19s]  Мне кажется, ещё рано, потому что
[1502.19s -> 1504.19s]  Курицу я только-только положил сюда
[1504.19s -> 1507.76s]  Грибы потихонечку уже
[1507.76s -> 1509.76s]  Отдыхают
[1509.76s -> 1511.76s]  Учитывая, что ты
[1511.76s -> 1513.76s]  Много для кого уже писал
[1513.76s -> 1515.76s]  Много с кем поработал
[1515.76s -> 1517.76s]  Есть два вопроса основных на эту тему
[1517.76s -> 1519.76s]  С кем было приятнее всего
[1519.76s -> 1521.76s]  Интереснее, да?
[1521.76s -> 1523.76s]  По абсолютно разным критериям
[1523.76s -> 1525.76s]  И с кем бы очень хотелось, но пока не получилось
[1525.76s -> 1527.76s]  Хм, хорошие вопросы
[1527.76s -> 1529.76s]  Ну, я не могу так конкретно
[1529.76s -> 1531.76s]  Ответить, с кем мне было приятно
[1531.76s -> 1533.76s]  Потому что мне было приятно
[1533.76s -> 1535.76s]  Много с кем и артистами работать
[1535.76s -> 1537.76s]  Именно сам процесс
[1537.76s -> 1539.76s]  Хаски, Платина
[1539.76s -> 1541.76s]  Олег ЛСП, Нойс, тот же
[1541.76s -> 1543.76s]  То есть мне приятно было работать с этими людьми
[1543.76s -> 1545.76s]  Всё как-то очень органично шло
[1545.76s -> 1547.76s]  Я не пытался себя что-то выдавить
[1547.76s -> 1549.76s]  Там, я не знаю, в плане и продакшн
[1549.76s -> 1551.76s]  И каких-то вёрсов своих
[1551.76s -> 1553.76s]  Да, фитов с ними
[1553.76s -> 1555.76s]  С уважаемыми артистами
[1555.76s -> 1557.76s]  И как-то, я не знаю, всё было
[1557.76s -> 1559.76s]  Как по маслу, как мы готовим
[1559.76s -> 1561.76s]  Всё вообще отлично было
[1561.76s -> 1563.76s]  С кем бы...
[1563.76s -> 1565.76s]  Ну, ещё приятно было посидеть на студии
[1565.76s -> 1567.76s]  С тем же Элло Вульфом
[1567.76s -> 1569.76s]  Мы начали работать над совместным проектом
[1571.76s -> 1573.76s]  И у меня есть одна демка
[1573.76s -> 1575.76s]  То есть, когда я там попросил
[1575.76s -> 1577.76s]  Ещё мне демок скинуть, он сказал
[1577.76s -> 1579.76s]  Бро, приезжай в Алабаму
[1579.76s -> 1581.76s]  Типа они не делятся?
[1581.76s -> 1583.76s]  Типа он мне объяснял, что
[1583.76s -> 1585.76s]  Чувак, у меня трое детей
[1585.76s -> 1587.76s]  Я уже 40 лет рэп читаю
[1587.76s -> 1589.76s]  Я серьёзный человек
[1589.76s -> 1591.76s]  Приезжаю на студию, мы всё доделаем
[1591.76s -> 1593.76s]  Поэтому надо в Алабаму ехать
[1593.76s -> 1595.76s]  И завершать
[1595.76s -> 1597.76s]  Давай, наверное, добавлять
[1597.76s -> 1599.76s]  Пора думаешь?
[1599.76s -> 1601.76s]  Хорошо, закидывай
[1601.76s -> 1603.76s]  Я возьму крышку
[1603.76s -> 1605.76s]  И мы всё это дело будем накрывать
[1605.76s -> 1607.76s]  Если я правильно понимаю
[1607.76s -> 1609.76s]  Познакомились вы с ним
[1609.76s -> 1611.76s]  Когда он последний раз приезжал в Москву
[1611.76s -> 1613.76s]  Это был его второй концерт
[1613.76s -> 1615.76s]  В Главклабе
[1615.76s -> 1617.76s]  Я на нём был
[1617.76s -> 1619.76s]  Я и тебя там видел
[1619.76s -> 1621.76s]  Ты сидел, если я не ошибаюсь
[1621.76s -> 1623.76s]  От стены наверху, слева
[1623.76s -> 1625.76s]  Это тоже
[1625.76s -> 1627.76s]  Просто пушка
[1627.76s -> 1629.76s]  Мне очень понравилось, как они нойзом интегрируют
[1629.76s -> 1631.76s]  Мы с нойзом и познакомились
[1631.76s -> 1633.76s]  Как раз стеснялся подойти к Ване
[1633.76s -> 1635.76s]  Чувак, что я ему скажу привет
[1635.76s -> 1637.76s]  Может ты меня знаешь
[1637.76s -> 1639.76s]  Давай песню сделаем
[1639.76s -> 1641.76s]  Я не знал
[1641.76s -> 1643.76s]  Оказалось, что он сам
[1643.76s -> 1645.76s]  Да, мы друг друга знаем
[1645.76s -> 1647.76s]  Всё чётко
[1647.76s -> 1649.76s]  Знаешь, что думаю?
[1649.76s -> 1651.76s]  Мне кажется, нам нужно добавить
[1651.76s -> 1653.76s]  У нас есть соевый соус?
[1653.76s -> 1655.76s]  Давай просто воды плесканём
[1655.76s -> 1662.05s]  Давай
[1662.05s -> 1664.05s]  У меня практически последний вопрос
[1664.05s -> 1666.05s]  Он касается как раз соцсетей
[1666.05s -> 1668.05s]  И того, как конкретно ты
[1668.05s -> 1670.05s]  И вообще как артист на сегодня
[1670.05s -> 1672.05s]  Стоит продвигать свою музыку
[1672.05s -> 1674.05s]  Чтобы попасть в ядро аудитории
[1674.05s -> 1676.05s]  Или хотя бы хоть как-то встречаться до людей
[1676.05s -> 1678.05s]  Естественно нужно
[1678.05s -> 1680.05s]  Всегда думать о своём имидже
[1680.05s -> 1682.05s]  Как ты там выглядишь, как ты ведёшь себя
[1682.05s -> 1684.05s]  Естественно нужно использовать все средства
[1684.05s -> 1686.05s]  Допустим, я понимаю свою ошибку
[1686.05s -> 1688.05s]  Я не пользуюсь TikTok
[1688.05s -> 1690.05s]  Ты вообще им не пользуешься?
[1690.05s -> 1692.05s]  Я не чувствую того, что я хочу
[1692.05s -> 1694.05s]  Залететь в TikTok
[1694.05s -> 1696.05s]  Я понимаю, что это отличный инструмент
[1696.05s -> 1698.05s]  В продвижении себя как артиста
[1698.05s -> 1700.05s]  Если ты ещё словишь
[1700.05s -> 1702.05s]  Допустим, какой интерьер
[1702.05s -> 1704.05s]  Там будет много просмотров
[1704.05s -> 1706.05s]  Они все будут переходить на твой инстаграм
[1706.05s -> 1708.05s]  Инстаграм будет расти
[1708.05s -> 1710.05s]  Всё взаимосвязано
[1710.05s -> 1712.05s]  Но вот эту ступеньку
[1712.05s -> 1714.05s]  Давай мы тебе поможем
[1714.05s -> 1716.05s]  Если у тебя есть какая-то новиночка
[1716.05s -> 1718.05s]  Которая ещё никто не слышал, никто не видел
[1718.05s -> 1720.05s]  Никто о ней не знает, ты можешь нам показать
[1720.05s -> 1722.05s]  Я побуду сейчас твоим контент-мейкером
[1722.05s -> 1724.05s]  Сниму тебе видосик
[1724.05s -> 1726.05s]  И мы дробнем это в TikTok
[1726.05s -> 1728.05s]  Я включаю камеру, ты включаешь песню
[1728.05s -> 1730.05s]  Отлично
[1742.05s -> 1744.05s]  И давай выкладывать
[1746.05s -> 1748.05s]  Ты берёшь тарелку
[1748.05s -> 1750.05s]  Отправляешься к Snoop Dog
[1750.05s -> 1752.05s]  Я беру наш полароид
[1752.05s -> 1761.95s]  И делаю кадры, которые
[1761.95s -> 1763.95s]  Пойдут потом в наш книгу-рецепт
[1763.95s -> 1765.95s]  Настроен?
[1765.95s -> 1767.95s]  Над свой лучший снимок в жизни
[1771.95s -> 1773.95s]  Что, заправка?
[1773.95s -> 1775.95s]  Да.
[1775.95s -> 1777.95s]  Ну что?
[1777.95s -> 1782.10s]  Что, заправка?
[1782.10s -> 1784.10s]  Кровавые слёзы, да
[1784.10s -> 1786.10s]  Кровавые слёзы?
[1786.10s -> 1788.10s]  Ох, мама
[1788.10s -> 1790.10s]  На выход
[1790.10s -> 1792.10s]  То есть, чтобы я сам себе, да?
[1792.10s -> 1794.10s]  Да, да, потому что я очень
[1794.10s -> 1796.10s]  Сделаем вид, что я всё-таки
[1796.10s -> 1798.10s]  Сыкло и люблю свой желудок
[1798.10s -> 1800.10s]  Так
[1800.10s -> 1803.66s]  Ну давай, показывай
[1803.66s -> 1805.66s]  Приятного аппетита
[1805.66s -> 1807.66s]  Это то самое
[1807.66s -> 1809.66s]  Не забываем, что блюдо называется
[1809.66s -> 1815.98s]  Оно горячее
[1815.98s -> 1817.98s]  Курица бомба
[1817.98s -> 1819.98s]  Друзья
[1819.98s -> 1821.98s]  Вы смотрели шоу Kitchen Stories
[1821.98s -> 1823.98s]  Меня зовут Ярослав Грин
[1823.98s -> 1825.98s]  В гостях сегодня был Дани Вайтпанк
[1825.98s -> 1827.98s]  Мы готовили охренительно вкусный
[1827.98s -> 1829.98s]  Острый рамен Бальгала
[1829.98s -> 1831.98s]  Yes, sir
[1831.98s -> 1833.98s]  Подписывайтесь на канал
[1833.98s -> 1835.98s]  Ставьте лайк этому видео
[1835.98s -> 1837.98s]  Пишите в комментариях всё, что хотите
[1837.98s -> 1839.98s]  До встречи в новом выпуске
[1839.98s -> 1841.98s]  О съёмочной группе своей, говорю
[1841.98s -> 1843.98s]  Налетай
