[0.43s -> 14.64s]  Добро пожаловать на шоу-аукцион!
[1152.04s -> 1155.04s]  Ну, вообще, кстати, выглядело как будто бы не больно вообще.
[1155.04s -> 1159.04s]  Итак, раз, два, микс, поехали!
[1159.04s -> 1162.04s]  Ай-яй-яй-яй-яй-яй!
[1162.04s -> 1165.04s]  О-о-о, хорошо!
[1165.04s -> 1167.04s]  Хорошо!
[1167.04s -> 1170.04s]  Нормально, нормально идет, нормально!
[1170.04s -> 1172.04s]  Нормально!
[1172.04s -> 1174.04s]  Смотри, ему все равно.
[1176.04s -> 1179.04s]  Просто человек так каждый день в школу ходит.
[1180.04s -> 1184.04s]  У чувака, у чувака очень невозмутимое лицо.
[1184.04s -> 1186.04s]  Просто это нормальный день, просто.
[1186.04s -> 1189.04s]  Я иду, я живу в Биберево, у меня каждый день так.
[1189.04s -> 1191.04s]  Это очень больно, правда.
[1191.04s -> 1193.04s]  Что ты, ты сама попробовала?
[1193.04s -> 1196.04s]  Это юб невероятный, свои аплодисменты!
[1196.04s -> 1198.04s]  Илья, друзья.
[1198.04s -> 1200.04s]  Итак, у нас 30 секунд.
[1200.04s -> 1203.04s]  Что, дай ему в морду поддержим человека.
[1206.04s -> 1209.67s]  Да Игорь!
[1209.67s -> 1211.67s]  Смотри, ему все равно.
[1211.67s -> 1213.67s]  Он не реагирует.
[1213.67s -> 1216.67s]  Это, знаете, золотая антилопа.
[1216.67s -> 1219.67s]  У которой ископыт просто.
[1219.67s -> 1221.67s]  Ему все равно.
[1221.67s -> 1222.67s]  Пять!
[1222.67s -> 1223.67s]  Четыре!
[1223.67s -> 1224.67s]  Три!
[1224.67s -> 1225.67s]  Два!
[1225.67s -> 1226.67s]  Один!
[1226.67s -> 1227.67s]  Да!
[1227.67s -> 1231.94s]  Чемпион!
[1231.94s -> 1233.94s]  Итак, Илья, поделитесь, пожалуйста.
[1233.94s -> 1236.94s]  Какие ваши впечатления?
[1237.94s -> 1239.94s]  Ничего необычного.
[1239.94s -> 1240.94s]  Все в порядке.
[1240.94s -> 1242.94s]  Просто обычный поход в школу ежедневно.
[1242.94s -> 1243.94s]  Нервный.
[1243.94s -> 1244.94s]  Ноги не болят так.
[1244.94s -> 1245.94s]  По стеклу.
[1245.94s -> 1246.94s]  Просто с детства привык.
[1246.94s -> 1249.94s]  Как, вы чему-то жестко вас били по пяткам ногами?
[1249.94s -> 1250.94s]  Нет, ничего.
[1250.94s -> 1253.94s]  Просто, ну, в детстве тоже играл в конструктор
[1253.94s -> 1255.94s]  и часто наступал на запчасти.
[1255.94s -> 1256.94s]  Все отлично.
[1256.94s -> 1257.94s]  Все норм.
[1257.94s -> 1258.94s]  Ты герой.
[1258.94s -> 1260.94s]  Ну, тогда, с вашего позволения,
[1260.94s -> 1263.94s]  этот подарок вот под номером три достается господину.
[1263.94s -> 1264.94s]  Бом!
[1264.94s -> 1265.94s]  Мы молодец невероятный!
[1265.94s -> 1266.94s]  Да!
[1266.94s -> 1268.94s]  Юля, вручите, пожалуйста, господину.
[1268.94s -> 1269.94s]  Что это творится?
[1271.94s -> 1272.94s]  Илья, ты не уходи.
[1272.94s -> 1273.94s]  Ты не уходи.
[1273.94s -> 1274.94s]  Хорошо.
[1275.94s -> 1276.94s]  А вы подходите, господин.
[1276.94s -> 1277.94s]  Подходите, забирайте.
[1278.94s -> 1279.94s]  Вот, это вам.
[1279.94s -> 1280.94s]  Пожалуйста.
[1280.94s -> 1281.94s]  И эти аплодисменты достать.
[1281.94s -> 1282.94s]  Лично, лично.
[1282.94s -> 1283.94s]  Невероятная сумка.
[1283.94s -> 1284.94s]  Невероятная сумка.
[1285.94s -> 1286.94s]  Спасибо большое, Илья.
[1286.94s -> 1288.94s]  Спасибо большое, Ангелина Семеновна, Юлия Николаевна.
[1288.94s -> 1289.94s]  Спасибо большое.
[1289.94s -> 1290.94s]  Расскажите, пожалуйста, поделитесь
[1290.94s -> 1292.94s]  вашими впечатлениями, ощущениями.
[1292.94s -> 1293.94s]  Я просто прощаюсь.
[1293.94s -> 1294.94s]  Это реально больно.
[1294.94s -> 1296.94s]  Я не понимаю, почему вы так спокойны.
[1296.94s -> 1298.94s]  Это жесткое шоу на просторах наших интернетов.
[1298.94s -> 1300.94s]  Шоу «Аукцион», друзья!
[1302.94s -> 1304.94s]  Короче говоря, один мальчик пришел домой
[1304.94s -> 1305.94s]  полностью весь в крови.
[1305.94s -> 1307.94s]  У него спрашивают, это где было?
[1307.94s -> 1309.94s]  Он говорит, я был на шоу «Аукцион», друзья.
[1309.94s -> 1311.94s]  Здорово всем!
[1312.94s -> 1315.94s]  А у тебя отпечаталось, от Лего отпечаталось?
[1315.94s -> 1316.94s]  На ногах.
[1316.94s -> 1317.94s]  Лего кусок отпечаталось?
[1317.94s -> 1319.94s]  Да, он домой придет, зальет оло
[1319.94s -> 1321.94s]  и потом соберет замок.
[1321.94s -> 1323.94s]  Просто безразличие.
[1323.94s -> 1324.94s]  Он даже не посмотрел просто.
[1324.94s -> 1326.94s]  Но смотри, тем не менее у номера 29
[1326.94s -> 1328.94s]  до сих пор кровь лицом идет.
[1330.94s -> 1332.94s]  Это шоу «Аукцион»,
[1332.94s -> 1333.94s]  дамы и господа.
[1333.94s -> 1335.94s]  И мы продолжаем!
[1337.94s -> 1339.94s]  Разрешение презентовать вам
[1339.94s -> 1341.94s]  лод под номером 4.
[1342.94s -> 1344.94s]  Это спортивный костюм.
[1344.94s -> 1346.94s]  Мне ему подарил муж.
[1349.90s -> 1351.90s]  Все-таки получилось, да?
[1351.90s -> 1353.90s]  Мне ему подарил муж, но он мне большой.
[1353.90s -> 1355.90s]  Это говорит о чем?
[1355.90s -> 1357.90s]  Что не надо все подряд дарить.
[1357.90s -> 1359.90s]  Ты все, что связано с спортом,
[1359.90s -> 1361.90s]  от этого избавляешься.
[1361.90s -> 1363.90s]  Да, я в принципе от спорта пытаюсь уйти.
[1363.90s -> 1365.90s]  Он очень крутой,
[1365.90s -> 1367.90s]  он мягкий внутри.
[1368.90s -> 1370.90s]  Я его ни разу не надевала,
[1370.90s -> 1372.90s]  потому что он мне большой.
[1372.90s -> 1374.90s]  И вот здесь короткая кофта.
[1374.90s -> 1376.90s]  Как это называется?
[1376.90s -> 1378.90s]  Короче, суперновый костюм
[1379.90s -> 1381.90s]  пыльно-розового цвета
[1381.90s -> 1383.90s]  с мягкой подкладкой,
[1383.90s -> 1385.90s]  который мне подарил муж,
[1385.90s -> 1387.90s]  а я передарил.
[1387.90s -> 1389.90s]  Прекрасный лод, друзья!
[1389.90s -> 1391.90s]  Не, подожди, ты мне не разрешил
[1391.90s -> 1393.90s]  ты не разрешил мне приносить сумку.
[1393.90s -> 1395.90s]  Я лично.
[1395.90s -> 1397.90s]  Потому что сумка это, ну, как бы,
[1397.90s -> 1399.90s]  извините, меня.
[1399.90s -> 1401.90s]  Ты мне не разрешил сумку, сказал,
[1401.90s -> 1403.90s]  это я тебе подарил. Я сказала, да-да.
[1403.90s -> 1405.90s]  Вот. Да-да.
[1407.90s -> 1409.90s]  А ну-ка, предположите, пожалуйста,
[1409.90s -> 1411.90s]  друзья, сколько может стоить этот костюм?
[1411.90s -> 1413.90s]  Я просто знаю ему цену,
[1413.90s -> 1415.90s]  поэтому я буду, на самом деле, ну...
[1417.90s -> 1423.00s]  Даже если, даже если
[1423.00s -> 1425.00s]  10 тысяч рублей.
[1425.00s -> 1427.00s]  Смотри, 40, да!
[1427.00s -> 1429.00s]  Отлично, продано!
[1433.00s -> 1435.00s]  Продано, не знаю, кто вы, богатый человек.
[1437.00s -> 1439.00s]  Черт возьми.
[1439.00s -> 1441.00s]  Но, на самом деле,
[1441.00s -> 1443.00s]  господа, дорогие друзья, у нас есть
[1443.00s -> 1445.00s]  усложнитель, который я вам и презентую.
[1445.00s -> 1447.00s]  Усложнитель в студию!
[1449.00s -> 1451.00s]  Это Геннадий
[1451.00s -> 1453.00s]  Семенович Бугайло!
[1453.00s -> 1455.00s]  Рыбак...
[1455.00s -> 1457.00s]  Рыбак в третьем
[1457.00s -> 1459.00s]  поколении!
[1459.00s -> 1461.00s]  Ловил рыбу мечты,
[1461.00s -> 1463.00s]  язя ловил и
[1463.00s -> 1465.00s]  всего подобное. Итак, Геннадий
[1465.00s -> 1467.00s]  Семенович, что же вы
[1467.00s -> 1469.00s]  принесли к нам? Вы принесли какую-то приманку,
[1469.00s -> 1471.00s]  я правильно понимаю?
[1471.00s -> 1473.00s]  Здесь блестачные опарыши.
[1473.00s -> 1475.00s]  Так, опарыши.
[1475.00s -> 1477.00s]  На второе, здесь такие вот
[1477.00s -> 1479.00s]  червячки, очень симпатичные.
[1479.00s -> 1481.00s]  Обычный червяк классический
[1481.00s -> 1483.00s]  дождевой, да? Да.
[1483.00s -> 1485.00s]  Ну, червяки милые, кстати.
[1485.00s -> 1487.00s]  А ты не стала, видишь?
[1487.00s -> 1489.00s]  Это именно земляные червяки, которые
[1489.00s -> 1491.00s]  длинные, длинные, длинные.
[1491.00s -> 1493.00s]  Это длинные, длинные червяки. Хорошо.
[1493.00s -> 1495.00s]  Юля Николаевна, что как? Светили знакомых кого-то?
[1495.00s -> 1497.00s]  Своих бывших подруг.
[1497.00s -> 1499.00s]  Опарыши самые мерзкие.
[1499.00s -> 1501.00s]  Хаханьки, хаханьки. Итак,
[1501.00s -> 1503.00s]  дамы и господа, леди и джентльмены,
[1503.00s -> 1505.00s]  на что вы готовы
[1505.00s -> 1507.00s]  ради этого замечательного
[1507.00s -> 1509.00s]  лота? Пожалуйста,
[1509.00s -> 1511.00s]  делаем ваши ставки. Номер
[1511.00s -> 1513.00s]  7. Готово
[1513.00s -> 1515.00s]  пару представителей
[1515.00s -> 1517.00s]  вот этих вот мерзких
[1517.00s -> 1519.00s]  жучков. Они очень красивые.
[1519.00s -> 1521.00s]  Кроме опарышей, положить себе
[1521.00s -> 1523.00s]  на язык. На язык?
[1523.00s -> 1525.00s]  Неплохо. Парочку, то есть
[1525.00s -> 1527.00s]  два червяка. У нас представлены два вида червячков.
[1527.00s -> 1529.00s]  Положить на язык. Хорошо. Неплохо.
[1529.00s -> 1531.00s]  Номер 17. Повышаем ставку.
[1531.00s -> 1533.00s]  Тоже готова в рот засунуть.
[1533.00s -> 1535.00s]  Номер 17.
[1535.00s -> 1537.00s]  Всех червячков?
[1537.00s -> 1539.00s]  Нет, нет, не всех. По каждому
[1539.00s -> 1541.00s]  из вида. Ну да.
[1541.00s -> 1543.00s]  Это такая дегустация. Немножко продегустировать,
[1543.00s -> 1545.00s]  а там глядишь как и попрет. Может понравится.
[1545.00s -> 1547.00s]  Пристрастилась, теперь только их и готовлю.
[1547.00s -> 1549.00s]  Номер 17. Три червячка, положить себе
[1549.00s -> 1551.00s]  в рот. Раз. Номер 17.
[1551.00s -> 1553.00s]  Положить себе 3.
[1553.00s -> 1555.00s]  Номер 7, пожалуйста.
[1555.00s -> 1557.00s]  Я могу 5
[1557.00s -> 1559.00s]  положить себе
[1559.00s -> 1561.00s]  на язык.
[1561.00s -> 1563.00s]  Куда положить? На язык. На язык 5.
[1563.00s -> 1565.00s]  За парушем вместе. То есть 5 всех
[1565.00s -> 1567.00s]  разных. 5. Отлично. Неплохо.
[1567.00s -> 1569.00s]  Прекрасная ставка, друзья. Добоминаю,
[1569.00s -> 1571.00s]  что на кону невероятный розовый
[1571.00s -> 1573.00s]  спортивный костюм. Фирменный.
[1573.00s -> 1575.00s]  Кто больше, друзья? Делаем вашу ставочку.
[1575.00s -> 1577.00s]  И номер 17, пожалуйста.
[1577.00s -> 1579.00s]  Шесть. Шесть червячков.
[1579.00s -> 1581.00s]  Серьезно? Да.
[1581.00s -> 1583.00s]  Вот такая вот, друзья. От тебя не нужен был.
[1583.00s -> 1585.00s]  Смотри, на что люди готовы.
[1585.00s -> 1587.00s]  Я готова 5
[1587.00s -> 1589.00s]  на язык
[1589.00s -> 1591.00s]  и по одному в бюстгалтер.
[1591.00s -> 1593.00s]  И еще по одному в бюстгалтер. Отлично, друзья.
[1599.00s -> 1601.00s]  Кто больше, друзья?
[1601.00s -> 1603.00s]  Номер 10, пожалуйста.
[1603.00s -> 1605.00s]  Номер 10.
[1605.00s -> 1607.00s]  Я готова одного из них съесть.
[1609.00s -> 1611.00s]  Вот этого мы, собственно говоря,
[1611.00s -> 1613.00s]  собираемся съесть.
[1613.00s -> 1615.00s]  Пошла жара. Я напоминаю,
[1615.00s -> 1617.00s]  что опарыши, кстати, ну, вполне себе.
[1617.00s -> 1619.00s]  Это же настоящие червяки.
[1619.00s -> 1621.00s]  И что?
[1623.00s -> 1625.00s]  Они еще не видели, что здесь приставлено.
[1625.00s -> 1627.00s]  Очень красивые, вкусные, мытые.
[1627.00s -> 1629.00s]  Делаем ставки. Номер 17, да?
[1629.00s -> 1631.00s]  Так уж и быть. Съем тоже.
[1631.00s -> 1633.00s]  Съешь. Съедите сколько?
[1635.00s -> 1638.57s]  Так уж и быть. Ладно.
[1638.57s -> 1640.57s]  Сколько съесть готовы?
[1640.57s -> 1642.57s]  Два.
[1642.57s -> 1644.57s]  Давайте два съесть и два в бюстгалтер еще.
[1644.57s -> 1646.57s]  Ладно.
[1646.57s -> 1648.57s]  Ку-ку-болтал.
[1648.57s -> 1650.57s]  Черчак языкастый.
[1650.57s -> 1652.57s]  Номер 10. Отлично. Давайте.
[1652.57s -> 1654.57s]  Кто больше?
[1654.57s -> 1656.57s]  Номер 10. Проглотить.
[1656.57s -> 1658.57s]  Три червяка проглотить. Неплохая ставка, друзья.
[1658.57s -> 1660.57s]  Кто больше? Проглотить три.
[1660.57s -> 1662.57s]  Разных, да? По одному представителю
[1662.57s -> 1664.57s]  червячковой фауны номер 17.
[1666.57s -> 1668.57s]  Четыре. Четыре червяка.
[1668.57s -> 1670.57s]  Сразу пять. Номер 10, пожалуйста.
[1670.57s -> 1672.57s]  Пять.
[1672.57s -> 1674.57s]  Пять червяков. Отлично. Номер 17.
[1674.57s -> 1676.57s]  Делаем вашу ставочку.
[1676.57s -> 1678.57s]  Шесть. Итак, шесть червяков.
[1678.57s -> 1680.57s]  Номер 17. Съесть шесть. Номер 10, да?
[1680.57s -> 1682.57s]  Восемь. Восемь червяков.
[1682.57s -> 1684.57s]  Съесть восемь червяков. Раз.
[1684.57s -> 1686.57s]  Блин, это жесть просто.
[1686.57s -> 1688.57s]  Восемь червяков. Два.
[1688.57s -> 1690.57s]  Продано номер 10. Съесть восемь червяков.
[1690.57s -> 1692.57s]  Бам.
[1694.57s -> 1696.57s]  Прошу приступить к выполнению ставки.
[1696.57s -> 1698.57s]  Смотрите, Вероника, у вас
[1698.57s -> 1700.57s]  сегодня акция проходит.
[1700.57s -> 1702.57s]  Вы можете выбрать
[1702.57s -> 1704.57s]  любых червячков, которые вы готовы
[1704.57s -> 1706.57s]  употребить, в количестве восьми штук.
[1706.57s -> 1708.57s]  Такова ваша ставка.
[1708.57s -> 1710.57s]  Итак, Вероника, под ваши аплодисменты
[1710.57s -> 1712.57s]  пришу приступить к выполнению ставки.
[1712.57s -> 1719.53s]  Итак.
[1719.53s -> 1721.53s]  Буду чуть-чуть смотреть. Раз. Два.
[1721.53s -> 1723.53s]  Блин, просто жесть. Ой, какие малыши.
[1723.53s -> 1725.53s]  Давайте больше выбирать. Два.
[1725.53s -> 1727.53s]  Геннадий Семенович. Своих тоже можете там вручить.
[1727.53s -> 1729.53s]  Я же могу выбрать. Не было критерий, чтобы
[1729.53s -> 1731.53s]  я могла разную подсобить.
[1731.53s -> 1733.53s]  Блин, какие мерзкие. Юля, хочешь попробовать?
[1733.53s -> 1735.53s]  Нет. Она просто на завтрак
[1735.53s -> 1737.53s]  завтракала, все нормально.
[1737.53s -> 1739.53s]  Там такие же будут, только больше.
[1739.53s -> 1741.53s]  Хотдоп. Вот такой червяк. Блин, меня сейчас
[1741.53s -> 1743.53s]  тошнит, правда. Итак.
[1743.53s -> 1745.53s]  Геннадий Семенович, прошу. Накормите,
[1745.53s -> 1747.53s]  пожалуйста, Веронику червячками, которые
[1747.53s -> 1749.53s]  она лично сама отобрала на шведский
[1749.53s -> 1751.53s]  стол. Плэжа, друзья.
[1753.53s -> 1755.53s]  Пошу приступить к выполнению ставки.
[1755.53s -> 1757.53s]  И вот так, аккуратно.
[1757.53s -> 1759.53s]  Вероники в ротовчик залетает.
[1759.53s -> 1761.53s]  Пошел. Как домой. И
[1761.53s -> 1763.53s]  бам.
[1763.53s -> 1765.53s]  Рамянское восхождение.
[1767.53s -> 1769.53s]  Друзья, ваши аплодисменты, Вероники.
[1769.53s -> 1774.18s]  Спасибо большое. Спасибо вам.
[1774.18s -> 1776.18s]  Леди Ди, супер. Юлия Николаевна,
[1776.18s -> 1778.18s]  вручите Веронике ее
[1778.18s -> 1780.18s]  по
[1780.18s -> 1782.18s]  настоящему просто заработану
[1782.18s -> 1784.18s]  спортивной костюм. Пожалуйста, на здоровье.
[1784.18s -> 1786.18s]  Вкусно.
[1786.18s -> 1788.18s]  Друзья, еще раз аплодисменты.
[1788.18s -> 1790.18s]  Да.
[1790.18s -> 1792.18s]  Доченька, садись,
[1792.18s -> 1797.48s]  поешь. Не надо, мама.
[1797.48s -> 1799.48s]  Я не голодная. Я была на шоу
[1799.48s -> 1801.48s]  аукцион, друзья.
[1801.48s -> 1803.48s]  Ай-ля-ля-ля-ля.
[1803.48s -> 1805.48s]  Чуба.
[1805.48s -> 1807.48s]  Откуда у тебя такой невероятный розовый
[1807.48s -> 1809.48s]  костюм? Я была на шоу
[1809.48s -> 1811.48s]  аукцион. Это вторая подводка.
[1811.48s -> 1813.48s]  Я насыпаю, насыпаю, насыпаю.
[1813.48s -> 1815.48s]  Нормально?
[1815.48s -> 1817.48s]  Конечно, да. Итак, дамы и господа,
[1817.48s -> 1819.48s]  джентльмены, следующий
[1819.48s -> 1821.48s]  наш усложнитель настолько здоровый,
[1821.48s -> 1823.48s]  что мы не могли его скрывать
[1823.48s -> 1825.48s]  от вас, поэтому он сразу чудесным
[1825.48s -> 1827.48s]  образом оказался вот здесь.
[1827.48s -> 1829.48s]  Что это такое, как вы думаете, Юлия Николаевна?
[1829.48s -> 1831.48s]  Мне кажется, что она будет, наверное,
[1831.48s -> 1833.48s]  как-то крутиться.
[1833.48s -> 1835.48s]  Как-то так, да. Либо сюда,
[1835.48s -> 1837.48s]  либо туда. Ну, короче, это у кого-то
[1837.48s -> 1839.48s]  должна быть очень сильно вести булярку.
[1839.48s -> 1841.48s]  Это тренажер Гагарина. А, да?
[1841.48s -> 1843.48s]  Это качеля
[1843.48s -> 1845.48s]  Емельяненко. Но
[1845.48s -> 1847.48s]  перед тем, как мы отведаем
[1847.48s -> 1849.48s]  этого красавца,
[1849.48s -> 1851.48s]  мы хотели бы увидеть лод
[1851.48s -> 1853.48s]  под номером 5. Это крайний
[1853.48s -> 1855.48s]  лод нашего сегодняшнего ауксона.
[1855.48s -> 1857.48s]  Лод номер 5 студию!
[1857.48s -> 1859.48s]  Ха!
[1859.48s -> 1861.48s]  Вау, вау, вау!
[1861.48s -> 1863.48s]  Что это такое, Юлия Николаевна?
[1863.48s -> 1865.48s]  Короче, это
[1865.48s -> 1867.48s]  на самом деле, это самый дорогой для меня
[1867.48s -> 1869.48s]  лод. Это книжка
[1869.48s -> 1871.48s]  Тысячи Сияющих Солнц. Она
[1871.48s -> 1873.48s]  просто обалденная. Я прочитала ее
[1873.48s -> 1875.48s]  за 4 часа в Сапсане.
[1875.48s -> 1877.48s]  Это лод не дороже
[1877.48s -> 1879.48s]  спортивного костюма, Юлия Николаевна? Нет.
[1879.48s -> 1881.48s]  Нет. Этот лод дороже
[1881.48s -> 1883.48s]  не по деньгам, этот лод дороже, что там
[1883.48s -> 1885.48s]  внутри. Я просто
[1885.48s -> 1887.48s]  рыдала весь свой
[1887.48s -> 1889.48s]  переезд. И это, на самом деле, удивительная
[1889.48s -> 1891.48s]  книга, и мне бы хотелось, чтобы
[1891.48s -> 1893.48s]  как можно больше людей ее прочитала.
[1893.48s -> 1895.48s]  Но когда я увидела, я даже в туалет
[1895.48s -> 1897.48s]  не выходила в Сапсане. Я просто 4 часа
[1897.48s -> 1899.48s]  вот так вот. А это редкость, друзья,
[1899.48s -> 1901.48s]  чтобы никто не выходил в туалет в Сапсане.
[1901.48s -> 1903.48s]  Но я увидела этот усложнитель
[1903.48s -> 1905.48s]  и подумала, что
[1905.48s -> 1907.48s]  вдруг вы не настолько любите
[1907.48s -> 1909.48s]  литературу, как я, и я
[1909.48s -> 1911.48s]  решила подарить еще один свой кулон.
[1911.48s -> 1913.48s]  Ты что? Прекратите,
[1913.48s -> 1915.48s]  прекратите. Что?
[1915.48s -> 1918.98s]  Ладно, тогда
[1918.98s -> 1920.98s]  еще. И пиджак еще.
[1920.98s -> 1922.98s]  Этот кулон мне, правда, очень
[1922.98s -> 1924.98s]  дорог. Друзья, Юлия Николаевна
[1924.98s -> 1926.98s]  просто снимает тебе вещи. Давайте больше
[1926.98s -> 1928.98s]  аплодисментов, пожалуйста. Ну, ты смотри.
[1928.98s -> 1930.98s]  Нет, мне, на самом деле, он очень дорог. Я его
[1930.98s -> 1932.98s]  прошу три года, и я
[1932.98s -> 1934.98s]  верю в украшение,
[1934.98s -> 1936.98s]  в украшение людям,
[1936.98s -> 1938.98s]  которым они принадлежат.
[1938.98s -> 1940.98s]  В общем, мне кажется, что он мне приносил много
[1940.98s -> 1942.98s]  удачи, удовольствия и счастья. Пускай он принесет
[1942.98s -> 1944.98s]  кому-то другому, кто сядет в эту лодку.
[1944.98s -> 1946.98s]  Юля увидела усложнитель и решила
[1946.98s -> 1948.98s]  подбавлю-ка я еще немного
[1948.98s -> 1950.98s]  к лоту, вот сюда насыплю. Дамы и господа,
[1950.98s -> 1952.98s]  лод номер 5 пошел в лодку.
[1952.98s -> 1954.98s]  Понимаешь, сидит человек,
[1954.98s -> 1956.98s]  у него до сих пор течет кровью щеки.
[1956.98s -> 1958.98s]  Ну ладно, там Илье пофиг,
[1958.98s -> 1960.98s]  у нее там черви перевариваются.
[1960.98s -> 1962.98s]  Главное, что перевариваются,
[1962.98s -> 1964.98s]  главное, что кровь течет, все процесит.
[1964.98s -> 1966.98s]  Дамы и господа, леди и джентльмены,
[1966.98s -> 1968.98s]  невероятная
[1968.98s -> 1970.98s]  книга, которая заставила рыдать Юлю
[1970.98s -> 1972.98s]  Допольницкую, что сильно
[1972.98s -> 1974.98s]  увеличивает цену данному
[1974.98s -> 1976.98s]  лоту и наш
[1976.98s -> 1978.98s]  усложнитель. Еще там,
[1978.98s -> 1980.98s]  извини меня, колонн,
[1980.98s -> 1982.98s]  который я тоже
[1982.98s -> 1984.98s]  очень сильно дорожу. Зачем я его отдала?
[1984.98s -> 1986.98s]  Два в одном. Итак.
[1986.98s -> 1988.98s]  Я же думаю, зачем я отдала?
[1988.98s -> 1990.98s]  Не стесняйтесь, можно похлопать.
[1990.98s -> 1992.98s]  Да, хорошо.
[1992.98s -> 1994.98s]  Вот это стоит этого
[1994.98s -> 1996.98s]  так же, как и это стоит этого.
[1996.98s -> 1998.98s]  Итак, друзья, делаем ваши ставки.
[1998.98s -> 2000.98s]  Я думаю, что не больше двух минут
[2000.98s -> 2002.98s]  вот на этой вот штуковине
[2002.98s -> 2004.98s]  вам будет достаточно. Я готова потренировать
[2004.98s -> 2006.98s]  свой вестибулярный аппарат,
[2006.98s -> 2008.98s]  говорят скороговорки.
[2008.98s -> 2010.98s]  Крутясь и говорят скороговорки.
[2010.98s -> 2012.98s]  Я думаю, что мы вас тупо не будем слышать.
[2012.98s -> 2014.98s]  Две минуты. Смотрите, друзья,
[2014.98s -> 2016.98s]  у нас есть три скорости
[2016.98s -> 2018.98s]  крутения этой штуковины.
[2018.98s -> 2020.98s]  Первая, вторая и третья.
[2020.98s -> 2022.98s]  Давайте начнем, наверное, с первой скорости.
[2022.98s -> 2024.98s]  Две минуты, говорят скороговорки,
[2024.98s -> 2026.98s]  на первой скорости. Это отличная ставка, друзья.
[2026.98s -> 2028.98s]  Две минуты, поверьте мне.
[2028.98s -> 2030.98s]  Не каждый справится. Итак,
[2030.98s -> 2032.98s]  номер 16, пожалуйста.
[2032.98s -> 2034.98s]  За такой потрясающий лот
[2034.98s -> 2036.98s]  я готова на второй скорости крутиться.
[2036.98s -> 2038.98s]  На второй скорости крутиться
[2038.98s -> 2040.98s]  две минуты. Вы готовы что-то вещать при этом?
[2040.98s -> 2042.98s]  Я спою Арию.
[2042.98s -> 2044.98s]  О, вы споете Арию. Прекрасный лот.
[2044.98s -> 2046.98s]  Видите, он дальше делается.
[2046.98s -> 2048.98s]  Как будто каждый день Арию поют.
[2048.98s -> 2050.98s]  Естественно, у нас такое шоу.
[2050.98s -> 2052.98s]  Мы поем здесь Арию.
[2052.98s -> 2054.98s]  Кипелого, правильно я понимаю, да?
[2056.98s -> 2058.98s]  По всей видимости, не кипелого.
[2058.98s -> 2060.98s]  Да.
[2060.98s -> 2062.98s]  Ну, судя по всему, книга действительно
[2062.98s -> 2064.98s]  очень шикарная.
[2064.98s -> 2066.98s]  И я готова крутиться
[2066.98s -> 2068.98s]  на второй скорости
[2068.98s -> 2070.98s]  в третьем тренажере.
[2070.98s -> 2072.98s]  Три минуты без ботинок.
[2074.98s -> 2076.98s]  Подождите, если вы сказали без лифчика,
[2076.98s -> 2078.98s]  ну это было как-то целесообразно.
[2078.98s -> 2080.98s]  А без ботинок, ну, поверьте мне,
[2080.98s -> 2082.98s]  здесь вам не будет нехорошо, неплохо,
[2082.98s -> 2084.98s]  не жарко, не холодно. Нам тем более.
[2084.98s -> 2086.98s]  Итак, номер 28.
[2086.98s -> 2088.98s]  Три минуты без ботинок
[2088.98s -> 2090.98s]  и, говоря скороговорки, на английском.
[2090.98s -> 2092.98s]  На английском? Вы кто?
[2092.98s -> 2094.98s]  Черт возьми, вы English Woman, что ли?
[2094.98s -> 2096.98s]  Ну ладно.
[2096.98s -> 2098.98s]  На какой скорости, господа?
[2098.98s -> 2100.98s]  На второй, но можно и на третий.
[2100.98s -> 2102.98s]  На третьей скорости, друзья.
[2102.98s -> 2104.98s]  Это пока максимальная оставка,
[2104.98s -> 2106.98s]  только он больше времени не принимается.
[2106.98s -> 2108.98s]  Но, чем не менее, номер 24.
[2108.98s -> 2110.98s]  Давайте попробуем.
[2110.98s -> 2112.98s]  Три минуты на третьей скорости без рубашки.
[2112.98s -> 2114.98s]  Без рубашки, три минуты
[2114.98s -> 2116.98s]  на третьей скорости.
[2118.98s -> 2120.98s]  Но эта книга правда стоит того.
[2120.98s -> 2122.98s]  Дамы и господа,
[2122.98s -> 2124.98s]  мы очень корыстные люди,
[2124.98s -> 2126.98s]  поэтому продано номер 24
[2126.98s -> 2128.98s]  без рубашки.
[2128.98s -> 2130.98s]  На третьей скорости крутится три минуты.
[2130.98s -> 2132.98s]  Продано номер 24.
[2134.98s -> 2136.98s]  Вау! Прошу приступить к выполнению ставки.
[2138.98s -> 2140.98s]  Можно попросить вас повернуться, чтобы мы все видели?
[2140.98s -> 2142.98s]  Я успела резинку из сумки достать,
[2142.98s -> 2144.98s]  поэтому я соберу волосы.
[2144.98s -> 2146.98s]  Мне страшно, что механизмы...
[2146.98s -> 2148.98s]  Все правильно. Если они зажуют, то
[2148.98s -> 2150.98s]  книга не стоит скальпа.
[2150.98s -> 2152.98s]  Она очень классная.
[2152.98s -> 2154.98s]  Но скайп чуть-чуть дороже.
[2154.98s -> 2156.98s]  Могу предположить, что да.
[2156.98s -> 2158.98s]  Пожалуйста, но прочитайте.
[2158.98s -> 2160.98s]  Ездить потом в Турцию, вставлять волосы обратно,
[2160.98s -> 2162.98s]  если ты еще жив останешься после этого.
