[1.11s -> 2.11s]  Нирничаю.
[1148.44s -> 1150.44s]  Причем, если я не ошибаюсь,
[1151.44s -> 1153.44s]  роль для Уилла Смита, главная роль этого сериала,
[1154.44s -> 1155.44s]  была написана специально под него.
[1156.44s -> 1157.44s]  Офигеть.
[1158.44s -> 1160.44s]  Так что, как видишь, рэп это не всегда было про гэнс.
[1161.44s -> 1163.44s]  Вообще рэп изначально зародился из танца.
[1164.44s -> 1166.44s]  Первые популярные хип-хоп личности
[1167.44s -> 1168.44s]  были танцоры и диджеи.
[1169.44s -> 1172.44s]  И вообще хип-хоп-вечеринка началась с того,
[1173.44s -> 1174.44s]  ну вообще вся хип-хоп-культура началась,
[1175.44s -> 1176.44s]  с обычной вечеринки.
[1177.44s -> 1182.44s]  И первые микстрейпы на обычной пленочной деке создавались.
[1183.44s -> 1184.44s]  Вот про диджеев сейчас сказал.
[1185.44s -> 1186.44s]  Первый мой трек «Аля стрельнул».
[1187.44s -> 1188.44s]  У меня были треки на Сан-Клауде какие-то там.
[1189.44s -> 1190.44s]  И я начал свежий материал готовить.
[1191.44s -> 1192.44s]  И он не был в интернете вообще.
[1193.44s -> 1194.44s]  В Альтонсе вообще ничего не было.
[1195.44s -> 1196.44s]  У меня только на Сан-Клауде были какие-то треки.
[1197.44s -> 1199.44s]  Первый мой трек перекидывали друг к другу диджеи.
[1200.44s -> 1201.44s]  Вот так просто там.
[1202.44s -> 1203.44s]  Сарафанная радио.
[1204.44s -> 1205.44s]  Они перекидывали вот так вот друг к другу.
[1206.44s -> 1209.44s]  И так получилось, что трек, который вообще нет ни в интернете,
[1210.44s -> 1211.44s]  нигде нет, он играет под утро.
[1212.44s -> 1213.44s]  На танцполах.
[1214.44s -> 1215.44s]  Да, он играет именно под утро в некоторых клубах.
[1216.44s -> 1217.44s]  Потому что диджеи играют и там, и тут.
[1218.44s -> 1219.44s]  Такие довольно известные диджеи были.
[1220.44s -> 1223.44s]  Они, кто-то мой был друг, кто-то друзья этих диджеев.
[1224.44s -> 1225.44s]  И вот так они все передавали и везде играли.
[1225.44s -> 1226.44s]  И это было в Москве у нас?
[1227.44s -> 1228.44s]  Это было в Москве у нас.
[1229.44s -> 1230.44s]  И типа этого трека нигде не было.
[1231.44s -> 1232.44s]  И мне даже всем диджеи говорят, блин, выпусти.
[1233.44s -> 1234.44s]  К нам подходят.
[1235.44s -> 1236.44s]  И мы когда играем твой трек, к нам подходят и говорят,
[1237.44s -> 1238.44s]  не шазамется, не шазамется.
[1239.44s -> 1240.44s]  Когда это было? Какой был?
[1241.44s -> 1242.44s]  Это было пять лет назад ровно.
[1243.44s -> 1244.44s]  Я все время сегодня на пять лет.
[1245.44s -> 1246.44s]  Я просто так грубо говорю, ну типа пять-шесть лет.
[1247.44s -> 1248.44s]  Понятно, твоя личная дата.
[1249.44s -> 1250.44s]  И короче.
[1251.44s -> 1253.44s]  А, ему вот этот парень, который мне снял в Лос-Анджелесе клип.
[1253.44s -> 1254.44s]  И он приезжает в Москву.
[1255.44s -> 1258.44s]  Идет в первый клуб, который они его зовут.
[1259.44s -> 1260.44s]  И он мне звонит в пять утра.
[1261.44s -> 1263.44s]  Братан, я сейчас в клубе.
[1264.44s -> 1265.44s]  Здесь играет твой трек.
[1266.44s -> 1268.44s]  А я уже знал по именам эти клубы, где играет мой трек.
[1269.44s -> 1271.44s]  И ты спалил, где именно он находится в целом.
[1272.44s -> 1273.44s]  Я такой, а ты в НИ.
[1274.44s -> 1275.44s]  Небось в НИ.
[1276.44s -> 1277.44s]  Гозвук играют.
[1278.44s -> 1281.44s]  Он подумал, я просто супер-взорова, супер-звезданно.
[1281.44s -> 1282.44s]  Он приезжает в Москву.
[1283.44s -> 1284.44s]  Первый клуб, когда заходит и там играет мой трек.
[1285.44s -> 1286.44s]  Он думает, я взорвался.
[1287.44s -> 1288.44s]  Я говорю, расслабься.
[1289.44s -> 1290.44s]  Я не так еще стрельнул.
[1291.44s -> 1292.44s]  Слушай, но все равно история прикольная.
[1293.44s -> 1297.44s]  Ты начал рассказывать о том, что граффити в твоей жизни появилась как инструмент продвижения музыки.
[1298.44s -> 1300.44s]  Для меня это было не то, что инструмент, кроме рекламы.
[1301.44s -> 1303.44s]  Меня знали люди в граффити-тусовке.
[1304.44s -> 1305.44s]  Есть такое имя.
[1306.44s -> 1307.44s]  Он везде.
[1308.44s -> 1309.44s]  Но еще как муза.
[1310.44s -> 1311.44s]  Ты в граффити-дохновлении?
[1312.44s -> 1313.44s]  Да, я искал в нем дохновление.
[1314.44s -> 1315.44s]  В плане, я попадал в приключения какие-то.
[1316.44s -> 1317.44s]  Там убегал, неважно.
[1318.44s -> 1320.44s]  Я мог убегать от полиции, но при этом написать трек о любви.
[1321.44s -> 1324.44s]  Я считаю, что любой текст, он не имеет силу, вообще никакой.
[1325.44s -> 1329.44s]  Если это рифма, просто слова в рифму, то это не имеет никакой силы.
[1330.44s -> 1331.44s]  То есть, надо все подкрепить эмоциями.
[1332.44s -> 1333.44s]  И это слышно, это чувствуется.
[1334.44s -> 1335.44s]  Это реально.
[1336.44s -> 1337.44s]  Ты можешь даже ни слова не понимать.
[1337.44s -> 1340.44s]  Ты какого-то зарубежного артиста, французского.
[1341.44s -> 1343.44s]  Ты чувствуешь его эмоции, что она настоящая.
[1344.44s -> 1345.44s]  Это как актерская игра.
[1346.44s -> 1347.44s]  Верю, не верю тебе.
[1348.44s -> 1349.44s]  Когда ты видишь, что актер играет.
[1350.44s -> 1352.44s]  Ты вообще забываешь, что там какая-то съемочная группа за ним.
[1353.44s -> 1354.44s]  Что они кино.
[1355.44s -> 1358.44s]  Ты уже в этого персонажа, в его веришь, настолько ты с ним переживаешь.
[1359.44s -> 1360.44s]  Здесь почти то же самое.
[1361.44s -> 1362.44s]  Только у каждого по-разному.
[1363.44s -> 1366.44s]  Но у меня на личном опыте, на личной моей жизни, на личные приключения.
[1367.44s -> 1368.44s]  Обязательно я это описываю.
[1369.44s -> 1370.44s]  Но как бы я должен чем-то питаться.
[1371.44s -> 1372.44s]  Какая-то должна быть попитка.
[1373.44s -> 1374.44s]  Я тебя понял.
[1375.44s -> 1376.44s]  Это очень интересная теория.
[1377.44s -> 1378.44s]  Но я спросил про продвижение.
[1379.44s -> 1382.44s]  Поэтому я хочу перейти к тому, как ты стал продвигаться сегодня.
[1383.44s -> 1385.44s]  То есть, пользуешься ли ты Инстаграмом, Тиктоком?
[1386.44s -> 1387.44s]  Сейчас да.
[1388.44s -> 1390.44s]  Вот тогда я говорю, я вот пользовался только граффити.
[1391.44s -> 1393.44s]  И вот на мой первый концерт у меня ничего не было.
[1393.44s -> 1396.44s]  Пришло как бы на тот момент, когда у тебя ни Инстаграма, ничего.
[1397.44s -> 1399.44s]  И вообще, одни в Сан-Клауде, и один трек на Интюнсе.
[1400.44s -> 1402.44s]  Мне пришло 300 человек на концерты ко мне.
[1403.44s -> 1404.44s]  Это мало.
[1405.44s -> 1407.44s]  Это не мало для человека, который вообще как бы, даже Инстаграма нет.
[1408.44s -> 1409.44s]  Я даже не мог запостить, что у меня концерт.
[1410.44s -> 1411.44s]  Это, кстати, тоже был мой первый концерт.
[1412.44s -> 1413.44s]  Я просто так спросил тебя про Тикток.
[1414.44s -> 1416.44s]  У тебя есть готовый незасвеченный материал сейчас?
[1417.44s -> 1418.44s]  Есть, есть.
[1419.44s -> 1420.44s]  И я даже могу рассказать про него.
[1421.44s -> 1422.44s]  Очень интересную историю.
[1423.44s -> 1424.44s]  А потом расскажем о том, что показали.
[1425.44s -> 1426.44s]  Тогда будет интереснее.
[1427.44s -> 1428.44s]  Так, ну все, я накрыл крышечкой.
[1429.44s -> 1430.44s]  Три, шестнадцать.
[1431.44s -> 1432.44s]  Я включаю видео, ты включаешь музыку. Погнали.
[1433.44s -> 1434.44s]  Понеслась.
[1435.44s -> 1440.44s]  Не останьте места для любви, для любви.
[1441.44s -> 1448.44s]  Не останьте места для любви, для любви.
[1449.44s -> 1457.44s]  Сказки и глазки ровными мазками, черными пятными отчетания находка.
[1458.44s -> 1462.44s]  Пьяная походка, переплатим за воду.
[1465.44s -> 1466.44s]  Спасибо, спасибо.
[1467.44s -> 1468.44s]  Я иногда слушаю старые русские какие-то хиты.
[1469.44s -> 1471.44s]  И думаю, блин, почему такую музыку сейчас не делают?
[1472.44s -> 1474.44s]  Ну с таким настроением, как будто старый трек «Руки вверх».
[1475.44s -> 1476.44s]  Настроением вот этой эмоции.
[1477.44s -> 1478.44s]  Синтементальности.
[1479.44s -> 1480.44s]  Вот этой эмоции такой.
[1481.44s -> 1485.44s]  Мы сняли клип, типа «Глубинка России», «Гопники», все такое.
[1486.44s -> 1488.44s]  Короче, я весь как Купидон.
[1489.44s -> 1490.44s]  Трек вообще как Купидон называется.
[1491.44s -> 1493.44s]  Именно не то, что про артистов, а что вот Купидон, он всем дарит любовь.
[1494.44s -> 1495.44s]  А на себя не остается.
[1496.44s -> 1497.44s]  Да, а на себя не остается.
[1498.44s -> 1499.44s]  Вот такой смысл.
[1500.44s -> 1502.44s]  И там типа я как Купидон, меня одели опять, как у Ибана.
[1502.44s -> 1503.44s]  Полного просто.
[1504.44s -> 1505.44s]  Я когда оделся, я думаю, блин, я так не выгляжу.
[1506.44s -> 1507.44s]  А ты умеешь выбирать режиссера русского?
[1508.44s -> 1510.44s]  Вообще. На мне все отыгрались, короче, по полной.
[1511.44s -> 1513.44s]  Ну а тебе самому это нравится? Ты доволен этим?
[1514.44s -> 1519.44s]  Я доволен в плане, потому что для меня главное это, во-первых, не быть похожим на всех.
[1520.44s -> 1523.44s]  Во-вторых, сделать что-то новое, попробовать хотя бы.
[1524.44s -> 1526.44s]  Понятно, что уже все, уже колесо придумали, уже все сделали.
[1527.44s -> 1531.44s]  Ну хотя бы, хотя бы как-то выделиться в плане из общей массы.
[1532.44s -> 1534.44s]  Музыкальной застрели, вот как-то чем-то.
[1535.44s -> 1537.44s]  Сегодня выделимся кисадильей в Новый год.
[1538.44s -> 1539.44s]  Это точно.
[1544.95s -> 1546.95s]  Так, ну что, брат, прежде чем мы начнем пробовать нашу кисадилью,
[1547.95s -> 1548.95s]  предлагаю сделать небольшой изопивон для этого дела.
[1549.95s -> 1550.95s]  Классный, вкусный, безалкогольный коктейльчик.
[1551.95s -> 1552.95s]  У нас здесь все для этого готово.
[1553.95s -> 1555.95s]  Надо сначала подготовить бокальчики.
[1556.95s -> 1557.95s]  Мы сделаем это за две сек.
[1561.95s -> 1563.95s]  Так, это сюда.
[1563.95s -> 1565.95s]  Одна порция сиропа агавы у нас здесь.
[1566.95s -> 1569.95s]  Надо столько же водички, так как мы делаем коктейль безалкогольный.
[1570.95s -> 1572.95s]  Так, и что, нужно теперь взболтать, да?
[1573.95s -> 1582.79s]  Так, ну давай, погнали.
[1583.79s -> 1589.09s]  Брудо готово, я отправляю тебя на фото.
[1590.09s -> 1591.09s]  Сейчас я возьму поларои.
[1592.09s -> 1593.09s]  Да, да.
[1594.09s -> 1595.09s]  И вот так же.
[1596.09s -> 1597.09s]  Наша классическая фото, да.
[1597.09s -> 1599.09s]  Режем пополам нашу кисадилью на две части прям.
[1600.09s -> 1602.09s]  Реально, не будем на три, потому что развалится лучше на две.
[1608.37s -> 1609.37s]  Я беру свою часть тебе.
[1610.37s -> 1611.37s]  Ты берешь свою.
[1612.37s -> 1613.37s]  Я даю тебе бокал.
[1614.37s -> 1615.37s]  Опа, чин-чин.
[1616.37s -> 1620.37s]  Мы с тобой пробуем и поздравляем людей с Новым годом, да?
[1621.37s -> 1622.37s]  Ваше здоровье.
[1623.37s -> 1624.37s]  А это вкусно?
[1625.37s -> 1626.37s]  Да, вкусно, вкусно.
[1626.37s -> 1627.37s]  И это вкусно.
[1628.37s -> 1636.86s]  Вы смотрели KitchenStories, меня зовут Ярослав Грин.
[1637.86s -> 1638.86s]  Кассета.
[1639.86s -> 1640.86s]  С Новым годом.
[1641.86s -> 1642.86s]  С Новым годом я тебя брал.
[1643.86s -> 1644.86s]  Все, всем хорошего.
[1645.86s -> 1646.86s]  В настроении.
[1647.86s -> 1648.86s]  Давайте просто пожарим.
[1649.86s -> 1650.86s]  Давайте разогреем.
[1651.86s -> 1652.86s]  Пока, стоп!
