[0.00s -> 2.00s]  СКУКА!
[1171.06s -> 1173.06s]  И особенность этого раунда в том, что
[1173.06s -> 1175.06s]  если вы оказываетесь дальше всех от правильного ответа
[1175.06s -> 1177.06s]  вы используете предмет по назначению
[1177.06s -> 1179.06s]  Все понятно?
[1179.06s -> 1181.06s]  Прекрасно, очень интересно, ребята, давайте
[1181.06s -> 1183.06s]  Давайте поаплодируем
[1183.06s -> 1185.06s]  Им сейчас будет реально тяжело
[1185.06s -> 1187.06s]  Почему?
[1189.06s -> 1191.06s]  Лерочка, пожалуйста, внеси
[1191.06s -> 1193.06s]  Наш объект
[1195.06s -> 1197.06s]  Перед вами машинка
[1197.06s -> 1199.06s]  для волос
[1199.06s -> 1201.06s]  Машинка для волос, это не сложно
[1201.06s -> 1203.06s]  Я думаю, вы прекрасно знаете, для чего она
[1203.06s -> 1205.06s]  Ладно, говорился, машинка для бритья волос, извините
[1205.06s -> 1207.06s]  Ребята
[1207.06s -> 1209.06s]  То есть вы прекрасно понимаете, что вас ждет, если вы проиграете
[1209.06s -> 1211.06s]  Да нет, ничего
[1211.06s -> 1213.06s]  Если вы вдруг решите, схитрите, такие
[1213.06s -> 1215.06s]  А давайте-ка мы напишем все втроем одинаковую цифру
[1215.06s -> 1217.06s]  Все втроем вы будете использовать эту машинку
[1217.06s -> 1219.06s]  Слушай, короче
[1219.06s -> 1221.06s]  Я когда бритья на волосы
[1221.06s -> 1223.06s]  Я думал, что мне тоже не пойдет
[1223.06s -> 1225.06s]  Но мне пошло, реально, попробуй
[1225.06s -> 1227.06s]  Вы что такое говорите вообще
[1227.06s -> 1229.06s]  Не, реально, Луиса
[1229.06s -> 1231.06s]  Так не проигрывай
[1231.06s -> 1233.06s]  У меня сердце начинает дрожать
[1233.06s -> 1235.06s]  Подожди, мы сейчас должны написать цену
[1235.06s -> 1237.06s]  Цену этой машинки
[1237.06s -> 1239.06s]  Может быть там какая-то фирма классная
[1239.06s -> 1241.06s]  Слушайте, у нас впервые за все выпуски участник
[1241.06s -> 1243.06s]  догадался, что можно реально подойти
[1243.06s -> 1245.06s]  посмотреть предмет
[1245.06s -> 1250.61s]  Это удивительно
[1250.61s -> 1252.61s]  Если у нас самый низкая цена, тот брится
[1252.61s -> 1254.61s]  Да, я буду решать, что мы будем бреть
[1254.61s -> 1256.61s]  Например, Герману мы виски
[1256.61s -> 1258.61s]  если что подровняем
[1258.61s -> 1260.61s]  Я только вчера был
[1260.61s -> 1262.61s]  Вы что
[1262.61s -> 1264.61s]  Пять, четыре
[1264.61s -> 1266.61s]  три, два
[1266.61s -> 1268.61s]  один, вскрываемся
[1278.69s -> 1280.69s]  Черт, он наверно дороже
[1280.69s -> 1282.69s]  Черт
[1282.69s -> 1284.69s]  То есть вы действительно думаете, что
[1284.69s -> 1286.69s]  обычная машинка для бритья волос
[1286.69s -> 1288.69s]  может стоить пятьдесят и двадцать тысяч рублей
[1288.69s -> 1290.69s]  Подожди, а до сколько поставить
[1290.69s -> 1292.69s]  Для меня уж, простите, но я не могу промолчать
[1292.69s -> 1294.69s]  не просполерить, кто выиграл
[1296.69s -> 1298.69s]  Слушай, ну мне кажется, реально тебе пойдет быть
[1298.69s -> 1300.69s]  лысый
[1300.69s -> 1302.69s]  Они уже, кажется, сами поняли
[1302.69s -> 1304.69s]  результат
[1304.69s -> 1306.69s]  Цена этой машинки две тысячи семьсот
[1306.69s -> 1308.69s]  рублей
[1310.69s -> 1312.69s]  Ну ты плохая
[1312.69s -> 1314.69s]  Барби
[1314.69s -> 1316.69s]  Плохие люди всегда ходят
[1316.69s -> 1318.69s]  Ты плохая, Барби
[1318.69s -> 1320.69s]  То есть утешить как могу
[1320.69s -> 1322.69s]  Снимай, Панама
[1324.69s -> 1334.66s]  Тихо
[1334.66s -> 1336.66s]  Стой
[1342.66s -> 1344.66s]  А теперь повернись, пожалуйста
[1344.66s -> 1346.66s]  Повернись, пожалуйста
[1350.66s -> 1352.66s]  Повернись, пожалуйста
[1354.66s -> 1356.66s]  Опа, кажется волосы на место
[1356.66s -> 1358.66s]  Настя, это был пранк
[1358.66s -> 1360.66s]  Я обратной стороной провел
[1360.66s -> 1362.66s]  Все хорошо, зайчик, все нормально
[1362.66s -> 1364.66s]  Давайте похлопаем Настю за смелость
[1364.66s -> 1366.66s]  Молодец
[1368.66s -> 1370.66s]  Давай, Герман
[1370.66s -> 1374.42s]  Господи, бедная девочка
[1374.42s -> 1376.42s]  Все хорошо?
[1376.42s -> 1378.42s]  Да, да, да, все нормально
[1380.42s -> 1384.24s]  Прикольно
[1384.24s -> 1386.24s]  Молодец
[1386.24s -> 1388.24s]  Молодец
[1388.24s -> 1391.81s]  Дарю
[1391.81s -> 1393.81s]  Я просто жал каналы собрить
[1393.81s -> 1395.81s]  Вы нас тоже поймите, пожалуйста
[1395.81s -> 1397.81s]  Лерочка, пожалуйста, внеси в студию наш
[1397.81s -> 1399.81s]  второй лот
[1399.81s -> 1401.81s]  Давайте похлопаем Лерочки
[1401.81s -> 1403.81s]  Как вы думаете, что
[1403.81s -> 1405.81s]  это такое перед вами?
[1405.81s -> 1410.14s]  Что, пена для бритья?
[1410.14s -> 1412.14s]  Нет
[1412.14s -> 1414.14s]  Еще вариант
[1416.14s -> 1418.14s]  А зачем
[1418.14s -> 1420.14s]  Так, что это?
[1420.14s -> 1422.14s]  Это говно
[1422.14s -> 1424.14s]  Выглядит как
[1424.14s -> 1426.14s]  какашки, но приколы
[1426.14s -> 1428.14s]  Перед вами автозагар
[1430.14s -> 1432.14s]  Закрой его, пожалуйста, а то засохнет
[1432.14s -> 1434.14s]  Ваша задача
[1434.14s -> 1436.14s]  угадать, сколько же стоит
[1436.14s -> 1438.14s]  Ванечка такого прекрасного автозагара
[1438.14s -> 1444.14s]  5, 4, 3, 2, 1
[1444.14s -> 1446.14s]  Вскрываемся
[1446.14s -> 1448.14s]  8 тысяч рублей
[1448.14s -> 1450.14s]  700 рублей
[1450.14s -> 1452.14s]  И
[1452.14s -> 1454.14s]  1000 рублей
[1454.14s -> 1456.14s]  Ты это 8 написала?
[1456.14s -> 1458.14s]  Я не 8 тысяч написала, я 2 тысячи написала
[1458.14s -> 1460.14s]  Там 8
[1460.14s -> 1462.14s]  Там две, я сначала единичка у меня тут
[1462.14s -> 1464.14s]  А тут, ну, я исправила на двоих
[1464.14s -> 1466.14s]  Там было 8
[1466.14s -> 1468.14s]  Да, *****, не 8
[1468.14s -> 1470.14s]  Там 8
[1470.14s -> 1472.14s]  Хорошо, проблема в том, что я не знаю
[1472.14s -> 1474.14s]  зачем мы потеряли время, потому что
[1474.14s -> 1476.14s]  стоимость этого флакона
[1476.14s -> 1478.14s]  1100 рублей
[1478.14s -> 1480.14s]  И Настя все равно дальше всех
[1480.14s -> 1482.14s]  от правильного ответа
[1482.14s -> 1484.14s]  А я хотела 1000
[1486.14s -> 1488.14s]  Настя, ты всегда хотела быть
[1488.14s -> 1490.14s]  мулаткой или нет?
[1490.14s -> 1492.14s]  Заметьте, вопрос утверждения
[1492.14s -> 1494.14s]  Почему хотела ли она?
[1494.14s -> 1496.14s]  Почему я?
[1496.14s -> 1498.14s]  Потому что я голод какой-то
[1498.14s -> 1500.14s]  Ну тогда давай сделаем курлык-курлык
[1500.14s -> 1502.14s]  И все-таки немножко
[1502.14s -> 1504.14s]  загорим с тобой
[1504.14s -> 1506.14s]  Итак, я думаю мы можем
[1506.14s -> 1508.14s]  начать
[1508.14s -> 1510.14s]  Оно такое цвета отборного
[1510.14s -> 1512.14s]  Ребят, я думаю
[1512.14s -> 1514.14s]  это смоется на самом деле, все нормально
[1514.14s -> 1516.14s]  Ну вот только рук
[1516.14s -> 1518.14s]  Настя, ты дашь мне руку?
[1518.14s -> 1520.14s]  Уже мазалась
[1520.14s -> 1522.14s]  Ты дашь мне руку?
[1522.14s -> 1524.14s]  А на маникюре не останется?
[1524.14s -> 1528.16s]  Я просто ее очень
[1528.16s -> 1530.16s]  уважаю, поэтому
[1530.16s -> 1532.16s]  делаю это максимально аккуратно
[1532.16s -> 1534.16s]  Почему она страдает?
[1534.16s -> 1536.16s]  Она боится
[1536.16s -> 1538.16s]  Три мужика просто смотрят
[1538.16s -> 1540.16s]  Это вообще не по джентльменски
[1540.16s -> 1542.16s]  Давай вторую ручку
[1542.16s -> 1544.16s]  Давай вторую ручку, зайчик
[1544.16s -> 1546.16s]  Давай ручку
[1546.16s -> 1548.16s]  Она теперь загоревшая
[1548.16s -> 1550.16s]  Детские игры
[1550.16s -> 1552.16s]  У меня расистские шутки только
[1552.16s -> 1554.16s]  не зад в голову, простите меня
[1554.16s -> 1556.16s]  Она не очень загорелась, как я думал
[1556.16s -> 1558.16s]  На самом деле
[1558.16s -> 1560.16s]  спасибо, вот эта рука вообще
[1560.16s -> 1562.16s]  Выглядит так, как будто бы приболела немножко
[1562.16s -> 1564.16s]  Вот эта рука норм, я вам говорю
[1564.16s -> 1566.16s]  Я сейчас размажу и все будет замечательно
[1566.16s -> 1568.16s]  После каждого наказания
[1568.16s -> 1570.16s]  А, ну в принципе, было нормально
[1570.16s -> 1572.16s]  Все-таки надо было на лицо
[1572.16s -> 1574.16s]  Вот это мое, вот это человеческое
[1574.16s -> 1576.16s]  Мне жалко, чтоб девочки мучались
[1576.16s -> 1578.16s]  Будь это парень, он бы у меня здесь уже черный выходил
[1578.16s -> 1580.16s]  Бессовестная
[1580.16s -> 1582.16s]  Давайте, Настя, похлопаем
[1582.16s -> 1584.16s]  Молодец
[1584.16s -> 1586.16s]  Давай еще быстрее
[1586.16s -> 1588.16s]  Крути, чтоб ничего камера не сняла, фокус летел
[1588.16s -> 1590.16s]  Давай
[1590.16s -> 1592.16s]  Лерочка, пожалуйста, внеси наш третий
[1592.16s -> 1594.16s]  лот в студию
[1594.16s -> 1596.16s]  Давайте похлопаем, Лерочка
[1596.16s -> 1598.16s]  Как вы думаете,
[1598.16s -> 1600.16s]  что перед вами?
[1600.16s -> 1602.16s]  Такое вкусное, темненькое, ароматное
[1602.16s -> 1604.16s]  Почти как спагетти черное
[1604.16s -> 1606.16s]  Только немножко хрустящий
[1606.16s -> 1608.16s]  Это тараканы?
[1608.16s -> 1610.16s]  Перед вами сушеные тараканы
[1610.16s -> 1612.16s]  По-моему, это вьетнамское блюдо
[1612.16s -> 1614.16s]  Если я не ошибаюсь
[1614.16s -> 1616.16s]  Но не приготовленное
[1616.16s -> 1618.16s]  Ваша задача угадать, сколько стоит
[1618.16s -> 1620.16s]  одна упаковка сушеных тараканов
[1620.16s -> 1622.16s]  Сколько могут стоить насекомых?
[1622.16s -> 1624.16s]  Есть у кого-то животные там?
[1624.16s -> 1626.16s]  Давайте, пять
[1626.16s -> 1628.16s]  Четыре
[1628.16s -> 1630.16s]  Три, два
[1630.16s -> 1632.16s]  Один
[1632.16s -> 1634.16s]  Вскрываемся
[1634.16s -> 1636.16s]  Так, 700 рублей
[1636.16s -> 1638.16s]  300 рублей и
[1638.16s -> 1640.16s]  Слава богу, у тебя посерединке
[1640.16s -> 1642.16s]  Почему
[1642.16s -> 1644.16s]  700 рублей?
[1644.16s -> 1646.16s]  Я просто тебя пытаюсь
[1646.16s -> 1648.16s]  утешить, потому что ты
[1648.16s -> 1650.16s]  мальца проиграл
[1650.16s -> 1652.16s]  Стоимость упаковки 250 рублей
[1652.16s -> 1654.16s]  О, я выиграл
[1654.16s -> 1656.16s]  Удачи
[1656.16s -> 1658.16s]  Эти сушеные тараканы предназначены
[1658.16s -> 1660.16s]  для того, чтобы их ели
[1660.16s -> 1662.16s]  Ты проиграл, соответственно, надо хотя бы таракашку
[1662.16s -> 1664.16s]  У тебя там сила, брат
[1664.16s -> 1666.16s]  Давай
[1666.16s -> 1668.16s]  Я на самом деле
[1668.16s -> 1670.16s]  в одном из видеороликов на ютубе
[1670.16s -> 1672.16s]  ел такого таракана
[1672.16s -> 1674.16s]  Хрустящий такой, прикольненький
[1674.16s -> 1676.16s]  с мясом внутри
[1676.16s -> 1678.16s]  Во Вьетнаме это нормально
[1678.16s -> 1680.16s]  Они червей едят
[1680.16s -> 1682.16s]  Что, ты птичь ел?
[1682.16s -> 1684.16s]  Ну, ел вьетнамское
[1684.16s -> 1686.16s]  Давай
[1686.16s -> 1688.16s]  Тихо, внимание, на камеру
[1688.16s -> 1691.60s]  Сука, не хочу
[1691.60s -> 1693.60s]  Я думать буду
[1693.60s -> 1695.60s]  Пошли
[1695.60s -> 1697.60s]  Ты хочешь есть?
[1697.60s -> 1699.60s]  Давайте
[1699.60s -> 1701.60s]  Ребят
[1701.60s -> 1703.60s]  Они противные
[1703.60s -> 1705.60s]  Они прям смотрят на меня
[1705.60s -> 1707.60s]  А он уже съел
[1707.60s -> 1709.60s]  Что скажите
[1709.60s -> 1711.60s]  И шо?
[1711.60s -> 1713.60s]  Нормально?
[1713.60s -> 1715.60s]  На *** вас это
[1715.60s -> 1717.60s]  Ну что, как вам на вкус?
[1717.60s -> 1719.60s]  Как таракан
[1719.60s -> 1721.60s]  А что, реально какой вкус?
[1721.60s -> 1723.60s]  Кисленькое, сладенькое, горькое
[1723.60s -> 1725.60s]  Говно прям?
[1725.60s -> 1727.60s]  Можно воды, пожалуйста
[1727.60s -> 1729.60s]  А мне тоже
[1729.60s -> 1731.60s]  Давайте похлопаем, ребята
[1731.60s -> 1733.60s]  Молодцы
[1733.60s -> 1735.60s]  В нашем шоу в очередной раз
[1735.60s -> 1737.60s]  появились тараканы
[1737.60s -> 1739.60s]  Они были в этот раз съедобные
[1739.60s -> 1741.60s]  Но следующий лот
[1741.60s -> 1743.60s]  Это один из самых больших страхов в моей жизни
[1743.60s -> 1745.60s]  Лерочка, пожалуйста
[1745.60s -> 1747.60s]  Внеси его
[1747.60s -> 1749.60s]  Змея
[1749.60s -> 1751.60s]  Я вот ее
[1751.60s -> 1753.60s]  первый раз так близко вижу
[1753.60s -> 1755.60s]  Ты боишься сама, да?
[1757.60s -> 1759.60s]  Ваша задача
[1759.60s -> 1761.60s]  Ваша задача
[1761.60s -> 1763.60s]  Угадать
[1763.60s -> 1765.60s]  Сколько стоит
[1765.60s -> 1767.60s]  Время провождения с этой
[1767.60s -> 1769.60s]  Змейкой за час
[1769.60s -> 1771.60s]  А у меня была автосессия со змеей
[1771.60s -> 1773.60s]  Сколько стоит
[1773.60s -> 1775.60s]  такая змейка в час
[1775.60s -> 1777.60s]  Наказание будет
[1777.60s -> 1779.60s]  Подержать эту змейку 30 секунд
[1779.60s -> 1781.60s]  Она, кстати, ядовитая, нет?
[1781.60s -> 1783.60s]  Ага, очень классно
[1783.60s -> 1785.60s]  Не самая безопасная
[1785.60s -> 1787.60s]  Мы бы так назвали ее
[1787.60s -> 1789.60s]  Готовы? Раз, два, три
[1789.60s -> 1791.60s]  Вскрываемся
[1791.60s -> 1793.60s]  Что там? 1000 рублей
[1793.60s -> 1795.60s]  5000 рублей, 1200 рублей
[1795.60s -> 1797.60s]  Слушайте, у нас
[1797.60s -> 1799.60s]  Второй раз за всю историю
[1799.60s -> 1801.60s]  нашего шоу
[1801.60s -> 1803.60s]  Один из участников в точности
[1803.60s -> 1805.60s]  Угадывает, сколько стоит
[1805.60s -> 1807.60s]  Время провождения с этой
[1807.60s -> 1809.60s]  Змейкой
[1809.60s -> 1811.60s]  И, соответственно, победитель
[1811.60s -> 1813.60s]  этого раунда получит два балла
[1813.60s -> 1815.60s]  плюс один, то есть три
[1815.60s -> 1817.60s]  за максимально правильный ответ
[1817.60s -> 1819.60s]  Время провождения
[1819.60s -> 1821.60s]  с этой змеей стоит
[1821.60s -> 1823.60s]  1000 рублей в час
[1823.60s -> 1825.60s]  А, нет
[1825.60s -> 1827.60s]  Да
[1827.60s -> 1829.60s]  Вася получает три балла
[1829.60s -> 1831.60s]  Наше новое правило
[1831.60s -> 1833.60s]  Итак, кто у нас дальше всех?
[1833.60s -> 1835.60s]  Женя Яршов
[1835.60s -> 1840.70s]  Она реально ядовитая?
[1840.70s -> 1842.70s]  Ты ко мне там не ползи, сука
[1842.70s -> 1844.70s]  Ядрен батон
[1844.70s -> 1846.70s]  Не, это полный ядрен батон
[1846.70s -> 1848.70s]  Я, кстати, недавно
[1848.70s -> 1850.70s]  видео увидел ужасно, где вы так
[1850.70s -> 1852.70s]  удержали эту змейку
[1852.70s -> 1854.70s]  Сука, она рядом со мной
[1854.70s -> 1856.70s]  мне стремно, мальца
[1856.70s -> 1858.70s]  Она красивая
[1858.70s -> 1860.70s]  Как тебе, змейка?
[1860.70s -> 1862.70s]  Она прикольная
[1862.70s -> 1864.70s]  Она прикольная, сейчас в курсе за жопу будет не прикольная
[1864.70s -> 1866.70s]  Я маленький боюсь, когда вот тонкий
[1866.70s -> 1868.70s]  Они для меня как будто ядовиты
[1868.70s -> 1870.70s]  Сука, у тебя волос в руке
[1870.70s -> 1872.70s]  А подойди к Максу
[1872.70s -> 1874.70s]  Нет-нет-нет, ко мне не надо подходить
[1874.70s -> 1876.70s]  пожалуйста
[1876.70s -> 1878.70s]  Я ненавижу змеи
[1878.70s -> 1880.70s]  Меня в детстве напугала змея
[1880.70s -> 1882.70s]  Напугала змея, змея
[1882.70s -> 1884.70s]  Какая она змея?
[1884.70s -> 1886.70s]  У меня детская
[1886.70s -> 1888.70s]  Змея
[1888.70s -> 1890.70s]  Пожалуйста, уйди
[1890.70s -> 1892.70s]  Бэдбар
[1892.70s -> 1894.70s]  Давайте Бэдбар
[1894.70s -> 1896.70s]  Ты чего, так смеялась?
[1896.70s -> 1898.70s]  Тихо, только обратно
[1898.70s -> 1900.70s]  Давай, давай, не бойся
[1900.70s -> 1902.70s]  Что ты меня держишь?
[1902.70s -> 1904.70s]  Я ее потрогала, хватит
[1904.70s -> 1906.70s]  Как сапоги
[1906.70s -> 1908.70s]  Давайте похлопаем Жене Ершову
[1908.70s -> 1910.70s]  30 секунд прошло
[1910.70s -> 1912.70s]  Давайте восстановим
[1912.70s -> 1914.70s]  справедливость историческую
[1914.70s -> 1916.70s]  Максим
[1916.70s -> 1918.70s]  Сейчас при восстании
[1918.70s -> 1920.70s]  И посадит на себя змею
[1920.70s -> 1922.70s]  *****
[1922.70s -> 1924.70s]  Максим
[1924.70s -> 1926.70s]  Максим
[1926.70s -> 1928.70s]  От того, что вы кричите мое имя
[1928.70s -> 1930.70s]  Ничего не поменяется
[1930.70s -> 1932.70s]  Я даже она не против
[1932.70s -> 1934.70s]  Сучка
[1934.70s -> 1936.70s]  Нам тебе еще раз показать
[1936.70s -> 1938.70s]  Чего она на тебя смотрит?
[1938.70s -> 1944.32s]  Мору подьет
[1944.32s -> 1946.32s]  Осторожней с ней
[1948.32s -> 1951.76s]  Мне кажется, ей не нравится
[1953.76s -> 1955.76s]  Это змея
[1955.76s -> 1957.76s]  Это змея
[1957.76s -> 1959.76s]  И пожалуйста, я взял ее в руки
[1959.76s -> 1961.76s]  Теперь заберите ее
[1961.76s -> 1963.76s]  Я вас очень прошу
[1963.76s -> 1965.76s]  А пойдемте чай нальем
[1965.76s -> 1967.76s]  Как вы смогли убедиться
[1967.76s -> 1969.76s]  У нас самое справедливое шоу
[1969.76s -> 1971.76s]  Потому что пускай мы и немножко издеваемся над участниками
[1971.76s -> 1973.76s]  Но все мы так или иначе преодолеваем свои страхи
[1973.76s -> 1975.76s]  Давайте похлопаем друг друга
[1975.76s -> 1977.76s]  И перейдем к пятому
[1977.76s -> 1979.76s]  завершающему лоту
[1979.76s -> 1981.76s]  Лерочка, внеси его в студию, пожалуйста
[1981.76s -> 1983.76s]  Ну перед вами
[1983.76s -> 1985.76s]  Сильная женщина
[1985.76s -> 1987.76s]  Ладно, девушка
[1987.76s -> 1989.76s]  В простонародии боксер
[1989.76s -> 1991.76s]  Ваша задача угадать, сколько будет
[1991.76s -> 1993.76s]  стоить одно занятие с нашей прекрасной
[1993.76s -> 1995.76s]  Как тебя зовут?
[1995.76s -> 1997.76s]  С Женей, с Евгений
[1997.76s -> 1999.76s]  Пожалуйста, ваши варианты
[1999.76s -> 2001.76s]  А индивидуальная?
[2001.76s -> 2003.76s]  Индивидуальная
[2003.76s -> 2005.76s]  Тот, кто проиграет в этом раунде, получит по мордасам
[2005.76s -> 2007.76s]  Я занималась, чуть не сдохла
[2007.76s -> 2009.76s]  Честно говоря
[2009.76s -> 2011.76s]  Вот сколько она стоила?
[2011.76s -> 2013.76s]  Через 15 минут я просто
[2013.76s -> 2015.76s]  Я по-моему сознание чуть не потеряла
[2015.76s -> 2017.76s]  Потому что реально давление просто бай
[2017.76s -> 2019.76s]  Ну видишь, она посильнее
[2019.76s -> 2021.76s]  Значит будет выдержала, молодец
[2023.76s -> 2025.76s]  Ну что, готовы?
[2025.76s -> 2027.76s]  Три, два, один
[2027.76s -> 2029.76s]  Вскрываемся
[2029.76s -> 2031.76s]  Три тысячи рублей
[2031.76s -> 2033.76s]  Четыре тысячи рублей
[2033.76s -> 2035.76s]  Четыре тысячи рублей
[2035.76s -> 2037.76s]  Но кажется, у нас в этом раунде
[2037.76s -> 2039.76s]  Двое
[2039.76s -> 2041.76s]  Индивидуальная занятия стоит
[2041.76s -> 2043.76s]  1350 рублей
[2043.76s -> 2045.76s]  Это неправда
[2045.76s -> 2047.76s]  Пятерка
[2047.76s -> 2049.76s]  Я извиняюсь сразу же
[2049.76s -> 2051.76s]  Но суть это не меняет
[2051.76s -> 2053.76s]  Пятерка же сказала
[2053.76s -> 2055.76s]  Я получаю пятерка
[2055.76s -> 2057.76s]  Извините, я ошибся
[2057.76s -> 2059.76s]  Ведущий немножко дебил
[2059.76s -> 2061.76s]  Оле, оле, оле
[2061.76s -> 2063.76s]  Рожия вперед
[2063.76s -> 2067.46s]  Она бы по яйцам дала
[2069.46s -> 2071.46s]  Чувак, давай
[2071.46s -> 2073.46s]  Нет, нет, нет
[2073.46s -> 2075.46s]  Не надо
[2075.46s -> 2077.46s]  Ты немножко не туда бьешь
[2077.46s -> 2079.46s]  Давай
[2079.46s -> 2081.46s]  И легкий минус
[2085.46s -> 2087.46s]  Обалдеть
[2087.46s -> 2089.46s]  Молодец, молодец
[2089.46s -> 2091.46s]  Это был наш финальный раунд
[2091.46s -> 2093.46s]  Давайте поаплодируем нашим участникам
[2095.46s -> 2097.46s]  И время узнать, кто же победил
[2097.46s -> 2099.46s]  Итак, третье место
[2099.46s -> 2101.46s]  Результат
[2101.46s -> 2103.46s]  8 баллов
[2103.46s -> 2105.46s]  И вот здесь
[2105.46s -> 2107.46s]  Женя Ершов
[2109.46s -> 2111.46s]  И у нас остается Герман и Настя
[2111.46s -> 2113.46s]  Как вы думаете, кто из нас победит?
[2113.46s -> 2115.46s]  Мне кажется Настя
[2115.46s -> 2117.46s]  Мне кажется Герман
[2117.46s -> 2119.46s]  Они обменялись в безместа
[2119.46s -> 2121.46s]  Герман и Настя
[2121.46s -> 2123.46s]  Ваш результат разделился
[2123.46s -> 2125.46s]  12 и 15 баллов
[2125.46s -> 2127.46s]  Интересно, у кого же 15?
[2127.46s -> 2132.18s]  Ничего себе
[2132.18s -> 2134.18s]  Настя Бет Барби
[2134.18s -> 2136.18s]  12 баллов
[2136.18s -> 2138.18s]  Герман 15
[2138.18s -> 2140.18s]  Поздравляю
[2140.18s -> 2142.18s]  Ты можешь выбрать себе подарок
[2142.18s -> 2144.18s]  На свои 15 баллов
[2144.18s -> 2146.18s]  Перед тобой Лизун, Яндекс.Танция
[2146.18s -> 2148.18s]  А вот это что больше?
[2148.18s -> 2150.18s]  Так, я хочу Яндекс
[2150.18s -> 2152.18s]  Это походу обеклон какой-то
[2152.18s -> 2154.18s]  Либо бутылочка просто
[2154.18s -> 2156.18s]  Секлянная красивая
[2156.18s -> 2158.18s]  Только что вы можете хотеть?
[2158.18s -> 2160.18s]  Да вот, я ему как бы намекаю
[2160.18s -> 2162.18s]  Ну типа
[2162.18s -> 2164.18s]  Он такой жен
[2164.18s -> 2166.18s]  Давайте ему поаплодим
[2166.18s -> 2168.18s]  Молодец
[2168.18s -> 2170.18s]  У тебя остается еще 3 балла
[2170.18s -> 2172.18s]  3 балла?
[2172.18s -> 2174.18s]  Ну вот, а это тебе
[2174.18s -> 2176.18s]  О, змеи
[2176.18s -> 2178.18s]  Молодцы
[2178.18s -> 2180.18s]  Давайте еще раз похлопаем
[2180.18s -> 2182.18s]  Какой Герман милый
[2182.18s -> 2184.18s]  Это было шоу «Правильная цена»
[2184.18s -> 2186.18s]  Подписываемся на канал
[2186.18s -> 2188.18s]  Делаем эту кнопку серой
[2188.18s -> 2190.18s]  Ставим лайки, пишем комментарии, колокольчики
[2190.18s -> 2192.18s]  И всем пока
[2192.18s -> 2194.18s]  Всем до новых встреч
[2194.18s -> 2196.18s]  Пока-пока
[2196.18s -> 2198.18s]  Честно
[2198.18s -> 2200.18s]  Они говорят давайте милую атмосферу сделать
[2200.18s -> 2202.18s]  Они сами перебивают
[2202.18s -> 2204.18s]  Поэтому я дебил
[2204.18s -> 2206.18s]  Там реакция была
[2206.18s -> 2208.18s]  Время
[2208.18s -> 2210.18s]  Я ошибся, ведущий немножко дебил
[2210.18s -> 2212.18s]  Такой пусть и получит
[2212.18s -> 2214.18s]  База
[2214.18s -> 2216.18s]  Да
[2216.18s -> 2218.18s]  Я ведущий
[2218.18s -> 2220.18s]  Я не ведущий
[2220.18s -> 2222.18s]  Я не ведущий
[2222.18s -> 2224.18s]  Не, чуваки
[2224.18s -> 2226.18s]  Проиграли вы, вы и будете получать
[2226.18s -> 2228.18s]  А точнее
[2228.18s -> 2230.18s]  Чего все меня хочу тут
