[3.89s -> 18.61s]  ДИНАМИЧНАЯ МУЗЫКА
[980.92s -> 981.92s]  Да, бог с ним с новостями
[981.92s -> 982.92s]  Настя ведет блог на ютюбе
[982.92s -> 983.92s]  Серьезно?
[983.92s -> 984.92s]  Да
[984.92s -> 985.92s]  Новости подождут
[985.92s -> 986.92s]  А, милая, скажи
[986.92s -> 987.92s]  Ну видно, что она сука
[987.92s -> 988.92s]  Да
[988.92s -> 989.92s]  Ничего страшного, что на рядом сидим
[989.92s -> 990.92s]  Будем обсуждать
[990.92s -> 991.92s]  Без проблем
[991.92s -> 992.92s]  Ну ты же такая сучка же
[992.92s -> 993.92s]  Скажи, есть такое?
[993.92s -> 994.92s]  Конечно
[994.92s -> 997.92s]  Мы точно будем это все долго смотреть?
[997.92s -> 999.92s]  Это видео длится долго
[999.92s -> 1000.92s]  Да не страшно, мы нарежем
[1000.92s -> 1001.92s]  Что значит долго?
[1001.92s -> 1002.92s]  2,5 минуты
[1002.92s -> 1004.92s]  Ты говорила 5 минут мало, а сейчас 2,5 и долго
[1005.92s -> 1007.92s]  А, я думала минут 15
[1007.92s -> 1008.92s]  Это твое видео
[1008.92s -> 1010.92s]  Да я не помню, это давно было
[1010.92s -> 1012.92s]  Я каждый месяц думаю иначе
[1012.92s -> 1014.92s]  Я каждый месяц думаю иначе
[1014.92s -> 1015.92s]  Меняюсь
[1015.92s -> 1018.92s]  Для вас тут новое полезное тоже поставь лайк и подпишись
[1018.92s -> 1020.92s]  На моем канале будет еще много интересных видосов
[1020.92s -> 1022.92s]  Тетья, это чаще всего бывает на рангах
[1022.92s -> 1023.92s]  Спойлер нет
[1023.92s -> 1025.92s]  Это был последний видос на канале
[1027.92s -> 1029.92s]  И чтобы в ответить на ваши смс
[1029.92s -> 1032.92s]  Ей нужно время, пока она найдет свободных 5 минут это сделать
[1032.92s -> 1034.92s]  Соответственно она же такая вся занятая
[1034.92s -> 1037.92s]  Ей на вас пофиг, еще бы она писала вам первое
[1037.92s -> 1039.92s]  Вот тут она выложилась с душой
[1039.92s -> 1041.92s]  Сразу видно ее причина номер один
[1041.92s -> 1042.92s]  Да?
[1042.92s -> 1043.92s]  Какая?
[1043.92s -> 1046.92s]  Я уже забыла, о чем я тут говорила
[1046.92s -> 1050.92s]  Ты рассказываешь, почему никогда не делаешь тату на лице
[1050.92s -> 1051.92s]  Да?
[1051.92s -> 1052.92s]  Нет
[1052.92s -> 1053.92s]  Нет
[1053.92s -> 1055.92s]  Почему девушка не пишет первое?
[1055.92s -> 1056.92s]  Потому что она занятая?
[1056.92s -> 1058.92s]  Да, потому что она королева
[1058.92s -> 1059.92s]  Как проверить?
[1059.92s -> 1061.92s]  Играли это или ты действительно не интересен девушке?
[1061.92s -> 1062.92s]  Пропади
[1062.92s -> 1065.92s]  Просто вообще пропади на какое-то определенное время
[1065.92s -> 1067.92s]  Пусть это будет несколько дней, недели
[1067.92s -> 1068.92s]  Смотря как вы часто общаетесь
[1068.92s -> 1070.92s]  И не пиши абсолютно ничего
[1070.92s -> 1072.92s]  Не отвечай ни на какие stories
[1072.92s -> 1073.92s]  Я уверена, что если девушка...
[1073.92s -> 1075.92s]  *** не унесу, я вообще не согласна
[1075.92s -> 1077.92s]  Ребят, заберите эти слова обратное
[1077.92s -> 1078.92s]  Это полная фигня
[1078.92s -> 1079.92s]  Пропадать не надо
[1079.92s -> 1080.92s]  Это полная лажа
[1080.92s -> 1082.92s]  Я тут тупая еще, маленькая
[1083.92s -> 1084.92s]  Чисто...
[1084.92s -> 1085.92s]  Внимание назад
[1085.92s -> 1086.92s]  ***** просто
[1086.92s -> 1087.92s]  Нет, забудьте вообще
[1087.92s -> 1089.92s]  Я это говорила, но я передумала
[1089.92s -> 1090.92s]  Когда она выложила?
[1090.92s -> 1091.92s]  Это 8 месяцев назад
[1091.92s -> 1092.92s]  А, маленькая
[1092.92s -> 1093.92s]  Я каждый месяц...
[1093.92s -> 1094.92s]  Нет, все, до свидания
[1094.92s -> 1097.92s]  Эти слова глупости, не слушайте меня, глупые
[1097.92s -> 1100.92s]  А вот какое период за последние 8 месяцев ты раз и поумнела?
[1100.92s -> 1101.92s]  Майя
[1101.92s -> 1102.92s]  Майя?
[1102.92s -> 1103.92s]  Что случилось?
[1103.92s -> 1104.92s]  Что случилось?
[1104.92s -> 1105.92s]  Яблоки начала активно есть
[1105.92s -> 1106.92s]  Морковку, фрукты
[1106.92s -> 1107.92s]  Перестала ходить в секрет, понимаешь?
[1107.92s -> 1109.92s]  А, в секрет, там ты быстро умеешь
[1109.92s -> 1110.92s]  Перестала ходить
[1110.92s -> 1111.92s]  А, перестала ходить?
[1111.92s -> 1112.92s]  Перестала, да, редко
[1112.92s -> 1113.92s]  Очень редко
[1113.92s -> 1114.92s]  Очень редко
[1114.92s -> 1121.92s]  Я, знаешь, что, под конец вообще хочу показать, каким ребенком была Настя Русалка
[1121.92s -> 1122.92s]  Я не скрыла свой сериал
[1122.92s -> 1123.92s]  Ты маленький
[1123.92s -> 1124.92s]  Да
[1124.92s -> 1125.92s]  А сколько там просмотров?
[1125.92s -> 1126.92s]  Это 9 лет назад
[1126.92s -> 1127.92s]  9 миллионов просмотров
[1127.92s -> 1128.92s]  Нет, здесь 45 тысяч просмотров
[1128.92s -> 1129.92s]  Спасибо
[1129.92s -> 1130.92s]  Там было и больше, там и миллион был
[1130.92s -> 1131.92s]  Да
[1131.92s -> 1132.92s]  Девочка Русалка
[1132.92s -> 1135.92s]  Девочка Русалка назывался сериал, Настя делала свой сериал
[1135.92s -> 1136.92s]  Она...
[1136.92s -> 1137.92s]  Сколько лет?
[1137.92s -> 1138.92s]  9 лет назад
[1138.92s -> 1139.92s]  12, 13?
[1139.92s -> 1140.92s]  11, 10, 11
[1140.92s -> 1142.92s]  Ну, вот это вот, если мало, в 10-11 лет
[1142.92s -> 1143.92s]  10-11 лет ей было
[1143.92s -> 1147.92s]  И посмотрите, какими бывают дети и какими они становятся
[1147.92s -> 1149.92s]  Я заморожу воду
[1154.92s -> 1156.92s]  10 лет назад, эффектная
[1156.92s -> 1157.92s]  Да
[1157.92s -> 1158.92s]  На старом компьютере
[1158.92s -> 1161.92s]  Что ж, ты понимала, она час ждала еще, что будет в этот момент
[1161.92s -> 1162.92s]  Да
[1162.92s -> 1163.92s]  И она не снимала ничего
[1163.92s -> 1164.92s]  Да
[1164.92s -> 1167.92s]  Да, больше часа, чтоб такой лед был, это больше часа ждала
[1168.92s -> 1171.92s]  Это доказывает, что там уже летом от нас был гениальным
[1172.92s -> 1179.24s]  Замораживать умею
[1181.24s -> 1183.24s]  Замораживать умею, да
[1183.24s -> 1184.24s]  Ни куя себе
[1184.24s -> 1187.24s]  Ты как выяснился со временем, и отмораживать тоже
[1188.24s -> 1190.24s]  Чтобы ты понимал, у нее была кличка
[1190.24s -> 1193.24s]  Ну, она взяла себе никнейм, Настя Юнгер
[1193.24s -> 1194.24s]  Это что?
[1194.24s -> 1196.24s]  Я сначала думал, это как-то с ССС связано
[1197.24s -> 1200.24s]  Но оказалось, что Юнгер Эрнст
[1200.24s -> 1202.24s]  Это немецкий писатель
[1203.24s -> 1205.24s]  Первую мировую войну воевал на фронте
[1205.24s -> 1207.24s]  Она с войной очень любит войну
[1207.24s -> 1209.24s]  У меня все было гораздо проще
[1209.24s -> 1212.24s]  Я была в лагере, там говорили Юнга, и мне просто в голове это образовалось
[1213.24s -> 1216.24s]  Ну вот, и сейчас Настя Витонова стала вот такой
[1216.24s -> 1218.24s]  Ну нет, уже не такой
[1218.24s -> 1220.24s]  Почему? Вот сейчас ты вот такая, как ты здесь
[1220.24s -> 1222.24s]  Настоящая, и вот сейчас записывают такие треки
[1224.24s -> 1225.24s]  Чтоб вы понимали просто
[1239.20s -> 1240.20s]  Текст, дайте мне текст
[1246.20s -> 1248.20s]  Я сказала хватит, что ты гонишь, что заплати
[1248.20s -> 1250.20s]  Я достаю ствол, руки на стол
[1250.20s -> 1252.20s]  Это в моей хате, но не на моей кровати
[1252.20s -> 1254.20s]  Бэн-бэн-кроу, сорвашь танцпол
[1254.20s -> 1256.20s]  Я сказала хватит, что ты гонишь, что заплати
[1256.20s -> 1258.20s]  Колено не щеки
[1264.20s -> 1266.20s]  Тебе нравится эта песня?
[1266.20s -> 1268.20s]  Какая-то странная песня
[1268.20s -> 1271.20s]  А я недавно, сейчас у меня новая скорая выходит, хочу не снимать
[1272.20s -> 1273.20s]  Новая песня?
[1274.20s -> 1275.20s]  Новая песня выходит
[1275.20s -> 1276.20s]  Давайте новую
[1281.18s -> 1283.18s]  А нет ощущения, что это тоже самое?
[1283.18s -> 1284.18s]  Нет
[1284.18s -> 1285.18s]  Есть
[1285.18s -> 1286.18s]  Сейчас Нахпанк
[1298.90s -> 1299.90s]  Энстасанка?
[1300.90s -> 1301.90s]  Энстасанка вообще не поет
[1301.90s -> 1303.90s]  Я тут пою, если я не толку
[1303.90s -> 1305.90s]  Энстасанка не поет, а все отхуй
[1305.90s -> 1306.90s]  Я не такая
[1306.90s -> 1307.90s]  Да, да, да
[1307.90s -> 1308.90s]  Я пою
[1308.90s -> 1310.90s]  Это был вокал вообще
[1310.90s -> 1311.90s]  Это не было
[1311.90s -> 1312.90s]  Это вокал, да
[1312.90s -> 1315.90s]  Не пусти Джуси на туси, маме туси на Джуси
[1315.90s -> 1316.90s]  Видишь, ты даже не с тобой исполнила
[1316.90s -> 1317.90s]  Она *******
[1317.90s -> 1319.90s]  А ну-ка давай свою песню, блин, АКП
[1320.90s -> 1323.90s]  Не грузи него, у меня все хорошо
[1323.90s -> 1325.90s]  Ты хотел меня, но я устроил тебе шоу
[1325.90s -> 1328.90s]  Маффлоу на улицах ты будешь заражен
[1328.90s -> 1331.90s]  Это все, что я хотела, комментарий запрещен
[1331.90s -> 1332.90s]  Именно комментарий
[1332.90s -> 1333.90s]  Комментарий запрещен
[1333.90s -> 1335.90s]  Ты секс, детка, похлопай ей
[1337.90s -> 1338.90s]  Потрясающе
[1338.90s -> 1339.90s]  Молодец
[1339.90s -> 1341.90s]  Как хорошо, что у нас есть такие талантливые друзья
[1341.90s -> 1342.90s]  Да
[1342.90s -> 1343.90s]  Это потрясающе
[1343.90s -> 1344.90s]  Это потрясающе
[1344.90s -> 1345.90s]  Как еда?
[1345.90s -> 1346.90s]  То, что мы попробовали
[1346.90s -> 1347.90s]  Каша прикольная, на самом деле
[1347.90s -> 1349.90s]  Я такую кашу и попробовала
[1349.90s -> 1350.90s]  Завтрак нормальный
[1350.90s -> 1351.90s]  Сладкость и сладкие
[1351.90s -> 1352.90s]  Нормальная, вкусная
[1352.90s -> 1353.90s]  Не, вкусная сладость
[1353.90s -> 1354.90s]  Нормальная
[1354.90s -> 1355.90s]  Еда нормальная
[1355.90s -> 1356.90s]  В прошлый раз мы заказывали из какого-то
[1356.90s -> 1357.90s]  Old Trade Pub
[1357.90s -> 1358.90s]  Фу, *****
[1358.90s -> 1359.90s]  Да, да, да
[1359.90s -> 1360.90s]  Даже Настя, которая у нас любит еду подъедать
[1360.90s -> 1361.90s]  После выпуска, она сказала
[1361.90s -> 1362.90s]  Фу, *****, *****
[1362.90s -> 1363.90s]  Я не буду после вас подъедать
[1363.90s -> 1364.90s]  Да
[1365.90s -> 1366.90s]  Тебе понравилось?
[1366.90s -> 1367.90s]  Да, мне очень понравилось
[1367.90s -> 1368.90s]  Да, забирай
[1368.90s -> 1369.90s]  Короче, ну что?
[1369.90s -> 1371.90s]  Чтобы Рутуб стоял и просмотра были, как говорится
[1374.90s -> 1378.90s]  Ребята, спасибо, что позвали меня на это прекрасное шоу
[1379.90s -> 1381.90s]  За то, что я здесь очень вкусно поела
[1381.90s -> 1382.90s]  Можно и так
[1383.90s -> 1384.90s]  Очень вкусно поела
[1384.90s -> 1385.90s]  Очень много посмеялась
[1385.90s -> 1386.90s]  Продлила себе жизнь
[1386.90s -> 1388.90s]  За то, что вы такие прекрасные ребята
[1388.90s -> 1390.90s]  И я хочу с вами проститься
[1391.90s -> 1392.90s]  Прости, простите меня
[1392.90s -> 1393.90s]  Всем пока
[1397.90s -> 1399.90s]  Спасибо большое, это был шоу Хошлова
[1399.90s -> 1401.90s]  Подписывайтесь, ставьте лайки, оставляйте комментарии
[1401.90s -> 1403.90s]  Делайте, что хотите, жизнь ваша
[1403.90s -> 1405.90s]  Всем спасибо, все свободны
[1405.90s -> 1406.90s]  Что это?
[1406.90s -> 1407.90s]  Мудрость, мудрость, Аветик, мудрость
[1407.90s -> 1408.90s]  И про меня не забывайте
[1408.90s -> 1409.90s]  Не забывайте про нас
[1409.90s -> 1410.90s]  Трек
[1410.90s -> 1411.90s]  Мудрость
[1412.90s -> 1413.90s]  Все говно кроме мальчика
