[0.11s -> 2.11s]  Вы Анатолий Фиолетов?
[1095.82s -> 1097.82s]  Возможно, также там есть целая корова.
[1099.82s -> 1101.82s]  Привет, ребята.
[1101.82s -> 1103.82s]  Смотрите на эту картину.
[1103.82s -> 1105.82s]  Знаете, кто это?
[1105.82s -> 1107.82s]  Животное.
[1107.82s -> 1109.82s]  Это кот. Говорят, что это символ воронежа.
[1109.82s -> 1111.82s]  Скажите, пожалуйста,
[1111.82s -> 1113.82s]  обменяли ли вы
[1113.82s -> 1115.82s]  эту картину на стакан молока?
[1115.82s -> 1117.82s]  Нам очень нужен стакан...
[1117.82s -> 1119.82s]  Да, правда?
[1119.82s -> 1121.82s]  Помогите нам, пожалуйста.
[1121.82s -> 1123.82s]  И вы ее потом повесите у себя в кофейне?
[1123.82s -> 1125.82s]  Где-нибудь поставим.
[1125.82s -> 1127.82s]  Круто, у тебя есть своя галерея.
[1129.82s -> 1131.82s]  А ну-ка быстро валим.
[1131.82s -> 1133.82s]  Спасибо вам большое.
[1133.82s -> 1135.82s]  Киса!
[1135.82s -> 1137.82s]  Любимый, родной!
[1137.82s -> 1139.82s]  Мы все сделали, мы все нашли.
[1139.82s -> 1141.82s]  Он думал, что у нас не получится.
[1141.82s -> 1143.82s]  Мы идем красивой походкой.
[1143.82s -> 1145.82s]  Здесь молочко.
[1145.82s -> 1147.82s]  У вас довезет такси.
[1147.82s -> 1154.26s]  Водитель выдал нам инсайдерскую информацию
[1154.26s -> 1156.26s]  о том, что нам нужно в музей
[1156.26s -> 1158.26s]  Петровские корабли.
[1158.26s -> 1160.26s]  Петровские корабли
[1160.26s -> 1162.26s]  это малый тематический музей,
[1162.26s -> 1164.26s]  экспозиция которого посвящена
[1164.26s -> 1166.26s]  зарождению в Воронеже
[1166.26s -> 1168.26s]  русского военно-морского флота.
[1168.26s -> 1170.26s]  Узнаем, разбираются ли наши участники
[1170.26s -> 1172.26s]  в кораблестроении.
[1172.26s -> 1174.26s]  Воронеж. Колыбель русского военного морского флота.
[1174.26s -> 1176.26s]  Сейчас-то мы как раз это и узнаем.
[1176.26s -> 1178.26s]  Вау, как красиво здесь.
[1178.26s -> 1180.26s]  Уважаемые гости,
[1180.26s -> 1182.26s]  приветствую вас
[1182.26s -> 1184.26s]  на Воронежской земле
[1184.26s -> 1186.26s]  в музее Петровские корабли.
[1186.26s -> 1188.26s]  Один из вас надевает шокер,
[1188.26s -> 1190.26s]  а второй отвечает на вопросы.
[1190.26s -> 1192.26s]  За каждый неправильный ответ
[1192.26s -> 1194.26s]  ваш напарник получит удар
[1194.26s -> 1196.26s]  током. На ответ три секунды.
[1196.26s -> 1198.26s]  Кого, по мнению Петра I,
[1198.26s -> 1200.26s]  не стоит брать в плавание?
[1200.26s -> 1202.26s]  Ответ.
[1202.26s -> 1204.26s]  А!
[1204.26s -> 1206.26s]  Еще не сказал.
[1206.26s -> 1208.26s]  Что сделал?
[1208.26s -> 1210.26s]  Детей до восемнадцати лет.
[1210.26s -> 1212.26s]  А.
[1212.26s -> 1214.26s]  Б. Женщин.
[1214.26s -> 1216.26s]  Ну скажи
[1216.26s -> 1218.26s]  что-нибудь.
[1218.26s -> 1220.26s]  Детей до восемнадцати лет.
[1220.26s -> 1222.26s]  Ай!
[1222.26s -> 1224.26s]  Ты что?
[1224.26s -> 1226.26s]  Это неправильный ответ?
[1226.26s -> 1228.26s]  Я из Кемерово, я сейчас драться буду.
[1228.26s -> 1230.26s]  Неправильный, неправильный.
[1230.26s -> 1232.26s]  Как переводится название
[1232.26s -> 1234.26s]  корабля ГОТа при дистинации?
[1234.26s -> 1236.26s]  Вопрос. Ответ номер А.
[1236.26s -> 1238.26s]  Прощание с ГОТами.
[1238.26s -> 1240.26s]  Б.
[1240.26s -> 1242.26s]  Божье предвидение.
[1242.26s -> 1244.26s]  Прощание с ГОТами.
[1244.26s -> 1246.26s]  Да ты иди уже!
[1246.26s -> 1248.26s]  Ты специально!
[1248.26s -> 1250.26s]  Ты специально это делаешь!
[1250.26s -> 1252.26s]  Ну как?
[1252.26s -> 1254.26s]  А что я должен был ответить?
[1254.26s -> 1256.26s]  Жень, тебе больно?
[1256.26s -> 1258.26s]  Ну вы все сами поняли,
[1258.26s -> 1260.26s]  правильное название Божье предвидение.
[1260.26s -> 1262.26s]  Какое животное
[1262.26s -> 1264.26s]  нужно выжить
[1264.26s -> 1266.26s]  на трех затонувших кораблях?
[1266.26s -> 1268.26s]  Вот это животное!
[1268.26s -> 1270.26s]  А.
[1270.26s -> 1272.26s]  Кот.
[1272.26s -> 1274.26s]  Б. Собака.
[1274.26s -> 1276.26s]  Поскольку...
[1276.26s -> 1278.26s]  Ай! Поскольку неправильно!
[1278.26s -> 1280.26s]  Прости.
[1280.26s -> 1282.26s]  Поскольку мы
[1282.26s -> 1284.26s]  сегодня взаимодействовали очень много с котом
[1284.26s -> 1286.26s]  и с собакой, но с собакой взаимодействовали меньше,
[1286.26s -> 1288.26s]  поэтому ответ будет собака.
[1288.26s -> 1290.26s]  Правильный ответ.
[1290.26s -> 1292.26s]  А.
[1292.26s -> 1294.26s]  Кот.
[1294.26s -> 1296.26s]  Ай! Собака!
[1296.26s -> 1298.26s]  Жень, что, больно?
[1298.26s -> 1300.26s]  Я тут потянула,
[1300.26s -> 1302.26s]  дальше выиграете!
[1302.26s -> 1304.26s]  Печь предложения
[1304.26s -> 1306.26s]  не мучить больше.
[1306.26s -> 1308.26s]  Поменяться?
[1308.26s -> 1310.26s]  Все готовы?
[1310.26s -> 1312.26s]  Кто это сделал из вас?
[1312.26s -> 1314.26s]  Кому в итоге продали
[1314.26s -> 1316.26s]  ГОТы предестинацию?
[1316.26s -> 1318.26s]  А.
[1318.26s -> 1320.26s]  Турком.
[1320.26s -> 1322.26s]  Б. Шведом.
[1322.26s -> 1324.26s]  Я не знаю!
[1324.26s -> 1326.26s]  Я знаю. Правильный ответ.
[1326.26s -> 1328.26s]  Если ты сейчас ответишь неправильно...
[1328.26s -> 1332.86s]  А!
[1332.86s -> 1334.86s]  Ну почему вы так делаете, уроды?
[1334.86s -> 1336.86s]  Хотя подождите!
[1336.86s -> 1338.86s]  Его уже ударило.
[1338.86s -> 1340.86s]  А, уже нельзя сказать правильный ответ.
[1340.86s -> 1342.86s]  Турком, турком. Я меняю свой ответ.
[1342.86s -> 1344.86s]  Правильный ответ.
[1344.86s -> 1346.86s]  Следующий вопрос.
[1346.86s -> 1348.86s]  За что
[1348.86s -> 1350.86s]  Петр Первый
[1350.86s -> 1352.86s]  усредил медаль?
[1352.86s -> 1354.86s]  А. За электрошокер.
[1354.86s -> 1356.86s]  За драки.
[1356.86s -> 1358.86s]  А, да, это был правильный ответ.
[1358.86s -> 1360.86s]  Б. За пьянство.
[1360.86s -> 1362.86s]  Медаль?
[1362.86s -> 1364.86s]  Секундочку.
[1364.86s -> 1366.86s]  По-любому, за пьянство.
[1366.86s -> 1368.86s]  За пьянство.
[1368.86s -> 1370.86s]  Короче, что-то такое, я помню.
[1370.86s -> 1372.86s]  За пьянство.
[1372.86s -> 1374.86s]  Женя, не ври людям, ты не знаешь ничего.
[1374.86s -> 1376.86s]  Чтобы люди видели, что человек с медалью,
[1376.86s -> 1378.86s]  и ему было стыдно. Что-то такое.
[1378.86s -> 1380.86s]  Я это знаю. Я на самом деле очень умная женщина.
[1380.86s -> 1382.86s]  Пожалуйста, прочитайте правильный ответ.
[1382.86s -> 1384.86s]  Правильный ответ.
[1384.86s -> 1386.86s]  За пьянство.
[1386.86s -> 1388.86s]  Для информации.
[1388.86s -> 1390.86s]  Вес медали почти 7 кг.
[1390.86s -> 1392.86s]  Вешали в полицейском участке.
[1392.86s -> 1394.86s]  И тот, кому вешали,
[1394.86s -> 1396.86s]  должен был носить эту медаль
[1396.86s -> 1398.86s]  7 дней.
[1398.86s -> 1400.86s]  Уважаемые друзья,
[1400.86s -> 1402.86s]  наша викторина подошла к концу.
[1402.86s -> 1404.86s]  Всем спасибо.
[1404.86s -> 1406.86s]  Спасибо вам большое.
[1406.86s -> 1408.86s]  Сюда иди, Искандер.
[1408.86s -> 1410.86s]  Нет, я, наверное, пойду, у меня там еще дела.
[1410.86s -> 1412.86s]  Извините, а куда нам дальше?
[1412.86s -> 1414.86s]  Надо было лучше отвечать на вопросы.
[1414.86s -> 1416.86s]  На следующей точке вы идете пешком,
[1416.86s -> 1418.86s]  а съемочная группа едет на машине.
[1420.86s -> 1424.87s]  Мы тупые, Жень!
[1424.87s -> 1426.87s]  Нет, потому что мы на зло друг другу
[1426.87s -> 1428.87s]  сдавали неправильный ответ.
[1428.87s -> 1430.87s]  Были друг друга толком.
[1430.87s -> 1432.87s]  Вот так не надо больше делать никогда.
[1432.87s -> 1434.87s]  Мне так было классно тебя так вот
[1434.87s -> 1436.87s]  вот так ты делала.
[1436.87s -> 1438.87s]  Мне тоже было весело, когда тебя било.
[1438.87s -> 1440.87s]  Есть в Воронеже и весьма необычные
[1440.87s -> 1442.87s]  достопримечательности.
[1442.87s -> 1444.87s]  Владелец магазина шапок Фомас
[1444.87s -> 1446.87s]  талантливая личность.
[1446.87s -> 1448.87s]  Ведь его рекламные ролики известны
[1448.87s -> 1450.87s]  далеко за пределами города.
[1450.87s -> 1452.87s]  Шапки Фомас!
[1452.87s -> 1454.87s]  Именно он и приготовил для наших героев
[1454.87s -> 1456.87s]  их финальное испытание.
[1456.87s -> 1458.87s]  Смотри, написано шапки!
[1458.87s -> 1460.87s]  Отправляйтесь на улицу и заманите
[1460.87s -> 1462.87s]  магазин Николая. Взамен он подарит вам
[1462.87s -> 1464.87s]  шапки и отдаст финальную
[1464.87s -> 1466.87s]  подсказку.
[1466.87s -> 1468.87s]  Заходите в магазин шапок, пожалуйста!
[1468.87s -> 1470.87s]  Обязательно заходите!
[1470.87s -> 1472.87s]  Привет!
[1472.87s -> 1474.87s]  Не получилось!
[1474.87s -> 1476.87s]  Берем другую тактику.
[1476.87s -> 1478.87s]  Здравствуйте!
[1478.87s -> 1480.87s]  Нам очень надо, чтобы вы зашли в магазин шапок.
[1480.87s -> 1482.87s]  Просто зашли!
[1482.87s -> 1484.87s]  На минутку!
[1484.87s -> 1486.87s]  Вы уже куда-то торопитесь!
[1486.87s -> 1488.87s]  Девушка!
[1488.87s -> 1490.87s]  Здравствуйте! Вы не сильно торопитесь?
[1490.87s -> 1492.87s]  Что?
[1492.87s -> 1494.87s]  Здравствуйте! Вы не сильно торопитесь?
[1494.87s -> 1496.87s]  Извини!
[1496.87s -> 1498.87s]  Стой!
[1498.87s -> 1500.87s]  Подожди! Ты так сильно не набрасывай!
[1500.87s -> 1502.87s]  Зайдите, пожалуйста, на минутку в магазин шапок!
[1502.87s -> 1504.87s]  Привет!
[1504.87s -> 1506.87s]  Очень надо!
[1506.87s -> 1508.87s]  Пожалуйста, там столько всего!
[1508.87s -> 1510.87s]  Пойдемте!
[1510.87s -> 1512.87s]  Заходите!
[1512.87s -> 1514.87s]  Вот!
[1514.87s -> 1516.87s]  Пожалуйста, заходите!
[1516.87s -> 1518.87s]  Ведем их?
[1518.87s -> 1520.87s]  Да!
[1520.87s -> 1522.87s]  Вот!
[1522.87s -> 1524.87s]  Умочка, подожди!
[1524.87s -> 1526.87s]  Это к фиолетту!
[1526.87s -> 1528.87s]  Можно я?
[1528.87s -> 1530.87s]  Это будет реально круто!
[1530.87s -> 1532.87s]  Ты знаешь о том, что сейчас
[1532.87s -> 1534.87s]  касинки в тренде?
[1534.87s -> 1536.87s]  Подожди, мы должны его уделать.
[1536.87s -> 1538.87s]  Кстати, тебе идет платок!
[1538.87s -> 1540.87s]  Офигенно!
[1540.87s -> 1542.87s]  Жень!
[1542.87s -> 1544.87s]  Нет, это модно!
[1544.87s -> 1546.87s]  У тебя тюрбан на голове!
[1546.87s -> 1548.87s]  Просто идеальный!
[1548.87s -> 1550.87s]  Я знаю! Мы хорошие!
[1550.87s -> 1552.87s]  Только ценник мешает!
[1552.87s -> 1554.87s]  Ценник никогда не мешает!
[1554.87s -> 1556.87s]  Я хочу, чтобы все видели, что я дорогая штучка!
[1556.87s -> 1558.87s]  Николай пришел!
[1558.87s -> 1560.87s]  Идем на кассу!
[1560.87s -> 1562.87s]  Ура!
[1562.87s -> 1564.87s]  Девчонки, спасибо вам большое!
[1564.87s -> 1566.87s]  Вам понравились наши аутфиты,
[1566.87s -> 1568.87s]  которые мы вам собрали?
[1568.87s -> 1570.87s]  Я в целом не хочу снимать!
[1570.87s -> 1572.87s]  Молодец!
[1572.87s -> 1574.87s]  Я в шапке, могу себе позволить?
[1574.87s -> 1576.87s]  Сойми!
[1578.87s -> 1580.87s]  Вы справились с заданием!
[1580.87s -> 1582.87s]  Вот ваша подсказка!
[1582.87s -> 1584.87s]  Спасибо большое!
[1584.87s -> 1586.87s]  Звание почетного гражданина ждет вас тут!
[1599.46s -> 1601.46s]  Ребята!
[1601.46s -> 1603.46s]  Давайте возвращайте телефоны!
[1603.46s -> 1605.46s]  Давайте, пожалуйста, телефон!
[1605.46s -> 1607.46s]  Телефоны у нас, а это значит,
[1607.46s -> 1609.46s]  что мы на финишной прямой!
[1609.46s -> 1616.68s]  Побежали!
[1616.68s -> 1618.68s]  Я посмотрела нам туда!
[1618.68s -> 1620.68s]  Ты понимаешь, что на самом деле
[1620.68s -> 1622.68s]  мы действительно на финишной прямой!
[1622.68s -> 1624.68s]  И мы прямо сейчас получим звание
[1624.68s -> 1626.68s]  почетного гражданина!
[1628.68s -> 1630.68s]  Гражданина!
[1630.68s -> 1632.68s]  Мы герои!
[1632.68s -> 1634.68s]  Мы прошли этот день фактически ногами!
[1634.68s -> 1636.68s]  Фактически весь город!
[1636.68s -> 1638.68s]  Узнали много интересного!
[1638.68s -> 1640.68s]  Открыли много крутых познавательных мест!
[1640.68s -> 1642.68s]  Познакомились с людьми!
[1642.68s -> 1644.68s]  Даже встретили артиста балетной труппы!
[1644.68s -> 1646.68s]  Молодец!
[1646.68s -> 1648.68s]  Это было просто незабываемо!
[1648.68s -> 1650.68s]  Все, мы где-то на месте!
[1650.68s -> 1652.68s]  Начинается становиться холодно!
[1652.68s -> 1654.68s]  Дождливо!
[1654.68s -> 1656.68s]  И у нас есть шапки!
[1656.68s -> 1658.68s]  Все, надеваем!
[1658.68s -> 1660.68s]  И...
[1660.68s -> 1662.68s]  Теперь тепло, хорошо!
[1662.68s -> 1664.68s]  Нам надо найти...
[1664.68s -> 1666.68s]  Человека вон!
[1666.68s -> 1668.68s]  Ура, Женя!
[1668.68s -> 1670.68s]  Наконец-то!
[1670.68s -> 1672.68s]  Замерзли!
[1672.68s -> 1674.68s]  Ура!
[1674.68s -> 1676.68s]  Мне кажется, этот букет
[1676.68s -> 1678.68s]  для милой дамы!
[1678.68s -> 1680.68s]  Спасибо!
[1680.68s -> 1682.68s]  Это тебе!
[1682.68s -> 1684.68s]  Спасибо!
[1684.68s -> 1686.68s]  Это очень круто!
[1686.68s -> 1688.68s]  Это что значит?
[1688.68s -> 1690.68s]  Все, мы почетные граждане!
[1690.68s -> 1692.68s]  Спасибо!
[1692.68s -> 1694.68s]  Мы почетные граждане!
[1694.68s -> 1696.68s]  Ура!
[1696.68s -> 1698.68s]  Друзья, наконец-то!
[1698.68s -> 1700.68s]  Мы прошли этот квест!
[1700.68s -> 1702.68s]  Награды мы победители!
[1702.68s -> 1704.68s]  Мы почетные граждане!
[1704.68s -> 1706.68s]  Мы кто? Ма-ла-фы!
[1706.68s -> 1708.68s]  Наши участники
[1708.68s -> 1710.68s]  получили звание почетных граждан
[1710.68s -> 1712.68s]  самобытного города,
[1712.68s -> 1714.68s]  который не догонишь!
[1714.68s -> 1716.68s]  Не зря котенок с улицы Лезюкова
[1716.68s -> 1718.68s]  говорил, что лучше Воронежа
[1718.68s -> 1720.68s]  нет города нигде!
[1720.68s -> 1722.68s]  А может быть и есть?
[1722.68s -> 1724.68s]  Узнаем в следующем выпуске
[1724.68s -> 1726.68s]  зимнего сезона шоу
[1726.68s -> 1728.68s]  Почетные гражданин!
[1728.68s -> 1730.68s]  Смотрите наши выпуски!
[1730.68s -> 1732.68s]  Следующие и предыдущие!
[1732.68s -> 1734.68s]  А пока-пока!
