[0.00s -> 1.00s]  шоу мат
[1071.33s -> 1073.33s]  Герман становится все ближе к 35 000 рублей.
[1073.33s -> 1075.33s]  Герман становится все ближе к 35 000 рублей.
[1075.33s -> 1077.33s]  Ты с кочергой пошел на него?
[1077.33s -> 1079.33s]  Ты с кочергой пошел на него?
[1079.33s -> 1081.33s]  Он все лутает, у него сотка, короче, хп.
[1081.33s -> 1083.33s]  Он все лутает, у него сотка, короче, хп.
[1083.33s -> 1085.33s]  Его не пробить.
[1085.33s -> 1087.33s]  И что это происходит сейчас?
[1087.33s -> 1089.33s]  Это получается Гром.
[1089.33s -> 1091.33s]  Пойм бланк и победил.
[1091.33s -> 1093.33s]  Пойм бланк, моя любовь с тобой,
[1093.33s -> 1100.55s]  я пока светлый в кровь.
[1100.55s -> 1102.55s]  И абсолютным чемпионом
[1102.55s -> 1104.55s]  карты кроссфайла
[1104.55s -> 1106.55s]  становится Громчке3e.
[1106.55s -> 1108.55s]  Мы поздравляем вас, Герман.
[1108.55s -> 1110.55s]  Мы поздравляем вас, Герман.
[1110.55s -> 1112.55s]  And the winner is
[1112.55s -> 1114.55s]  Герман Громчке!
[1114.55s -> 1116.55s]  Герман Громчке!
[1116.55s -> 1118.55s]  Я могу выиграть свою победу на этой карте.
[1118.55s -> 1120.55s]  Вообще очень круто. Я заберу, правда, этот чек домой.
[1120.55s -> 1122.55s]  Я, правда, не знаю.
[1122.55s -> 1124.55s]  Будет у меня в перспективе моя стримерская комната.
[1124.55s -> 1126.55s]  Я обязательно, кстати, туда повешу.
[1126.55s -> 1128.55s]  Первый чек Грома, кстати.
[1128.55s -> 1130.55s]  Это первый чек профессиональный за 35 000 долларов.
[1130.55s -> 1132.55s]  Это первый чек профессиональный за 35 000 долларов.
[1132.55s -> 1134.55s]  Сергей, будет какая-то послематчевая аналитика
[1134.55s -> 1136.55s]  от вас по прошедшей катке?
[1136.55s -> 1138.55s]  С человеком, который играл профессионально в Пойм бланк,
[1138.55s -> 1140.55s]  с ним очень трудно играть в эту игру,
[1140.55s -> 1142.55s]  поэтому тут не было никаких шансов.
[1142.55s -> 1144.55s]  Чисто на фарте.
[1144.55s -> 1146.55s]  С этого дня Герман,
[1146.55s -> 1148.55s]  aka пылесос Громов,
[1148.55s -> 1150.55s]  встречайте.
[1150.55s -> 1152.55s]  Звучит как оскорбление, но я согласен.
[1152.55s -> 1154.55s]  Мы тебя поздравляем.
[1154.55s -> 1156.55s]  Вам спасибо, что посмотрели.
[1156.55s -> 1158.55s]  Надеемся, что вам понравилось.
