[4.46s -> 9.10s]  ПЕС РЫЧИТ
[1221.82s -> 1223.82s]  в последний разок.
[1223.82s -> 1225.82s]  Сказал
[1225.82s -> 1227.82s]  алкоголизм. Не нужна запятая.
[1227.82s -> 1229.82s]  Вот смотрите, как интересно.
[1229.82s -> 1231.82s]  Ошибка не в этом.
[1231.82s -> 1233.82s]  Ошибка в том, что на вашем диктанте
[1233.82s -> 1235.82s]  нельзя писать матом.
[1235.82s -> 1237.82s]  Был бы совсем другой текст, гораздо более яркий.
[1237.82s -> 1239.82s]  Представляете, Николай,
[1239.82s -> 1241.82s]  вот есть места, где еще нельзя писать матом,
[1241.82s -> 1243.82s]  и это наш класс.
[1243.82s -> 1245.82s]  Но меня больше интересует другая история.
[1245.82s -> 1247.82s]  Выпей ко меня, здесь запятая
[1247.82s -> 1249.82s]  не нужна,
[1249.82s -> 1251.82s]  потому что это однородный член и союз.
[1251.82s -> 1253.82s]  Таня, осталось несколько строчек
[1253.82s -> 1255.82s]  тебе проверить до конца сказки.
[1255.82s -> 1257.82s]  Там в конце вместо подписи
[1257.82s -> 1259.82s]  можешь номерочек телефона мобильного.
[1259.82s -> 1261.82s]  Я сейчас вам напишу цифрку,
[1261.82s -> 1263.82s]  не сомневайтесь.
[1263.82s -> 1265.82s]  Как вы думаете,
[1265.82s -> 1267.82s]  какое количество ошибок
[1267.82s -> 1269.82s]  вы совершили?
[1269.82s -> 1271.82s]  Я думаю,
[1271.82s -> 1273.82s]  примерно столько же,
[1273.82s -> 1275.82s]  сколько было градусов в портвейне
[1275.82s -> 1277.82s]  Сан-Цидаро.
[1277.82s -> 1279.82s]  Ну что же, вы плохого мнения себе,
[1279.82s -> 1281.82s]  Николай, у вас ошибок гораздо
[1281.82s -> 1283.82s]  меньше, их всего лишь
[1283.82s -> 1285.82s]  13, чертова дюжина.
[1285.82s -> 1287.82s]  Как в полусладком шампанском?
[1287.82s -> 1289.82s]  Ну,
[1289.82s -> 1291.82s]  пускай вас греет это сравнение.
[1291.82s -> 1293.82s]  Итак, это могла бы быть двойка
[1293.82s -> 1295.82s]  по правилам нашей программы,
[1295.82s -> 1297.82s]  но в целом вы справились
[1297.82s -> 1299.82s]  намного лучше,
[1299.82s -> 1301.82s]  чем некоторые наши предыдущие
[1301.82s -> 1303.82s]  участники,
[1303.82s -> 1305.82s]  исключительно поэтому
[1305.82s -> 1307.82s]  я выставил вам тройку с плюсом.
[1307.82s -> 1309.82s]  Почему
[1309.82s -> 1311.82s]  перестали снимать фильмы
[1311.82s -> 1313.82s]  про взрослую школу?
[1313.82s -> 1315.82s]  Я вот помню, Весна-Назаричная улица,
[1315.82s -> 1317.82s]  Большая Еперемина, я больше не помню,
[1317.82s -> 1319.82s]  в наше время не снимают.
[1319.82s -> 1321.82s]  Если вы в Пегас
[1321.82s -> 1323.82s]  или кто к вам приходит,
[1323.82s -> 1325.82s]  вы сочините такое послание,
[1325.82s -> 1327.82s]  ну, допустим, в Министерство культуры.
[1327.82s -> 1329.82s]  А на сегодня все.
[1329.82s -> 1331.82s]  Я благодарю вас за эту программу.
[1331.82s -> 1333.82s]  Я благодарю вас
[1333.82s -> 1335.82s]  за «Диктант»
[1335.82s -> 1337.82s]  и за то, насколько внимательно
[1337.82s -> 1339.82s]  вы слушали мои тексты, которые я
[1339.82s -> 1341.82s]  по памяти оцитировал.
[1341.82s -> 1343.82s]  У меня сложилось впечатление,
[1343.82s -> 1345.82s]  что они вам понравились.
[1345.82s -> 1347.82s]  Итак, это было шоу «Диктант со звездой»,
[1347.82s -> 1349.82s]  и Николай Должанский получил 3 с плюсом
[1349.82s -> 1351.82s]  и неплохо справился.
[1351.82s -> 1353.82s]  Но все-таки я выгоняю его
[1353.82s -> 1355.82s]  из этого классного лобного места.
[1355.82s -> 1357.82s]  На сегодня все. До свидания.
