[0.00s -> 2.00s]  В любви этого, что-что.
[1131.09s -> 1133.09s]  мальчик, который выжил. Так что все в порядке.
[1133.09s -> 1135.09s]  Какое заклинание знаешь из Гарри Поттера?
[1135.09s -> 1137.09s]  Давай порепетируем. Вообще никакого. Я же
[1137.09s -> 1139.09s]  его не смотрел. Да, ты не смотрел?
[1141.09s -> 1143.09s]  Короче, ээээ...
[1143.09s -> 1145.09s]  Чиколюс редикулус.
[1145.09s -> 1147.09s]  Повтори. Чиколюс редикулус.
[1147.09s -> 1149.09s]  Нет, я этого точно не буду говорить.
[1149.09s -> 1151.09s]  Смелее, да-да-да. Вот, подходи к ней, подходи к ней.
[1151.09s -> 1153.09s]  Не бойся, не бойся. Да я не буду
[1153.09s -> 1155.09s]  ничего делать. Приветствую. Вы не
[1155.09s -> 1157.09s]  подскажете, где тут метро Алексеевское?
[1157.09s -> 1159.09s]  Какая?
[1159.09s -> 1161.09s]  Какое  метро Алексеевское? Ты говоришь...
[1161.09s -> 1163.09s]  Просто...
[1163.09s -> 1165.09s]  Просто хотел у вас
[1165.09s -> 1167.09s]  подзнакомиться с вами.
[1167.09s -> 1169.09s]  Ну...
[1169.09s -> 1171.09s]  А, тогда извините. Нет-нет-нет,
[1171.09s -> 1173.09s]  не сдавайся. Покажи ей палочку свою. Покажи ей
[1173.09s -> 1175.09s]  свою палочку. Нет, она... Куда там шел?
[1175.09s -> 1177.09s]  Вернись и покажи палочку.
[1177.09s -> 1179.09s]  Нет, она ждет парня.
[1179.09s -> 1181.09s]  Давай со стороны. Ты просто ходишь
[1181.09s -> 1183.09s]  гуляешь, но ты мужик в костюме.
[1183.09s -> 1185.09s]  И с волшебной палочкой.
[1185.09s -> 1187.09s]  Стало быть, ты не просто ходишь гуляешь, а
[1187.09s -> 1189.09s]  кого-то ищешь.
[1189.09s -> 1191.09s]  Ты... Нет, я просто гуляю.
[1191.09s -> 1193.09s]  Такс, хорошо, такс.
[1193.09s -> 1195.09s]  Вот, вот, да-да-да.
[1195.09s -> 1197.09s]  Ты стоишь прямо против нее и начинаешь
[1197.09s -> 1199.09s]  пугать. Давай уже поближе подходи к ней.
[1199.09s -> 1201.09s]  Скажи, любишь Гарри Поттера?
[1201.09s -> 1203.09s]  Простите, вы мне понравились. Подскажите,
[1203.09s -> 1205.09s]  могли бы вы дать свой номер
[1205.09s -> 1207.09s]  телефона просто так?
[1207.09s -> 1209.09s]  Редикулус. Покажи ей палочку.
[1209.09s -> 1211.09s]  Так какую палочку, господи, ну?
[1211.09s -> 1213.09s]  Так у тебя с собой палочка, блин.
[1213.09s -> 1215.09s]  Да я понимаю, что у меня с собой.
[1215.09s -> 1217.09s]  Волшебники не прячут свои палочки.
[1217.09s -> 1219.09s]  Просто сядь рядом, просто сядь рядом
[1219.09s -> 1221.09s]  и скажи, а кто у вас
[1221.09s -> 1223.09s]  любимый патронус?
[1223.09s -> 1225.09s]  Они шарят за Гарри Поттера.
[1225.09s -> 1227.09s]  Да я не буду о этом говорить.
[1227.09s -> 1229.09s]  Простите, а какой у вас любимый актер?
[1229.09s -> 1231.09s]  Не подскажете?
[1233.09s -> 1235.09s]  Я просто вас увидел,
[1235.09s -> 1237.09s]  хотел познакомиться с вами.
[1237.09s -> 1239.09s]  Например, взять телефон.
[1239.09s -> 1241.09s]  Занятый.
[1241.09s -> 1243.09s]  А, занятый, тогда извините.
[1243.09s -> 1245.09s]  У тебя волшебная палочка,
[1245.09s -> 1247.09s]  патрон Альфа Самца
[1247.09s -> 1249.09s]  и, самое главное, улыбка отчима.
[1249.09s -> 1251.09s]  Давай уже, подсаживайся к ней рядом.
[1251.09s -> 1253.09s]  Еще раз прошу прощения,
[1253.09s -> 1255.09s]  просто хотел бы у вас номер телефона взять.
[1255.09s -> 1257.09s]  Ты себя видел вообще?
[1257.09s -> 1259.09s]  Сколько можно ко мне подходить?
[1259.09s -> 1261.09s]  Подожди, что я тебе говорил?
[1261.09s -> 1263.09s]  Крикни Абадакедавра, чтоб ты сдохла.
[1263.09s -> 1265.09s]  Крикни так.
[1265.09s -> 1267.09s]  Простите, а вы не хотите познакомиться?
[1267.09s -> 1269.09s]  Просто...
[1269.09s -> 1271.09s]  Нет, не хотят.
[1271.09s -> 1273.09s]  Ты же слишком рано сдаешься.
[1273.09s -> 1275.09s]  Так, ты должен поверить в себя,
[1275.09s -> 1277.09s]  поверить в свои силы и поверить,
[1277.09s -> 1279.09s]  что ты по-настоящему красавчик.
[1279.09s -> 1281.09s]  Иначе ничего не получится.
[1281.09s -> 1283.09s]  Я по-настоящему красавчик,
[1283.09s -> 1285.09s]  только со знакомыми людьми.
[1285.09s -> 1287.09s]  Достань палочку, просит,
[1287.09s -> 1289.09s]  чтобы ты достал свою палочку.
[1289.09s -> 1291.09s]  Хорошо.
[1291.09s -> 1293.09s]  Вот теперь другое дело.
[1293.09s -> 1295.09s]  Вот теперь ты похож
[1295.09s -> 1297.09s]  на настоящего мачо.
[1297.09s -> 1299.09s]  Вот теперь игра заиграет
[1299.09s -> 1301.09s]  новыми красками.
[1301.09s -> 1303.09s]  Попробуй встануть.
[1303.09s -> 1305.09s]  Взмах палочки.
[1305.09s -> 1307.09s]  Взмахни палочку.
[1307.09s -> 1309.09s]  Отлично.
[1309.09s -> 1311.09s]  И скажи...
[1311.09s -> 1313.09s]  И скажи...
[1313.09s -> 1315.09s]  Гарри Поттер, я иду за тобой.
[1315.09s -> 1317.09s]  Гарри Поттер, я иду за тобой.
[1317.09s -> 1319.09s]  Главное не прячь свою палочку.
[1319.09s -> 1321.09s]  Хорошо.
[1321.09s -> 1323.09s]  Не прячь свою палочку.
[1323.09s -> 1325.09s]  Держи ее всегда на виду.
[1325.09s -> 1327.09s]  Добрый день.
[1327.09s -> 1329.09s]  Нет.
[1329.09s -> 1331.09s]  Ой, блин.
[1331.09s -> 1333.09s]  Они меня смотрят, как на чудика уже.
[1333.09s -> 1335.09s]  Нет, ты вообще не чудик.
[1335.09s -> 1337.09s]  Да, да, да.
[1337.09s -> 1339.09s]  Я такой скучный.
[1339.09s -> 1341.09s]  Девушки, я бы хотел
[1341.09s -> 1343.09s]  с вами познакомиться.
[1343.09s -> 1345.09s]  Можно вас на пару минут?
[1345.09s -> 1347.09s]  Я же говорю, у меня это не дар,
[1347.09s -> 1349.09s]  не везение.
[1349.09s -> 1351.09s]  Подожди, стой, стой.
[1351.09s -> 1353.09s]  У тебя что, пиджак пристегнут на одну пуговицу?
[1353.09s -> 1355.09s]  Вот ты маньячила.
[1355.09s -> 1357.09s]  Можешь расстегнуть его,
[1357.09s -> 1359.09s]  а вторая маньячила
[1359.09s -> 1361.09s]  на съемках
[1361.09s -> 1363.09s]  у этого Козловского.
[1363.09s -> 1365.09s]  Сейчас просто громко
[1365.09s -> 1367.09s]  приключу. Любовь это волшебство.
[1367.09s -> 1369.09s]  И взмахни палочкой.
[1369.09s -> 1371.09s]  Любовь это волшебство.
[1371.09s -> 1373.09s]  По уверений, по уверений.
[1373.09s -> 1375.09s]  Любовь это волшебство.
[1375.09s -> 1377.09s]  Еще раз закрепим.
[1377.09s -> 1379.09s]  Любовь это волшебство.
[1379.09s -> 1381.09s]  Отлично,
[1381.09s -> 1383.09s]  отлично.
[1383.09s -> 1385.09s]  Ты молодец.
[1385.09s -> 1387.09s]  Вау,
[1387.09s -> 1389.09s]  ну что, все задания выполнены.
[1389.09s -> 1391.09s]  Это значит, что мы уже готовы объявить
[1391.09s -> 1393.09s]  победителя нашего
[1393.09s -> 1395.09s]  пикап-шоу. Барабанная дробь.
[1395.09s -> 1397.09s]  Вот так, вот так,
[1397.09s -> 1399.09s]  вот так, нормально, нормально.
[1399.09s -> 1401.09s]  И победителем пикап-шоу
[1401.09s -> 1403.09s]  этот кубок достается
[1403.09s -> 1405.09s]  вот этому знатному пареньку
[1405.09s -> 1407.09s]  Никите D5.
[1407.09s -> 1409.09s]  Молодцы.
[1409.09s -> 1411.09s]  Теперь ты почти как я,
[1411.09s -> 1413.09s]  почти немножко, чуть-чуть,
[1413.09s -> 1415.09s]  настолько пикап-гуру. Ну что ж, это была
[1415.09s -> 1417.09s]  пикап-ракачка. Меня зовут Васкес.
[1417.09s -> 1419.09s]  И помните, любовь это
[1419.09s -> 1421.09s]  не имя.
[1421.09s -> 1423.09s]  Любовь это шанс.
[1423.09s -> 1431.46s]  Финальное задание было крутое.
[1431.46s -> 1433.46s]  На самом деле, я получил экспириенс.
[1433.46s -> 1435.46s]  Никите просто повезло.
[1435.46s -> 1437.46s]  Не более.
[1437.46s -> 1439.46s]  Это было офигенно. Я,
[1439.46s -> 1441.46s]  как я и говорил, я всех вынес.
[1441.46s -> 1443.46s]  Говорить девушкам в рифму, еще пытаться
[1443.46s -> 1445.46s]  при этом подкатывать к ним, это нужно
[1445.46s -> 1447.46s]  уметь. И я это сумел.
[1447.46s -> 1449.46s]  Потому что я читал рэп.
[1449.46s -> 1451.46s]  Еще в Подольске. У меня это в крови,
[1451.46s -> 1453.46s]  сука. Адьо.
[1453.46s -> 1455.46s]  Мне было сложно,
[1455.46s -> 1457.46s]  потому как я 10
[1457.46s -> 1459.46s]  лет не встречался с
[1459.46s -> 1461.46s]  женщинами. Это тогда
[1461.46s -> 1463.46s]  я был жигалом, будем
[1463.46s -> 1465.46s]  так говорить. Спасибо всем команде.
[1465.46s -> 1467.46s]  Спасибо
[1467.46s -> 1469.46s]  пикап-ру, спасибо Никите, спасибо
[1469.46s -> 1471.46s]  Константину. Ура, товарищи.
[1478.48s -> 1481.92s]  Фокус да свит докус.
[1483.92s -> 1485.92s]  Фокус да свит докус.
