[0.00s -> 1.40s]  Я работала.
[1005.72s -> 1006.72s]  А где мой еще один?
[1006.72s -> 1007.72s]  А мой вверху вообще сидит.
[1008.72s -> 1009.72s]  Ну и все, и в робота получается, и погнали.
[1010.72s -> 1012.72s]  Ой, у меня кончился турборэкзак.
[1015.72s -> 1016.72s]  Вы что?
[1016.72s -> 1018.72s]  Подожди, а есть что-то еще летать?
[1018.72s -> 1019.72s]  Летать?
[1019.72s -> 1021.72s]  Ну вон у тебя робот, ты можешь в него встать.
[1021.72s -> 1022.72s]  А, ну вот.
[1028.29s -> 1029.29s]  Отлично.
[1030.29s -> 1031.29s]  А вот и Ариноч.
[1031.29s -> 1032.29s]  Прилетела коза.
[1034.29s -> 1035.29s]  Ура, динамит!
[1035.29s -> 1038.29s]  Вы что-нибудь, кроме динамита, умеете использовать?
[1039.29s -> 1041.29s]  Там столько всякого добра есть.
[1041.29s -> 1043.29s]  Катюх, ты, по ходу, сейчас зацепишься.
[1044.29s -> 1045.29s]  Угу.
[1045.29s -> 1046.29s]  Я чуть-чуть.
[1046.29s -> 1048.29s]  Блин, минус 25, офигеть.
[1048.29s -> 1049.29s]  ГГ.
[1049.29s -> 1050.29s]  Я жив.
[1050.29s -> 1052.29s]  Давайте что-нибудь, кроме динамита.
[1052.29s -> 1054.29s]  Все, вода начала подниматься, девки.
[1055.29s -> 1058.29s]  Ладно, что-то кроме динамита, я сейчас попробую.
[1058.29s -> 1059.29s]  Ловцу?
[1059.29s -> 1061.29s]  Ну ловца, кстати, вполне.
[1061.29s -> 1064.29s]  Главное, от нее свалить, чтобы она в тебя не пришла.
[1065.29s -> 1067.29s]  Эй, нифига!
[1067.29s -> 1069.29s]  Просто насмерть!
[1069.29s -> 1070.29s]  Все, Катюх минус чел.
[1070.29s -> 1071.29s]  Это триндец.
[1072.29s -> 1074.29s]  Ой, как быстро вода начала подниматься.
[1075.29s -> 1076.29s]  Я в шоке.
[1076.29s -> 1077.29s]  А где я?
[1079.29s -> 1081.29s]  А вот она ты, а вот она Ариноч.
[1082.29s -> 1083.29s]  А, ну ладно.
[1083.29s -> 1084.29s]  Так уж и быть.
[1084.29s -> 1085.29s]  Овца так овца.
[1085.29s -> 1087.29s]  Вот это овца оно было.
[1087.29s -> 1089.29s]  Так, ну вот девочки узнали.
[1089.29s -> 1090.29s]  Второй вид оружия, овца.
[1090.29s -> 1092.29s]  Так, дай бог, к концу шоу.
[1092.29s -> 1093.29s]  Нет, тут есть момент один.
[1093.29s -> 1094.29s]  Тут есть такой момент.
[1094.29s -> 1095.29s]  Она уйти может.
[1095.29s -> 1096.29s]  Да.
[1096.29s -> 1098.29s]  А эту может снести.
[1098.29s -> 1099.29s]  А может она?
[1099.29s -> 1101.29s]  А может цветую бомбу?
[1101.29s -> 1102.29s]  Что-то да?
[1102.29s -> 1103.29s]  А что она дает?
[1103.29s -> 1106.29s]  Ну она разлетает сознатно.
[1107.29s -> 1108.29s]  Текай.
[1111.29s -> 1112.29s]  Почему он не упал?
[1113.29s -> 1114.29s]  И симка упала.
[1114.29s -> 1115.29s]  Ну он не упал же.
[1115.29s -> 1116.29s]  Попробуйте, потому что он сидит.
[1116.29s -> 1117.29s]  А кем он упал?
[1117.29s -> 1118.29s]  Все равно же упадет, да?
[1118.29s -> 1119.29s]  Ну куда-нибудь, наверное.
[1119.29s -> 1120.29s]  Он сейчас пойдет, а куда идти?
[1120.29s -> 1122.29s]  А вот он сейчас двигаться захочет и упадет.
[1122.29s -> 1123.29s]  Чел гений, да?
[1124.29s -> 1125.29s]  Давай падай, падай.
[1127.29s -> 1128.29s]  Что произошло?
[1128.29s -> 1129.29s]  Я не поняла.
[1129.29s -> 1132.29s]  Ну Арино просто херакнуло в роботе.
[1132.29s -> 1134.29s]  Что-то какой-то робот, честно говоря.
[1134.29s -> 1135.29s]  Какой-то такой Сеарин.
[1135.29s -> 1136.29s]  Что-то сходило.
[1136.29s -> 1137.29s]  Да.
[1137.29s -> 1138.29s]  Опа.
[1138.29s -> 1139.29s]  Ничего себе.
[1140.29s -> 1142.29s]  Катя, я напоминаю, 50 тысяч.
[1142.29s -> 1144.29s]  А, ну тоже самострел.
[1144.29s -> 1145.29s]  Молодец.
[1145.29s -> 1146.29s]  А, вы вдвоем.
[1146.29s -> 1147.29s]  Ну ладно.
[1147.29s -> 1149.29s]  И умерли они в один день.
[1149.29s -> 1150.29s]  Это мило.
[1150.29s -> 1151.29s]  Это мило.
[1151.29s -> 1152.29s]  Да, да.
[1153.29s -> 1156.29s]  Боже, я тупо реличил.
[1156.29s -> 1157.29s]  Что происходит?
[1157.29s -> 1161.29s]  Там какой-то бесконечный идет...
[1162.29s -> 1163.29s]  Там похороны.
[1163.29s -> 1164.29s]  Да.
[1164.29s -> 1166.29s]  Блин, как так можно было?
[1166.29s -> 1168.29s]  Я хотела прыгнуть.
[1168.29s -> 1170.29s]  Я нажала стрелять.
[1170.29s -> 1172.29s]  Потому что на пробел тоже прыжок.
[1172.29s -> 1174.29s]  Ну все, мать, давай.
[1174.29s -> 1175.29s]  Это я.
[1175.29s -> 1176.29s]  Это я.
[1176.29s -> 1177.29s]  Это я.
[1177.29s -> 1178.29s]  Смотри, у тебя там челик.
[1178.29s -> 1180.29s]  Я думаю, может мне наверх просто подняться.
[1180.29s -> 1183.29s]  И битой скинуть этого челика вниз.
[1183.29s -> 1184.29s]  Так.
[1184.29s -> 1186.29s]  Все, это тренер на связи.
[1186.29s -> 1188.29s]  Ты что там советуешь?
[1188.29s -> 1189.29s]  Ты...
[1189.29s -> 1190.29s]  О, вот это надо.
[1190.29s -> 1192.29s]  Ну я так, для экшена.
[1192.29s -> 1194.29s]  Все, полетела Катюха.
[1194.29s -> 1195.29s]  Трандец.
[1195.29s -> 1196.29s]  А, смысл?
[1196.29s -> 1197.29s]  А ей ноль ХП?
[1197.29s -> 1199.29s]  Нет, нет, нормально.
[1199.29s -> 1200.29s]  Эй!
[1200.29s -> 1201.29s]  Так все тут...
[1201.29s -> 1205.29s]  Мне кажется, мы убьем друг друга до того, как вода,
[1205.29s -> 1208.29s]  так сказать, нас достигнет.
[1208.29s -> 1209.29s]  Ну да.
[1209.29s -> 1210.29s]  До ту номер должен.
[1210.29s -> 1211.29s]  Все.
[1211.29s -> 1212.29s]  Но у меня тут вода сейчас...
[1212.29s -> 1214.29s]  Ну может не успеть.
[1214.29s -> 1215.29s]  Может до тебя дойдет там очередь.
[1215.29s -> 1216.29s]  Надеюсь.
[1216.29s -> 1219.29s]  Ну надо точно сваливать, потому что это сильно низко.
[1221.29s -> 1222.29s]  Блин.
[1222.29s -> 1224.29s]  Повыше где-нибудь вставай.
[1224.29s -> 1226.29s]  Ладно, здесь я успею сейчас лететь.
[1226.29s -> 1227.29s]  О!
[1227.29s -> 1228.29s]  О!
[1228.29s -> 1229.29s]  Турель.
[1229.29s -> 1230.29s]  Там была турель.
[1230.29s -> 1232.29s]  Чего это так работает?
[1232.29s -> 1233.29s]  Офигеть!
[1233.29s -> 1236.29s]  Блин, Арина, в самом деле это грустно.
[1237.29s -> 1238.29s]  Я...
[1238.29s -> 1239.29s]  Я...
[1239.29s -> 1240.29s]  А как нужно было знать?
[1240.29s -> 1241.29s]  В тильте?
[1241.29s -> 1242.29s]  Я в тильте.
[1242.29s -> 1244.29s]  Мне нужно как-то забраться повыше.
[1244.29s -> 1246.29s]  Ну вот у тебя ж гарпун.
[1246.29s -> 1247.29s]  Вот эта штука?
[1247.29s -> 1248.29s]  Ну, по ходу, да.
[1248.29s -> 1250.29s]  Что-то как-то она...
[1251.29s -> 1253.29s]  Ну, нужна тебе эту.
[1254.29s -> 1259.29s]  Ты только в бочку, пожалуйста, со взрывным этим, с горючим не стреляй.
[1259.29s -> 1260.29s]  О!
[1261.29s -> 1263.29s]  Аккуратно, Катя.
[1263.29s -> 1267.29s]  Я, конечно, хотела бы, чтобы ты проиграла, но не так жестко.
[1267.29s -> 1268.29s]  Нет!
[1268.29s -> 1269.29s]  Ай-ай-ай!
[1269.29s -> 1270.29s]  И?
[1270.29s -> 1271.29s]  И?
[1271.29s -> 1273.29s]  Каким будет твой следующий ход?
[1274.29s -> 1276.29s]  Заныкалась куда-то, да?
[1276.29s -> 1277.29s]  Да.
[1277.29s -> 1279.29s]  Понимаешь, она стратегический игрок, Арина.
[1279.29s -> 1280.29s]  Она просто заныкалась.
[1280.29s -> 1281.29s]  Ничего себе.
[1281.29s -> 1283.29s]  Никакого месилового не будет.
[1284.29s -> 1285.29s]  Так.
[1285.29s -> 1286.29s]  Куда тут месило?
[1286.29s -> 1287.29s]  Два чела осталось.
[1287.29s -> 1288.29s]  Два чела, да, осталось?
[1289.29s -> 1291.29s]  Слушай, ну я тогда получается...
[1292.29s -> 1293.29s]  Что делаю?
[1293.29s -> 1295.29s]  Делаю вот так.
[1296.29s -> 1297.29s]  Сюда к ее нычке летишь?
[1297.29s -> 1298.29s]  Тихо-тихо.
[1298.29s -> 1299.29s]  Не-не-не.
[1299.29s -> 1300.29s]  И вот сюда вот сяду.
[1300.29s -> 1301.29s]  А вот то происходит!
[1301.29s -> 1302.29s]  Зачем ты?
[1302.29s -> 1303.29s]  Это турель!
[1304.29s -> 1305.29s]  *****!
[1305.29s -> 1306.29s]  Что это значит?
[1306.29s -> 1307.29s]  Вот эта турель.
[1307.29s -> 1308.29s]  Она самонаводящаяся дрянь.
[1309.29s -> 1310.29s]  Говно!
[1310.29s -> 1311.29s]  Опа!
[1311.29s -> 1312.29s]  Ого-го-го!
[1312.29s -> 1313.29s]  Ай-ай-ай!
[1313.29s -> 1314.29s]  Ай-ай-ай!
[1315.29s -> 1316.29s]  А-а-а!
[1316.29s -> 1317.29s]  Вот-вот!
[1317.29s -> 1318.29s]  А нет-нет!
[1318.29s -> 1319.29s]  Такая?
[1319.29s -> 1320.29s]  Вот эту штуку давай.
[1320.29s -> 1321.29s]  Это?
[1321.29s -> 1322.29s]  Нет, вот в коробочке.
[1322.29s -> 1323.29s]  Вот эту.
[1323.29s -> 1324.29s]  И что это?
[1324.29s -> 1325.29s]  Это телепорт.
[1325.29s -> 1326.29s]  А, ну да.
[1326.29s -> 1328.29s]  И на самую верхнюю точку все и сваливай.
[1328.29s -> 1329.29s]  А, нет.
[1329.29s -> 1330.29s]  Да тут нет.
[1330.29s -> 1331.29s]  Лучше тут посижу.
[1331.29s -> 1333.29s]  Советите цветы, господи.
[1333.29s -> 1334.29s]  Отлично.
[1334.29s -> 1336.29s]  Ну все, какая-то ныкается дальше.
[1336.29s -> 1337.29s]  Такая тактика.
[1337.29s -> 1338.29s]  У меня вода поднимается.
[1338.29s -> 1339.29s]  Ладно.
[1339.29s -> 1340.29s]  У меня есть один план.
[1340.29s -> 1341.29s]  Я попробую его...
[1341.29s -> 1342.29s]  О!
[1342.29s -> 1343.29s]  Войти в бурж.
[1343.29s -> 1344.29s]  Что это такое?
[1344.29s -> 1345.29s]  Ты просто поедешь.
[1345.29s -> 1346.29s]  А-а-а!
[1346.29s -> 1347.29s]  А-а-а!
[1347.29s -> 1348.29s]  А-а-а!
[1348.29s -> 1349.29s]  Ха-ха-ха!
[1349.29s -> 1350.29s]  Короче, человек просто уничтожился.
[1350.29s -> 1353.29s]  Ну я хотя бы не ныкаюсь, как крыса, понятно?
[1353.29s -> 1354.29s]  Я пыталась что-то сделать.
[1354.29s -> 1355.29s]  Нет.
[1355.29s -> 1356.29s]  Не СТФ получается.
[1356.29s -> 1357.29s]  А что, все?
[1357.29s -> 1358.29s]  Да.
[1358.29s -> 1359.29s]  А все!
[1359.29s -> 1360.29s]  Все!
[1360.29s -> 1361.29s]  И победителем он остановится как раз.
[1361.29s -> 1362.29s]  А-а-а!
[1362.29s -> 1363.29s]  А-а-а!
[1363.29s -> 1364.29s]  А-а-а!
[1364.29s -> 1365.29s]  А-а-а!
[1365.29s -> 1366.29s]  А-а-а!
[1366.29s -> 1367.29s]  А-а-а!
[1367.29s -> 1368.29s]  А-а-а!
[1368.29s -> 1369.29s]  А-а-а!
[1369.29s -> 1370.29s]  А-а-а!
[1370.29s -> 1371.29s]  А-а-а!
[1371.29s -> 1372.29s]  А-а-а!
[1372.29s -> 1373.29s]  А-а-а!
[1373.29s -> 1374.29s]  Все!
[1374.29s -> 1375.29s]  И победителем он остановится.
[1375.29s -> 1376.29s]  Кто?
[1376.29s -> 1377.29s]  Ниндзя?
[1377.29s -> 1378.29s]  Катюха?
[1378.29s -> 1384.19s]  Мне кажется, я впервые выигрываю.
[1384.19s -> 1385.19s]  Ну что, друзья?
[1385.19s -> 1389.43s]  На поле сражения используя динамит и овец, Екадзе
[1389.43s -> 1394.39s]  размотала Ариня, замутала 50 тысяч рублей, и вот я тебе
[1394.39s -> 1395.39s]  вручаю.
[1395.39s -> 1396.39s]  Можешь читать.
[1396.39s -> 1397.39s]  Арина просто самоуничтожилась.
[1397.39s -> 1399.87s]  Pay to the order of Екадзе.
[1399.87s -> 1403.55s]  Приятно, приятно видеть свое имя с столь большими
[1403.55s -> 1404.55s]  нулями.
[1404.55s -> 1405.55s]  Это приятно.
[1405.55s -> 1407.59s]  К чем больше нулей, тем приятнее.
[1407.67s -> 1412.07s]  Абсолют, абсолют, абсолют чемпион, you know?
[1412.07s -> 1415.83s]  Профешеннел, ультра, ой, это про меня, ультра-е-спортс,
[1415.83s -> 1418.59s]  это я, и-е-спортс, инегейм, да.
[1418.59s -> 1419.59s]  Поздравляю, получается.
[1419.59s -> 1420.59s]  Что вы купите, Екатерина?
[1420.59s -> 1421.59s]  Это, получается, хайп.
[1421.59s -> 1426.07s]  Ну что, по классике, квартира в Москве, машину куплю,
[1426.07s -> 1427.07s]  Мерседес.
[1427.07s -> 1428.43s]  А Арину чуть-чуть подаришь?
[1428.43s -> 1430.43s]  А Арине, да, конечно, сапки.
[1430.43s -> 1431.43s]  А-а-а!
[1431.43s -> 1432.43s]  Понятно.
[1432.43s -> 1435.43s]  Нет, ладно, не на самом деле сапки, проверяй, проверяй
[1435.43s -> 1436.43s]  сапки.
[1436.63s -> 1437.63s]  Я не с камер.
[1437.63s -> 1439.31s]  Не, у меня только тильт.
[1439.31s -> 1441.19s]  Никаких приветов, только тильт.
[1441.19s -> 1443.95s]  А Рина, брат мой, ты чего?
[1443.95s -> 1446.59s]  Они попили отсюда, на самом деле.
[1446.59s -> 1447.59s]  Я тебя, конец дур.
[1447.59s -> 1450.59s]  Приглашаю тебя в ресторан, за мой счет.
[1450.59s -> 1454.99s]  Пойдем в кайф, отметим, нашу победу.
[1454.99s -> 1457.79s]  Так, еще больше женской взаимной нежности эта камера
[1457.79s -> 1461.19s]  не выдержит, поэтому на этой ноте, горячей, мы заканчиваем
[1461.19s -> 1462.19s]  выпуск.
[1462.19s -> 1463.19s]  Спасибо, что смотрели, всем пока.
[1466.43s -> 1470.79s]  Увидимся в следующих видео!
