[3.38s -> 5.38s]  ДИНАМИЧНАЯ МУЗЫКА
[1231.87s -> 1233.87s]  тоже старинные
[1233.87s -> 1235.87s]  Побежали посмотрим!
[1253.18s -> 1257.65s]  Так и началась
[1257.65s -> 1259.65s]  научная история похищения амулета
[1259.65s -> 1261.65s]  в Рускеальском экспрессе
[1261.65s -> 1263.65s]  Разобраться с которым придется
[1263.65s -> 1265.65s]  Жени Холмс и Димасику Пуаро
[1265.65s -> 1267.65s]  Улики указывали на 4 человек
[1267.65s -> 1269.65s]  Но кто же из них
[1269.65s -> 1271.65s]  реально совершил преступление?
[1273.65s -> 1287.90s]  Официантка поезда
[1287.90s -> 1289.90s]  Работает в этом поезде
[1289.90s -> 1291.90s]  уже около 10 лет
[1291.90s -> 1293.90s]  Забота о пассажирах – вот ее задача
[1293.90s -> 1295.90s]  Так она и забыла кружку в купе
[1295.90s -> 1297.90s]  Научный работник
[1297.90s -> 1299.90s]  Он ехал в Рускеалу
[1299.90s -> 1301.90s]  изучать камни
[1301.90s -> 1303.90s]  Шел мимо купе с кипой литературы
[1303.90s -> 1305.90s]  и уронил, от чего листик улетел в купе
[1310.50s -> 1312.50s]  Женщина молодая
[1312.50s -> 1314.50s]  Ей была одинока, так как она ехала
[1314.50s -> 1316.50s]  после расставания с парнем
[1316.50s -> 1318.50s]  и искала мужчину для общения
[1318.50s -> 1320.50s]  Не секса!
[1320.50s -> 1322.50s]  Зашла в купе и выронила помаду
[1322.50s -> 1324.50s]  когда подкрашивала губы
[1324.50s -> 1326.50s]  смотря в зеркало в вагоне
[1326.50s -> 1328.50s]  Мужчина средних лет
[1328.50s -> 1330.50s]  Ехал немного развеяться после вахты
[1330.50s -> 1332.50s]  Шел с двумя стаканами алкоголя
[1332.50s -> 1334.50s]  и искал компаньона для выпивки
[1334.50s -> 1336.50s]  Но увидел сумку с амулетом
[1336.50s -> 1338.50s]  оставил стакан на столе под шафе
[1338.50s -> 1340.50s]  Вы спросите, как же они
[1340.50s -> 1342.50s]  нашли виновного?
[1342.50s -> 1349.20s]  Да он сам признался
[1360.38s -> 1362.38s]  Вы практически меня поймали
[1362.38s -> 1364.38s]  Поэтому я решил вернуть вам вашу пабрикушку
[1364.38s -> 1366.38s]  Она спрятана глубоко под землей
[1366.38s -> 1368.38s]  в недрах Рускеалы
[1368.38s -> 1370.38s]  Пропитесь ее забрать, пока я не передумал
[1379.97s -> 1381.97s]  Горный парк Рускеала
[1381.97s -> 1383.97s]  Туристический комплекс находится
[1383.97s -> 1385.97s]  в 30 километрах от города Сартовала
[1385.97s -> 1387.97s]  на берегу реки Тахмайоке
[1387.97s -> 1389.97s]  В 1768 году в Рускеале
[1389.97s -> 1391.97s]  началась добыча мрамора
[1391.97s -> 1393.97s]  Со временем образовался лабиринт
[1393.97s -> 1395.97s]  из пещер, гротов и подземных озер
[1395.97s -> 1397.97s]  Который сегодня стал
[1397.97s -> 1399.97s]  одним из ярчайших мест Карелии
[1399.97s -> 1401.97s]  Благодаря грунтовым водам
[1401.97s -> 1403.97s]  в большей части Кагера
[1403.97s -> 1405.97s]  Именно тут и спрятан амулет
[1405.97s -> 1407.97s]  который так ищут наши участники
[1407.97s -> 1409.97s]  Вот ваш ключ
[1409.97s -> 1411.97s]  В пещере вы найдете две шкатулки
[1411.97s -> 1413.97s]  и два варианта ответа
[1413.97s -> 1415.97s]  Ответьте верно и заберите амулет
[1415.97s -> 1417.97s]  Когда бы ты еще это увидел
[1417.97s -> 1419.97s]  если только не в шоу Почетный гражданин
[1419.97s -> 1421.97s]  Скажи, говори, не бойся
[1421.97s -> 1423.97s]  Дыру в потолке
[1423.97s -> 1425.97s]  из которой растет еле
[1425.97s -> 1427.97s]  Честно никогда, блин, это очень красиво
[1427.97s -> 1429.97s]  Дим, да это просто капец
[1429.97s -> 1431.97s]  Что написано?
[1431.97s -> 1433.97s]  Как называется город Сортавала
[1433.97s -> 1435.97s]  находившийся в составе
[1435.97s -> 1437.97s]  Российской империи
[1437.97s -> 1439.97s]  Он назывался как-то по-другому
[1439.97s -> 1441.97s]  Что-то похожее было
[1441.97s -> 1443.97s]  А случайно не Сортавала?
[1443.97s -> 1445.97s]  Или это все-таки еще не у нас?
[1445.97s -> 1447.97s]  Нет, это сейчас он Сортавала
[1447.97s -> 1449.97s]  Ага
[1449.97s -> 1451.97s]  А тогда что-то совсем другое
[1451.97s -> 1453.97s]  по-моему, так у нас должны быть
[1453.97s -> 1455.97s]  два варианта ответа, а их нет
[1455.97s -> 1457.97s]  Мне кажется, мы эти
[1457.97s -> 1459.97s]  чуть-чуть это сказка
[1459.97s -> 1461.97s]  Что?
[1461.97s -> 1463.97s]  Вы что там?
[1463.97s -> 1465.97s]  Эй, вы что там?
[1465.97s -> 1467.97s]  А, вон туда
[1467.97s -> 1469.97s]  Удачи, ребят
[1469.97s -> 1471.97s]  Стоять! Я Димаса
[1471.97s -> 1473.97s]  в обиду не дам
[1473.97s -> 1475.97s]  Если что, он пойдет, но я его в обиду не дам
[1475.97s -> 1477.97s]  Я дарю тебе этот ключ
[1477.97s -> 1479.97s]  До свидания
[1479.97s -> 1481.97s]  Нет, подождите, подождите
[1481.97s -> 1483.97s]  Я на это не подписывался
[1483.97s -> 1485.97s]  Вы что, угораете, что ли?
[1485.97s -> 1487.97s]  Ну, как говорится, вообще не дорожите, да, ведущий?
[1487.97s -> 1489.97s]  Ой, ну и гаденыш
[1489.97s -> 1491.97s]  Мудрая, сильная женщина,
[1491.97s -> 1493.97s]  которая выплывет из любого дерьма
[1493.97s -> 1495.97s]  Поэтому собралась и поперла
[1495.97s -> 1497.97s]  Я туда точно не пойду
[1501.97s -> 1503.97s]  Я пока стою
[1503.97s -> 1505.97s]  Я стою или что?
[1505.97s -> 1507.97s]  Женя, Женя
[1507.97s -> 1509.97s]  Я не шучу, это реально страшно
[1509.97s -> 1511.97s]  Наш поезд под названием разум уходит
[1511.97s -> 1513.97s]  Давай быстрее
[1513.97s -> 1515.97s]  Дима
[1515.97s -> 1517.97s]  Прикосновение будет больше
[1517.97s -> 1519.97s]  Дима, тихо, заскинись
[1524.98s -> 1526.98s]  Так, все, тихо, тихо
[1526.98s -> 1528.98s]  Сердоболь
[1528.98s -> 1530.98s]  или Сордовала
[1530.98s -> 1532.98s]  Забирай обе, мы тут решили
[1532.98s -> 1534.98s]  Сордовалы
[1534.98s -> 1536.98s]  Я забыла ключ
[1536.98s -> 1538.98s]  Сюда неси коробки, тут разберемся
[1538.98s -> 1540.98s]  Ты сейчас сам упадешь
[1540.98s -> 1542.98s]  Сердоболь
[1542.98s -> 1544.98s]  Вот вам не хватает
[1544.98s -> 1546.98s]  Сердоболя, хоть немножко
[1546.98s -> 1548.98s]  И Сордовала
[1548.98s -> 1550.98s]  Все, это лишние нагрузки
[1550.98s -> 1552.98s]  Это лишние килограммы
[1552.98s -> 1554.98s]  Это лишние килограммы
[1554.98s -> 1556.98s]  Убегай
[1556.98s -> 1558.98s]  Убегай от неприятных стяжений
[1558.98s -> 1560.98s]  Давай, давай, я тебя ловлю
[1560.98s -> 1562.98s]  Я тебя ловлю
[1562.98s -> 1564.98s]  Ага, спасибо
[1564.98s -> 1566.98s]  А, вот так-то
[1566.98s -> 1568.98s]  И никак, блин, не страшно
[1568.98s -> 1570.98s]  Есть запасные ретузы, потому что мои мокрые
[1570.98s -> 1572.98s]  Боже мне, осторожно
[1572.98s -> 1574.98s]  Вдруг это чье-то сердце
[1574.98s -> 1576.98s]  Это твое сердечко
[1580.61s -> 1582.61s]  Так, открывай
[1582.61s -> 1584.61s]  Три, два
[1584.61s -> 1586.61s]  А тут ты думаешь светится, вот так будет
[1586.61s -> 1588.61s]  Три, два, один
[1593.98s -> 1595.98s]  Который у нас сперли
[1595.98s -> 1597.98s]  Мы его нашли
[1597.98s -> 1599.98s]  Ребята, вот так-то
[1599.98s -> 1601.98s]  Мы героические
[1601.98s -> 1603.98s]  Нашли это
[1603.98s -> 1605.98s]  Ваше звание почетного гражданина
[1605.98s -> 1607.98s]  Гражданина ждет вас на смотровой площадке парка
[1607.98s -> 1609.98s]  Его вам передаст смотритель
[1609.98s -> 1611.98s]  Поторопитесь
[1611.98s -> 1624.06s]  Здравствуйте
[1624.06s -> 1626.06s]  Здравствуйте
[1626.06s -> 1628.06s]  И так вас не могу
[1628.06s -> 1630.06s]  Такой красивый мужчина
[1630.06s -> 1632.06s]  Можно я получу подарок
[1632.06s -> 1634.06s]  Я не уйду, а вы оставайтесь
[1634.06s -> 1636.06s]  Нет, я так понимаю
[1636.06s -> 1638.06s]  Что вы смотритель
[1638.06s -> 1640.06s]  Вот этого парка
[1640.06s -> 1642.06s]  Правильно
[1642.06s -> 1644.06s]  Ну ладно, расскажите, ждет ли нас какой-нибудь
[1644.06s -> 1646.06s]  Ну если вы что-то постарались
[1646.06s -> 1648.06s]  И нашли
[1648.06s -> 1650.06s]  Да, мы нашли
[1650.06s -> 1652.06s]  Да, у меня как раз сейчас
[1652.06s -> 1654.06s]  У меня вот камни в почках
[1654.06s -> 1656.06s]  Розовая какашка
[1656.06s -> 1658.06s]  Ну ладно
[1658.06s -> 1660.06s]  Мы поняли, о чем вы говорите
[1660.06s -> 1662.06s]  Вы говорите про амулет
[1662.06s -> 1664.06s]  Неужели вы его заберете, это ваш
[1664.06s -> 1666.06s]  Давайте я его приму
[1666.06s -> 1668.06s]  Мы сегодня постарались
[1668.06s -> 1670.06s]  Я могу даже поместить
[1670.06s -> 1672.06s]  Слушай, а он случайно не похож на того вора
[1672.06s -> 1674.06s]  Я его забрал
[1674.06s -> 1676.06s]  А я вам вручу
[1676.06s -> 1678.06s]  Звание почетного гражданина
[1678.06s -> 1680.06s]  Ого
[1680.06s -> 1682.06s]  Ура
[1682.06s -> 1684.06s]  Ваши телефончики
[1684.06s -> 1686.06s]  Спасибо
[1686.06s -> 1688.06s]  Дима
[1688.06s -> 1690.06s]  Спасибо огромное
[1690.06s -> 1692.06s]  Прямо сейчас на ваших глазах
[1692.06s -> 1694.06s]  Мы стали почетными гражданами Карелии
[1694.06s -> 1696.06s]  Меня зовут Женя Искандарова
[1696.06s -> 1698.06s]  Это Димочка
[1698.06s -> 1700.06s]  Димасик
[1700.06s -> 1702.06s]  Ну хорошо, Димасик
[1702.06s -> 1704.06s]  И наш дорогой смотритель
[1704.06s -> 1706.06s]  С вами мы увидимся через
[1706.06s -> 1708.06s]  Надеюсь, несколько минут
[1708.06s -> 1710.06s]  Потому что вы посмотрите следующую серию
[1710.06s -> 1712.06s]  Я вас люблю и целую, пока
[1712.06s -> 1714.06s]  Пока
[1714.06s -> 1716.06s]  Я почетный гражданин
[1716.06s -> 1718.06s]  С чем только не столкнулись
[1718.06s -> 1720.06s]  Наши герои в Карелии
[1720.06s -> 1722.06s]  Но одном можно сказать точно
[1722.06s -> 1724.06s]  Почетно быть гражданином республики
[1724.06s -> 1726.06s]  С такой живописной природой
[1726.06s -> 1728.06s]  Вкуснейшей национальной кухней
[1728.06s -> 1730.06s]  И самыми красивыми поездами
[1730.06s -> 1732.06s]  Посмотрим, что ждет
[1732.06s -> 1734.06s]  Наших участников в весеннем сезоне шоу
[1734.06s -> 1736.06s]  Почетный гражданин
