[5.17s -> 7.17s]  Блин, мы протеста забыли
[1101.30s -> 1103.30s]  Сейчас можно приехать в Дубай
[1103.30s -> 1105.30s]  На входе в Экспо стоит его фигурка
[1105.30s -> 1107.30s]  Во, порежь
[1107.30s -> 1109.30s]  Давай
[1109.30s -> 1111.30s]  Забыл как называется
[1111.30s -> 1113.30s]  А я пока тебя верну
[1113.30s -> 1115.30s]  У меня есть вопросы к музыке
[1115.30s -> 1117.30s]  От искусства
[1117.30s -> 1119.30s]  Вопрос у меня следующего характера
[1119.30s -> 1121.30s]  Уже непосредственно от тебя
[1121.30s -> 1123.30s]  Сейчас будем делать
[1123.30s -> 1125.30s]  Ты занимаешься тестом, я продолжу
[1125.30s -> 1127.30s]  Я хотел бы поинтересоваться
[1127.30s -> 1129.30s]  Куда вообще на твой взгляд ты движешься
[1129.30s -> 1131.30s]  Я наверное скажу то, что
[1131.30s -> 1133.30s]  В гитарных песенах таких уже не будет
[1133.30s -> 1135.30s]  Простых, душевных аля
[1135.30s -> 1137.30s]  Да и люди как бы на самом деле
[1137.30s -> 1139.30s]  Это ни в коем случае не оправдывается
[1139.30s -> 1141.30s]  Ничего, но люди просто должны понимать
[1141.30s -> 1143.30s]  Мне было 17, когда я начинал этим заниматься
[1143.30s -> 1145.30s]  16 и
[1145.30s -> 1147.30s]  Типа я не взрослый еще артист
[1147.30s -> 1149.30s]  То есть обычно артисты созревают
[1149.30s -> 1151.30s]  К 27 годам
[1151.30s -> 1153.30s]  Очень важно понимать, что
[1153.30s -> 1155.30s]  Я меняюсь
[1155.30s -> 1157.30s]  На глазах у публики
[1157.30s -> 1159.30s]  У всех
[1159.30s -> 1161.30s]  И поэтому собственно я и не могу
[1161.30s -> 1163.30s]  Не буду прислушиваться к чему-то мнению
[1163.30s -> 1165.30s]  Потому что я меняюсь, типа я знаю, что я иду к лучшему
[1165.30s -> 1167.30s]  Ничего, какая-то аудитория отколется
[1167.30s -> 1169.30s]  Ничего страшного, я наработаю новую
[1169.30s -> 1171.30s]  Придут новые люди
[1171.30s -> 1173.30s]  Будут те, кто поймет это
[1173.30s -> 1175.30s]  Так, сейчас доставим тесто
[1175.30s -> 1177.30s]  Мама заготовила мне тесто
[1177.30s -> 1179.30s]  Потому что мы выпарились
[1179.30s -> 1181.30s]  Просто куча времени здесь
[1181.30s -> 1183.30s]  Спасибо, мама, люблю тебя
[1183.30s -> 1185.30s]  Делю на три куска
[1185.30s -> 1187.30s]  Так, ножом
[1187.30s -> 1193.04s]  Так, про что мы там говорили
[1193.04s -> 1195.04s]  Ну вот, направление в музыке
[1195.04s -> 1197.04s]  Да просто будет музыка
[1197.04s -> 1199.04s]  Не будет таких слишком роковых мотивов
[1199.04s -> 1201.04s]  Будет джаз, блюз, подмешан
[1201.04s -> 1203.04s]  Радио-хедом я вдохновляюсь очень
[1203.04s -> 1205.04s]  Хоть это и рок, но просто моментами
[1205.04s -> 1207.04s]  Пинг Флойдом, Порчис Хед
[1207.04s -> 1209.04s]  То есть вот такое музыло
[1209.04s -> 1211.04s]  Ну, рок-рок тоже рознь, правильно?
[1211.04s -> 1213.04s]  Да, но Порчис Хед это вообще трип-хоп
[1213.04s -> 1215.04s]  Чего в тебе больше? Рассудительности, глубины
[1215.04s -> 1217.04s]  Или позитива, легкости?
[1217.04s -> 1219.04s]  Я считаю, что
[1219.04s -> 1221.04s]  Творческую личность
[1221.04s -> 1223.04s]  Очень сильно отличает постоянные вопросы
[1223.04s -> 1225.04s]  В голове, то есть
[1225.04s -> 1227.04s]  Взять тех же самых поэтов, да
[1227.04s -> 1229.04s]  Любовь к своему делу
[1229.04s -> 1231.04s]  Мы возьмем там советских поэтов
[1231.04s -> 1233.04s]  Которых закрывали, которых арестовывали
[1233.04s -> 1235.04s]  Писателей
[1235.04s -> 1237.04s]  И они стали популярными только после
[1237.04s -> 1239.04s]  Они все равно делали то, что делают
[1239.04s -> 1241.04s]  А я думаю, что большинство бросило это занятие
[1241.04s -> 1243.04s]  Если бы это не приносило деньги
[1243.04s -> 1245.04s]  Вот, поэтому
[1245.04s -> 1247.04s]  Я думаю, то, что это прежде всего
[1247.04s -> 1249.04s]  Ну, не может артист
[1249.04s -> 1251.04s]  Который
[1251.04s -> 1253.04s]  Проникает в душ людей
[1253.04s -> 1255.04s]  Не заниматься самокопанием
[1255.04s -> 1257.04s]  Быть веселым и позитивным
[1257.04s -> 1259.04s]  Я делаю это не специально
[1259.04s -> 1261.04s]  Если бы этого не было, я, возможно, был бы рад
[1261.04s -> 1263.04s]  Но слишком много вопросов
[1263.04s -> 1265.04s]  И хочется их раскрыть в песнях
[1265.04s -> 1267.04s]  Загонов
[1267.04s -> 1269.04s]  Перепадов настроения
[1269.04s -> 1271.04s]  То ты себя крутым чувствуешь, то ни к чёмным
[1271.04s -> 1273.04s]  То у тебя всё получается, то ты на дне
[1273.04s -> 1275.04s]  Слушай, ну и жизнь она такая, типа синусоида
[1275.04s -> 1277.04s]  Да, да
[1277.04s -> 1279.04s]  У тебя на данный момент, самая свежая новинка
[1279.04s -> 1281.04s]  Это трек «Свобода», правильно?
[1281.04s -> 1283.04s]  Да
[1283.04s -> 1285.04s]  Можно ли считать его отсылкой
[1285.04s -> 1287.04s]  Какая часть молодости таким тизером?
[1287.04s -> 1289.04s]  Ну да, это сингл с альбома
[1289.04s -> 1291.04s]  И там такой я выбрал
[1291.04s -> 1293.04s]  Джей Колловский такой звучок
[1293.04s -> 1295.04s]  Вот, это сингл с альбома
[1295.04s -> 1297.04s]  Которому я сейчас даю неплохое промо
[1297.04s -> 1299.04s]  В тиктоке там снимаю
[1299.04s -> 1301.04s]  Видео и так далее, вот это тоже одна из
[1301.04s -> 1303.04s]  Одни из моментов, в котором я понял, надо заниматься
[1303.04s -> 1305.04s]  Это интересно становится
[1305.04s -> 1307.04s]  Тебе, кстати, как? Легко, тяжело даётся?
[1307.04s -> 1309.04s]  Вначале тяжело, потом уже полетело
[1309.04s -> 1311.04s]  Плюс мне девушка очень сильно помогает с этим
[1311.04s -> 1313.04s]  И, как бы, поэтому
[1313.04s -> 1315.04s]  Я совет артистам, которые делают хорошую музыку
[1315.04s -> 1317.04s]  Не стесняться этого момента
[1317.04s -> 1319.04s]  Ну, вы можете просто по-своему подавать
[1319.04s -> 1321.04s]  Не обязательно как я
[1321.04s -> 1323.04s]  По-своему подавать свой материал
[1323.04s -> 1325.04s]  Делать его уникальным и продвигать музыку
[1325.04s -> 1327.04s]  Потому что, ну, знаете, есть правила игры
[1327.04s -> 1329.04s]  Которые нужно подминать
[1329.04s -> 1331.04s]  Под себя
[1331.04s -> 1333.04s]  И использовать их
[1333.04s -> 1335.04s]  Потому что и плохие артисты их используют тоже
[1335.04s -> 1337.04s]  И плохая музыка там продвигается
[1337.04s -> 1339.04s]  Мы должны что-то поменять, ребята
[1339.04s -> 1341.04s]  Это по-любому
[1341.04s -> 1343.04s]  У меня в припеве есть строчка про 9 и 9 проблем
[1343.04s -> 1345.04s]  Это Джей-Зи
[1345.04s -> 1347.04s]  Да, это Джей-Зи
[1347.04s -> 1349.04s]  И почему я
[1349.04s -> 1351.04s]  Решил за это зацепиться
[1351.04s -> 1353.04s]  Совсем недавно
[1353.04s -> 1355.04s]  Джей-Зи включили в Зал Славы рок-н-ролла
[1355.04s -> 1357.04s]  Я не знаю, видел ты или не видел
[1357.04s -> 1359.04s]  Это, наверное, из-за того, что у него
[1359.04s -> 1361.04s]  С Линкин парком, типа это
[1361.04s -> 1363.04s]  Нет, Зал Славы рок-н-ролла
[1363.04s -> 1365.04s]  Там Тупак вроде есть, да?
[1365.04s -> 1367.04s]  Там есть Тупак и Бигги
[1367.04s -> 1369.04s]  Там есть Рандэ Мси
[1369.04s -> 1371.04s]  Это в принципе
[1371.04s -> 1373.04s]  Слушай, Джей-Зи достоин
[1373.04s -> 1375.04s]  А ты считаешь, что на сегодняшний день
[1375.04s -> 1377.04s]  Из всех возможных кандидатур
[1377.04s -> 1379.04s]  Он самый достойный?
[1379.04s -> 1381.04s]  Ну, Джей-Зи, МНМ, Кендрик
[1381.04s -> 1383.04s]  Кендрику еще рановато
[1383.04s -> 1385.04s]  Там должно какое-то прям очень-очень
[1385.04s -> 1387.04s]  Ну смотри, доктора Дрея можно
[1387.04s -> 1389.04s]  Ну просто смотри, Джей-Зи
[1389.04s -> 1391.04s]  Я считаю, что это один из лучших рэперов
[1391.04s -> 1393.04s]  В современности, потому что
[1393.04s -> 1395.04s]  Я бы сказал, что в истории даже
[1395.04s -> 1397.04s]  Да, да, в истории, потому что он
[1397.04s -> 1399.04s]  Голос улиц прямо, знаешь
[1399.04s -> 1401.04s]  Вот этих прожектов
[1401.04s -> 1403.04s]  То есть ему достаточно
[1403.04s -> 1405.04s]  Просто пару слов на микро сказать
[1405.04s -> 1407.04s]  И ты уже чувствуешь гангстера
[1407.04s -> 1409.04s]  Ты обратил внимание, что как бы не менялось время
[1409.04s -> 1411.04s]  Какие бы не включались тренды
[1411.04s -> 1413.04s]  Он может зайти на любой бит
[1413.04s -> 1415.04s]  Со своим узнаваемым стилем
[1415.04s -> 1417.04s]  И это все равно будет актуально
[1417.04s -> 1419.04s]  Слушай, я знаю такую тему, что он вообще
[1419.04s -> 1421.04s]  Одним тейком свои куплеты записывает
[1421.04s -> 1423.04s]  Есть очень прикольная история
[1423.04s -> 1425.04s]  На дебютном альбоме Джей-Зи
[1425.04s -> 1427.04s]  У него есть совместный трек
[1427.04s -> 1429.04s]  С Бигги Бруклин Файнест
[1429.04s -> 1431.04s]  Был диджей, у которого
[1431.04s -> 1433.04s]  На студии находился бит, предназначенный Джей-Зи
[1433.04s -> 1435.04s]  На эту студию приехал Бигги
[1435.04s -> 1437.04s]  Услышал этот бит и такой
[1437.04s -> 1439.04s]  Во, блин, дай его мне
[1439.04s -> 1441.04s]  Ужас, когда то, что Джей-Зи еще с тех времен
[1441.04s -> 1443.04s]  То есть он с Бигги
[1443.04s -> 1445.04s]  Ну просто
[1445.04s -> 1447.04s]  С ума сойти
[1447.04s -> 1449.04s]  И Бигги говорит, я хочу этот бит, дай его мне
[1449.04s -> 1451.04s]  Чувак говорит, что, мол, нет
[1451.04s -> 1453.04s]  Это бит Джигги
[1453.04s -> 1455.04s]  Так-то, так-то
[1455.04s -> 1457.04s]  И каким-то там образом им устраивают
[1457.04s -> 1459.04s]  Тайную встречу, потому что
[1459.04s -> 1461.04s]  Джигга не хотел этим битом ни с кем делиться
[1461.04s -> 1463.04s]  Они садятся на студию
[1463.04s -> 1465.04s]  Вроде как-то поболтали, нашли точки
[1465.04s -> 1467.04s]  Соприкосновения
[1467.04s -> 1469.04s]  Договорили, что это будет совместный трек
[1469.04s -> 1471.04s]  Потом заходит в рубку, читает
[1471.04s -> 1473.04s]  Все свои части
[1473.04s -> 1475.04s]  Делая паузы
[1475.04s -> 1477.04s]  Ровно в тех местах, где должен сказать Бигги
[1477.04s -> 1479.04s]  И выходит
[1479.04s -> 1481.04s]  Бигги на это дело такой смотрит
[1481.04s -> 1483.04s]  Комментирует, мол
[1483.04s -> 1485.04s]  Нет, чуваки, я такому не готов
[1485.04s -> 1487.04s]  Собирается, уходит
[1487.04s -> 1489.04s]  И только потом, спустя время, возвращается и записывает свой кусок
[1489.04s -> 1491.04s]  Да, да
[1491.04s -> 1492.04s]  Это просто разум
[1492.04s -> 1494.04s]  Без гений, он очень крутой
[1494.04s -> 1496.04s]  Курицу мы сейчас вытаскиваем
[1496.04s -> 1498.04s]  Так, смотри, давай
[1498.04s -> 1500.04s]  А может быть мы вот во что-то побольше ее выложим
[1500.04s -> 1502.04s]  И давай выложим
[1502.04s -> 1504.04s]  Сделаем это вот этой штукой, чтобы не обжечься
[1504.04s -> 1506.04s]  И вот тебе будет задание
[1506.04s -> 1508.04s]  Чуть попробовать как-то ножом
[1508.04s -> 1510.04s]  Я не знаю, почистить ее от кожи
[1510.04s -> 1512.04s]  И она зацепится хотя бы
[1512.04s -> 1514.04s]  Ничего страшного
[1514.04s -> 1516.04s]  Это говорит о том, что она у нас разварилась и все прекрасно
[1516.04s -> 1518.04s]  Теперь хинкал
[1518.04s -> 1520.04s]  Закидываем квадратики
[1520.04s -> 1522.04s]  Аккуратно
[1522.04s -> 1524.04s]  Это тесто, которое ты нарезал, да?
[1524.04s -> 1526.04s]  Да
[1526.04s -> 1528.04s]  Луквально три минуты
[1528.04s -> 1530.04s]  Ну ты, кстати, так хорошо нарезал себе тесто, что
[1530.04s -> 1532.04s]  Вся футболка в тесте
[1532.04s -> 1534.04s]  В муке
[1534.04s -> 1536.04s]  Наконец-то
[1536.04s -> 1538.04s]  Как МНМ, да?
[1538.04s -> 1540.04s]  Я добавляю сейчас сюда
[1540.04s -> 1542.04s]  Вот эту штуку
[1542.04s -> 1544.04s]  Нашу томатную пасту
[1544.04s -> 1546.04s]  Я что хотел спросить-то
[1546.04s -> 1548.04s]  Мы с тобой уже обсуждали твой новый
[1548.04s -> 1550.04s]  Эльбом
[1550.04s -> 1552.04s]  И синглы, которые ожидаются в преддверии
[1552.04s -> 1554.04s]  А не хочешь ли ты нам здесь
[1554.04s -> 1556.04s]  Что-нибудь показать пока
[1556.04s -> 1558.04s]  Немножко, чтобы потравить душу
[1558.04s -> 1560.04s]  Нам и нашим зрителям
[1560.04s -> 1562.04s]  Да, сейчас давай вот эта тема довариться
[1562.04s -> 1564.04s]  А ты помнишь, когда первый раз
[1564.04s -> 1566.04s]  Попробовал хинкал?
[1566.04s -> 1568.04s]  Ну, может быть, помнишь
[1568.04s -> 1570.04s]  Как это случилось?
[1570.04s -> 1572.04s]  Наверное, первый хинкал я попробовал
[1572.04s -> 1574.04s]  Даже когда я этого уже не помню
[1574.04s -> 1576.04s]  Но хинкал, каждый праздник хинкал
[1576.04s -> 1578.04s]  Точно
[1578.04s -> 1580.04s]  Это главное блюдо на столе
[1580.04s -> 1582.04s]  Да, это главное блюдо на столе
[1582.04s -> 1584.04s]  Мама его очень круто готовит
[1584.04s -> 1586.04s]  Так, и сюда можно
[1586.04s -> 1588.04s]  Бросить масло
[1588.04s -> 1590.04s]  Прямо вот так
[1590.04s -> 1592.04s]  Так, где наш орех?
[1592.04s -> 1594.04s]  Походу у меня реально получилось
[1594.04s -> 1596.04s]  У нас получилось
[1596.04s -> 1598.04s]  Ну так, а мы для чего здесь собрались?
[1598.04s -> 1600.04s]  Проигрывать, что ли?
[1600.04s -> 1602.04s]  Так, пока он варится, давай что-нибудь включу
[1602.04s -> 1604.04s]  Да, давай
[1604.04s -> 1606.04s]  Сейчас будет песня
[1606.04s -> 1608.04s]  Я включаю видео, ты включаешь музыку
[1608.04s -> 1610.04s]  Я достану колоночку
[1610.04s -> 1612.04s]  Да, давайте
[1624.04s -> 1626.04s]  Хватит сос
[1628.04s -> 1630.04s]  Так, ну вначале мы кладем порцию хинкала
[1630.04s -> 1632.04s]  И корица хинкала, она большая
[1632.04s -> 1634.04s]  Курица больше, как гарнир здесь играет роль
[1634.04s -> 1636.04s]  Так
[1636.04s -> 1638.04s]  Вот, например
[1638.04s -> 1640.04s]  Прям большими, да? Мельчить не буду
[1640.04s -> 1642.04s]  Ну да, не надо
[1642.04s -> 1644.04s]  Теперь соусы
[1644.04s -> 1649.46s]  Вообще
[1649.46s -> 1651.46s]  Ложки там на месте
[1651.46s -> 1653.46s]  Да, да, да
[1653.46s -> 1655.46s]  Вот, вот, вот
[1655.46s -> 1657.46s]  Ложки там на месте, да?
[1657.46s -> 1659.46s]  Да, мы вот соуса кладем сверху
[1661.46s -> 1663.46s]  А потом чеснок
[1663.46s -> 1667.22s]  Орешек у меня вот
[1667.22s -> 1669.22s]  Да
[1669.22s -> 1671.22s]  Держи
[1671.22s -> 1673.22s]  И сверху посыпать
[1673.22s -> 1675.22s]  Орехом
[1675.22s -> 1680.07s]  Все
[1680.07s -> 1682.07s]  Так, ты берешь тарелку в руки
[1682.07s -> 1684.07s]  Я беру наш полароид специальный
[1684.07s -> 1686.07s]  Мы подходим
[1686.07s -> 1688.07s]  к дяке Снопу
[1688.07s -> 1690.07s]  Вот
[1690.07s -> 1692.07s]  И делаем прекрасный пикче
[1692.07s -> 1694.07s]  Я думаю, что будет прикольно, если ты останешься с этой стороны
[1694.07s -> 1696.07s]  Готов?
[1696.07s -> 1705.66s]  А теперь
[1705.66s -> 1707.66s]  Пожалуйста, расскажи
[1707.66s -> 1709.66s]  А лучше покажи, как это все есть
[1709.66s -> 1711.66s]  Так, ну
[1711.66s -> 1713.66s]  А я потом попробую
[1713.66s -> 1715.66s]  Этот соус сверху, который надо размешать
[1715.66s -> 1717.66s]  Может кто-то макает, но вот я люблю так делать
[1717.66s -> 1719.66s]  То есть ты размешиваешь
[1719.66s -> 1721.66s]  Все, весь этот гарнир
[1721.66s -> 1723.66s]  В хинкале
[1723.66s -> 1725.66s]  Мне почему-то это напоминает
[1725.66s -> 1727.66s]  Не совсем макароны, но вот пасту
[1727.66s -> 1729.66s]  Она такая квадратненькая
[1729.66s -> 1731.66s]  Чем-то похоже, согласен
[1731.66s -> 1733.66s]  И как бы кушаешь
[1733.66s -> 1735.66s]  Приятного аппетита
[1735.66s -> 1739.99s]  Спасибо
[1739.99s -> 1741.99s]  Я пожалуй тоже возьму вилку, чтобы попробовать
[1741.99s -> 1743.99s]  И заедаешь мясом
[1743.99s -> 1749.67s]  Ты доволен результатом?
[1749.67s -> 1751.67s]  Да, вкусно получилось, попробуй
[1751.67s -> 1753.67s]  Знаешь, как еще можно сделать
[1753.67s -> 1757.30s]  Курица отличная
[1757.30s -> 1759.30s]  Тесто бомба
[1759.30s -> 1761.30s]  Не переварено, не склеивается
[1761.30s -> 1763.30s]  А соус
[1763.30s -> 1765.30s]  Короче, подходите ко мне
[1765.30s -> 1767.30s]  Я буду на вас дышать
[1767.30s -> 1769.30s]  Вот эта штука просто бомба
[1769.30s -> 1771.30s]  Да
[1771.30s -> 1773.30s]  И по сути ингредиенты
[1773.30s -> 1775.30s]  Достаточно простые
[1775.30s -> 1777.30s]  Ничего сложного, а вкусно
[1777.30s -> 1779.30s]  Безумно
[1781.30s -> 1783.30s]  Спасибо Рейхану Лизбековне
[1783.30s -> 1785.30s]  Большущее спасибо
[1785.30s -> 1787.30s]  Друзья, ну что ж, ставим лайк
[1787.30s -> 1789.30s]  Пишем ваши комментарии
[1789.30s -> 1791.30s]  И не забываем подписаться на канал
[1791.30s -> 1793.30s]  Это KitchenStories, меня зовут Ярослав Грин
[1793.30s -> 1795.30s]  Арсен Лизер был здесь
[1795.30s -> 1797.30s]  Всем пока, всем большое спасибо
[1797.30s -> 1803.11s]  Друзья
[1803.11s -> 1805.11s]  А вам, собственно, я предлагаю взять
[1805.11s -> 1807.11s]  И попробовать
[1807.11s -> 1809.11s]  Чего стоим?
