[0.00s -> 12.62s]  ДИНАМИЧНАЯ МУЗЫКА
[1087.79s -> 1088.79s]  Четко ощущаю.
[1088.79s -> 1089.79s]  Слушай, я желаю тебе, что ты меняешь.
[1089.79s -> 1090.79s]  Ты мне не меняешь.
[1090.79s -> 1091.79s]  Ты мне не меняешь.
[1091.79s -> 1092.79s]  Ты мне не меняешь.
[1092.79s -> 1093.79s]  Ты мне не меняешь.
[1093.79s -> 1097.79s]  Я желаю тебе, чтобы все твои мечты сбывались.
[1097.79s -> 1101.29s]  Я надеюсь, что мы тебе помогли с нашим шоумом осознать
[1101.29s -> 1104.79s]  очень много и вообще посмотреть на себя, как ты можешь быть.
[1104.79s -> 1107.79s]  Потому что это действительно серьезный шаг.
[1107.79s -> 1109.79s]  Потому что я проходила через это.
[1109.79s -> 1113.79s]  И если бы у меня был Сережа в самом начале, я бы уже давно.
[1113.79s -> 1118.39s]  Но мы поэтому решили помогать девчонкам, чтобы они побыстрее
[1118.39s -> 1119.79s]  проходили эту реабилитацию.
[1119.79s -> 1122.79s]  И дай бог, что мы с тобой больше в кабинете.
[1122.79s -> 1123.79s]  Никогда не увидимся.
[1123.79s -> 1124.79s]  Только на проектах.
[1124.79s -> 1125.79s]  Только на супервизивах.
[1125.79s -> 1126.79s]  Ну, хорошо.
[1126.79s -> 1127.79s]  А так все.
[1127.79s -> 1128.79s]  Живи.
[1128.79s -> 1132.79s]  Вот я надеюсь, что с Сашей мы с тобой тоже еще увидимся.
[1132.79s -> 1133.79s]  Конечно.
[1133.79s -> 1134.79s]  И я тебе очень благодарна.
[1134.79s -> 1135.79s]  Я вас люблю.
[1135.79s -> 1136.79s]  Ура!
[1136.79s -> 1137.79s]  Ура!
[1137.79s -> 1138.79s]  Круто!
[1138.79s -> 1142.79s]  И вообще каждая девочка достойна счастья.
[1142.79s -> 1145.79s]  И именно мы тебе поможем показать, каково на самом деле
[1145.79s -> 1147.79s]  быть настоящей, любящей женщиной.
[1147.79s -> 1150.79s]  Ставь обязательно лайки, колокольчики, как тебе преображение
[1150.79s -> 1151.79s]  нашего ряды.
[1151.79s -> 1155.79s]  И обязательно подписываться на канал AbuseShow.
[1155.79s -> 1157.79s]  Так что оставляем ссылочку.
[1157.79s -> 1160.79s]  И присылайте туда анкету, если кто готов рассказать
[1160.79s -> 1162.79s]  всю свою историю, чтобы им помогли.
