[0.00s -> 2.00s]  Чувствуете богом?
[994.22s -> 996.22s]  Рафаэль, Леонардо, Микки,
[996.22s -> 998.22s]  Донни, Сплинтер,
[998.22s -> 1000.22s]  Фреддер, Крис Брэффер.
[1000.22s -> 1002.22s]  Я вообще хочу больше
[1002.22s -> 1004.22s]  части всех наборов.
[1004.22s -> 1006.22s]  Просто закупить весь магазин.
[1006.22s -> 1008.22s]  А вам-то нравится самому?
[1008.22s -> 1010.22s]  Наверное, уже возраст не тот.
[1010.22s -> 1012.22s]  Выходной целый был, вы смогли здесь привезти?
[1012.22s -> 1014.22s]  Самый крутой набор?
[1014.22s -> 1016.22s]  Я вынесла.
[1016.22s -> 1018.22s]  Вы вообще в детстве собирали лега?
[1018.22s -> 1020.22s]  А какое? Домики наши?
[1020.22s -> 1022.22s]  Детям думаю, да, им интересно.
[1022.22s -> 1024.22s]  У меня еще был бы доступ к лега, чтобы они собирали.
[1024.22s -> 1026.22s]  А, ну что ж, да.
[1026.22s -> 1028.22s]  Вот, брикстар, мы тебе
[1028.22s -> 1030.22s]  лайфхак подкидываем. Сделай комнату для детей,
[1030.22s -> 1032.22s]  чтобы они там собирали лега.
[1032.22s -> 1034.22s]  Да, они будут довольны.
[1034.22s -> 1036.22s]  Как там говорится в простонародье? Мелочь, отриятно.
[1036.22s -> 1038.22s]  Тут вы сможете найти разных,
[1038.22s -> 1040.22s]  возможно, даже ваших самых любимых персонажей.
[1040.22s -> 1042.22s]  Я нашла трех своих любимчиков.
[1042.22s -> 1044.22s]  Это у нас Стас, вот смотрите,
[1044.22s -> 1046.22s]  магистр Йода.
[1046.22s -> 1048.22s]  И где-то здесь был старинасквиди, вот он.
[1048.22s -> 1050.22s]  А теперь ищут своих.
[1050.22s -> 1052.22s]  Чтобы рассмотреть все экспонаты, вам понадобится
[1052.22s -> 1054.22s]  около двух часов.
[1054.22s -> 1056.22s]  Для выходного тут пространства даже немножко меньше,
[1056.22s -> 1058.22s]  чем в музее макета.
[1058.22s -> 1060.22s]  А 600 рублей вы за него отдадите.
[1060.22s -> 1062.22s]  Но с другой стороны, тут так
[1062.22s -> 1064.22s]  ярко и красиво, что ребенку
[1064.22s -> 1066.22s]  здесь понравится прям сто процентов.
[1066.22s -> 1068.22s]  Так что берите своих детей, племянников,
[1068.22s -> 1070.22s]  детей, друзей и вперед сюда.
[1070.22s -> 1072.22s]  Моя оценка
[1072.22s -> 1074.22s]  7 из 10, а это очень хорошо.
[1074.22s -> 1076.22s]  Но правда не знаю, насколько здесь понравится взрослый.
