[2.93s -> 4.93s]  Это же-же-же-же-жесть!
[1557.42s -> 1559.42s]  который подарили машинку.
[1559.42s -> 1561.42s]  Вот он сидит и дома играется.
[1561.42s -> 1563.42s]  И вот такие же эмоции.
[1563.42s -> 1565.42s]  Очень круто, очень весело.
[1565.42s -> 1567.42s]  Даже несмотря на то, что мы чуть-чуть просрали,
[1567.42s -> 1569.42s]  вообще ничего страшного.
[1569.42s -> 1571.42s]  Спасибо большое Трилошадиной силы
[1571.42s -> 1573.42s]  за то, что меня пригласили.
[1573.42s -> 1575.42s]  Это был первый и последний раз.
[1575.42s -> 1577.42s]  Я получила колоссальное удовольствие.
[1577.42s -> 1579.42s]  Я, честно, поменяла очень много машин в своей жизни,
[1579.42s -> 1581.42s]  но никогда не ездила на Аке.
[1581.42s -> 1583.42s]  Это заслуженная награда наша.
[1583.42s -> 1585.42s]  Саша Стоун, Саша здесь.
[1585.42s -> 1587.42s]  Максим Авет, который золотой кубок забирает.
[1587.42s -> 1589.42s]  Парни, все.
[1589.42s -> 1591.42s]  Не повторяйте, опасно, травмоопасно.
[1591.42s -> 1593.42s]  Хотите попинать мяч, попинайте ногами.
[1593.42s -> 1595.42s]  Что хочу сказать? Трилошадиной силы.
[1595.42s -> 1597.42s]  Мы разрастаемся, мы растем, мы меняемся.
[1597.42s -> 1599.42s]  Все для вас.
[1599.42s -> 1601.42s]  Мы с вами, вы с нами.
[1601.42s -> 1603.42s]  До новых встреч.
[1603.42s -> 1605.42s]  Сразу скажу,
[1605.42s -> 1607.42s]  что это было не страшно.
[1607.42s -> 1609.42s]  Но так как я боюсь замкнутого пространства,
[1609.42s -> 1611.42s]  когда Александр Стоун
[1611.42s -> 1613.42s]  въехал в нас,
[1613.42s -> 1615.42s]  и мы чуть не перевернулись,
[1615.42s -> 1617.42s]  тогда я чуть не потерял сознание.
[1617.42s -> 1619.42s]  А так, в принципе, было все отлично.
[1619.42s -> 1621.42s]  Спасибо. Смотрите.
[1625.42s -> 1627.42s]  Трилошадиные силы.
[1627.42s -> 1629.42s]  И все у вас будет хорошо.
[1629.42s -> 1635.81s]  Это были три лошадиные силы.
[1635.81s -> 1637.81s]  Убери губы, пожалуйста.
[1637.81s -> 1639.81s]  Четыре, придурок.
[1639.81s -> 1641.81s]  Три лошадиные силы и одна прекрасная лань.
[1641.81s -> 1643.81s]  Самое важное.
[1643.81s -> 1645.81s]  Из красной кнопки делаем сервю.
[1645.81s -> 1647.81s]  Колокольчики. Подписываемся.
[1647.81s -> 1649.81s]  Ставим лайки. Отправляем друзьям, подругам,
[1649.81s -> 1651.81s]  родственникам, бабушкам, дедушкам, сестрам,
[1651.81s -> 1653.81s]  подругам, дальним, восточным тоже.
[1653.81s -> 1655.81s]  Их там нет.
[1655.81s -> 1657.81s]  Родственников у тебя? Да мы и так знаем.
[1659.81s -> 1661.81s]  По итогам матча
[1661.81s -> 1663.81s]  победителями становятся Макс и Авет.
[1663.81s -> 1665.81s]  Они забирают весь банк.
[1665.81s -> 1667.81s]  120 тысяч рублей.
[1667.81s -> 1669.81s]  Козла пробивают
[1669.81s -> 1671.81s]  Саша и Оля.
[1671.81s -> 1673.81s]  Подождите.
[1673.81s -> 1675.81s]  Серьезно?
[1675.81s -> 1697.23s]  Так тебе повезло. Спасибо.
[1697.23s -> 1699.23s]  Где эта армянская рожа?
