[0.00s -> 2.00s]  Он может быть разным.
[1055.81s -> 1057.81s]  и большие кольца, соединяются
[1057.81s -> 1059.81s]  в молекулы сумасшедших форм
[1059.81s -> 1061.81s]  и размеров. Но и конечно же
[1061.81s -> 1063.81s]  без него невозможно жить
[1063.81s -> 1065.81s]  на земле. Углерод лежит в основе
[1065.81s -> 1067.81s]  каждой клеточки нашего
[1067.81s -> 1069.81s]  тела. Вместе с другими элементами
[1069.81s -> 1071.81s]  он образует ДНК, РНК,
[1071.81s -> 1073.81s]  белки, жиры и углеводы,
[1073.81s -> 1075.81s]  всевозможные гормоны и
[1075.81s -> 1077.81s]  рецепторы. Если посчитать,
[1077.81s -> 1079.81s]  каждый из нас состоит из углерода
[1079.81s -> 1081.81s]  примерно на 18 процентов.
[1081.81s -> 1083.81s]  Жизнь без дружбы невозможна.
[1083.81s -> 1085.81s]  Благодаря высокой
[1085.81s -> 1087.81s]  способности углерода соединяться с другими
[1087.81s -> 1089.81s]  элементами, появились
[1089.81s -> 1091.81s]  и мы с вами. Понятное дело,
[1091.81s -> 1093.81s]  что углерод достался не только
[1093.81s -> 1095.81s]  земле. Красные гиганты
[1095.81s -> 1097.81s]  это настоящие фабрики по производству
[1097.81s -> 1099.81s]  углерода. Когда-то они
[1099.81s -> 1101.81s]  были звездами подобными
[1101.81s -> 1103.81s]  Солнцу, но в их ядре закончилось
[1103.81s -> 1105.81s]  водородное топливо. И образно
[1105.81s -> 1107.81s]  говоря гелий начал сливаться
[1107.81s -> 1109.81s]  с образованием более тяжелого
[1109.81s -> 1111.81s]  элемента, то есть нашего
[1111.81s -> 1113.81s]  углерода. Похоже, не один мой
[1113.81s -> 1115.81s]  выпуск не обходится без влияния звезд.
[1115.81s -> 1117.81s]  Сегодня в космосе
[1117.81s -> 1119.81s]  углерод находят повсюду.
[1119.81s -> 1121.81s]  Между звездной пыли он образует
[1121.81s -> 1123.81s]  полициклические углеводороды.
[1123.81s -> 1125.81s]  Сложные органические молекулы
[1125.81s -> 1127.81s]  находят и в дисках вокруг молодых
[1127.81s -> 1129.81s]  звезд. А на частицах
[1129.81s -> 1131.81s]  льда в космосе углерод
[1131.81s -> 1133.81s]  образует даже глицин, аминокислоту,
[1133.81s -> 1135.81s]  входящую в состав
[1135.81s -> 1137.81s]  живых клеток. Таким
[1137.81s -> 1139.81s]  образом, благодаря углероду
[1139.81s -> 1141.81s]  жизнь во Вселенной, да и
[1141.81s -> 1143.81s]  на Земле, была обречена на
[1143.81s -> 1145.81s]  появление. Почти все,
[1145.81s -> 1147.81s]  что нас окружает, начинают
[1147.81s -> 1149.81s]  помады и заканчивая планетой,
[1149.81s -> 1151.81s]  везде есть углерод.
[1151.81s -> 1153.81s]  В первую очередь, он есть в нас,
[1153.81s -> 1155.81s]  с вами. Не будь углерода,
[1155.81s -> 1157.81s]  возможно, жизнь была бы на основе
[1157.81s -> 1159.81s]  кремня. Но как хорошо,
[1159.81s -> 1161.81s]  что он у нас есть.
