[0.00s -> 2.00s]  Хо-хо! Роналд Уизме!
[1712.24s -> 1717.24s]  свет в одиноком окне.
[1718.24s -> 1727.06s]  Как жаль, что это все приснилось мне.
[1744.80s -> 1747.80s]  В тот день, когда ты мне приснила,
[1748.80s -> 1752.80s]  ты все придумала сама.
[1753.80s -> 1757.80s]  Землю тихо опустилась,
[1757.80s -> 1763.80s]  зима, зима, зима.
[1769.06s -> 1773.06s]  Снег в одиноком окне.
[1774.06s -> 1779.06s]  Как жаль, что это все приснилось мне.
[1794.74s -> 1795.74s]  Кайф!
[1796.74s -> 1798.74s]  Блин, как это притягивается, Никита, красавец, конечно.
[1799.74s -> 1802.74s]  А давайте сразу Кипелова споем «Я свободен».
[1803.74s -> 1804.74s]  Ты же пел ее?
[1804.74s -> 1806.74s]  Давайте, не отходя от кассы.
[1807.74s -> 1810.74s]  Я свободен.
[1811.74s -> 1812.74s]  Так, помню ли, я только текст, вот вопрос.
[1813.74s -> 1814.74s]  Так, а я тебе, ты возьми телефон.
[1815.74s -> 1818.74s]  Слушай, у нас все же, говорю, здесь спокойно, мы же не это.
[1819.74s -> 1820.74s]  На импровизе.
[1821.74s -> 1822.74s]  Достань текст из телефона, спой.
[1823.74s -> 1826.74s]  Круто. Не всю песню. Куплет-припев, буквально.
[1827.74s -> 1828.74s]  Да, куплет-припев.
[1829.74s -> 1836.81s]  Готов? Давай.
[1836.81s -> 1837.81s]  Давай.
[1838.81s -> 1839.81s]  Давай, да.
[1840.81s -> 1843.38s]  Поехали, ребята.
[1857.66s -> 1861.66s]  Тишина, небо полное дождя,
[1862.66s -> 1865.66s]  Дождь проходит сквозь меня,
[1866.66s -> 1868.66s]  Но боли больше нет.
[1869.66s -> 1872.66s]  Под холодный шепот звезд
[1873.66s -> 1876.66s]  Мы сожгли последний мост,
[1876.66s -> 1878.66s]  И все песню сорвалось,
[1879.66s -> 1881.66s]  Свободным стану я,
[1882.66s -> 1891.31s]  А твоя душа была на лес и ножа.
[1903.29s -> 1905.29s]  Я бы мог с тобою быть,
[1906.29s -> 1909.29s]  Я бы мог про все забыть,
[1910.29s -> 1912.29s]  Я бы мог тебя любить,
[1913.29s -> 1915.29s]  Но это лишь игра.
[1916.29s -> 1919.29s]  Жду мне ветра за спиной,
[1920.29s -> 1931.79s]  Я заодно губил с ума.
[1932.79s -> 1935.79s]  В моей душе нет больше места
[1936.79s -> 1943.30s]  Для тебя бодиться в небе.
[1948.75s -> 1950.75s]  Я забыл, что значит страх.
[1951.75s -> 1953.75s]  Я свободен,
[1954.75s -> 1956.75s]  И к деткам на равне.
[1957.75s -> 1959.75s]  Я свободен.
[1994.26s -> 1996.26s]  У тебя максимально звездная семья,
[1996.26s -> 1999.26s]  Каково расти в такой семье, старина?
[2000.26s -> 2002.26s]  Есть очень много чего хорошего,
[2003.26s -> 2008.26s]  Но есть очень много вот в плане психологического.
[2009.26s -> 2013.26s]  То есть, мне кажется, если сейчас с кем-нибудь местами поменяться,
[2014.26s -> 2016.26s]  То неподготовленный человек этого не выдержит просто реально.
[2017.26s -> 2018.26s]  Треснет там что-то просто.
[2019.26s -> 2021.26s]  Ты имеешь что-то просто с человеком с обычной семьи,
[2022.26s -> 2023.26s]  Вот если поменяться.
[2023.26s -> 2029.26s]  Ну, в голове столько вот этого некого, наверное, давления,
[2030.26s -> 2034.26s]  Я всю жизнь его стараюсь держать и контролировать,
[2035.26s -> 2036.26s]  Как бы я уже научился.
[2037.26s -> 2040.26s]  Но это очень такой тоже большой сложный путь.
[2041.26s -> 2044.26s]  Потому что ты с детства уже вот что бы ты ни делал,
[2045.26s -> 2047.26s]  Даже, ну, понятное дело так сейчас сложилось,
[2048.26s -> 2050.26s]  Что мой путь тоже связан с музыкой,
[2050.26s -> 2052.26s]  Ну, то есть я так мыслю,
[2053.26s -> 2057.26s]  Я реально люблю этим заниматься и готов этим прямо вот
[2058.26s -> 2060.26s]  Всего себя отдавать в то дело, что я делаю, в любое.
[2061.26s -> 2064.26s]  Где бы я не брался в любое дело, я свой максимум туда отдаю.
[2065.26s -> 2069.26s]  Но даже если бы, условно, я бы занимался не какими-то медийными делами,
[2070.26s -> 2073.26s]  То все равно бы, условно, какая-то большая аудитория меня знала,
[2074.26s -> 2076.26s]  И что-то обо мне бы говорила, и что-то обо мне бы писали.
[2077.26s -> 2078.26s]  Потому что, ну, как бы я родился в этом.
[2078.26s -> 2083.26s]  И в один момент я начал понимать, что раз я уже попал в такой ситуации,
[2084.26s -> 2089.26s]  Нужно как-то что-то такое делать, чтобы узнали какой-то настоящий.
[2090.26s -> 2092.26s]  То есть через какие-то свои тоже другие действия.
[2093.26s -> 2099.26s]  Иначе просто все будут думать о тебе так, как написали какие-нибудь желтые СМИ и все.
[2100.26s -> 2102.26s]  То есть тут нужно как-то вот именно свой путь пробивать,
[2103.26s -> 2106.26s]  Чтобы просачиваться через всю эту ере, что могут там написать.
[2106.26s -> 2110.26s]  Тебе пишут непочасто, что ты все добиваешься типа не сам?
[2111.26s -> 2112.26s]  Ну, естественно.
[2113.26s -> 2115.26s]  Я как бы живу этим уже много-много лет.
[2116.26s -> 2121.26s]  Ну, мне приятно, когда я натыкаюсь на людей, которые поменяли стереотипное мышление,
[2122.26s -> 2125.26s]  И говорят, что слушай, да, я вначале очень скептически к тебе относилась,
[2126.26s -> 2128.26s]  Думала, что ты такой-сякой.
[2129.26s -> 2133.26s]  Но вот, чуть-чуть там понаблюдая за тобой настоящим, я беру свои слова назад.
[2133.26s -> 2135.26s]  Ну как, ты человек, который сейчас пел?
[2136.26s -> 2140.26s]  Он сидит здесь, поет разные песни в разных стилях и направлениях.
[2141.26s -> 2143.26s]  И вот вы сейчас напишите, что... Нет, это не он.
[2144.26s -> 2145.26s]  Это вот благодаря сейчас вот, ну, чего?
[2146.26s -> 2149.26s]  Короче, не, в любом случае, да, ты прав в себе, что нужно отстрагиваться об этом.
[2150.26s -> 2156.26s]  И просто, что бы там кто ни говорил, если ты веришь в свое дело, ты его просто делаешь и не обращаешь на что внимание.
[2157.26s -> 2162.26s]  Но, естественно, конечно, когда такое массовое давление, иногда становится тяжело.
[2163.26s -> 2171.26s]  Потому что, ну, там, словно... Ну, не знаю, это сложно объяснить.
[2172.26s -> 2173.26s]  Расскажи, как есть, если хочешь.
[2174.26s -> 2181.26s]  Не-не-не, я просто реально не могу сформулировать, наверное, всю вот эту вот фишку, всю эту систему.
[2182.26s -> 2183.26s]  Это сложно.
[2184.26s -> 2185.26s]  С батей разговариваешь на эту тему, нет?
[2186.26s -> 2189.26s]  Не, ну, иногда, конечно, да, есть такие разговоры очень...
[2190.26s -> 2192.26s]  Очень хорошие такие отцовские советы, да.
[2193.26s -> 2195.26s]  Блин, да, это, это, конечно...
[2196.26s -> 2199.26s]  Я всегда своим детям вот, даже сейчас закладываю, начинаю говорить, все должно быть...
[2200.26s -> 2201.26s]  Ты профессионально все делаешь.
[2202.26s -> 2203.26s]  Вот я своим говорю, мы должны делать всегда все профессионально.
[2204.26s -> 2207.26s]  Не за какие заслуги отца передать отечеству ни в коем случае.
[2208.26s -> 2209.26s]  Что все должно сами пробиваться.
[2210.26s -> 2211.26s]  И я вижу, что ты-то все сам делаешь в любом случае.
[2212.26s -> 2214.26s]  Вот, не докопаться абсолютно.
[2215.26s -> 2216.26s]  Поэтому я, честно говоря, не психолог.
[2217.26s -> 2219.26s]  И я не знаю, что тебе посоветовать.
[2220.26s -> 2222.26s]  Даже свои собственные заслуги надо доказывать каждый следующий день.
[2223.26s -> 2224.26s]  Конечно.
[2225.26s -> 2227.26s]  Никому не интересно, что у тебя за спиной, сколько ты победил, сколько всего.
[2228.26s -> 2230.26s]  Ты сегодня выходишь, и надо играть по-человечески.
[2231.26s -> 2232.26s]  И нельзя играть плохо.
[2233.26s -> 2234.26s]  Ну, короче, вот так.
[2235.26s -> 2236.26s]  Поэтому это не зависит.
[2237.26s -> 2238.26s]  Агутину я чей не носил?
[2239.26s -> 2240.26s]  Я хочу поговорить об этом.
[2241.26s -> 2242.26s]  Тебя вот что на три гирилла-то последнее.
[2243.26s -> 2244.26s]  Да я пошучу, пошутил я.
[2245.26s -> 2247.26s]  Короче, знаешь, я примерно понял, как объяснить суть в двух словах.
[2247.26s -> 2248.26s]  С чем я сталкиваюсь по жизни.
[2249.26s -> 2251.26s]  Словно вот какое-то даже выступление.
[2252.26s -> 2257.26s]  И я понимаю, что когда знают, что, например, будет, условно, Никита Пресняков,
[2258.26s -> 2263.26s]  то большинству могут быть вот такой позиции, типа ну давай, покажи, что ты можешь.
[2264.26s -> 2266.26s]  То есть какое-то вот такое давление, его много по жизни.
[2267.26s -> 2268.26s]  Ну, что ты можешь, давай, покажи.
[2269.26s -> 2275.26s]  И, то есть, я понимаю, что вышел бы сейчас какой-то другой исполнитель, который, ну, неизвестный просто.
[2275.26s -> 2277.26s]  Его просто встретили, типа давай, молодец.
[2278.26s -> 2280.26s]  А он будет по таланту гораздо ниже, чем Никита Пресняков.
[2281.26s -> 2282.26s]  Да, то есть его бы поддержали, там давай, ху-ху.
[2283.26s -> 2287.26s]  А у меня часто вот как раз вот наоборот, типа ну и че ты там, давай.
[2288.26s -> 2290.26s]  Че? Че ты можешь?
[2291.26s -> 2292.26s]  Давай, зажгай, да.
[2293.26s -> 2299.26s]  И вот с этим, конечно, прямо очень много лет приходилось как бы сталкиваться.
[2300.26s -> 2302.26s]  И астрогироваться от этого и все равно играть.
[2302.26s -> 2304.26s]  И потом ты видишь, что нормально, нормально, молодец.
[2307.46s -> 2308.46s]  У, клево, клево.
[2309.46s -> 2310.46s]  Доказывает, а?
[2311.46s -> 2312.46s]  Но плюсы же тоже есть.
[2313.46s -> 2314.46s]  Видимо, да, музыка это один из способов.
[2315.46s -> 2316.46s]  Есть деревни, где ребенка гитару родители не могут купить.
[2317.46s -> 2320.46s]  Вот, я думаю, тоже все-таки у тебя был, начальный этап тебе помогли, наверняка, и компьютер.
[2321.46s -> 2322.46s]  Вот, да, это, конечно, да.
[2323.46s -> 2324.46s]  Подожди, а ты же родился в Лондоне?
[2325.46s -> 2326.46s]  Да.
[2327.46s -> 2329.46s]  Когда мне было неделю, я уже в Москву приехал.
[2330.46s -> 2332.46s]  А, да? Как проходила неделя в Лондоне?
[2332.46s -> 2333.46s]  Как проходила неделя в Лондоне?
[2334.46s -> 2335.46s]  Слушай, неплохо, неплохо.
[2336.46s -> 2337.46s]  Я уеду.
[2338.46s -> 2339.46s]  Расскажи про свою неделю.
[2340.46s -> 2341.46s]  Вот, кстати, как проходила неделя.
[2342.46s -> 2345.46s]  Я только родился, меня батя взял на вот этот вот сумочке.
[2346.46s -> 2347.46s]  Знаешь, как он называется?
[2348.46s -> 2349.46s]  Кенгурушка, по-моему.
[2350.46s -> 2351.46s]  Кенгурушка.
[2352.46s -> 2353.46s]  Да, в кенгурушку вот эту вот.
[2354.46s -> 2357.46s]  И просто на байке меня вот так вот катал, рассекал со мной по Лондону.
[2357.46s -> 2363.46s]  Возможно, он говорит, ну, у меня же любовь к экстремальному виду спорта, тоже к мотоциклам.
[2364.46s -> 2365.46s]  Батя заложил в Лондоне любовь к мотоциклам.
[2366.46s -> 2369.46s]  И вот он, когда понял, что я люблю весь вот этот адреналинчик,
[2370.46s -> 2372.46s]  он такой, ну да, не зря я тебя покатал.
[2373.46s -> 2374.46s]  Доброжденного по Лондону на байке.
[2375.46s -> 2378.46s]  Ты что-то хотел сказать, Серега, тебя перебил или я теперь?
[2379.46s -> 2380.46s]  Я перебил. Не-не-не, я перебил.
[2381.46s -> 2383.46s]  Что-то он про гитару, про одежду, как началось все.
[2383.46s -> 2388.46s]  Ну да, естественно, это, конечно, прям вот, я всегда буду благодарен за то,
[2389.46s -> 2394.46s]  чтобы была такая возможность, что мне, там, в пятом классе, я помню, мне подарили электрогитару,
[2395.46s -> 2400.46s]  чтобы я занимался. Но учителей у меня не было, там, я как самоучка на всем.
[2401.46s -> 2402.46s]  И в шестом классе отобрали.
[2403.46s -> 2404.46s]  Не, она до сих пор лежит.
[2405.46s -> 2406.46s]  Ну, в интернете уже все было, наверное, да? То есть, я имею в виду, какие-то уже школы.
[2407.46s -> 2408.46s]  Ты же все-таки рос уже в то... Вот, допустим, я...
[2408.46s -> 2413.46s]  Не, было, что есть какой-то друг, у него тоже есть гитара, и вот он узнает пару аккордов,
[2414.46s -> 2418.46s]  и вот вы собираетесь на дачу, и друг другу типа, вот я знаю вот этот аккорд, вот этот аккорд,
[2419.46s -> 2420.46s]  а вот я что-то придумал, как...
[2421.46s -> 2422.46s]  У нас был один учебник, Манилов Молотков, и все.
[2423.46s -> 2425.46s]  И гитаристам что хочешь, то и делай.
[2426.46s -> 2431.46s]  А вот, поэтому и с магнитофонной лентой, и на девятой скорости, корячились, сами все узнавали.
[2432.46s -> 2435.46s]  Но зато ноты переписаны руками, там, допустим, импровизация с кофелда или еще чего-то.
[2435.46s -> 2439.46s]  Я, кстати, вот дедушке смотрел ноты, которые он Тане Лариной давал.
[2440.46s -> 2444.46s]  Думаю, надо же, вот это вот, когда рукой люди пишут, ты сейчас говорил по поводу проекции, уходишь,
[2445.46s -> 2446.46s]  по нужде вместо тебя кто-то.
[2447.46s -> 2451.46s]  Вот люди, которые писали все руками на нотных тетрадях, это очень большой труд,
[2452.46s -> 2453.46s]  это надо очень сильно музыку любить.
[2454.46s -> 2455.46s]  Я до сих пор пишу.
[2456.46s -> 2457.46s]  От руки.
[2458.46s -> 2459.46s]  Тебя просто компьютера нет.
[2460.46s -> 2462.46s]  А я, кстати, знаете, вот песню, которую мы написали, «Леди», помнишь?
[2462.46s -> 2468.46s]  У меня идея в той песне, вот когда я ее писал, была, чтобы «Проигрыш» сыграл как раз твой дед.
[2469.46s -> 2471.46s]  Это вообще, конечно, блин, но это не сложилось.
[2472.46s -> 2473.46s]  Ты чего, он же супер рад до сих пор.
[2474.46s -> 2477.46s]  Он всегда вообще за любую движуху, ему только позвать, какой-нибудь сыграть,
[2478.46s -> 2480.46s]  он на следующий день приедет, все сыграет, запишет.
[2481.46s -> 2482.46s]  Ни фига, ну классно.
[2483.46s -> 2485.46s]  Он мне постоянно говорит, там, если вам в группе, ну понятно, мы там играем.
[2485.46s -> 2488.46s]  Он говорит, я, вот, надеюсь, на втором альбоме, если там что-то…
[2489.46s -> 2491.46s]  И, кстати, я сейчас начал задумывать, что, не, клево, может, действительно…
[2492.46s -> 2493.46s]  Конечно, эксперимент.
[2494.46s -> 2498.46s]  Есть же группа, мы знакомы, там, Коваленос есть такой гитарист, у них была группа Шрезерс, вот.
[2500.46s -> 2504.46s]  Тоже они играют такой прогрессивный метал, но там есть в группе саксофонисты,
[2505.46s -> 2507.46s]  и вот они совместились с тяжелым, прямым метальным звуком.
[2508.46s -> 2510.46s]  Там, по-моему, скримов у них нет, у них хорошее звучание.
[2510.46s -> 2513.46s]  Но гитары очень тяжелые, партии очень ломанные, очень техничные, и при этом еще саксофон.
[2514.46s -> 2515.46s]  И очень клево звучит.
[2516.46s -> 2518.46s]  А Мауза Дэвисон тебя заставил слушать, или ты…
[2519.46s -> 2524.46s]  Так, я изначально услышал Мауза Дэвисон, и я прибежал и говорю, дед, дед, что это за мелодия?
[2525.46s -> 2529.46s]  И он говорит, Мауз Дэвисон, это Мауз Дэвисон, это Мауз Дэвисон.
[2530.46s -> 2535.46s]  И я такой, я хочу научиться это играть, я же вот в школе, в школе, в школе, в школе.
[2535.46s -> 2540.46s]  А, кстати, с гитарой я, все-таки, у меня был где-то полгода в пятом классе,
[2541.46s -> 2543.46s]  чуть-чуть получил какой-то преподаватель школьный.
[2544.46s -> 2545.46s]  Ну, так там условно.
[2546.46s -> 2547.46s]  Ты не играешь?
[2548.46s -> 2549.46s]  На чем? На саксофоне?
[2550.46s -> 2551.46s]  Вообще на каких?
[2552.46s -> 2553.46s]  Играю.
[2554.46s -> 2555.46s]  На чем?
[2556.46s -> 2557.46s]  Гитара, пианино, барабаны.
[2558.46s -> 2559.46s]  Реально?
[2560.46s -> 2561.46s]  Да.
[2562.46s -> 2563.46s]  А в грунт-лирику на рояле сыграешь?
[2563.46s -> 2564.46s]  Да.
[2565.46s -> 2566.46s]  Если поешь?
[2567.46s -> 2568.46s]  Не знаю, возможно.
[2569.46s -> 2570.46s]  Ты умеешь петь?
[2571.46s -> 2572.46s]  Ну, могу попробовать.
[2573.46s -> 2574.46s]  Да? Попробуй.
[2575.46s -> 2576.46s]  Ну, сам поешь или родственники помогли?
[2577.46s -> 2578.46s]  Нет, ну тут встроенное, нельзя было говорить, там есть такое.
[2579.46s -> 2581.46s]  Нет, да нет, все это благодаря, все благодаря Батина, мне кажется.
[2582.46s -> 2583.46s]  А сыграй что-нибудь, пожалуйста.
[2584.46s -> 2588.46s]  Леночка, пусти, пожалуйста, талантливого артиста, который подъехал на шоу Музлов.
[2605.30s -> 2685.62s]  О, кстати, кто угадает эту песню в комментариях?
[2686.62s -> 2687.62s]  Давай.
[2688.62s -> 2689.62s]  Давай.
[2690.62s -> 2741.51s]  Положу, но я не имею права этого делать сейчас, потому что это задание для…
[2742.51s -> 2743.51s]  Ну, он депрессует там, смотри.
[2744.51s -> 2745.51s]  Теребунькает.
[2746.51s -> 2747.51s]  Я создаю напряжение.
[2748.51s -> 2749.51s]  А, пока Никита создаёт напряжение.
[2750.51s -> 2755.51s]  Напишите в комментариях, что это за композиция, откуда эта композиция.
[2756.51s -> 2759.51s]  И еще напишите, пожалуйста, в комментариях, важно для меня.
[2759.51s -> 2764.51s]  Как вы думаете, носил чай Сергею Агутину или нет?
[2765.51s -> 2776.25s]  Все, браво, спасибо тебе огромное.
[2777.25s -> 2778.25s]  Леночка, возвращайся.
[2779.25s -> 2780.25s]  Блин, как клево.
[2781.25s -> 2788.25s]  А давайте вот, я знаю, что Белли Алиш, вот сейчас поет, если Никита, то Белли Алиш закончит.
[2789.25s -> 2790.25s]  Приедет в гости.
[2791.25s -> 2792.25s]  Приедет в гости.
[2793.25s -> 2794.25s]  Давай прямо там или сидя, где тебе удобнее.
[2795.25s -> 2796.25s]  Как тебе комфорт не просто будет.
[2796.25s -> 2797.25s]  Давайте там, на сцене.
[2798.25s -> 2801.25s]  Важно, определитесь, как вы будете играть с развитием, без развития.
[2802.25s -> 2803.25s]  Ну, разовьем чуть-чуть.
[2812.15s -> 2813.15s]  Гармония простая, как у чижа.
[2814.15s -> 2815.15s]  Они спетили нам песню.
[2816.15s -> 2817.15s]  Серьезно? У Белли Алиш?
[2818.15s -> 2822.15s]  У меня жёлтые глаза, тёплые глаза.
[2823.15s -> 2830.15s]  Жёлтого огня небом в них летели тонзы, слёзы, линии.
[2831.15s -> 2834.15s]  Они спетили мне песню.
[2835.15s -> 2836.15s]  Лучше не пой.
[2837.15s -> 2838.15s]  Не-не-не.
[2839.15s -> 2841.15s]  Если вы готовы, то мы готовы.
[2874.78s -> 2879.34s]  Редактор субтитров Е.Воинова
[2880.34s -> 2883.34s]  Корректор субтитров Н.Александрова
[3515.80s -> 3517.80s]  Уп tried to be cool
[3517.80s -> 3519.80s]  About what I was telling you
[3519.80s -> 3525.60s]  You did the opposite of what you said you do
[3525.60s -> 3527.60s]  and I'm afraid
[3527.60s -> 3529.60s]  Don't say it isn't fair
[3529.60s -> 3531.60s]  You clearly weren't aware
[3531.60s -> 3536.60s]  That you made me miserable
[3536.60s -> 3541.60s]  So if you really wanna know
[3541.60s -> 3544.60s]  When I'm away
[3544.60s -> 3552.76s]  этот будет держать. Бум! А этот будет еду заказывать. Вот меня столько раз нанимали, просто ассистент,
[3552.76s -> 3558.64s]  типа ассистент режиссера. Говорю, а что делаю? Ты еду закажи и все. И так скучно. Вот короче,
[3558.64s -> 3564.00s]  с этим я тоже часто сталкивался, а в итоге потом показывал самые интересные работы в конце года,
[3564.00s -> 3569.00s]  и все такие, блин, чувак, что же мы с тобой-то не работали? Надо было с тобой тебя как оператора
[3569.00s -> 3574.28s]  взять. А ты еду заказывал сюда. А я все это время... Ну, нет, у некоторых там были два типа,
[3574.28s -> 3580.12s]  которые вот, если они режиссеры, они меня всегда... они уже притерлись, и сами уже потом выбирали,
[3580.12s -> 3586.52s]  кто будет что делать. То есть если в начале пути вы реально меняетесь, а потом там второй год уже
[3586.52s -> 3592.12s]  где-то сколотилась классная команда. Если вы словно какой-нибудь Джонатан режиссер, то он хочет,
[3592.12s -> 3597.64s]  чтобы какой-нибудь там Хайми был оператор, и у него уже есть своя вот эта вот команда,
[3597.64s -> 3604.96s]  а Никитос будет еду заказывать. Вот, поэтому... Никитос сам добился еду заказывать, понимаешь,
[3604.96s -> 3610.20s]  ну все. Без всяких разных связей. Да, и следить как бы, чтобы там никто не опоздал. Слушай, Дака,
[3610.20s -> 3616.92s]  ты получается закончил, то есть ты получил прям конкретное образование. Да. Сколько лет ты отучился?
[3616.92s -> 3624.40s]  Ну как бы два года именно суперинтенсивного обучения, и год был практикой. И почему ты не
[3624.40s -> 3628.68s]  остался сниматься в голливудском кино? Не захотелось? Не было? Тяжело пробиться в
[3628.68s -> 3637.16s]  голливудский фильм? Пробовал? Слушай, на самом деле, я просрал одну возможность очень лютую. Я
[3637.16s -> 3643.12s]  познакомился вот реально в клубе, причем в русском клубе, где-то там недалеко на Брайтон Бич,
[3643.12s -> 3650.64s]  и я подружился там с каким-то местным, сейчас как сказать такой, знаешь, ГТА тип. Тип такой вот из
[3650.64s -> 3654.28s]  категории ГТА. То есть, если упираться в стену, то тоже будет вот так? Ну, наверное. Ну, он какой-то там,
[3654.28s -> 3660.56s]  что-то вот варился там во все эти какие-то клубы, вот эти, я не знаю, вот эти... Вот. И... Тусовщик такой, да.
[3660.56s -> 3667.80s]  Ну да, такой. И он меня позвал в какой-то русский клуб, и там сидел толстенький, с сигарочкой такой,
[3667.80s -> 3675.32s]  дядечка. Такой очень толстый Тарантино. Какого-то такого плана. Он меня с ним познакомил, говорит, вот этот
[3675.32s -> 3683.24s]  тип, у него вообще там своя студия, режиссер. Ну, тот как-то там такой, я хай, особо ничего не придал
[3683.24s -> 3689.40s]  нашему знакомству, но я такой, давай, я приду, просто тебе покажу там какие-то вот проекты, то, что он такой,
[3689.40s -> 3697.76s]  вот карточка. Но я как-то выдал эту встречу не сразу, пришел, показал ему проекты, и он как-то
[3697.76s -> 3705.36s]  поменялся в лице. Мы с ним хорошо познакомились, он показал мне там всю сумасшедшую студию, очень
[3705.36s -> 3710.64s]  интересную. Там у него есть комната метро, просто дверь открываешь, там вагон метро у него. Реально.
[3710.64s -> 3716.80s]  Который еще включается и чуть-чуть шатается. Вот. То есть, так парень заморочился. И все, ему понравились
[3716.80s -> 3723.20s]  проекты. Он прям так взбодрился, он уже рассказал, что он там типа сейчас планирует какой-то там один
[3723.20s -> 3729.36s]  сериал начинать снимать. Ну, естественно, это какие-то не прямо топ из сериалов, но на свою нишу там
[3729.36s -> 3734.36s]  что-то делает. Это все равно рабочая студия, это человек из индустрии, типа вов, все, как бы появилась
[3734.36s -> 3744.04s]  реальная возможность. И я почему-то, я не знаю, почему я себя тысячи раз задаю этот вопрос. Вначале
[3744.04s -> 3748.64s]  я ему забыл перезвонить в какой-то момент, потому что начал заниматься какими-то другими делами, там
[3748.64s -> 3753.92s]  еще и девушка появилась на тот момент, и куча каких-то всего. Я такой, черт, блин, надо же ему
[3753.92s -> 3760.64s]  позвонить и встретиться. И в итоге я так долго тянулся этим, что потом мне стало уже неудобно. То есть,
[3760.64s -> 3766.76s]  типа я могу позвонить, но я так давно не звонил. От этого неудобно. Я все больше и больше из этого
[3766.76s -> 3773.12s]  оттягивал, в итоге так ему и не позвонил. И все. И потом неудобно было звонить типа из-за этого и все?
[3773.12s -> 3778.40s]  Ну, вот я не знаю. Просто вот как-то я откладывал, откладывал, а потом понял, что реально так долго
[3778.40s -> 3782.52s]  я ему не звоню, что будет сейчас уже как-то тупо, что я ему позвоню и скажу, о, помните меня. Нет,
[3782.52s -> 3788.56s]  испугался просто. Просто побоялся. Это же прям мотивация. Ничего, не бойтесь. Ну, я был малой,
[3788.56s -> 3795.84s]  вот и не... Не бойтесь. Но сейчас, естественно, я бы никогда так не поступил. Надо просто шаг
[3795.84s -> 3800.32s]  вперед сделать. Я сталкиваюсь с таким, знаешь, когда не хочется звонить, и ну раз, а надо, ты делаешь
[3800.32s -> 3806.48s]  и решаешь эту проблему всегда. И по сей день такие вещи у меня случаются. Шаги вперед. Не стесняйтесь
[3806.48s -> 3811.12s]  этого делать. Не стесняйтесь признаваться, что вы носили чай Агутину. Ну, вот что. С другой стороны,
[3811.12s -> 3819.08s]  это, знаешь, как вот... Это как космос. Вот я верю, знаешь, в космические какие-то события. То есть,
[3819.08s -> 3824.12s]  знаешь, что не делается, значит, так должно было быть. Потому что все в итоге привело к тому,
[3824.12s -> 3832.56s]  что я вернулся в Москву, и здесь действительно какая-то настолько классно интересная движуха
[3832.56s -> 3840.68s]  начала получаться. То есть и жена здесь появилась, и группа, и в театре сейчас работаю.
[3840.68s -> 3846.48s]  Да ты что, то есть ты в актерской деятельности принимаешь участие? Что в тебе больше музыканта или...
[3846.48s -> 3852.80s]  Кого тебе? Кого? Кого? Музыканта. Кто ты? Кто? Ты? Сейчас, я бы запутался. Музыканта в тебе больше,
[3852.80s -> 3859.16s]  чем актера? Музыканта, конечно, больше, но... Если дадут вот один выбор, вот один. Музыка или кино? Музыка.
[3882.43s -> 3884.43s]  Музыка.
[3925.58s -> 3935.74s]  Музыка.
[4009.38s -> 4011.38s]  Музыка.
[4011.38s -> 4013.38s]  Музыка.
[4013.38s -> 4016.30s]  Редактор субтитров О.Голубкина
[4016.30s -> 4018.30s]  Корректор В.Сухиашвили
[4075.34s -> 4097.23s]  Но сейчас мы, кстати, пишем... Я ещё просто до конца не решил, но следующий альбом, он точно, он же русскоязычный, этот альбом второй, мы почти написали, и мы написали уже все тексты на английском, но я думаю, что самые прикольные песни выпустить ещё и на русском.
[4097.23s -> 4107.23s]  Как мы, например, сделали, наоборот, кстати, мы один сингл выпустили на русском как «Тише, тише», а на английском он ещё не вышел, то есть он изначально вышел на русском.
[4107.23s -> 4111.23s]  А собирайте, хорошо, есть у вас своя аудитория, сложилась песня?
[4111.23s -> 4115.23s]  Аудитория есть, очень тёплая, очень классная, но, естественно, это прямо не...
[4115.23s -> 4116.23s]  Но это не масштабная тема.
[4117.23s -> 4130.23s]  На мой день рождения, на день рождения немножко это больше обычные артисты собирают, потому что это хороший инфоповод отменить день рождения с концертом, но мы собрали человек 500-600.
[4130.23s -> 4133.23s]  А нет, я просто, ну, я обожаю музыку.
[4133.23s -> 4134.23s]  Всё равно клёво.
[4134.23s -> 4149.23s]  Сам пишу тоже много песен, а нет, написать вот так называемые, идеи так называемые, написать коммерческую музыку, чтобы она зашла в народ, или ты всё равно будешь продолжать гнуть свою линию, ты же поймешь, что вот это на бонжове же очень похоже, да?
[4149.23s -> 4150.23s]  Это прикольно причём.
[4150.23s -> 4152.23s]  Ну, на бонжове.
[4152.23s -> 4162.23s]  В хорошем смысле этого слова, что я какие-то нотки услышал, заметил, то есть для меня это, ну, я могу это сравнить, это клёво, когда так сравнивают, да?
[4162.23s -> 4168.23s]  Это же не популярная музыка, опять ведь говорю, это же авторская история, так как ты чувствуешь, так как ты делаешь искренне от души.
[4168.23s -> 4169.23s]  Ну, тогда это не было.
[4169.23s -> 4176.23s]  Да, ты же понимаешь, что это вот не заходит на массовую аудиторию, а заходит ягода-малинка, да?
[4176.23s -> 4183.23s]  С одной стороны, я бы и не хотел бы быть очень сверх-супер мединым человеком.
[4183.23s -> 4184.23s]  Так.
