[0.00s -> 1.34s]  Что ты не Hyung?
[883.54s -> 886.54s]  И он потом говорит, я какого-то лоха убил, пока он там искал
[886.54s -> 887.54s]  лут.
[887.54s -> 889.54s]  А я поворачиваюсь, и я понимаю, что это он.
[889.54s -> 890.54s]  И говоришь, ты был мне как брат.
[890.54s -> 891.54s]  А он говорит, так это был я.
[891.54s -> 893.54s]  И после этого мы удалили игру.
[893.54s -> 895.54s]  И больше мы в заезд заходили.
[895.54s -> 896.54s]  Такая вот история.
[896.54s -> 898.54s]  А мы переходим к следующей рептике.
[904.90s -> 906.90s]  Друзья, без лишних предусловий.
[906.90s -> 909.90s]  Мы начинаем битву между братьями родными.
[909.90s -> 911.90s]  Я думала, в какой игре вас сталкивать.
[911.90s -> 913.90s]  И Just Dance подходит просто великолепно.
[913.90s -> 914.90s]  Вы в отличной физической форме.
[914.90s -> 915.90s]  Да ты болё!
[915.90s -> 917.90s]  Поехали, мы готовы.
[917.90s -> 918.90s]  Всё, танец с ума.
[918.90s -> 919.90s]  Всего три танца.
[919.90s -> 920.90s]  Кто больше очков набирает, тот молодец.
[927.90s -> 930.90s]  Битва за 40 тысяч начинается прямо сейчас.
[940.52s -> 942.52s]  Синхронно работаем ручками, парни.
[943.52s -> 947.60s]  Связочка пошла, поехали.
[953.60s -> 955.60s]  Больше элегантности, парни, секса.
[958.60s -> 959.60s]  Вот этого с сисами трясём.
[972.94s -> 973.94s]  Фух, устал.
[974.94s -> 975.94s]  Держитесь.
[980.62s -> 982.62s]  Кто-то танцует до конца, тому дам попить воды.
[984.62s -> 985.62s]  Хорошая мотивация.
[986.62s -> 987.62s]  Ой, ой, осянок.
[988.62s -> 989.62s]  Ай-яй-яй.
[989.62s -> 990.62s]  Что, судороги?
[990.62s -> 991.62s]  Чёрт, да хватит.
[991.62s -> 992.62s]  Перекачался?
[992.62s -> 993.62s]  Да.
[998.62s -> 1000.62s]  Всё, парни, финалочка, финалочка.
[1001.62s -> 1003.62s]  Сейчас с душой прям, с всей душой.
[1003.62s -> 1004.62s]  Поклон.
[1005.62s -> 1007.62s]  О, нифига себе, ты выиграл хорошо.
[1008.62s -> 1009.62s]  Кто у нас, Олег?
[1009.62s -> 1010.62s]  Кто у нас, Костя?
[1010.62s -> 1011.62s]  Я уже запуталась.
[1011.62s -> 1012.62s]  Олег это он.
[1013.62s -> 1015.62s]  Олег у нас судорожное солнце.
[1015.62s -> 1017.62s]  Пацаны, короче, сегодня три часа провели в качалке
[1017.62s -> 1018.62s]  и качали ноги.
[1018.62s -> 1019.62s]  Да.
[1019.62s -> 1021.62s]  Очень недальновидно сделали.
[1021.62s -> 1022.62s]  Что это за упражнение?
[1022.62s -> 1023.62s]  Судороги сводят.
[1023.62s -> 1025.62s]  А, очень сильно.
[1026.62s -> 1028.62s]  Ну что, переодеваемся ко второму танцу, парни.
[1038.38s -> 1040.38s]  Всё, пошёл жесточайший хардбас, парни.
[1041.38s -> 1045.48s]  Ой, не так.
[1046.48s -> 1049.48s]  Я напоминаю, что вы бьётесь за 40 тысяч рублей.
[1055.11s -> 1056.11s]  О, у меня получается.
[1059.00s -> 1060.00s]  Ой, блин, какой тупой.
[1061.00s -> 1064.78s]  Я не туда заехал.
[1064.78s -> 1065.78s]  Я тоже.
[1065.78s -> 1067.78s]  Костя, я очень не туда приехал.
[1067.78s -> 1069.78s]  Чё, парни, какая робная?
[1069.78s -> 1070.78s]  Нормально.
[1070.78s -> 1071.78s]  Хорошая кардио.
[1072.78s -> 1073.78s]  Ай, ты чё творишь?
[1078.21s -> 1080.21s]  Самая моя любимая часть в джаздэнсе – это серьёзные
[1080.21s -> 1082.21s]  лица людей, которые эту дичь творят.
[1082.21s -> 1083.21s]  Ну что ж, друзья.
[1083.21s -> 1084.21s]  Ой.
[1084.21s -> 1086.21s]  А мы готовимся к следующему танцу.
[1086.21s -> 1087.21s]  Поехали.
[1088.21s -> 1089.21s]  Я выиграл.
[1089.21s -> 1090.21s]  Да.
[1090.21s -> 1091.21s]  Отыгрался.
[1091.21s -> 1092.21s]  Да, чуть-чуть.
[1094.21s -> 1099.63s]  Ну что, решающий раунд.
[1099.63s -> 1101.63s]  Как мы говорим Богу победы сегодня?
[1101.63s -> 1102.63s]  Да.
[1102.63s -> 1103.63s]  Раз, два, три.
[1103.63s -> 1104.63s]  Да ты боя.
[1104.63s -> 1105.63s]  Они готовы.
[1105.63s -> 1107.63s]  Это просто сейчас будет.
[1107.63s -> 1108.63s]  Отлично.
[1108.63s -> 1114.89s]  Надо меняться на Косте.
[1115.89s -> 1116.89s]  Ой, куда я зашёл?
[1117.89s -> 1124.81s]  Ой.
[1125.81s -> 1126.81s]  Два меняться, Костя.
[1126.81s -> 1127.81s]  Как они чувствуют?
[1127.81s -> 1130.81s]  Как они чувствуют?
[1130.81s -> 1133.81s]  Костян, кстати, ведёт.
[1133.81s -> 1135.81s]  Я что поняла, я же могу вам руинить.
[1136.81s -> 1139.81s]  Руина Мария, кстати, врывается в кадр.
[1140.81s -> 1148.15s]  Костя, надо меняться, смотри, здесь тяжело.
[1148.15s -> 1150.15s]  Ой-ой-ой, Костян, догоняй.
[1150.15s -> 1151.15s]  Ой-ой-ой.
[1151.15s -> 1153.15s]  Там прям на писечку, давай.
[1153.15s -> 1156.15s]  Надо перфект делать, всё.
[1157.15s -> 1162.64s]  Давай-давай-давай, ты догоняешь.
[1164.64s -> 1165.64s]  Ты догоняешь, Костян.
[1165.64s -> 1167.64s]  Да, он сравнивает счёт.
[1167.64s -> 1169.64s]  Костян вырывается вперёд.
[1169.64s -> 1170.64s]  Ещё.
[1170.64s -> 1171.64s]  Четыре звезды.
[1171.64s -> 1172.64s]  Давай пять.
[1173.64s -> 1174.64s]  Перфект.
[1175.64s -> 1176.64s]  Парни, сорок тысяч.
[1177.64s -> 1178.64s]  Сорок тысяч.
[1179.64s -> 1180.64s]  Пять звёзд.
[1182.64s -> 1184.64s]  Я уже запуталась, кто где.
[1185.64s -> 1186.64s]  Меня.
[1190.27s -> 1191.27s]  Браво.
[1191.27s -> 1192.27s]  Я выиграл, ты отсюда.
[1193.27s -> 1194.27s]  Так, и победил?
[1194.27s -> 1195.27s]  Красиво.
[1195.27s -> 1196.27s]  И победил?
[1196.27s -> 1197.27s]  Я, Костя.
[1197.27s -> 1198.27s]  Костя, ура.
[1198.27s -> 1200.27s]  Я тебя обогнал на двести щемточков.
[1200.27s -> 1202.27s]  Переходим к части награждения.
[1204.27s -> 1214.80s]  И абсолютным чемпионом шоу-танцы на пиви-пи становится Костя.
[1214.80s -> 1216.80s]  Это наша общая победа с коллегам.
[1216.80s -> 1218.80s]  Там так и написано даже.
[1218.80s -> 1219.80s]  Спасибо вам, что посмотрели.
[1219.80s -> 1221.80s]  Напишите в комментариях, что думаете.
[1221.80s -> 1222.80s]  А что мы говорим в конце?
[1222.80s -> 1223.80s]  Раз, два, три.
[1223.80s -> 1224.80s]  Да ты понял!
