[3.82s -> 54.97s]  Друзья, всем добрый вечер!
[1191.26s -> 1193.26s]  Из-за того, что мы
[1193.26s -> 1195.26s]  начинали как уличные художники,
[1195.26s -> 1197.26s]  как граффити-райтеры,
[1197.26s -> 1199.26s]  сразу становится понятным, что это
[1199.26s -> 1201.26s]  если это и можно назвать искусством,
[1201.26s -> 1203.26s]  то это живет на фотографиях.
[1203.26s -> 1205.26s]  То есть граффити рано или поздно
[1205.26s -> 1207.26s]  исчезает со стен.
[1207.26s -> 1209.26s]  Особенно не фестивальное,
[1209.26s -> 1211.26s]  не коммерческое,
[1211.26s -> 1213.26s]  это всегда очень короткая жизнь.
[1213.26s -> 1215.26s]  И это формирует тебе
[1215.26s -> 1217.26s]  вот это ощущение того, что вот ты сегодня
[1217.26s -> 1219.26s]  сделал, успей сфоткать и дальше
[1219.26s -> 1221.26s]  отпускай. И в этом плане
[1221.26s -> 1223.26s]  вот эта привычка из граффити перешла
[1223.26s -> 1225.26s]  в то время, когда мы начинали
[1225.26s -> 1227.26s]  эти работы, и в отличие
[1227.26s -> 1229.26s]  от человека, с кем мы начинали
[1229.26s -> 1231.26s]  эту серию, мне
[1231.26s -> 1233.26s]  очень всегда было легко
[1233.26s -> 1235.26s]  с ними расставаться.
[1235.26s -> 1237.26s]  Ну и первая работа,
[1237.26s -> 1239.26s]  которая исчезла через неделю,
[1239.26s -> 1241.26s]  это был немного шок,
[1241.26s -> 1243.26s]  потому что как бы в граффите
[1243.26s -> 1245.26s]  какое-то время она висела, а тут
[1245.26s -> 1247.26s]  20 недель работы нет, такой
[1247.26s -> 1249.26s]  вау, типа СМИ такие
[1249.26s -> 1251.26s]  вау, потому что она очень сильно
[1251.26s -> 1253.26s]  по медиа-пространству.
[1253.26s -> 1255.26s]  А вот вы рассчитывали
[1255.26s -> 1257.26s]  на такой отклик
[1257.26s -> 1259.26s]  в социальной среде, что это вот
[1259.26s -> 1261.26s]  все-таки какой-то даст
[1261.26s -> 1263.26s]  эффект и поднимет какие-то проблемы,
[1263.26s -> 1265.26s]  одиночество...
[1267.26s -> 1269.26s]  Мы брали арт-консультацию
[1269.26s -> 1271.26s]  у вашего гостя прошлой
[1271.26s -> 1273.26s]  программы, у Никиты Нумерса,
[1273.26s -> 1275.26s]  когда планировали сделать что-то такое,
[1275.26s -> 1277.26s]  потому что у Никиты невероятная
[1277.26s -> 1279.26s]  насмотренность, потому что вот у него
[1279.26s -> 1281.26s]  такая есть задача.
[1281.26s -> 1283.26s]  При этом, ну, всегда
[1283.26s -> 1285.26s]  сюжеты были изнутри,
[1285.26s -> 1287.26s]  какие-то бытовые проблемы,
[1287.26s -> 1289.26s]  которые там меня
[1289.26s -> 1291.26s]  беспокоили, какие-то социальные
[1291.26s -> 1293.26s]  проблемы, иногда политические,
[1293.26s -> 1295.26s]  иногда семейные,
[1295.26s -> 1297.26s]  даже часто семейные,
[1297.26s -> 1299.26s]  вот, и он сказал, блин, делайте
[1299.26s -> 1301.26s]  хорошие затеи, то есть в этом плане
[1301.26s -> 1303.26s]  был такой толчок, но мы не думали,
[1303.26s -> 1305.26s]  что вот это
[1305.26s -> 1307.26s]  как-то раскачает именно вот какую-то городскую
[1307.26s -> 1309.26s]  движуху, то есть есть люди,
[1309.26s -> 1311.26s]  которые ходят, намеренно ищут,
[1311.26s -> 1313.26s]  работают по городу, следят за соцсетями,
[1313.26s -> 1315.26s]  гуляют,
[1315.26s -> 1317.26s]  отмечают, фоткают
[1317.26s -> 1319.26s]  и радуются. Насколько это имиджевая
[1319.26s -> 1321.26s]  история, насколько это по любви
[1321.26s -> 1323.26s]  в процентном соотношении?
[1325.26s -> 1327.26s]  Ну, ноль на сто, потому что
[1327.26s -> 1329.26s]  она не задумывалась, как
[1329.26s -> 1331.26s]  какой-то раскач. Были попытки
[1331.26s -> 1333.26s]  ее коммерциализировать, эту историю,
[1333.26s -> 1335.26s]  было множество
[1335.26s -> 1337.26s]  предложений о том, что вот у нас есть ресторан,
[1337.26s -> 1339.26s]  у нас есть территория, у нас есть фубкорп,
[1339.26s -> 1341.26s]  пейте, сделайте, но я как-то
[1341.26s -> 1343.26s]  либо в силу лени, либо
[1343.26s -> 1345.26s]  в непонимании, что я там должен изобразить,
[1345.26s -> 1347.26s]  чтобы это нравилось людям.
[1347.26s -> 1349.26s]  Так, можно обратиться ко всем творческим людям,
[1349.26s -> 1351.26s]  сказать, что если вы будете все делать
[1351.26s -> 1353.26s]  по любви, то в итоге это и на ваш
[1353.26s -> 1355.26s]  имидж будет работать.
[1355.26s -> 1357.26s]  Ну, скорее всего. А ты знаком
[1357.26s -> 1359.26s]  с Евгенией, с Анной?
[1359.26s -> 1361.26s]  Отчасти,
[1361.26s -> 1363.26s]  потому что мои работы тоже представлены
[1363.26s -> 1365.26s]  на площадке Тео, я...
[1365.26s -> 1367.26s]  Во-во-во, мы сейчас и поговорим.
[1367.26s -> 1369.26s]  К этому, да? Да, не, не, интересно.
[1369.26s -> 1371.26s]  Но интересно же вот это
[1371.26s -> 1373.26s]  востребованность.
[1373.26s -> 1375.26s]  Наверное, это как-то сказалось на
[1375.26s -> 1377.26s]  узнаваемости, но при этом...
[1377.26s -> 1379.26s]  Давайте так. Например,
[1379.26s -> 1381.26s]  продолжением уличной истории,
[1381.26s -> 1383.26s]  вот этой вот серии Маленькие Миры,
[1383.26s -> 1385.26s]  стала миниатюрная галерея.
[1385.26s -> 1387.26s]  В галереи Футуры,
[1387.26s -> 1389.26s]  в Нижнем Новгороде.
[1389.26s -> 1391.26s]  Это полноценная, ну, маленькая
[1391.26s -> 1393.26s]  галерея, в которой проходят
[1393.26s -> 1395.26s]  выставки разных художников,
[1395.26s -> 1397.26s]  которые мне интересны.
[1397.26s -> 1399.26s]  И, например, вот эта история
[1399.26s -> 1401.26s]  вылилась в некое такое продолжение,
[1401.26s -> 1403.26s]  когда в Нижнем Новгороде,
[1403.26s -> 1405.26s]  в Центре современного искусства
[1405.26s -> 1407.26s]  Арсенал, проходил проект
[1407.26s -> 1409.26s]  Музей Гараж. И, собственно, для
[1409.26s -> 1411.26s]  этой выставки я делал тактильную
[1411.26s -> 1413.26s]  копию вот этой маленькой галереи.
[1413.26s -> 1415.26s]  Но это к чему? Что вот все-таки получила
[1415.26s -> 1417.26s]  выход вот этой вот миниатюрной
[1417.26s -> 1419.26s]  истории, ну, сугубо
[1419.26s -> 1421.26s]  уличной, да, в
[1421.26s -> 1423.26s]  музейный мир.
[1423.26s -> 1425.26s]  Как долго создается работа
[1425.26s -> 1427.26s]  вот такая миниатюра, которая,
[1427.26s -> 1429.26s]  ну, такая уже классическая,
[1429.26s -> 1431.26s]  вот где-то в Нижнем,
[1431.26s -> 1433.26s]  вдруг радует взгляд
[1433.26s -> 1435.26s]  на какой-то из улиц?
[1435.26s -> 1437.26s]  Ну, с учетом того, что
[1437.26s -> 1439.26s]  я довольно ленивый человек.
[1439.26s -> 1441.26s]  Обычно маленькую миниатюру
[1441.26s -> 1443.26s]  размером скрипич уходит примерно
[1443.26s -> 1445.26s]  неделя по часов
[1445.26s -> 1447.26s]  5-6 работы.
[1447.26s -> 1449.26s]  В день.
[1449.26s -> 1451.26s]  При этом вот самая большая миниатюра
[1451.26s -> 1453.26s]  с маленьким прицем, мы ее делали
[1453.26s -> 1455.26s]  месяц, потому что она была очень большая, очень
[1455.26s -> 1457.26s]  детальная, кропотливая.
[1457.26s -> 1459.26s]  Мы это вдвоем или с кого-то?
[1459.26s -> 1461.26s]  Ну, по большей части я, но
[1461.26s -> 1463.26s]  в любом случае месяц на подготовку
[1463.26s -> 1465.26s]  так или иначе ушел. С учетом того, что мы
[1465.26s -> 1467.26s]  готовили еще отверстия, потому что
[1467.26s -> 1469.26s]  он был довольно большой и немного косой,
[1469.26s -> 1471.26s]  мы прям бетонировали стену под это,
[1471.26s -> 1473.26s]  там сваривали рамку и все остальное.
[1473.26s -> 1475.26s]  Ну, Иван, мы тут решили узнать все
[1475.26s -> 1477.26s]  интересенков Серого.
[1477.26s -> 1479.26s]  Поэтому еще вопрос
[1479.26s -> 1481.26s]  от меня.
[1481.26s -> 1483.26s]  Серый это вообще, кстати, псевдоним?
[1483.26s -> 1485.26s]  И почему именно такой?
[1485.26s -> 1487.26s]  Случайно получилось
[1487.26s -> 1489.26s]  так, что я забрал
[1489.26s -> 1491.26s]  этот псевдоним у моего
[1491.26s -> 1493.26s]  лучшего друга,
[1493.26s -> 1495.26s]  сокомандника и человека, с кем я сейчас
[1495.26s -> 1497.26s]  работаю в мастерской, Максима Тругова.
[1497.26s -> 1499.26s]  Так получилось случайно.
[1499.26s -> 1501.26s]  Но надо сказать, что взамен
[1501.26s -> 1503.26s]  он забрал мою идею
[1503.26s -> 1505.26s]  с этой довольно очевидной фамилией Тругов.
[1505.26s -> 1507.26s]  В общем, выквитый.
[1507.26s -> 1509.26s]  Всех потрясает твоя
[1509.26s -> 1511.26s]  кинетическая работа в
[1511.26s -> 1513.26s]  музее Гараж. Расскажи, пожалуйста, про нее.
[1513.26s -> 1515.26s]  Внезапно.
[1517.26s -> 1519.26s]  Как происходит у меня процесс
[1519.26s -> 1521.26s]  придумания работы. Чаще всего
[1521.26s -> 1523.26s]  я просыпаюсь утра
[1523.26s -> 1525.26s]  и иду в ванную,
[1525.26s -> 1527.26s]  просто ложусь в ванную с душем,
[1527.26s -> 1529.26s]  вот так. И именно в эти моменты
[1529.26s -> 1531.26s]  я всегда думаю о том, что можно
[1531.26s -> 1533.26s]  сделать. Я перебираю образы,
[1533.26s -> 1535.26s]  перебираю какие-то бытовые предметы,
[1535.26s -> 1537.26s]  потому что чаще всего в моих работах
[1537.26s -> 1539.26s]  можно их встретить от какие-то
[1539.26s -> 1541.26s]  какой-то простой предмет,
[1541.26s -> 1543.26s]  без изменений,
[1543.26s -> 1545.26s]  которые вызывают
[1545.26s -> 1547.26s]  ассоциацию с чем-то, по крайней мере
[1547.26s -> 1549.26s]  у меня. И вот
[1549.26s -> 1551.26s]  в процессе вот этого
[1551.26s -> 1553.26s]  размышления и переворачивания предметов
[1553.26s -> 1555.26s]  я очень долго думал на счет,
[1555.26s -> 1557.26s]  на счет-счет.
[1557.26s -> 1559.26s]  Собственно, скульптура выглядит как
[1559.26s -> 1561.26s]  счеты перекручены в генетическую
[1561.26s -> 1563.26s]  спираль, цепочку.
[1565.26s -> 1567.26s]  И вот я придумал этот образ,
[1567.26s -> 1569.26s]  не знал, как вообще его воплощать,
[1569.26s -> 1571.26s]  что это будет, просто я подумал, что это
[1571.26s -> 1573.26s]  какой-то символ в этом есть.
[1573.26s -> 1575.26s]  И у музея гараж впервые был
[1575.26s -> 1577.26s]  Open Call
[1577.26s -> 1579.26s]  на выставку
[1579.26s -> 1581.26s]  спекуляции фейки,
[1581.26s -> 1583.26s]  которая проходила этим летом,
[1583.26s -> 1585.26s]  кажется, ну уже тем летом. Я
[1585.26s -> 1587.26s]  и ребята, Ксюша Ласочка с Максимом
[1587.26s -> 1589.26s]  Труловым подали заявки,
[1589.26s -> 1591.26s]  и я как раз
[1591.26s -> 1593.26s]  подумал, что это
[1593.26s -> 1595.26s]  хорошая тема, точнее
[1595.26s -> 1597.26s]  эта работа хорошо бы подошла
[1597.26s -> 1599.26s]  для выставки, потому что
[1599.26s -> 1601.26s]  там как раз
[1601.26s -> 1603.26s]  была выставка про наше
[1603.26s -> 1605.26s]  интересное время с коронавирусом.
[1605.26s -> 1607.26s]  И основная идея этой работы
[1607.26s -> 1609.26s]  была в том, что
[1609.26s -> 1611.26s]  генетика как товар,
[1611.26s -> 1613.26s]  то есть получается, что
[1613.26s -> 1615.26s]  и о том, что здоровье можно
[1615.26s -> 1617.26s]  купить, долголетие можно купить,
[1617.26s -> 1619.26s]  и при этом
[1619.26s -> 1621.26s]  это функция, которая вот-вот нас
[1621.26s -> 1623.26s]  настигнет. И, собственно, работа об этом.
[1623.26s -> 1625.26s]  Тебя уже можно назвать мастером,
[1625.26s -> 1627.26s]  поэтому хочется парочку
[1627.26s -> 1629.26s]  твоих советов для совсем
[1629.26s -> 1631.26s]  начинающих ребят,
[1631.26s -> 1633.26s]  которые пробуют себя
[1633.26s -> 1635.26s]  в скульптуре.
[1635.26s -> 1637.26s]  С чего начинать?
[1637.26s -> 1639.26s]  Мы в коллективе где-то
[1639.26s -> 1641.26s]  два года назад открыли для себя
[1641.26s -> 1643.26s]  керамику, и я
[1643.26s -> 1645.26s]  вот где-то работаю с керамикой
[1645.26s -> 1647.26s]  и кайфую каждый раз, когда беру за это
[1647.26s -> 1649.26s]  материал. Для меня это прям вот выход,
[1649.26s -> 1651.26s]  открытие, такой
[1651.26s -> 1653.26s]  более-менее доступный способ
[1653.26s -> 1655.26s]  работы с объемом. Это кайф.
[1655.26s -> 1657.26s]  С учетом того, что я делаю
[1657.26s -> 1659.26s]  все, что хочу, и не ограничиваюсь
[1659.26s -> 1661.26s]  какими-то там смыслами, и чем бы
[1661.26s -> 1663.26s]  то ни было, я просто сажусь,
[1663.26s -> 1665.26s]  леплю, получаю удовольствие,
[1665.26s -> 1667.26s]  смеюсь, радуюсь, или там
[1667.26s -> 1669.26s]  в плеске какие-то иные эмоции.
[1669.26s -> 1671.26s]  Поэтому, в принципе, керамика очень
[1671.26s -> 1673.26s]  доступный способ попробовать себя в объеме.
[1673.26s -> 1675.26s]  Класс!
[1679.26s -> 1681.26s]  Перед нами равные возможности,
[1681.26s -> 1683.26s]  только я не скульптор,
[1683.26s -> 1685.26s]  а здесь
[1685.26s -> 1687.26s]  настоящий мастер Иван Серый.
[1687.26s -> 1689.26s]  Ну и пускай нам
[1689.26s -> 1691.26s]  ну хотя бы так, Оля даст сейчас задание,
[1691.26s -> 1693.26s]  что слепить, и мы начнем.
[1693.26s -> 1695.26s]  Это было опрометчиво, Влад.
[1695.26s -> 1697.26s]  Я надеюсь, что я займу 128-е хотя бы место.
[1697.26s -> 1699.26s]  Так, ну поскольку я из
[1699.26s -> 1701.26s]  Одессы, я думаю, может, что-то на морскую тематику.
[1701.26s -> 1703.26s]  Ну вот, например, с русалкой справитесь?
[1703.26s -> 1705.26s]  А в Одессе есть кошки?
[1705.26s -> 1707.26s]  Есть.
[1707.26s -> 1709.26s]  Это сложнее, чем русалка.
[1709.26s -> 1711.26s]  Сложнее, да? Я думаю, да.
[1711.26s -> 1713.26s]  А можно мастер будет русалку, а я кошку?
[1713.26s -> 1715.26s]  Ну это так, импровизатор.
[1715.26s -> 1717.26s]  Ну хорошо, давай кошку. Итак, друзья,
[1717.26s -> 1719.26s]  вы, наверное, поняли, что сейчас мы абсолютно вслепую.
[1719.26s -> 1721.26s]  Ручки просунем сюда,
[1721.26s -> 1723.26s]  у нас есть несколько минут,
[1723.26s -> 1725.26s]  и начнем нашу
[1725.26s -> 1727.26s]  работу. Поехали.
[1727.26s -> 1729.26s]  Разогретый материал.
[1729.26s -> 1731.26s]  Я, пожалуй, подойду.
[1731.26s -> 1733.26s]  Полезный мелкомотор.
[1733.26s -> 1735.26s]  Да, но мне поздно уже.
[1735.26s -> 1737.26s]  Никогда не поздно.
[1737.26s -> 1739.26s]  Я этим не занимался с детского сада.
[1739.26s -> 1741.26s]  Ну как раз где-то на этом уровне
[1741.26s -> 1743.26s]  нормально.
[1743.26s -> 1745.26s]  Спокойно.
[1745.26s -> 1747.26s]  У него какая-то...
[1747.26s -> 1749.26s]  А он ножки лепит.
[1749.26s -> 1751.26s]  Ну а как ножки?
[1751.26s -> 1753.26s]  Это же самое главное.
[1753.26s -> 1755.26s]  Кошки, женщины.
[1755.26s -> 1757.26s]  Ножки, вот эти скульптуры потом у вас на платформе.
[1757.26s -> 1759.26s]  Можно будет разместить?
[1759.26s -> 1761.26s]  Нет.
[1761.26s -> 1763.26s]  А Влад малярный...
[1763.26s -> 1765.26s]  Все через совет.
[1765.26s -> 1767.26s]  Решим.
[1767.26s -> 1769.26s]  Может быть в качестве договорения?
[1769.26s -> 1771.26s]  Осталось две минуты.
[1771.26s -> 1773.26s]  Да ладно. Не может быть такого.
[1773.26s -> 1775.26s]  Потерял.
[1775.26s -> 1777.26s]  Нашел.
[1777.26s -> 1779.26s]  Похоже на какую-то пытку
[1779.26s -> 1781.26s]  времен инквизиции, знаете?
[1781.26s -> 1783.26s]  Так, слушайте,
[1783.26s -> 1785.26s]  я хочу уже восстановить это свое.
[1785.26s -> 1787.26s]  Да ладно.
[1787.26s -> 1789.26s]  Я не догоняю.
[1789.26s -> 1791.26s]  Влад у тебя настолько сосредоточенный лицо.
[1791.26s -> 1793.26s]  Как говорил мой учитель по хитике,
[1793.26s -> 1795.26s]  спешка нужна только
[1795.26s -> 1797.26s]  при ловли блог.
[1797.26s -> 1799.26s]  Да, это точно.
[1799.26s -> 1801.26s]  Поэтому я точно не вывожу.
[1801.26s -> 1803.26s]  Но я стараюсь.
[1803.26s -> 1805.26s]  У нас программа 18 плюс,
[1805.26s -> 1807.26s]  так что...
[1807.26s -> 1809.26s]  Это как у одного
[1809.26s -> 1811.26s]  известного персонажа ведь сзади
[1811.26s -> 1813.26s]  на кошку.
[1813.26s -> 1815.26s]  Но тут нежность
[1815.26s -> 1817.26s]  нужна, понимаете?
[1817.26s -> 1819.26s]  Тут работа, понимаешь?
[1819.26s -> 1823.02s]  Нежность попроси.
[1823.02s -> 1825.02s]  Три, два...
[1825.02s -> 1827.02s]  У меня будет кошка и мячик.
[1827.02s -> 1829.02s]  Какой странный таймень.
[1829.02s -> 1831.02s]  А Влад решил
[1831.02s -> 1833.02s]  не качеством, так количеством.
[1833.02s -> 1835.02s]  Сейчас еще мячик. Ребят,
[1835.02s -> 1837.02s]  подержите наших скульпторов.
[1837.02s -> 1843.72s]  Итак, подводим итог.
[1843.72s -> 1845.72s]  Беру
[1845.72s -> 1847.72s]  две фигуры.
[1847.72s -> 1849.72s]  И ставлю их
[1849.72s -> 1851.72s]  наверх.
[1853.72s -> 1863.11s]  Мне кажется,
[1863.11s -> 1865.11s]  это цельная композиция.
[1865.11s -> 1867.11s]  Подожди, секунду.
[1867.11s -> 1869.11s]  И мяч, мяч, мяч.
[1869.11s -> 1871.11s]  А давай сделаем селфи
[1871.11s -> 1873.11s]  на фоне этого.
[1875.11s -> 1877.11s]  Вот это уже продает.
[1877.11s -> 1879.11s]  Вот это уже можно продать
[1879.11s -> 1881.11s]  так, как вам.
[1881.11s -> 1883.11s]  Не по мне, да?
[1883.11s -> 1885.11s]  Разбейте, пожалуйста, призовые места.
[1885.11s -> 1887.11s]  Все на первом.
[1887.11s -> 1889.11s]  Ну, это
[1889.11s -> 1891.11s]  экранизация
[1891.11s -> 1893.11s]  одного из моих самых больших страхов
[1893.11s -> 1895.11s]  потерять зрение.
[1895.11s -> 1897.11s]  Какая прелесть.
[1897.11s -> 1899.11s]  Хорошо, ребят, ну, мы сейчас должны
[1899.11s -> 1901.11s]  подвести итог. В искусстве жизни
[1901.11s -> 1903.11s]  важно, кто воял.
[1903.11s -> 1905.11s]  Ведь мастерство
[1905.11s -> 1907.11s]  ни в чем не приедается.
[1907.11s -> 1909.11s]  Но жаль, когда
[1909.11s -> 1911.11s]  мастерство не приедет,
[1911.11s -> 1913.11s]  то у нас будет
[1913.11s -> 1915.11s]  неприятный материал.
[1915.11s -> 1917.11s]  А скульпторы плохие попадаются.
[1917.11s -> 1919.11s]  Это не про нас.
[1919.11s -> 1921.11s]  Не про нас.
[1921.11s -> 1926.28s]  Мы тебе найдем достойного
[1926.28s -> 1928.28s]  глиномеса. Мы теперь знаем,
[1928.28s -> 1930.28s]  как это делать.
[1930.28s -> 1932.28s]  Дорогие друзья, мы переходим
[1932.28s -> 1934.28s]  к нашей музыкальной
[1934.28s -> 1936.28s]  части программы.
[1936.28s -> 1938.28s]  К концерту.
[1938.28s -> 1940.28s]  И вот, что особенно примечательно
[1940.28s -> 1942.28s]  для длинных, невероятно
[1942.28s -> 1944.28s]  романтичных и талантливых людей.
[1944.28s -> 1946.28s]  Если бы их звали
[1946.28s -> 1948.28s]  Влад и Оля, то группа
[1948.28s -> 1950.28s]  бы у них называлась
[1950.28s -> 1952.28s]  Влад и Оля. Но их зовут
[1952.28s -> 1954.28s]  Даша и Сережа.
[1954.28s -> 1956.28s]  Поэтому встречайте группа
[1956.28s -> 1958.28s]  Даша и Сережа.
[1958.28s -> 1960.28s]  Да, да, да, друзья.
[1972.94s -> 1974.94s]  Волшебство уйдет,
[1976.94s -> 1978.94s]  Когда наступит утро.
[1982.94s -> 1984.94s]  И с твоим холодным
[1984.94s -> 1986.94s]  пламенем
[1986.94s -> 1988.94s]  звезды позовут
[1988.94s -> 1990.94s]  самых отчаянных.
[1992.94s -> 1994.94s]  Волшебство уйдет,
[1994.94s -> 1996.94s]  Когда наступит утро.
[2002.94s -> 2004.94s]  Там, где меня
[2004.94s -> 2006.94s]  Никто не ждет.
[2010.94s -> 2012.94s]  Там, где меня
[2012.94s -> 2014.94s]  Никто не ждет.
[2018.94s -> 2020.94s]  Там, где меня
[2020.94s -> 2022.94s]  Никто не ждет.
[2026.94s -> 2028.94s]  Там, где меня
[2028.94s -> 2030.94s]  Никто не ждет.
[2032.94s -> 2044.94s]  Это мой сон, но на еду останусь здесь, и не бывать в душе.
[2044.94s -> 2052.94s]  Это мой сон, но на еду останусь здесь, и не бывать в душе.
[2052.94s -> 2060.94s]  Это мой сон, но на еду останусь здесь, и не бывать в душе.
[2060.94s -> 2079.23s]  Это мой сон, но на еду останусь здесь, и не бывать в душе.
[2079.23s -> 2091.15s]  Божество останется, Божество останется,
[2091.15s -> 2103.46s]  Божество останется, И не настолько он рад.
[2132.69s -> 2140.69s]  Вместе мы решили быть до этого.
[2140.69s -> 2146.69s]  Вместе мы решили быть до этого.
[2146.69s -> 2152.69s]  Мы очень долго работали над нашим первым альбомом, который называется «Волшебство».
[2152.69s -> 2156.69s]  Тогда произошел ковид, и мы вообще не знали...
[2156.69s -> 2162.69s]  В любом случае, нам очень хотелось пустить его и дать слушателям, которые уже очень долго ждали его.
[2162.69s -> 2168.69s]  И мы не знали, как в таких условиях провести концерт, презентацию.
[2168.69s -> 2174.69s]  И тут нам написали, предложили провести наш первый концерт на Филатов фесте.
[2174.69s -> 2178.69s]  И, собственно, так и получилось. Мы были очень рады.
[2178.69s -> 2182.69s]  Это был наш такой первый серьезный шаг. Мы очень волновались.
[2182.69s -> 2186.69s]  Но все прошло очень здорово. Нас тепло приняли.
[2186.69s -> 2190.69s]  Да, ну и мы играли там вдвоем. Не было с нами Миши.
[2190.69s -> 2194.69s]  Мы выступали просто с компьютером и синтезатором.
[2194.69s -> 2199.69s]  Для меня это бальзам на сердце. Я художественный руководитель фестиваля «Филатов фест».
[2199.69s -> 2205.69s]  Я очень благодарен Саше Антипову, нашему продюсеру, который вас пригласил.
[2205.69s -> 2210.69s]  И это здорово. Ну хорошо все. Пожалуйста.
[2210.69s -> 2212.69s]  Так, следующая песня называется «Сейчас».
[2253.87s -> 2257.87s]  Это не вопрос.
[2284.87s -> 2290.87s]  Время не верит, не столько все и чай.
[2303.87s -> 2307.87s]  И ты, как судьба, только бы одни не разочек,
[2307.87s -> 2315.87s]  На все нас портили, нам не хватает времени.
[2316.87s -> 2319.87s]  Но тебе пора, тебе очень жаль нас.
[2319.87s -> 2322.87s]  Дабы здесь не продолжить ждать,
[2322.87s -> 2328.87s]  По пути еще не уходи.
[2329.87s -> 2334.87s]  Если пока слух навсегда
[2335.87s -> 2342.63s]  Цестры на небе и луна.
[2342.63s -> 2347.63s]  Это не нужна пути для нас.
[2348.63s -> 2353.63s]  Время не верит, не столько все и чай.
[2355.63s -> 2360.63s]  Если пока слух навсегда
[2361.63s -> 2366.63s]  Цестры на небе и луна.
[2367.63s -> 2372.63s]  Это не нужна пути для нас.
[2374.63s -> 2378.63s]  Время не верит, не столько все и чай.
[2379.63s -> 2385.63s]  Оставь свои сомнения,
[2385.63s -> 2392.63s]  Оставь свои сомнения.
[2392.63s -> 2398.63s]  Оставь свои сомнения,
[2398.63s -> 2406.63s]  Оставь свои сомнения.
[2407.63s -> 2408.63s]  Ура!
[2408.63s -> 2416.17s]  Я со своей кошкой к вам пришел.
[2416.17s -> 2423.17s]  Сережа, а правда, что на Западе известен ты как музыкант больше, чем в России?
[2423.17s -> 2426.17s]  Ну, к сожалению или к счастью, да.
[2426.17s -> 2430.17s]  Ну, для меня, наверное, к сожалению для нас, но надеемся, что этот баланс выправится.
[2430.17s -> 2433.17s]  Ну да, хотелось бы, конечно, но...
[2433.17s -> 2435.17s]  А когда клипы? Когда мы увидим клип?
[2435.17s -> 2444.17s]  Сложный вопрос. У нас было много задумок, но в том числе и за малышки, которые подрастают из Сережи.
[2444.17s -> 2450.17s]  Подождите, о чем мы грустим? Мы уже начали делать клип, даже мы слепились с Иваном.
[2450.17s -> 2456.17s]  Слушайте, главное как бы начать и прописать идею, а дальше уже все само должно пойти.
[2456.17s -> 2464.66s]  Да. Ну, поехали тогда.
[2480.66s -> 2492.66s]  Неизвестно, что скрываю ее тайна взятия
[2492.66s -> 2500.66s]  И холодная вечность
[2500.66s -> 2508.66s]  Темнее, чем страх потерять себя
[2510.66s -> 2514.66s]  Звук не утонули в тишине
[2514.66s -> 2518.66s]  В теплый рот море густой печаль
[2518.66s -> 2522.66s]  Исчезает бесконечный тьмень
[2522.66s -> 2526.66s]  Голоса внезапно замолчали
[2526.66s -> 2533.66s]  Я люблю неизвестной
[2533.66s -> 2541.66s]  Скрываю ее тайна взятия
[2541.66s -> 2549.66s]  И холодная вечность
[2549.66s -> 2557.66s]  Темнее, чем страх потерять себя
[2557.66s -> 2564.66s]  Я люблю неизвестной
[2564.66s -> 2573.66s]  Что скрываю ее тайна взятия
[2573.66s -> 2580.66s]  И холодная вечность
[2580.66s -> 2588.66s]  Темнее, чем страх потерять себя
[2615.30s -> 2630.51s]  Всегда, всегда, всегда, всегда, всегда, всегда, всегда
[2631.51s -> 2638.70s]  А вот у меня есть такой вопрос.
[2638.70s -> 2644.70s]  Как вы вместе сочиняете и соединяете свои творческие задумки?
[2644.70s -> 2651.70s]  Кто придумывает стихи? Как это все происходит? Если можно, конечно, об этой кухнике рассказать?
[2651.70s -> 2655.70s]  Да это всё на самом деле как-то само собой происходит.
[2655.70s -> 2663.70s]  Сложно сказать, кто за что отвечает, потому что мы как-то садимся и всё вместе делаем вдвоём.
[2663.70s -> 2669.70s]  И один что-то придумал, например, какую-то мелодию или строчки.
[2669.70s -> 2674.70s]  Другой выступает в качестве редактора, соавтора. И вот так это всё постоянно меняется.
[2674.70s -> 2678.70s]  Это абсолютно равноправная работа во всех смыслах.
[2678.70s -> 2687.70s]  Вы рассказывали, что у вас была студия на кухне. Интересно, а сейчас появилась такая профессиональная какая-то территория?
[2687.70s -> 2692.70s]  У нас была не то что студия на кухне, мы просто придумывали там песни.
[2692.70s -> 2700.70s]  То есть у нас была гитара и всё. И бумага, маркеры, чтобы писать текст.
[2700.70s -> 2705.70s]  Энергия этих песен в них какая-то безынициативная.
[2705.70s -> 2713.70s]  Но вот я сейчас слышал, они три, они такие. То есть они совершенно такой, ну немножко вот такая вот.
[2713.70s -> 2717.70s]  Ну как бы всё зависит от жанра на самом деле.
[2717.70s -> 2720.70s]  Да нет, мне кажется зависит не от этого.
[2720.70s -> 2726.70s]  Для чего нужна инициатива в песне? Мы не к этому идём, это не в этом наша идея.
[2726.70s -> 2732.70s]  Наша идея в том, чтобы дарить людям какую-то радость, свет, успокоение.
[2732.70s -> 2736.70s]  Мы не призываем людей к чему-то, нам это не обязательно.
[2756.70s -> 2787.57s]  Откручив мою сознанье, ты узнаешь, где я.
[2787.57s -> 2795.57s]  И обнажь ты всё, что я дам.
[2795.57s -> 2803.46s]  Пусти себя в тебя.
