[0.00s -> 1.84s]  Главная песня твоей жизни.
[1172.90s -> 1174.90s]  Давай тогда я возьму вот эти.
[1174.90s -> 1175.90s]  А ты вот эти.
[1175.90s -> 1176.90s]  Угу.
[1176.90s -> 1178.90s]  И все мелко нарезаем.
[1178.90s -> 1180.90s]  Что за салат будет делать?
[1180.90s -> 1186.90s]  Греческий, но он тоже будет необычный, потому что мы добавим немножко французской дюжонской горчицы.
[1186.90s -> 1191.90s]  Ты уже обмолвился сегодня, что успел попробовать себя в роли актера.
[1191.90s -> 1192.90s]  Угу.
[1192.90s -> 1195.90s]  Расскажи мне о своих ощущениях.
[1195.90s -> 1199.90s]  Именно понятно, что о роли, допустим, тебе, может быть, нельзя еще говорить,
[1199.90s -> 1203.90s]  но вот именно, что ты чувствовал, когда это с тобой происходило?
[1203.90s -> 1207.90s]  Я расскажу тебе про съемки полнометражного фильма «Монолит» в Кабардино-Балкарии.
[1207.90s -> 1213.90s]  Я почувствовал, знаешь, к себе живым, как в школе, как в студенческие годы,
[1213.90s -> 1217.90s]  когда все было еще в новинку и было немного страшно,
[1217.90s -> 1221.90s]  но за счет этого чувствовался интерес.
[1221.90s -> 1224.90s]  Впитывание каких-то новых процессов в незнакомом охране.
[1224.90s -> 1229.90s]  Я оказался как бы совершенно в новом коллективе, совершенно с другими людьми,
[1229.90s -> 1232.90s]  в новом пространстве, и знаешь, что самое приятное?
[1232.90s -> 1233.90s]  Ай.
[1233.90s -> 1236.90s]  То, что я чувствовал там себя как в своей тарелке.
[1236.90s -> 1239.90s]  Мне не нужно было напрягаться, чтобы там показать себя.
[1239.90s -> 1242.90s]  Ребята очень были приветливы, и мы все общались на равных.
[1242.90s -> 1245.90s]  И вот наши съемки как раз были такими природными,
[1245.90s -> 1250.90s]  то есть какие-то невероятно красивые озера, горы, верхний пермамыт –
[1250.90s -> 1253.90s]  две-три тысячи метров над уровнем моря.
[1253.90s -> 1256.90s]  И знаешь, вот ты стоишь, у костра сидишь,
[1256.90s -> 1260.90s]  и там погода меняется каждые 20 минут, и то жарко, то дождь.
[1260.90s -> 1265.90s]  У меня было ощущение, что я снова живой, но при этом я там, где нужно, понимаешь?
[1265.90s -> 1269.90s]  То есть я проанализировал некоторые вещи и понял,
[1269.90s -> 1272.90s]  что проблема молодых в том, что они очень сильно боятся,
[1272.90s -> 1275.90s]  себе много надумывают, сами палки в колеса вставляют.
[1275.90s -> 1278.90s]  А проблема взрослых в том, что они черствеют,
[1278.90s -> 1280.90s]  и они тяжело очень становятся быть гибкими.
[1280.90s -> 1283.90s]  То есть у одних есть то, чего нет у других.
[1283.90s -> 1286.90s]  И вот именно там я почувствовал себя в золотой середине.
[1286.90s -> 1288.90s]  Еще у нас были съемки на озере,
[1288.90s -> 1292.90s]  где по сценарию нужно прыгать как бы с обрыва в воду.
[1292.90s -> 1293.90s]  В воду?
[1293.90s -> 1294.90s]  Да.
[1294.90s -> 1295.90s]  С высоко?
[1295.90s -> 1296.90s]  Да.
[1296.90s -> 1298.90s]  Ну, три метра где-то.
[1298.90s -> 1304.90s]  И мы едем на съемки, и начинается просто лютый дождь, гроза невозможная.
[1304.90s -> 1306.90s]  И мы подъезжаем прямо на место.
[1306.90s -> 1309.90s]  И я понимаю, что я больше не могу сидеть в машине
[1309.90s -> 1311.90s]  и ждать, пока дождь закончится,
[1311.90s -> 1314.90s]  и просто как бы бегу в воду, по дороге скидываю вещи.
[1314.90s -> 1318.90s]  Там просто лютый ливень, молнии, грязь прям.
[1318.90s -> 1322.90s]  И типа мы все прыгаем в воду, начинаем плавать под дождем,
[1322.90s -> 1324.90s]  а оно такое чистое, голубое.
[1324.90s -> 1325.90s]  Потом все проходит.
[1325.90s -> 1328.90s]  При том, что вода теплая-теплая, хотя это уже была осень.
[1328.90s -> 1332.90s]  Если ты обратишь внимание, я не знаю, был у тебя такой опыт или нет,
[1332.90s -> 1335.90s]  в дождь, если купаешься, вода всегда теплее.
[1335.90s -> 1336.90s]  Да, правда.
[1336.90s -> 1339.90s]  Если бы я спросил тебя, я спрошу,
[1339.90s -> 1342.90s]  за кем стоит следить в 22-м?
[1342.90s -> 1344.90s]  Много кого.
[1344.90s -> 1346.90s]  Захотелось сказать про Васю.
[1346.90s -> 1349.90s]  Мне нравится он тем, что у него не миллионы подписчиков,
[1349.90s -> 1353.90s]  но при этом он везде наравне с другими артистами.
[1353.90s -> 1357.90s]  И он такой, в сравнении с мейнстримом он концептуальный?
[1357.90s -> 1358.90s]  Да.
[1358.90s -> 1359.90s]  Вот.
[1359.90s -> 1364.90s]  Потом, ну, например, у Салуки очень интересные вышли тизеры альбома.
[1364.90s -> 1366.90s]  Я посмотрел, там крутые актеры играют, работы.
[1366.90s -> 1368.90s]  Любопытно было бы послушать.
[1368.90s -> 1371.90s]  У меня есть еще один интересный вопрос касательно следующего года.
[1371.90s -> 1373.90s]  Не каждый сможет на него, наверное, ответить,
[1373.90s -> 1375.90s]  но экспертное мнение мне интересно.
[1375.90s -> 1378.90s]  Каким будет рэп в 22-м году?
[1378.90s -> 1382.90s]  Даже за 21-й просто он поменял много поджанров.
[1382.90s -> 1386.90s]  У нас был и дрил, у нас был Detroit Rap.
[1386.90s -> 1388.90s]  Сейчас очень, я не знаю…
[1388.90s -> 1389.90s]  Сейчас Гиперпоп.
[1389.90s -> 1392.90s]  Вот, Гиперпоп, хотел сказать, или заходит, или уже обосновался.
[1392.90s -> 1394.90s]  Может быть, как раз на 22-й придет.
[1394.90s -> 1396.90s]  Но это Гиперпоп, например, да.
[1396.90s -> 1398.90s]  Что можно ждать дальше?
[1398.90s -> 1401.90s]  Я не знаю, вот, что будет.
[1401.90s -> 1405.90s]  Но я бы хотел, знаешь, мне прям постоянно возникают образы
[1405.90s -> 1409.90s]  классического, крутого рока и рок-н-ролла.
[1409.90s -> 1413.90s]  Вот, типа, знаешь, Аэросмиттс, Queen группы,
[1413.90s -> 1418.90s]  Guns N' Roses, Deep Purple.
[1418.90s -> 1422.90s]  Вот именно вот эта золотая эра рока, кожаные штаны,
[1422.90s -> 1425.90s]  знаешь, длинные патлы и вот какие-то бусы,
[1425.90s -> 1426.90s]  вот Джимми Хендрикс.
[1426.90s -> 1428.90s]  И чтобы вот это как-то сейчас эволюционировало.
[1428.90s -> 1429.90s]  Да, да.
[1429.90s -> 1433.90s]  То есть какой-то винтаж в современной обработке.
[1433.90s -> 1435.90s]  Очередное перепрочтение.
[1435.90s -> 1437.90s]  Диск уже был, сейчас можно…
[1437.90s -> 1438.90s]  Интересно.
[1438.90s -> 1440.90s]  Да, у нас финальные штуки остались.
[1440.90s -> 1442.90s]  Можешь мне ложечку передать, пожалуйста?
[1442.90s -> 1443.90s]  Да, чайную?
[1443.90s -> 1444.90s]  Столовую?
[1444.90s -> 1445.90s]  Столовую.
[1445.90s -> 1446.90s]  Есть какая-то?
[1446.90s -> 1447.90s]  Любую.
[1447.90s -> 1448.90s]  Спасибо.
[1448.90s -> 1449.90s]  Прошел.
[1449.90s -> 1452.90s]  Такую добротную ложечку французской горчицы сверху.
[1452.90s -> 1453.90s]  Бам.
[1453.90s -> 1454.90s]  Чтобы попекать не было?
[1454.90s -> 1455.90s]  Да.
[1455.90s -> 1458.90s]  Алмаз, расскажи мне, пожалуйста, как ты продвигаешь свое творчество?
[1458.90s -> 1462.90s]  Больше всего подписчиков и как бы где мы начинали, это контакт.
[1462.90s -> 1463.90s]  Так.
[1463.90s -> 1465.90s]  Исходя вот из прошлых тенденций,
[1465.90s -> 1468.90s]  Инстаграм – это основная рабочая площадка.
[1468.90s -> 1472.90s]  Недавно появился TikTok, который просто все изменил.
[1472.90s -> 1474.90s]  Да, и, наверное, является сегодня самой главной.
[1474.90s -> 1475.90s]  Да.
[1477.90s -> 1479.90s]  Я боюсь, что там сейчас просто кашка будет.
[1479.90s -> 1480.90s]  Ну, так и нужно.
[1480.90s -> 1485.90s]  Но, на самом деле, хороший салат, мне кажется, это хорошая перемешка тоже.
[1485.90s -> 1487.90s]  Ну, не считая себя под шубой.
[1487.90s -> 1488.90s]  Это мудрость.
[1488.90s -> 1491.90s]  Хороший салат – это хорошая перемешка.
[1491.90s -> 1492.90s]  Здесь должна быть.
[1492.90s -> 1493.90s]  Пельмешка.
[1493.90s -> 1494.90s]  Пельмешка.
[1494.90s -> 1495.90s]  Хорошая перемешка.
[1495.90s -> 1497.90s]  О, смотри, какое чудо получилось.
[1497.90s -> 1498.90s]  Мы поговорили про промо.
[1498.90s -> 1503.90s]  Давай сделаем небольшой сюрпризик для наших зрителей и твоих слушателей.
[1503.90s -> 1505.90s]  Что-нибудь за премьером от тебя.
[1505.90s -> 1506.90s]  Давай.
[1506.90s -> 1507.90s]  Ну, я готов.
[1525.90s -> 1528.90s]  Забеклось.
[1528.90s -> 1529.90s]  Есть контакт?
[1529.90s -> 1530.90s]  Да.
[1531.90s -> 1532.90s]  Ух так.
[1532.90s -> 1533.90s]  Красиво.
[1533.90s -> 1534.90s]  Погнали?
[1534.90s -> 1535.90s]  Да.
[1545.90s -> 1547.90s]  Я беру полароид, ты отправляешься к стенке.
[1547.90s -> 1548.90s]  Бери тарелку, я пошел.
[1548.90s -> 1549.90s]  Окей.
[1551.90s -> 1552.90s]  Дядя Снуп.
[1552.90s -> 1556.90s]  Да, можешь с ним поимпровизировать, по взаимодействовать.
[1571.90s -> 1573.90s]  Приятного аппетита, мужчина.
[1573.90s -> 1574.90s]  Бон аппетит.
[1574.90s -> 1575.90s]  Бон аппетит.
[1575.90s -> 1578.78s]  Что скажешь?
[1578.78s -> 1579.78s]  Получилось?
[1579.78s -> 1580.78s]  Хорошо.
[1581.78s -> 1583.78s]  Бешамель очень интересный, нежный получился.
[1583.78s -> 1584.78s]  Класс.
[1588.78s -> 1590.78s]  И она не горела, чувствуешь?
[1590.78s -> 1591.78s]  Она прям запеклась.
[1593.78s -> 1596.78s]  Я не передам, текстура сумасшедшая.
[1596.78s -> 1597.78s]  Да, достойная.
[1597.78s -> 1598.78s]  Так, и салат.
[1605.89s -> 1606.89s]  Он сладкий.
[1608.89s -> 1612.89s]  Первый раз пробую в салате дижанскую горчицу.
[1613.89s -> 1614.89s]  Она сладенькая, да.
[1615.89s -> 1620.89s]  Друзья, хочется напомнить, что вы смотрели шоу Kitchen Stories.
[1620.89s -> 1622.89s]  Меня зовут Ярослав Грин.
[1622.89s -> 1624.89s]  В гостях сегодня был Томас Мраз.
[1624.89s -> 1627.89s]  Мы сделали охренительно вкусную лазанью.
[1627.89s -> 1631.89s]  Рецепт будет и в комментариях, в описании поста,
[1631.89s -> 1634.89s]  и в нашей специальной книге рецептов.
[1634.89s -> 1637.89s]  Поэтому ставьте лайк, подписывайтесь на канал.
[1637.89s -> 1640.89s]  Приятного вам аппетита и пока-пока.
[1640.89s -> 1642.89s]  А вам я сегодня ни хрена не дам.
[1642.89s -> 1643.89s]  Спасибо.
[1650.08s -> 1651.08s]  Блин, это вкусно.
[1652.08s -> 1654.08s]  Вот, смотри.
