[0.00s -> 3.20s]  Ииииииииии, раз!
[1203.10s -> 1205.10s]  Теперь нужно найти вот это животное.
[1205.10s -> 1207.10s]  Это же этот.
[1207.10s -> 1209.10s]  Креветка.
[1209.10s -> 1211.10s]  Что?
[1211.10s -> 1213.10s]  Чего? Не поняла.
[1213.10s -> 1215.10s]  Это не совсем скелетка.
[1215.10s -> 1217.10s]  А вот она.
[1217.10s -> 1219.10s]  Руками аккуратнее.
[1219.10s -> 1221.10s]  Это ее отпечаток.
[1221.10s -> 1223.10s]  Не трогай руками.
[1223.10s -> 1225.10s]  Смотрите.
[1225.10s -> 1227.10s]  Отпечаток нельзя, да?
[1227.10s -> 1229.10s]  Это отпечаток, скорее всего, просто прах застыл.
[1229.10s -> 1231.10s]  Креветчий прах.
[1231.10s -> 1233.10s]  350 миллионов лет.
[1233.10s -> 1235.10s]  Чего?
[1235.10s -> 1237.10s]  300 миллионов?
[1237.10s -> 1239.10s]  Ни фига.
[1239.10s -> 1241.10s]  Я ждала первое.
[1241.10s -> 1243.10s]  Значит, в общем-то, Жене не засчитывается вариант.
[1243.10s -> 1245.10s]  Ой, да с чего это?
[1245.10s -> 1247.10s]  Давайте следующее.
[1247.10s -> 1249.10s]  Именно этот мужчина?
[1249.10s -> 1251.10s]  Конечно.
[1251.10s -> 1253.10s]  Мы узнаем из тысячи.
[1253.10s -> 1255.10s]  Я знаю.
[1255.10s -> 1257.10s]  Кто там?
[1257.10s -> 1259.10s]  Бобер.
[1259.10s -> 1261.10s]  Вот эти зубки.
[1261.10s -> 1263.10s]  Они прям точно такие же.
[1263.10s -> 1265.10s]  Тут прям парик.
[1265.10s -> 1267.10s]  Да, конечно.
[1267.10s -> 1269.10s]  Молодцы.
[1269.10s -> 1271.10s]  Теперь надо найти вот такой предмет.
[1271.10s -> 1273.10s]  Если вы намекаете, что это кто-то из нас с Настей,
[1273.10s -> 1275.10s]  это не смешно.
[1275.10s -> 1277.10s]  Я вас плохо знаю.
[1277.10s -> 1279.10s]  Реально?
[1279.10s -> 1281.10s]  Да.
[1281.10s -> 1283.10s]  Получается вот это?
[1283.10s -> 1285.10s]  Это реально кусочек какашки?
[1285.10s -> 1287.10s]  Это правильно называется капролит.
[1287.10s -> 1289.10s]  Капролит животного?
[1289.10s -> 1291.10s]  Нет, рыбы.
[1291.10s -> 1293.10s]  А, рыбы!
[1293.10s -> 1295.10s]  Мне нравится вот, что мы храним.
[1295.10s -> 1297.10s]  И сколько ему лет?
[1297.10s -> 1299.10s]  350.
[1299.10s -> 1301.10s]  Хранишь рыбью какашку сколько лет?
[1301.10s -> 1303.10s]  350 миллионов лет.
[1303.10s -> 1305.10s]  И гордиться этим.
[1305.10s -> 1307.10s]  Короче, друзья,
[1307.10s -> 1309.10s]  когда-нибудь накапролитываю где-нибудь на асфальте,
[1309.10s -> 1311.10s]  обязательно вырезайте кусок.
[1311.10s -> 1313.10s]  Да, сохраните.
[1313.10s -> 1315.10s]  Передавайте по поколениям.
[1315.10s -> 1317.10s]  И обязательно чтобы он был у вас всегда в доме.
[1317.10s -> 1319.10s]  И вот, в общем-то, накапролитывай его.
[1319.10s -> 1321.10s]  Так, следующее.
[1321.10s -> 1323.10s]  Так.
[1323.10s -> 1325.10s]  Это вот это.
[1325.10s -> 1327.10s]  Я обожаю лошадей.
[1327.10s -> 1329.10s]  Я прекрасно знаю их зубы.
[1329.10s -> 1331.10s]  Они прям так же, как у меня.
[1331.10s -> 1333.10s]  Шикарная улыбка.
[1333.10s -> 1335.10s]  Такие еще вот это вот.
[1335.10s -> 1337.10s]  Ой, реально, слушай.
[1337.10s -> 1339.10s]  Могла бы делать, если бы.
[1339.10s -> 1341.10s]  Могла бы делать.
[1341.10s -> 1343.10s]  А почему она раскрашена у вас в разный цвет?
[1343.10s -> 1345.10s]  А потому что череп это не одна кость.
[1345.10s -> 1347.10s]  А у нога.
[1347.10s -> 1349.10s]  Соответственно здесь
[1349.10s -> 1351.10s]  это занятие с детьми.
[1351.10s -> 1353.10s]  Мы будем соответственно показывать.
[1353.10s -> 1355.10s]  Вы отлично справились хоть немножко с подсказками.
[1355.10s -> 1357.10s]  Я отдаю вам конверт.
[1357.10s -> 1359.10s]  С додаткой цифрами.
[1359.10s -> 1361.10s]  И ваши телефоны. Они вам еще пригодятся.
[1361.10s -> 1363.10s]  Это еще не конец.
[1363.10s -> 1365.10s]  Не конец?
[1365.10s -> 1367.10s]  У нас будут еще испытания?
[1367.10s -> 1369.10s]  Да. Да что такое?
[1369.10s -> 1371.10s]  Я думала, уже все.
[1371.10s -> 1373.10s]  Вам нужно парк природный рядом посетить.
[1373.10s -> 1375.10s]  В нем нужно будет мамонта добыть.
[1375.10s -> 1377.10s]  Один из вас глаза завяжет.
[1377.10s -> 1379.10s]  Второй подскажет, куда битой бить.
[1379.10s -> 1384.52s]  Уйк!
[1384.52s -> 1386.52s]  Реп, дядь!
[1386.52s -> 1388.52s]  Мы нашли мамонта!
[1388.52s -> 1390.52s]  А ты мне биту-то дашь?
[1390.52s -> 1392.52s]  На битую я кайфую.
[1392.52s -> 1394.52s]  Настя, я тебе серьезно говорю, ты главное не сделай так.
[1394.52s -> 1396.52s]  Не так взяла.
[1396.52s -> 1400.66s]  Все, давай.
[1400.66s -> 1402.66s]  Немножко в другую сторону.
[1402.66s -> 1404.66s]  В какую? Жень.
[1404.66s -> 1406.66s]  Вот в эту.
[1406.66s -> 1408.66s]  Вот в эту.
[1408.66s -> 1410.66s]  Нет.
[1410.66s -> 1412.66s]  А это кто был?
[1412.66s -> 1414.66s]  Оператор хоть мой?
[1414.66s -> 1416.66s]  Нет. Вот, правильно двигаешься.
[1416.66s -> 1418.66s]  Молодец. Чувствую.
[1418.66s -> 1420.66s]  Да?
[1420.66s -> 1422.66s]  Нормально.
[1422.66s -> 1424.66s]  Победаю.
[1424.66s -> 1426.66s]  Раз.
[1426.66s -> 1428.66s]  Нет.
[1428.66s -> 1430.66s]  Два. Нет.
[1430.66s -> 1432.66s]  Три.
[1432.66s -> 1434.66s]  Пусть она остановится.
[1434.66s -> 1436.66s]  Бей, бей.
[1436.66s -> 1438.66s]  Все.
[1438.66s -> 1440.66s]  Давай.
[1440.66s -> 1442.66s]  Нормально.
[1442.66s -> 1444.66s]  Сорвала голову.
[1444.66s -> 1446.66s]  Бедненькому.
[1448.66s -> 1450.66s]  Ищем.
[1450.66s -> 1452.66s]  Так.
[1452.66s -> 1454.66s]  О, нащупала лучевой пузырь.
[1454.66s -> 1456.66s]  Так, дальше.
[1456.66s -> 1458.66s]  Ага, пупок.
[1458.66s -> 1460.66s]  Поняла.
[1460.66s -> 1462.66s]  И...
[1462.66s -> 1464.66s]  На следующей точке вас ждет ваше звание
[1464.66s -> 1466.66s]  почетный гражданин.
[1466.66s -> 1468.66s]  Осталось решить последнюю головоломку.
[1468.66s -> 1470.66s]  Загадка.
[1470.66s -> 1472.66s]  Большое стадо видно далеко.
[1472.66s -> 1474.66s]  Под ножью гор идут наши герои.
[1474.66s -> 1476.66s]  Раскинутые фигуры широко.
[1476.66s -> 1478.66s]  Музей под небом мамонта в покое.
[1478.66s -> 1480.66s]  Теперь нормально по человеческим
[1480.66s -> 1482.66s]  телефончикам, приложениям
[1482.66s -> 1484.66s]  вызываем таксюшечку
[1484.66s -> 1486.66s]  и идем спокойно.
[1495.18s -> 1497.18s]  Здравствуйте.
[1497.18s -> 1499.18s]  Хорошо.
[1499.18s -> 1501.18s]  На самом деле было очень
[1501.18s -> 1503.18s]  интересно, было очень насыщенно.
[1503.18s -> 1505.18s]  И я никогда даже подозревать,
[1505.18s -> 1507.18s]  скажу тебе честно, не могла,
[1507.18s -> 1509.18s]  о том, что в таких маленьких городах
[1509.18s -> 1511.18s]  может быть столько
[1511.18s -> 1513.18s]  примеч...
[1513.18s -> 1515.18s]  Но это уже в следующем выпуске.
[1515.18s -> 1517.18s]  Но это уже другая история.
[1517.18s -> 1519.18s]  Археопарк – уникальное место
[1519.18s -> 1521.18s]  на карте Ханты-Мансийска.
[1521.18s -> 1523.18s]  Даже у людей с очень слабым
[1523.18s -> 1525.18s]  воображением посещение этого парка
[1525.18s -> 1527.18s]  разбудит историческую память.
[1527.18s -> 1529.18s]  Бронзовые фигуры древних животных
[1529.18s -> 1531.18s]  выполнены очень реалистично.
[1531.18s -> 1533.18s]  Именно здесь наших героев и ждет звание
[1533.18s -> 1535.18s]  почетный гражданин.
[1535.18s -> 1537.18s]  До свидания.
[1537.18s -> 1539.18s]  Спасибо.
[1539.18s -> 1541.18s]  Мы приехали.
[1541.18s -> 1543.18s]  Раз мы идем по следам,
[1543.18s -> 1545.18s]  значит, там кто-то есть.
[1545.18s -> 1547.18s]  И я надеюсь,
[1547.18s -> 1549.18s]  что это наша съемочная группа.
[1549.18s -> 1551.18s]  Ну, остатки,
[1551.18s -> 1553.18s]  потому что основные мои
[1553.18s -> 1555.18s]  любименькие мальчики
[1555.18s -> 1557.18s]  прямо здесь со мною, да?
[1557.18s -> 1559.18s]  А ну, не падай, не падай!
[1559.18s -> 1561.18s]  О! Смотри!
[1561.18s -> 1563.18s]  О!
[1563.18s -> 1565.18s]  Наконец-то!
[1565.18s -> 1567.18s]  Примените цифры,
[1567.18s -> 1569.18s]  которые вы собрали на точках,
[1569.18s -> 1571.18s]  чтобы открыть ларец
[1571.18s -> 1573.18s]  и забрать ваше звание.
[1573.18s -> 1575.18s]  Я держу...
[1575.18s -> 1577.18s]  Ты чай напугалась!
[1577.18s -> 1579.18s]  Я держу, ты открывай.
[1579.18s -> 1581.18s]  Ты помнишь все цифры?
[1581.18s -> 1583.18s]  Давай.
[1583.18s -> 1585.18s]  Так.
[1585.18s -> 1587.18s]  Два, так, двадцать...
[1587.18s -> 1589.18s]  Один.
[1589.18s -> 1591.18s]  Так, ноль.
[1591.18s -> 1593.18s]  Так, тут у нас
[1593.18s -> 1595.18s]  три.
[1595.18s -> 1597.18s]  Да, шестьдесят.
[1597.18s -> 1599.18s]  Один.
[1599.18s -> 1601.18s]  Три, четыре!
[1601.18s -> 1603.18s]  Друзья,
[1603.18s -> 1605.18s]  у нас есть мамонтенок и нефть,
[1605.18s -> 1607.18s]  а это значит, что мы стали
[1607.18s -> 1609.18s]  почетными гражданами...
[1609.18s -> 1611.18s]  Ханты-Мантиска!
[1611.18s -> 1613.18s]  Почетными гражданами
[1613.18s -> 1615.18s]  Ханты-Мантиска!
[1615.18s -> 1617.18s]  С вами была я, Женя Искандарова,
[1617.18s -> 1619.18s]  и Настя Петрова!
[1619.18s -> 1621.18s]  Смотрите нас как можно чаще!
[1621.18s -> 1623.18s]  А мы пошли греться!
[1623.18s -> 1625.18s]  Пока!
[1625.18s -> 1627.18s]  Мы побежали, Настя!
[1627.18s -> 1629.18s]  Давай я тебя донесу!
[1629.18s -> 1631.18s]  Ааа!
[1631.18s -> 1633.18s]  Ааа!
