[0.30s -> 1.30s]  СМЕХ
[1250.33s -> 1252.33s]  Я сам в шок о себя.
[1252.33s -> 1254.33s]  Мне кажется,
[1254.33s -> 1256.33s]  что я буду стараться
[1256.33s -> 1258.33s]  повторить такие упражнения.
[1258.33s -> 1260.33s]  Я бы Джигурда
[1260.33s -> 1262.33s]  посоветую точно.
[1262.33s -> 1264.33s]  Иракли, нормально,
[1264.33s -> 1266.33s]  но точно не помешает
[1266.33s -> 1268.33s]  фос читать тоже.
[1268.33s -> 1270.33s]  Приводите.
[1270.33s -> 1272.33s]  Можно вам по секрету?
[1272.33s -> 1274.33s]  Я сам умный.
[1274.33s -> 1276.33s]  Самообразованный.
[1276.33s -> 1278.33s]  Это не шутка.
[1278.33s -> 1280.33s]  А вы позволите мне
[1280.33s -> 1282.33s]  испытать либо радость,
[1282.33s -> 1284.33s]  либо шок?
[1284.33s -> 1286.33s]  Вы отдадите мне вашу цитрату
[1286.33s -> 1288.33s]  и мы посмотрим.
[1288.33s -> 1290.33s]  Нет, ну как вы сами думаете?
[1290.33s -> 1292.33s]  Прошу, передайте
[1292.33s -> 1294.33s]  учителю цитрат.
[1294.33s -> 1296.33s]  Акуна матата.
[1296.33s -> 1298.33s]  Акуна матата.
[1298.33s -> 1300.33s]  Акуна матата.
[1300.33s -> 1302.33s]  Ну, мени сейчас не шарахнет?
[1302.33s -> 1304.33s]  Я надеюсь.
[1304.33s -> 1306.33s]  Нет.
[1306.33s -> 1308.33s]  Это чтобы вы не видели ошибки.
[1308.33s -> 1310.33s]  Позову
[1310.33s -> 1312.33s]  инакорпората.
[1312.33s -> 1314.33s]  инакорпоратиф.
[1314.33s -> 1316.33s]  Совкорпоратиф.
[1316.33s -> 1318.33s]  Правильно!
[1318.33s -> 1320.33s]  Инакорпоратиф.
[1320.33s -> 1322.33s]  Ну, извините.
[1322.33s -> 1324.33s]  И weaving 것을,
[1324.33s -> 1326.33s]  не pearls.
[1326.33s -> 1328.33s]  Ну, modeling
[1328.33s -> 1330.57s]  Парадик, правильно, знакомая.
[1330.57s -> 1332.49s]  Ну, там же кормят.
[1332.49s -> 1334.09s]  СМЕХ
[1334.09s -> 1335.93s]  И микрофону зовут.
[1335.93s -> 1337.13s]  Логично.
[1337.13s -> 1338.65s]  Там кормят вообще.
[1340.17s -> 1342.93s]  Еще классное слово.
[1342.93s -> 1344.57s]  Это просто иероглифы.
[1344.57s -> 1346.53s]  Так, еще одно слово.
[1346.53s -> 1349.01s]  Я же из Африки, Египта недалеко.
[1349.01s -> 1351.01s]  Вы же образованный человек.
[1351.01s -> 1352.01s]  СМЕХ
[1352.01s -> 1354.09s]  Еще одно слово.
[1354.09s -> 1355.81s]  Пару ведер.
[1355.97s -> 1357.49s]  Пишите.
[1357.49s -> 1360.29s]  Вида рих.
[1360.29s -> 1362.69s]  Видрих лады.
[1362.69s -> 1366.37s]  А, какая неприятность, Перс.
[1366.37s -> 1370.93s]  Смотрите, вы не первый год поете песню,
[1370.93s -> 1375.17s]  где встречается сладкий на все сто.
[1375.17s -> 1379.57s]  Но как же вы не знаете, как пишется слово сладкий?
[1379.57s -> 1382.69s]  Ну, вот я писал сладкий.
[1382.69s -> 1384.29s]  Сладкий.
[1384.53s -> 1388.45s]  Просто вы понимаете по-русски, по дежи, да?
[1388.45s -> 1390.97s]  Но поете это вы правильно?
[1390.97s -> 1394.09s]  Да, это я пою, я не пишу.
[1394.09s -> 1396.25s]  Вот интересный певец у нас.
[1396.25s -> 1401.33s]  Иракли Пер Ка Л В Ви.
[1401.33s -> 1404.57s]  Он же грузин, да, так и пишет по-грузински.
[1404.57s -> 1406.53s]  По-грузински так и пишется.
[1406.53s -> 1407.97s]  Он же ваш друг?
[1407.97s -> 1408.97s]  Да.
[1408.97s -> 1411.33s]  Тогда, наверное, вы имели возможность
[1411.41s -> 1416.01s]  поинтересоваться, как именно не только произносно пишется его фамилия.
[1416.01s -> 1418.69s]  Я его никогда не называю Перс Ха Л Ва.
[1418.69s -> 1421.53s]  Я всегда говорю Иракли или Братуха.
[1421.53s -> 1425.81s]  У вас очень интересный вариант, Пер, до бежал, до бедал.
[1425.81s -> 1429.97s]  То есть у вас не же и не де, а вот такой мутант буквы.
[1429.97s -> 1431.73s]  Интересно.
[1431.73s -> 1434.93s]  Ну, понимаете, сейчас в Вегус такой ходит.
[1434.93s -> 1436.81s]  Думаете, влияет на песню?
[1436.81s -> 1438.85s]  Да, я писал правильно, но что-то так.
[1438.85s -> 1440.45s]  Слушайте, а в этом что-то есть.
[1440.53s -> 1441.85s]  Какие-то там идут...
[1441.85s -> 1447.25s]  Туловище, щуки, а голова Макса Фадеева.
[1447.25s -> 1449.69s]  Вот Макса Фадеева вы написали правильно.
[1449.69s -> 1452.09s]  Он же продюсер.
[1452.09s -> 1455.29s]  И стали они жить в мире...
[1455.29s -> 1457.61s]  Где, где?
[1457.61s -> 1459.49s]  Где?
[1459.49s -> 1461.69s]  Я писал... Где?
[1461.69s -> 1465.41s]  Безобразелевый мир, как я вам скажу.
[1465.41s -> 1467.33s]  Сейчас немножко осталось.
[1468.33s -> 1470.41s]  Так.
[1476.47s -> 1480.63s]  Ну что ж, Пер, у меня есть для вас вердикт.
[1480.63s -> 1482.23s]  Не томите, не томите.
[1482.23s -> 1490.47s]  Прежде чем я вручу вашу работу, как вы думаете примерно?
[1490.47s -> 1492.71s]  Сколько ошибок вы могли допустить?
[1492.71s -> 1494.19s]  Ой, много.
[1494.19s -> 1498.15s]  Ну, я вам скажу так, Пер, вот это вот колдовство,
[1498.15s -> 1500.51s]  оно не сработало целиком.
[1500.67s -> 1503.95s]  Я думаю, что сейчас вы не так широко будете улыбаться.
[1503.95s -> 1507.19s]  У вас 140 ошибок.
[1507.19s -> 1511.99s]  Но, так как мы понимаем, что все-таки русский язык ваш неродной,
[1511.99s -> 1516.95s]  50% убираем, но все равно остается 70 ошибок.
[1516.95s -> 1520.67s]  А по правилам нашей программы это двойка,
[1520.67s -> 1523.67s]  которую вы так хотели.
[1523.67s -> 1525.71s]  Прошу.
[1525.71s -> 1527.11s]  Благодарю.
[1527.11s -> 1528.63s]  Я доволен.
[1530.51s -> 1532.35s]  Большое спасибо.
