[0.00s -> 2.00s]  Это во-первых.
[1138.86s -> 1139.86s]  Не взял мне разыграться вообще.
[1140.86s -> 1145.62s]  Ну это, что там, катана что ли, я не понял.
[1146.62s -> 1150.62s]  Ну он знаешь, когда бьет ножом, он так на секунду даже подпрыгивает.
[1151.62s -> 1153.62s]  Нет, он четко конечно делает.
[1154.62s -> 1155.62s]  А здесь скользко?
[1156.62s -> 1157.62s]  Это мы не знаем.
[1158.62s -> 1159.62s]  Ты посмотри на него.
[1160.62s -> 1161.62s]  Это что такое вообще?
[1162.62s -> 1163.62s]  Я вообще не понимаю, как оно достает.
[1164.62s -> 1166.62s]  Я тоже не понимаю, как оно достает у тебя.
[1167.62s -> 1168.62s]  Тут может нож длиннее, чем обычно.
[1169.62s -> 1172.62s]  Я вроде, ну типа так, знаешь, побайкить хотел.
[1173.62s -> 1175.62s]  То есть это просмотр в команду, ты его тестишь.
[1176.62s -> 1177.62s]  У меня больше как бы нет вариантов проигрывать.
[1178.62s -> 1179.62s]  Мне нужен ласт раунд по идее.
[1180.62s -> 1181.62s]  А мне нужно все забирать.
[1182.62s -> 1184.62s]  И то у меня шансов уже нет по-моему.
[1185.62s -> 1186.62s]  Все, я победил.
[1187.62s -> 1188.62s]  Что получается, так быстро?
[1189.62s -> 1190.62s]  Ну смотри давай еще.
[1191.62s -> 1192.62s]  Ну стой, стой, остановись просто на месте.
[1193.62s -> 1194.62s]  Мне просто интересно.
[1195.62s -> 1196.62s]  А ты Ризани правый?
[1196.62s -> 1197.62s]  Нет.
[1198.62s -> 1199.62s]  Ты подвинулся?
[1200.62s -> 1201.62s]  Нет, все равно.
[1202.62s -> 1212.62s]  Так что все было честно.
[1213.62s -> 1214.62s]  Давай еще раз.
[1215.62s -> 1216.62s]  Пау.
[1217.62s -> 1220.62s]  И чемпионом New Year Major 2021 становится Flamie.
[1221.62s -> 1222.62s]  И Na'Vi снова забирают мажор.
[1223.62s -> 1224.62s]  Да.
[1225.62s -> 1226.62s]  Поздравляю.
[1227.62s -> 1228.62s]  Можешь знакомиться со своим новым титулом.
[1229.62s -> 1230.62s]  40 тысяч там вот написано.
[1230.62s -> 1234.62s]  PvP Ultimate Professional Ultra Esports Gaming Tournament by Marvel.
[1235.62s -> 1236.62s]  Yes, it is Marvel.
[1237.62s -> 1238.62s]  It's my tournament.
[1239.62s -> 1240.62s]  Как вы, Егор, потратите эти баснословные деньги?
[1241.62s -> 1245.62s]  Ну не знаю, что-то куплю друзьям, близким, девушкам.
[1246.62s -> 1248.62s]  Я надеюсь, что у нас с Михаилом достаточно близки тебе как друзья.
[1249.62s -> 1251.62s]  Мы надеемся, что у нас всех хватит этой суммы.
[1252.62s -> 1254.62s]  На полчасика получается по коктучу.
[1255.62s -> 1256.62s]  Хорошо, мы тебя поздравляем.
[1257.62s -> 1259.62s]  И я думаю, что самое время поздравить наших зрителей,
[1260.62s -> 1263.62s]  чтобы получать специальный новогодний выпуск с новогодними картами в кс.
[1264.62s -> 1265.62s]  Ребят, вам есть что сказать?
[1266.62s -> 1267.62s]  Всех наступающих, ребят, кайфуйте.
[1268.62s -> 1271.62s]  Делайте то, что хотите, но чтобы это было законно.
[1272.62s -> 1274.62s]  Здоровья, счастья, не знаю, любви.
[1275.62s -> 1277.62s]  Чтобы не были токсичными и добивались поставленных целей.
[1278.62s -> 1280.62s]  Ребят, хороших тиммейтов, не руиньте каточки, получается.
[1281.62s -> 1283.62s]  И если хотите стать киберспортсменом, дерзайте, пусть у вас все получится.
[1284.62s -> 1285.62s]  СНГ Сила, с нами победа.
[1286.62s -> 1287.62s]  Всех с Новым годом, мы поздравляем.
[1288.62s -> 1289.62s]  Спасибо, что были с нами.
