[3.76s -> 5.08s]  Она лысая, *****!
[1035.41s -> 1037.41s]  про инфо-цыган, дальше она придумывает
[1037.41s -> 1039.41s]  свой курс, якобы с какими-то
[1039.41s -> 1041.41s]  профессорами, которые нахер никому не
[1041.41s -> 1043.41s]  разговаривались. Хочется просто иногда вдохновиться
[1043.41s -> 1045.41s]  от человека, который тебя вдохновляет.
[1045.41s -> 1047.41s]  Тебе слова его более понятны,
[1047.41s -> 1049.41s]  чем слова профессора. И вот она высмеет
[1049.41s -> 1051.41s]  в своем инфо-цыганском как раз
[1051.41s -> 1053.41s]  интервью с Блиновской о том,
[1053.41s -> 1055.41s]  что все говорят,
[1055.41s -> 1057.41s]  точка А,
[1057.41s -> 1059.41s]  и где ты находишься в какой точке.
[1059.41s -> 1061.41s]  Что с тобой произошло
[1061.41s -> 1063.41s]  за эти годы, и где
[1063.41s -> 1065.41s]  ты находишься сейчас.
[1065.41s -> 1067.41s]  Вот что бы, как ты думаешь, он тебе сказал
[1067.41s -> 1069.41s]  про ту точку, где ты находишься сейчас.
[1069.41s -> 1071.41s]  Обесценивать те слова,
[1071.41s -> 1073.41s]  которые она сама задает в интервью вопрос.
[1073.41s -> 1075.41s]  А знаете, что я вам скажу,
[1075.41s -> 1077.41s]  что дают все эти марафоны обучения самое главное?
[1077.41s -> 1079.41s]  Тебе деньги.
[1079.41s -> 1081.41s]  Мне деньги? А что такое деньги?
[1081.41s -> 1083.41s]  Резурс, поток.
[1083.41s -> 1085.41s]  Это все энергия. Короче говоря,
[1085.41s -> 1087.41s]  это все про энергию. И когда в человеке
[1087.41s -> 1089.41s]  нет энергии, вот он будет ходить,
[1089.41s -> 1091.41s]  говорить, что у того говно,
[1091.41s -> 1093.41s]  это все не верить,
[1093.41s -> 1095.41s]  постоянно все сливать.
[1095.41s -> 1097.41s]  Но пока он сам ничего не попробует,
[1097.41s -> 1099.41s]  вот почему мне не хочется
[1099.41s -> 1101.41s]  идти никого обсирать?
[1101.41s -> 1103.41s]  Потому что мне кайф, я живу свою жизнь,
[1103.41s -> 1105.41s]  я вот сюда пришла к вам, мне с вами кайфово.
[1105.41s -> 1107.41s]  У меня два важных вопроса. Первый,
[1107.41s -> 1109.41s]  почему именно ты решила делать марафон?
[1109.41s -> 1111.41s]  А во-вторых, дай нам
[1111.41s -> 1113.41s]  и телезрителям, которые еще...
[1113.41s -> 1115.41s]  Потому что мы бедные,
[1115.41s -> 1117.41s]  а ты богатый.
[1117.41s -> 1119.41s]  Положи.
[1119.41s -> 1121.41s]  У нас большая аудитория, и все хотят какой-то
[1121.41s -> 1123.41s]  прикладной момент. Не о том, чтобы стать богатым.
[1123.41s -> 1125.41s]  Вот, например, сегодня не очень хорошее
[1125.41s -> 1127.41s]  настроение у Вики, и это видно.
[1127.41s -> 1129.41s]  Она сегодня без андронохрома,
[1129.41s -> 1131.41s]  без кактуса,
[1131.41s -> 1133.41s]  поэтому дайте прикладное что-то,
[1133.41s -> 1135.41s]  чтобы сделать.
[1135.41s -> 1137.41s]  Можно сказать ей ответить все-таки?
[1137.41s -> 1139.41s]  А то ты все за нее сказал, все спросил,
[1139.41s -> 1141.41s]  а у меня настроение шикарное. Говори, дорогая.
[1141.41s -> 1143.41s]  Я проходила программу обучения,
[1143.41s -> 1145.41s]  она шла 5 месяцев, то есть
[1145.41s -> 1147.41s]  каждый месяц там нам ставили,
[1147.41s -> 1149.41s]  точнее мы себе сами ставили цели, их выполняли.
[1149.41s -> 1151.41s]  Вот, пожалуйста, я тоже заплатилась
[1151.41s -> 1153.41s]  за обучение сначала 600 тысяч,
[1153.41s -> 1155.41s]  потом полтора миллиона,
[1155.41s -> 1157.41s]  проходила его. Я поняла, насколько
[1157.41s -> 1159.41s]  я многих вещей вообще в жизни не замечала.
[1159.41s -> 1161.41s]  И насколько я
[1161.41s -> 1163.41s]  жила даже, вот, по факту
[1163.41s -> 1165.41s]  не своими желаниями, не так, как я хочу.
[1165.41s -> 1167.41s]  Я это внутренне чувствовала, но не понимала, что это.
[1167.41s -> 1169.41s]  Вот это, знаете, вечное недовольство,
[1169.41s -> 1171.41s]  какая-то вечная гонка, тебе все что-то
[1171.41s -> 1173.41s]  мало, постоянно. Вот этого
[1173.41s -> 1175.41s]  перманентного счастья нет. Есть только, знаете, заработала
[1175.41s -> 1177.41s]  денег, я такая молодец, опять
[1177.41s -> 1179.41s]  денег уже прошла две недели, что-то не заработала,
[1179.41s -> 1181.41s]  не отчасти. И вот меня смотрят
[1181.41s -> 1183.41s]  много девчонок, которые просто не понимают
[1183.41s -> 1185.41s]  не то, чтобы, вот, вообще
[1185.41s -> 1187.41s]  как жить, что делать. Они просто не понимают
[1187.41s -> 1189.41s]  каких-то вот элементарных законов жизни.
[1189.41s -> 1191.41s]  А законы жизни они есть, то есть есть штуки, которые
[1191.41s -> 1193.41s]  очень круто работают. И я сижу
[1193.41s -> 1195.41s]  вот так вот на этом обучении, и меня начинает
[1195.41s -> 1197.41s]  прям жутко инсайтить, и я прям начинаю
[1197.41s -> 1199.41s]  прописывать себе, ну, как
[1199.41s -> 1201.41s]  пункты какие-то. Как пункты, которые
[1201.41s -> 1203.41s]  я бы хотела. И у меня прям определяется
[1203.41s -> 1205.41s]  по сферам жизни, то есть что у меня там будет,
[1205.41s -> 1207.41s]  значит, там
[1207.41s -> 1209.41s]  про тело, про секс.
[1209.41s -> 1211.41s]  Вот на сексе вообще всех разбомбилка.
[1211.41s -> 1213.41s]  Конечно, это самая интересная тема. У нас такая это табуированная тема,
[1213.41s -> 1215.41s]  я до сих пор в шоке. Скажи, почему в итоге
[1215.41s -> 1217.41s]  с мужем расстался? Там нет прям какой-то,
[1217.41s -> 1219.41s]  знаете, одной причины, что мы расстались вот
[1219.41s -> 1221.41s]  потому что. А мы никуда не торопимся,
[1221.41s -> 1223.41s]  можешь назвать их несколько. Да, как бы ты сформулировала
[1223.41s -> 1225.41s]  это, если бы ты рассказывал своим
[1225.41s -> 1227.41s]  детям? Мы с папой просто стали разными
[1227.41s -> 1229.41s]  слишком. Ой, это вот как мы
[1229.41s -> 1231.41s]  слишком разные. Ой, не нравится. А что, я тебе
[1231.41s -> 1233.41s]  угождаю, что ли, должен
[1233.41s -> 1235.41s]  в свою бассейну? Подожди, разные в чем?
[1235.41s -> 1237.41s]  Я знаю, вам, наверное, нужно, что там вообще
[1237.41s -> 1239.41s]  не важно.
[1239.41s -> 1241.41s]  Это будет отличная передача, если я скажу,
[1241.41s -> 1243.41s]  короче, ладно, чтобы не выполнять
[1243.41s -> 1245.41s]  задание, я расскажу здесь все.
[1245.41s -> 1247.41s]  Слушайте сюда, да, и начнем
[1247.41s -> 1249.41s]  короче поливать говном. Но такого не будет,
[1249.41s -> 1251.41s]  потому что... А мы уже вот это вырежем и все.
[1251.41s -> 1253.41s]  Нет, никто никого не будет поливать
[1253.41s -> 1255.41s]  говном. А зачем поливать говном? Мне кажется, уважающий
[1255.41s -> 1257.41s]  себя человек никогда не будет поливать
[1257.41s -> 1259.41s]  говном. Поэтому я себя уважаю, и я никогда не позволю
[1259.41s -> 1261.41s]  копаться в нашем... От сосудших детей.
[1261.41s -> 1263.41s]  Копаться в нашем грязном доме. Смотри,
[1263.41s -> 1265.41s]  тогда это задание, я правильно понимаю, что мы
[1265.41s -> 1267.41s]  выйдем сейчас на задание. Да, пожалуйста.
[1267.41s -> 1269.41s]  Я предлагаю на выбор два варианта.
[1269.41s -> 1271.41s]  Разбавим. Он у тебя есть,
[1271.41s -> 1273.41s]  впервые в жизни, впервые в жизни,
[1273.41s -> 1275.41s]  мы даем тебе возможность выбрать
[1275.41s -> 1277.41s]  одно из двух... Говен.
[1277.41s -> 1279.41s]  Да. Ну говори.
[1279.41s -> 1281.41s]  Одно из них называется
[1281.41s -> 1283.41s]  обновка,
[1283.41s -> 1285.41s]  а второе называется гардеробная.
[1285.41s -> 1287.41s]  Так это одно и то же опять. Че ты палишь?
[1287.41s -> 1289.41s]  Ну хотя бы... Ты назови по-разному
[1289.41s -> 1291.41s]  обновка и...
[1291.41s -> 1293.41s]  Гардеробная.
[1293.41s -> 1295.41s]  В действии обновления
[1295.41s -> 1297.41s]  гардероба. Обновочку
[1297.41s -> 1299.41s]  в студию.
[1299.41s -> 1301.41s]  До конца передачи
[1301.41s -> 1303.41s]  Наденька будет сидеть
[1303.41s -> 1305.41s]  в роскошной футболке от комментатора
[1305.41s -> 1307.41s]  над писью.
[1307.41s -> 1309.41s]  О, я сказала,
[1309.41s -> 1311.41s]  что там я и этот цыган.
[1311.41s -> 1313.41s]  Ну ты соберешь себе, она, мне кажется,
[1313.41s -> 1315.41s]  твой XXXXS.
[1315.41s -> 1317.41s]  Села хорошо,
[1317.41s -> 1319.41s]  от соска до соска.
[1319.41s -> 1321.41s]  Так вот, как я уже и говорила в одном из интервью,
[1321.41s -> 1323.41s]  сказали, Надин, а что ты скажешь насчет того,
[1323.41s -> 1325.41s]  что в Собчак вышло и про тебя
[1325.41s -> 1327.41s]  тоже, потому что я там была.
[1327.41s -> 1329.41s]  Я сейчас смотрю, думаю, ой, я такая красивенькая,
[1329.41s -> 1331.41s]  так хорошо все говорю, мне так понравилось.
[1331.41s -> 1333.41s]  Короче, мне себя не было стыдно. Если я
[1333.41s -> 1335.41s]  хороший цыган, который дает классный
[1335.41s -> 1337.41s]  продукт, от которого у людей реально происходят
[1337.41s -> 1339.41s]  изменения в жизни... Не воруешь коней?
[1339.41s -> 1341.41s]  Что они не воруют коней,
[1341.41s -> 1343.41s]  что люди тебе пишут реальную искреннюю
[1343.41s -> 1345.41s]  благодарность, когда ты их даже не просишь,
[1345.41s -> 1347.41s]  то кто?
[1347.41s -> 1349.41s]  В медицине есть главный принцип. Не навреди.
[1349.41s -> 1351.41s]  Если это не вредит,
[1351.41s -> 1353.41s]  значит, и это помогает,
[1353.41s -> 1355.41s]  значит, это хорошо.
[1355.41s -> 1357.41s]  Это единственный ответ. Согласна,
[1357.41s -> 1359.41s]  даже на душнярство.
[1359.41s -> 1361.41s]  А я за душнярство, вот да.
[1361.41s -> 1363.41s]  Портал
[1363.41s -> 1365.41s]  NUR.KZ
[1365.41s -> 1367.41s]  врывается к нам со своей статьей.
[1367.41s -> 1369.41s]  Вот это разрыв.
[1369.41s -> 1371.41s]  Разведенная Надин Серовский опубликовала
[1371.41s -> 1373.41s]  фото с возлюбленным.
[1373.41s -> 1375.41s]  Мы не шифруемся, просто дайте нам
[1375.41s -> 1377.41s]  пока надышаться. Я не просто
[1377.41s -> 1379.41s]  как в образе маленькой куколки,
[1379.41s -> 1381.41s]  говорит нам Надин. Помните музыкальные
[1381.41s -> 1383.41s]  шкатулки? Так вот.
[1383.41s -> 1385.41s]  Только это с реальной историей, да еще
[1385.41s -> 1387.41s]  из какой, написала Надин.
[1387.41s -> 1389.41s]  Она призналась, что полностью доверяет
[1389.41s -> 1391.41s]  своему избраннику, поэтому решила
[1391.41s -> 1393.41s]  опубликовать совместную с ним фотосессию
[1393.41s -> 1395.41s]  в соцсетях. А он уже муж?
[1395.41s -> 1397.41s]  Нет.
[1397.41s -> 1399.41s]  Я еще даже официально
[1399.41s -> 1401.41s]  не развелась.
[1401.41s -> 1403.41s]  У нас еще только процесс развода идет.
[1403.41s -> 1405.41s]  Просто когда дети...
[1405.41s -> 1407.41s]  У нас там очень долго в документале.
[1407.41s -> 1409.41s]  Вы экологично расстались?
[1409.41s -> 1411.41s]  Или все-таки сейчас проблема с дележкой?
[1411.41s -> 1413.41s]  Нет, у нас
[1413.41s -> 1415.41s]  нет проблем. Слушай, просто даже когда
[1415.41s -> 1417.41s]  экологично расстаешься, все равно есть
[1417.41s -> 1419.41s]  проволочки какие-то. Вау!
[1419.41s -> 1421.41s]  И какой высокий!
[1421.41s -> 1423.41s]  Евгений Кузнецов!
[1423.41s -> 1425.41s]  Увеличь, что-то типа Илюса.
[1425.41s -> 1427.41s]  А где вы познакомились?
[1427.41s -> 1429.41s]  На обучении.
[1429.41s -> 1431.41s]  На каком? Ну вот видите, курсы
[1431.41s -> 1433.41s]  поболгают. Выходите, обучайтесь,
[1433.41s -> 1435.41s]  будет вам хоккей.
[1435.41s -> 1437.41s]  Да, на обучении.
[1437.41s -> 1439.41s]  В смысле, в психологическом каком-то?
[1439.41s -> 1441.41s]  Да, но не хоккейном.
[1441.41s -> 1443.41s]  А в каком ты туда пришел?
[1443.41s -> 1445.41s]  Мужчина? В смысле?
[1445.41s -> 1447.41s]  Я туда тоже
[1447.41s -> 1449.41s]  пришла женщина, у которой двое детей,
[1449.41s -> 1451.41s]  замужем, с бизнесами.
[1451.41s -> 1453.41s]  Что хочу, еще круче результат.
[1453.41s -> 1455.41s]  И со своими внутренними загончиками.
[1455.41s -> 1457.41s]  То есть вы еще были
[1457.41s -> 1459.41s]  в отношениях, когда встретили своего
[1459.41s -> 1461.41s]  настоящего парня?
[1461.41s -> 1463.41s]  Вы познакомились, они когда мы стали быть вместе?
[1463.41s -> 1465.41s]  Да, да, да. Вы познакомились, у вас еще семья была,
[1465.41s -> 1467.41s]  все хорошо, и не думали расходиться, правильно?
[1467.41s -> 1469.41s]  Конечно. Ты встретила этого парня,
[1469.41s -> 1471.41s]  потом ты поняла, что
[1471.41s -> 1473.41s]  а вот ты не собиралась разводиться,
[1473.41s -> 1475.41s]  но он тебе настолько стал интересен,
[1475.41s -> 1477.41s]  что ты поняла, что...
[1477.41s -> 1479.41s]  У него такая хоккейная клюшка?
[1479.41s -> 1481.41s]  Да?
[1481.41s -> 1483.41s]  Не хоккейная клюшка, а он не пользовался.
[1483.41s -> 1485.41s]  Кто сказал, что в этом есть что-то плохое, наоборот?
[1485.41s -> 1487.41s]  То есть его шайба не попала в твои ворота?
[1487.41s -> 1489.41s]  Нет, потом-то попала.
[1489.41s -> 1491.41s]  Так вот, когда потом-то?
[1491.41s -> 1493.41s]  Это было пенальти.
[1493.41s -> 1495.41s]  Выносите задание!
[1495.41s -> 1497.41s]  Задание так задание!
[1497.41s -> 1499.41s]  Звонишь на радио,
[1499.41s -> 1501.41s]  на любое, и говоришь
[1501.41s -> 1503.41s]  представиться, сказать
[1503.41s -> 1505.41s]  привет, Яна Денсеровски, и попросить
[1505.41s -> 1507.41s]  их час в эфире,
[1507.41s -> 1509.41s]  ну прям сказать, поставьте меня на час в эфире,
[1509.41s -> 1511.41s]  я буду рассказывать о себе
[1511.41s -> 1513.41s]  тезисы, то есть как ты должна говорить?
[1513.41s -> 1515.41s]  Ты говоришь, Яна Денсеровски, блогер
[1515.41s -> 1517.41s]  с десятью миллионами подписчиками,
[1517.41s -> 1519.41s]  они купятся сразу,
[1519.41s -> 1521.41s]  я хочу, чтобы на вашем радио говорили
[1521.41s -> 1523.41s]  обо мне целый час в прайм-тайм,
[1523.41s -> 1525.41s]  все равно у вас в эфире не так интересно, как
[1525.41s -> 1527.41s]  обо мне рассказать, так оно и есть
[1527.41s -> 1529.41s]  на многих радиостанциях,
[1529.41s -> 1531.41s]  если вы этого не сделаете, я скажу подписчикам,
[1531.41s -> 1533.41s]  чтобы вас не слушали, 10 миллионов
[1533.41s -> 1535.41s]  потеряете, по щелчку в три пятнадцать.
[1535.41s -> 1537.41s]  Смотри, дорогая, у меня есть
[1537.41s -> 1539.41s]  телефон одного
[1539.41s -> 1541.41s]  известного радио, и у них есть
[1541.41s -> 1543.41s]  известнейшее шоу, тебе нужно
[1543.41s -> 1545.41s]  позвонить Вадику Воронову
[1545.41s -> 1547.41s]  и сказать, я хочу
[1547.41s -> 1549.41s]  тра-та-та-та-та-та-та-та
[1549.41s -> 1551.41s]  Вадик, ты  не брать
[1551.41s -> 1553.41s]  руки?
[1553.41s -> 1555.41s]  Алло, Вадик, привет!
[1555.41s -> 1557.41s]  Это
[1557.41s -> 1559.41s]  Надень Серовский,
[1559.41s -> 1561.41s]  помнишь, нет, блогер у меня 10 миллионов
[1561.41s -> 1563.41s]  подписчиков, Вадик, у меня
[1563.41s -> 1565.41s]  вот есть супер обалденное предложение,
[1565.41s -> 1567.41s]  вот прям хочу, чтобы прямо сейчас
[1567.41s -> 1569.41s]  обо мне говорили на радио целый час
[1569.41s -> 1571.41s]  в прайм-тайм, вот прям сейчас
[1571.41s -> 1573.41s]  поставили, но у вас все равно
[1573.41s -> 1575.41s]  ничего интересного сейчас по радио нет, обо мне
[1575.41s -> 1577.41s]  прикольнее будет рассказать, как тебе такая
[1577.41s -> 1579.41s]  идея?
[1579.41s -> 1581.41s]  Ты просто грандиозный
[1581.41s -> 1583.41s]  Странный номер высветился
[1583.41s -> 1585.41s]  А какой номер? Да VPN, наверное
[1585.41s -> 1587.41s]  Французский
[1587.41s -> 1589.41s]  Возможно, там плюс 33
[1589.41s -> 1591.41s]  Вадик, ну что, если вы
[1591.41s -> 1593.41s]  этого не сделаете, я тогда скажу своим
[1593.41s -> 1595.41s]  подписчикам, чтобы вас не слушали,
[1595.41s -> 1597.41s]  и вас не будет слушать 10 миллионов
[1597.41s -> 1599.41s]  Давай так, давай так,
[1599.41s -> 1601.41s]  ну зачем? Я ведь не говорю на языке
[1602.41s -> 1604.41s]  Я знаю, я же тоже по любви
[1604.41s -> 1606.41s]  Ну давай
[1606.41s -> 1608.41s]  Я тебе объясню, что сейчас происходит
[1608.41s -> 1610.41s]  Я одной рукой жарю
[1610.41s -> 1612.41s]  картошку, а другой варю суп
[1612.41s -> 1614.41s]  и у меня тут все кипит и пенится
[1614.41s -> 1616.41s]  Я тоже киплю
[1616.41s -> 1618.41s]  Давай ты мне через час
[1618.41s -> 1620.41s]  перезвонишь, я тебе выслушаю
[1620.41s -> 1622.41s]  и мы что-то там подумаем, ладно?
[1622.41s -> 1624.41s]  Ой, прикольно, давай, спасибо
[1624.41s -> 1626.41s]  Давай, договорились
[1626.41s -> 1628.41s]  Ты первый гость, который договорился
[1628.41s -> 1630.41s]  Мы договорились
[1630.41s -> 1632.41s]  У нее будет час
[1632.41s -> 1634.41s]  прайм тайна
[1634.41s -> 1636.41s]  Я понимаю, как ты уговариваешь людей
[1636.41s -> 1638.41s]  Почему у тебя всего 10 миллионов
[1638.41s -> 1640.41s]  картошка, жарю картошку, тишина такая
[1640.41s -> 1642.41s]  суп варит
[1642.41s -> 1644.41s]  Там шипение легкое было
[1644.41s -> 1646.41s]  Девочки, вы плохо понимаете
[1646.41s -> 1648.41s]  мужчины, он же сказал
[1648.41s -> 1650.41s]  у меня все кипит и пенится
[1650.41s -> 1652.41s]  Представляете, он такой милый
[1652.41s -> 1654.41s]  он согласился
[1654.41s -> 1656.41s]  Ньюс
[1656.41s -> 1658.41s]  Май Шелдон
[1658.41s -> 1660.41s]  Разрушило сразу две семьи
[1660.41s -> 1662.41s]  но мы-то знаем, что они врут, потому что
[1662.41s -> 1664.41s]  ты еще не развелась
[1664.41s -> 1666.41s]  Подождите, объясняю
[1666.41s -> 1668.41s]  поклонники Надин Серовский
[1668.41s -> 1670.41s]  вычислили, а им нефиг делать
[1670.41s -> 1672.41s]  они только вычисляют тебя
[1672.41s -> 1674.41s]  что блогерша развелась из-за романа с женатым мужчиной
[1674.41s -> 1676.41s]  одна семья разрушилась
[1676.41s -> 1678.41s]  и вторая семья тоже, я так понимаю, тоже
[1678.41s -> 1680.41s]  рухнула, а он тоже женат
[1680.41s -> 1682.41s]  как и твой муж
[1682.41s -> 1684.41s]  Видела ее в ресторане
[1684.41s -> 1686.41s]  пишет какая-то женщина
[1686.41s -> 1688.41s]  твой мужиком, распрекрасная Надя
[1688.41s -> 1690.41s]  которая выбирает себя
[1690.41s -> 1692.41s]  а так, типа, плакала из-за мужа
[1692.41s -> 1694.41s]  лицемерия вперед
[1694.41s -> 1696.41s]  я думаю, у нее такой голос у этой женщины
[1696.41s -> 1698.41s]  лицемерия вперед и самолюбование
[1698.41s -> 1700.41s]  аж тошнит
[1700.41s -> 1702.41s]  другая пишет
[1702.41s -> 1704.41s]  Надин просто упала в глазах
[1704.41s -> 1706.41s]  еще и семью
[1706.41s -> 1708.41s]  променяла на какого-то
[1708.41s -> 1710.41s]  мужчинку
[1710.41s -> 1712.41s]  конечно, груди сделала
[1712.41s -> 1714.41s]  прилично сказала
[1714.41s -> 1716.41s]  винира поставила, похудела
[1716.41s -> 1718.41s]  зачем теперь Никита нужен-то
[1718.41s -> 1720.41s]  но если прессе верит
[1720.41s -> 1722.41s]  то получается, что там
[1722.41s -> 1724.41s]  был маленький ребенок
[1724.41s -> 1726.41s]  когда он ушел
[1726.41s -> 1728.41s]  у меня двое детей
[1728.41s -> 1730.41s]  и у него тоже двое детей
[1730.41s -> 1732.41s]  маленький там годик
[1732.41s -> 1734.41s]  у нас одновременно дети рожали
[1734.41s -> 1736.41s]  как тебе с такой
[1736.41s -> 1738.41s]  ножей жить
[1738.41s -> 1740.41s]  а мне с ней никак не жить
[1740.41s -> 1742.41s]  потому что то, что говорят
[1742.41s -> 1744.41s]  не имеет никакого отношения
[1744.41s -> 1746.41s]  потому что, смотрите, во-первых
[1746.41s -> 1748.41s]  что такое разрушило
[1748.41s -> 1750.41s]  скажи мне, вот можно к тебе сейчас домой прийти
[1750.41s -> 1752.41s]  выбить дверь с ноги, взять твоего мужа за галстук
[1752.41s -> 1754.41s]  вот так вот искать
[1754.41s -> 1756.41s]  пойдем со мной
[1756.41s -> 1758.41s]  ты села
[1758.41s -> 1760.41s]  это осел
[1760.41s -> 1762.41s]  это жележка, которая утекает
[1762.41s -> 1764.41s]  куда-то сама с собой не владея
[1764.41s -> 1766.41s]  это как вообще происходит
[1766.41s -> 1768.41s]  смотри, в какой-то момент в моей жизни я себе поставила табу
[1768.41s -> 1770.41s]  что больше на женатого мужчину
[1770.41s -> 1772.41s]  я не смотрю, для меня эти мужчины прозрачные
[1772.41s -> 1774.41s]  и вот спустя там
[1774.41s -> 1776.41s]  10-15 лет
[1776.41s -> 1778.41s]  я увидела мужчину, в которого любился
[1778.41s -> 1780.41s]  он иностранец, и он женат
[1780.41s -> 1782.41s]  и я не знаю, что мне с этим делать
[1782.41s -> 1784.41s]  потому что это мое табу
[1784.41s -> 1786.41s]  а он продолжает быть в семье или как?
[1786.41s -> 1788.41s]  вот в этом главный вопрос
[1788.41s -> 1790.41s]  расскажи, как у тебя
[1790.41s -> 1792.41s]  сегодня ты приглашенный гость
[1792.41s -> 1794.41s]  давай рассказывай, как у тебя
[1794.41s -> 1796.41s]  пока журналисты меня спросят, я расскажу
[1796.41s -> 1798.41s]  как ты прокомментируешь вот этот скриншот?
[1798.41s -> 1800.41s]  ну-ка, а вы читайте
[1800.41s -> 1802.41s]  у меня зрение минус 7
[1802.41s -> 1804.41s]  представляете, я была
[1804.41s -> 1806.41s]  счастлива с мужем 12,5 лет
[1806.41s -> 1808.41s]  и хватит мне это скидывать, прошу
[1808.41s -> 1810.41s]  где вы счастливы с мужем, вы в курсе?
[1810.41s -> 1812.41s]  а тут другой мужчина
[1812.41s -> 1814.41s]  простите очень соболезную вам, из-за женской солидарности
[1814.41s -> 1816.41s]  решила сообщить, я бы хотела знать
[1816.41s -> 1818.41s]  с ним вам всего на лучшего
[1818.41s -> 1820.41s]  слава богу, никто не умер, у меня двое деток
[1820.41s -> 1822.41s]  год и четыре
[1822.41s -> 1824.41s]  вот тоже самое, представляете, мне сейчас про моего мужа напишут
[1824.41s -> 1826.41s]  например, его фотографию с его девушкой
[1826.41s -> 1828.41s]  он один, к сожалению, я вынуждена вам это сказать
[1828.41s -> 1830.41s]  и я скажу
[1830.41s -> 1832.41s]  ну, да, представляете, мы были вместе
[1832.41s -> 1834.41s]  но теперь мы не вместе, то есть
[1834.41s -> 1836.41s]  что? что изменилось?
[1836.41s -> 1838.41s]  понимаете, в чем вся суть?
[1838.41s -> 1840.41s]  вся суть в детях
[1840.41s -> 1842.41s]  когда мы мелкие, не были ни с кем женаты
[1842.41s -> 1844.41s]  мы все расставались
[1844.41s -> 1846.41s]  никто почему-то не жалеет моего Ромку
[1846.41s -> 1848.41s]  с которым я рассталась и стала встречаться
[1848.41s -> 1850.41s]  с Никитой, потому что детей не было
[1850.41s -> 1852.41s]  а когда появляется дети и брак
[1852.41s -> 1854.41s]  для людей, то есть по факту
[1854.41s -> 1856.41s]  я очень ценю брак, я очень ценю семейность
[1856.41s -> 1858.41s]  то есть я на сто процентов за семью
[1858.41s -> 1860.41s]  это не звучит немножко как-то так?
[1860.41s -> 1862.41s]  двуличное? вообще не двуличное
[1862.41s -> 1864.41s]  потому что я за семью, но я за честную
[1864.41s -> 1866.41s]  семью, где оба родителя реально
[1866.41s -> 1868.41s]  счастливы, оба, когда они то чтобы
[1868.41s -> 1870.41s]  один такой, да нет
[1870.41s -> 1872.41s]  у нас все хорошо, а другой такой, не-не, у нас
[1872.41s -> 1874.41s]  нехорошо, ну ладно, ради детей, давай поиграем
[1874.41s -> 1876.41s]  давай, ну, поделим вид, что у нас все хорошо
[1876.41s -> 1878.41s]  проблема в том, что тебя обвиняют, в том, что
[1878.41s -> 1880.41s]  ты разрушила еще его семью
[1880.41s -> 1882.41s]  мой человек, с которым я сейчас в отношениях
[1882.41s -> 1884.41s]  то есть мы сейчас не в публичном поле
[1884.41s -> 1886.41s]  поэтому я просто не имею права
[1886.41s -> 1888.41s]  обсуждать это сейчас здесь
[1888.41s -> 1890.41s]  я это максимально не хочу, от большого уважения
[1890.41s -> 1892.41s]  к нему, от большого уважения к его бывшей супруге
[1892.41s -> 1894.41s]  то есть просто так случается
[1894.41s -> 1896.41s]  это можно, знаете как?
[1896.41s -> 1898.41s]  можно назвать это так, что
[1898.41s -> 1900.41s]  вот там, он такой козел
[1900.41s -> 1902.41s]  там, я не знаю, ушел
[1902.41s -> 1904.41s]  вот она такая коза увела, а можно
[1904.41s -> 1906.41s]  это назвать, блин, ну надо же люди
[1906.41s -> 1908.41s]  насколько они честные, что когда
[1908.41s -> 1910.41s]  там они что-то почувствовали
[1910.41s -> 1912.41s]  в своих отношениях
[1912.41s -> 1914.41s]  что они по-честному
[1914.41s -> 1916.41s]  просто ушли из семей
[1916.41s -> 1918.41s]  и после этого только уже начали какие-то
[1918.41s -> 1920.41s]  другие отношения, а не то, что
[1920.41s -> 1922.41s]  за спиной изменить
[1922.41s -> 1924.41s]  это другое
[1924.41s -> 1926.41s]  я вам скажу так
[1926.41s -> 1928.41s]  развелась, то есть мы разводились
[1928.41s -> 1930.41s]  с моим мужем не потому, что кто-то
[1930.41s -> 1932.41s]  там из-за кого-то чего-то, а потому
[1932.41s -> 1934.41s]  что я просто в один момент
[1934.41s -> 1936.41s]  мы поняли то, что по-другому никак
[1936.41s -> 1938.41s]  мы сели, поговорили, все
[1938.41s -> 1940.41s]  решили, все, мы разводимся
[1940.41s -> 1942.41s]  я мамочка блогер, которая была
[1942.41s -> 1944.41s]  семейная, то есть у меня все строилось
[1944.41s -> 1946.41s]  на семье, у меня тоже, как бы по сути
[1946.41s -> 1948.41s]  все пошло в один момент
[1948.41s -> 1950.41s]  такой хорошая, такая девочка хорошая
[1950.41s -> 1952.41s]  а пока Виктория гладит Надин
[1952.41s -> 1954.41s]  я вам прочитаю следующую сплетню
[1954.41s -> 1956.41s]  то есть честность это самое главное
[1956.41s -> 1958.41s]  с собой и с миром
[1958.41s -> 1960.41s]  вот это 100%
[1960.41s -> 1962.41s]  пишет
[1962.41s -> 1964.41s]  космополитон, блогер Надин Серовский
[1964.41s -> 1966.41s]  я потратила на развитие блога
[1966.41s -> 1968.41s]  миллионы
[1968.41s -> 1970.41s]  не совру если скажу
[1970.41s -> 1972.41s]  миллионы, но совру если скажу
[1972.41s -> 1974.41s]  точную сумму
[1974.41s -> 1976.41s]  блог это постоянное вложение и динамика
[1976.41s -> 1978.41s]  без этого пробовали многие
