[0.00s -> 3.24s]  Это ощущение невероёмного полёта!
[1193.18s -> 1195.18s]  Смотри, ты руками, что делаешь,
[1195.18s -> 1197.18s]  когда вот это вот?
[1197.18s -> 1199.18s]  Плечевая опора на параллельных Бруси.
[1199.18s -> 1201.18s]  Ну, почти, почти.
[1201.18s -> 1203.18s]  А как правильно? Упор на руках?
[1203.18s -> 1205.18s]  Упор на руках.
[1205.18s -> 1207.18s]  Ну, видишь. Ну что, следующий ряд
[1207.18s -> 1209.18s]  Перекладина. В принципе, как и Бруси,
[1209.18s -> 1211.18s]  он имеет свою популярность на улицах
[1211.18s -> 1213.18s]  нашей страны.
[1213.18s -> 1215.18s]  Турникет? Все верно.
[1215.18s -> 1217.18s]  Так же входит в такой спорт,
[1217.18s -> 1219.18s]  как спортивный гимнастик.
[1219.18s -> 1221.18s]  Обычно мы используем накладки
[1221.18s -> 1223.18s]  в этом снаряде.
[1223.18s -> 1225.18s]  Вот.
[1225.18s -> 1227.18s]  Выглядят они вот так.
[1227.18s -> 1229.18s]  То есть, пальцы засовываются сюда,
[1229.18s -> 1231.18s]  здесь застегивается
[1231.18s -> 1233.18s]  ремешок, и
[1233.18s -> 1235.18s]  для чего они нужны? Валик,
[1235.18s -> 1237.18s]  он вот в таком положении,
[1237.18s -> 1239.18s]  дает тебе возможность не слететь.
[1239.18s -> 1241.18s]  Ой.
[1241.18s -> 1243.18s]  Да нет.
[1243.18s -> 1245.18s]  Да как? Да что?
[1245.18s -> 1247.18s]  Ну, в общем,
[1247.18s -> 1249.18s]  это самый легкий элемент, который
[1249.18s -> 1251.18s]  есть в спортивной гимнастике.
[1251.18s -> 1253.18s]  Вопрос? Да.
[1253.18s -> 1255.18s]  Длина перекладины.
[1255.18s -> 1257.18s]  Два с половиной. Да, 2,45.
[1257.18s -> 1259.18s]  2,30.
[1259.18s -> 1261.18s]  2,40.
[1261.18s -> 1263.18s]  240 сантиметров.
[1263.18s -> 1265.18s]  Какой знаменитый гимнаст
[1265.18s -> 1267.18s]  выигрывал олимпийское золото
[1267.18s -> 1269.18s]  в 2000 году?
[1269.18s -> 1271.18s]  Российский?
[1271.18s -> 1273.18s]  Самый-самый у нас знаменитый гимнаст.
[1273.18s -> 1275.18s]  Гет.
[1275.18s -> 1277.18s]  Какого?
[1277.18s -> 1279.18s]  Немов, я правильно сказал?
[1279.18s -> 1281.18s]  Леша Немов, да? Все верно.
[1281.18s -> 1283.18s]  Алексей Немов.
[1283.18s -> 1285.18s]  Извини, чуба!
[1287.18s -> 1289.18s]  Этот снаряд тоже имеет
[1289.18s -> 1291.18s]  свою популярность.
[1291.18s -> 1293.18s]  Это снаряд кольца.
[1293.18s -> 1295.18s]  Мы так же работаем, как и на перекладине
[1295.18s -> 1297.18s]  в этих накладках.
[1297.18s -> 1299.18s]  Почему? Потому что если там
[1299.18s -> 1301.18s]  еще есть вероятность не оторваться
[1301.18s -> 1303.18s]  тебе, когда ты просто обычная
[1303.18s -> 1305.18s]  солнышко делаешь, то здесь, к сожалению, нет.
[1305.18s -> 1307.18s]  Именно поэтому все работают
[1307.18s -> 1309.18s]  на этой валик, который я говорил.
[1309.18s -> 1311.18s]  За него вот так держишься сильно.
[1311.18s -> 1313.18s]  И, собственно, делаешь...
[1313.18s -> 1315.18s]  Таким же перчаткам, да, которые ты показывал? Да.
[1315.18s -> 1317.18s]  Крест легко сделать? Крест? Нет.
[1317.18s -> 1319.18s]  Это больше силовой снаряд.
[1319.18s -> 1321.18s]  Хорош!
[1321.18s -> 1323.18s]  Можешь так?
[1323.18s -> 1327.51s]  Конечно.
[1327.51s -> 1329.51s]  Как же тяжело!
[1329.51s -> 1331.51s]  Тебе тяжело даже?
[1331.51s -> 1333.51s]  Ооо!
[1333.51s -> 1337.72s]  Чуть три раза не умер.
[1337.72s -> 1339.72s]  Когда крест все делают,
[1339.72s -> 1341.72s]  даже по телеку кажется, что они все трясутся.
[1341.72s -> 1343.72s]  Это нереально тяжело.
[1343.72s -> 1345.72s]  Это очень тяжело.
[1345.72s -> 1347.72s]  Теперь вопросы. Внутренние диаметры колец.
[1347.72s -> 1349.72s]  20 см.
[1349.72s -> 1351.72s]  Нет, больше. 30. 40.
[1351.72s -> 1353.72s]  Давай один раз включаем.
[1353.72s -> 1355.72s]  Я уже на грани.
[1355.72s -> 1357.72s]  30 см.
[1357.72s -> 1359.72s]  17.
[1359.72s -> 1361.72s]  18 см.
[1361.72s -> 1363.72s]  Чтобы интрижка была. Давай. 3.2.
[1363.72s -> 1365.72s]  Какая страна взяла золото
[1365.72s -> 1367.72s]  Олимпиады 1964 года
[1367.72s -> 1369.72s]  в упражнениях на кольцах?
[1369.72s -> 1371.72s]  Япония.
[1371.72s -> 1373.72s]  Что?
[1373.72s -> 1375.72s]  Как? Он попал в Японию сразу?
[1375.72s -> 1377.72s]  В 1964 год
[1377.72s -> 1379.72s]  ты сейчас просто в Японию попал?
[1379.72s -> 1381.72s]  Это правда, что ли?
[1381.72s -> 1383.72s]  Да, да.
[1383.72s -> 1385.72s]  Правда, Япония?
[1385.72s -> 1387.72s]  Японцы должны были когда-то выстрелить.
[1387.72s -> 1389.72s]  А почему ты это на Японию назвал?
[1389.72s -> 1391.72s]  Ты и начинав Японцем.
[1391.72s -> 1393.72s]  Ну ладно, последний вопрос.
[1393.72s -> 1395.72s]  Женщины из какой страны
[1395.72s -> 1397.72s]  чаще всего брали золото на кольцах?
[1397.72s -> 1399.72s]  США.
[1399.72s -> 1401.72s]  Надо подумать здесь. Здесь просто нужно подумать.
[1401.72s -> 1403.72s]  Великобритания.
[1403.72s -> 1405.72s]  Подумать, что такое гимнастика, про снаряды.
[1405.72s -> 1407.72s]  Подумать надо.
[1407.72s -> 1409.72s]  Уже на любую страну.
[1409.72s -> 1411.72s]  Может быть это уже ответ.
[1411.72s -> 1413.72s]  Я даже не знаю.
[1413.72s -> 1415.72s]  Не становились никто
[1415.72s -> 1417.72s]  олимпийскими чемпионками
[1417.72s -> 1419.72s]  на брусьях.
[1419.72s -> 1421.72s]  Женщины не соревнуются
[1421.72s -> 1423.72s]  на кольцах.
[1423.72s -> 1425.72s]  Давай вдвоем.
[1425.72s -> 1427.72s]  Сегодня действительно была
[1427.72s -> 1429.72s]  потрясающая битва. Никита, спасибо
[1429.72s -> 1431.72s]  большое. Это было познавательно.
[1431.72s -> 1433.72s]  Это было очень круто.
[1433.72s -> 1435.72s]  Я не думаю, что можно
[1435.72s -> 1437.72s]  буквально за 10 минут научиться делать сальто назад.
[1437.72s -> 1439.72s]  Тем более с моей комплектацией.
[1439.72s -> 1441.72s]  С моей комплекцией.
[1441.72s -> 1443.72s]  Спасибо большое.
[1443.72s -> 1445.72s]  Это запомнился на всю жизнь.
[1445.72s -> 1447.72s]  Спасибо тебе большое, что согласился.
[1447.72s -> 1449.72s]  Это действительно была дружеская,
[1449.72s -> 1451.72s]  классная боевая ничья.
[1451.72s -> 1453.72s]  Как мне кажется.
[1453.72s -> 1455.72s]  Спасибо тебе, что пригласил меня.
[1455.72s -> 1457.72s]  Друзья, занимайтесь спортивно-гимнатикой.
[1457.72s -> 1459.72s]  Приходите на арены, в гимнатические залы.
[1459.72s -> 1461.72s]  Приходите смотреть спорт живую.
[1461.72s -> 1463.72s]  Потому что смотреть спорт живую гораздо круче.
[1463.72s -> 1465.72s]  Поехали.
[1469.72s -> 1471.72s]  Ребята, занимайтесь спортом.
[1471.72s -> 1473.72s]  Смотрите спортивную гимнатику.
[1473.72s -> 1475.72s]  И никогда не делайте вот так.
[1475.72s -> 1477.72s]  Спасибо.
[1477.72s -> 1479.72s]  Большое.
[1479.72s -> 1481.72s]  Пока.
