[0.00s -> 5.74s]  Абьюзером нет!
[1127.30s -> 1129.30s]  Рыжие ржгут.
[1129.30s -> 1131.30s]  Очень красиво.
[1131.30s -> 1133.30s]  Хочешь, давай оголим плечи?
[1133.30s -> 1135.30s]  Посмотри.
[1135.30s -> 1137.30s]  Не хочу тебя тут лишнять.
[1137.30s -> 1139.30s]  Ну что, мужики,
[1139.30s -> 1141.30s]  готовьте волей долг.
[1141.30s -> 1143.30s]  Ну, расскажи, как тебе образ?
[1143.30s -> 1145.30s]  Как тебе мейк, волосы?
[1145.30s -> 1147.30s]  Очень эффектно, очень неожиданно,
[1147.30s -> 1149.30s]  очень необычно.
[1149.30s -> 1151.30s]  Я действительно не узнаю себя.
[1151.30s -> 1153.30s]  Я вижу, как горят мои глаза.
[1153.30s -> 1155.30s]  Я не помню, чтобы у меня был такой
[1155.30s -> 1157.30s]  горячий взгляд.
[1157.30s -> 1159.30s]  Ты знаешь, ты ярко-нежная какая-то.
[1159.30s -> 1161.30s]  У тебя прям асексуальность
[1161.30s -> 1163.30s]  и досколько.
[1163.30s -> 1165.30s]  То есть, что тебе тут мужик нужен?
[1165.30s -> 1167.30s]  Ну, я еще подумаю.
[1167.30s -> 1169.30s]  Ты сегодня вот придешь вот так,
[1169.30s -> 1171.30s]  потому что это все твое,
[1171.30s -> 1173.30s]  весь образ твой, и ты сегодня придешь
[1173.30s -> 1175.30s]  просто домой и скажешь, а знаешь,
[1175.30s -> 1177.30s]  я тут подумала.
[1177.30s -> 1179.30s]  Продолжай.
[1179.30s -> 1181.30s]  Музыку.
[1181.30s -> 1183.30s]  Погнали его лучше потусим.
[1183.30s -> 1185.30s]  Ты уже приглашаешь?
[1185.30s -> 1187.30s]  Я тебя приглашаю, все!
[1187.30s -> 1189.30s]  Огонь!
[1189.30s -> 1191.30s]  Ребяточки, ну классно, классно.
[1191.30s -> 1193.30s]  Так, подождите, один вопрос.
[1193.30s -> 1195.30s]  Как тебе проект и какие у тебя
[1195.30s -> 1197.30s]  ощущения после?
[1197.30s -> 1199.30s]  Огромное вам спасибо, я безумно благодарна.
[1199.30s -> 1201.30s]  Очень круто, я не ожидала
[1201.30s -> 1203.30s]  таких перемен, таких трансформаций,
[1203.30s -> 1205.30s]  такого облика, таких
[1205.30s -> 1207.30s]  людей вокруг.
[1207.30s -> 1209.30s]  Прям безумно здорово.
[1209.30s -> 1211.30s]  Мне надо, чтобы ты дала нам обещание,
[1211.30s -> 1213.30s]  чтобы ты всегда была такая.
[1213.30s -> 1215.30s]  И внутренне, и внешне.
[1215.30s -> 1217.30s]  Внутренне главное.
[1217.30s -> 1219.30s]  И внешне тоже, потому что ты внутренний класс,
[1219.30s -> 1221.30s]  внешне еще лучше.
[1221.30s -> 1223.30s]  Я буду следить за тобой.
[1223.30s -> 1225.30s]  Что ты посоветуешь девочкам,
[1225.30s -> 1227.30s]  которые боятся?
[1227.30s -> 1229.30s]  Любить себя, не бояться
[1229.30s -> 1231.30s]  идти к будущему,
[1231.30s -> 1233.30s]  бросать деструктивные отношения,
[1233.30s -> 1235.30s]  если вы в них идите
[1235.30s -> 1237.30s]  на встречу со своему счастью.
[1237.30s -> 1239.30s]  Девчонкам, которые думают идти
[1239.30s -> 1241.30s]  или не идти к нам в шоу.
[1241.30s -> 1243.30s]  Не надо думать, идите.
[1243.30s -> 1245.30s]  Поэтому обязательно присылайте свои заявки,
[1245.30s -> 1247.30s]  пишите в комментариях, ставьте лайки
[1247.30s -> 1249.30s]  и, конечно же, колокольчик,
[1249.30s -> 1251.30s]  чтобы не пропустить следующую серию.
[1251.30s -> 1253.30s]  Пока!
